subject,class_id,model_token_count,model_max_sequence_length,tokenizer_truncated,declaration_token_count,body_section_token_count,contract_body_tokens_truncated,declaration_section_affected,body_section_affected
daytrader,com.ibm.websphere.samples.daytrader.TradeAction,383,32768,false,264,110,0,false,false
daytrader,com.ibm.websphere.samples.daytrader.TradeServices,227,32768,false,216,3,0,false,false
daytrader,com.ibm.websphere.samples.daytrader.beans.MarketSummaryDataBean,182,32768,false,122,51,0,false,false
daytrader,com.ibm.websphere.samples.daytrader.beans.RunStatsDataBean,231,32768,false,190,32,0,false,false
daytrader,com.ibm.websphere.samples.daytrader.direct.KeySequenceDirect,80,32768,false,32,39,0,false,false
daytrader,com.ibm.websphere.samples.daytrader.direct.TradeDirect,975,32768,false,678,288,31,false,true
daytrader,com.ibm.websphere.samples.daytrader.ejb3.DTBroker3MDB,114,32768,false,36,69,0,false,false
daytrader,com.ibm.websphere.samples.daytrader.ejb3.DTStreamer3MDB,90,32768,false,29,52,0,false,false
daytrader,com.ibm.websphere.samples.daytrader.ejb3.MarketSummarySingleton,81,32768,false,44,28,0,false,false
daytrader,com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBBean,510,32768,false,323,178,0,false,false
daytrader,com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBBean$quotePriceComparator,34,32768,false,21,4,0,false,false
daytrader,com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBLocal,60,32768,false,49,3,0,false,false
daytrader,com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBRemote,60,32768,false,49,3,0,false,false
daytrader,com.ibm.websphere.samples.daytrader.entities.AccountDataBean,252,32768,false,192,51,0,false,false
daytrader,com.ibm.websphere.samples.daytrader.entities.AccountProfileDataBean,173,32768,false,121,43,0,false,false
daytrader,com.ibm.websphere.samples.daytrader.entities.HoldingDataBean,183,32768,false,138,36,0,false,false
daytrader,com.ibm.websphere.samples.daytrader.entities.OrderDataBean,297,32768,false,228,60,0,false,false
