row_index,class_id,class_name,input_hash
0,org.jfree.chart.ChartColor,ChartColor,ce728470a022b78837ac1900dc573284c807989b22798ad7dba7ca3325ab3c9c
1,org.jfree.chart.ChartFactory,ChartFactory,166da6aee18fe886361ac8015a374a0e941dea32c2acbec49de5f8d22949d5a6
2,org.jfree.chart.ChartFrame,ChartFrame,358c22bfdb28649a4a8dbf422ead25a46d936d3d83a7fc0028b8d212667f6e89
3,org.jfree.chart.ChartHints,ChartHints,fb8769a045ab075bea63da5b6d1e52bd829fd9ba9ecadb08cd373f7325a9aba3
4,org.jfree.chart.ChartHints$Key,ChartHints$Key,5a5ab5edcec3b7df7fbe376b420a87201dab5766c2f0969b2437e57235a747bb
5,org.jfree.chart.ChartMouseEvent,ChartMouseEvent,ccf691f828581e172329560ca10b91cce14604acdb52554b75427d6ecebe0d75
6,org.jfree.chart.ChartMouseListener,ChartMouseListener,6abc6ad8570f6529bd4a6a40858cbcc3c0118d2480a3e3d83fee3575e3eeb142
7,org.jfree.chart.ChartPanel,ChartPanel,2a9f971e06cbe56882adac81675039703fb31f21b7bd5fc77cb14414f821814b
8,org.jfree.chart.ChartRenderingInfo,ChartRenderingInfo,dfc7cb11bfb4c28660675163928048539d8dc650c5e1718d83d1792e517fc9a1
9,org.jfree.chart.ChartTheme,ChartTheme,bf3a5390102ff492dcfc201c57cde045c6729a6f9089a3587c537ff0610c8406
10,org.jfree.chart.ChartTransferable,ChartTransferable,95881f39f1763c9f5359cf64a495b2588dbc70abd5b678c6a091fda6e07cb4c7
11,org.jfree.chart.ChartUtilities,ChartUtilities,2ac297b4d374d67c698699db96b0430ac311b22f416c7cba44712f6d9ce5a884
12,org.jfree.chart.ClipPath,ClipPath,f1eafecf9069add561c12feb54161327dcc448346a3ccf4ac4888a9ca24d045d
13,org.jfree.chart.DrawableLegendItem,DrawableLegendItem,74b381009febed05694e06c3e9b08adbed864be6921a46e5b5739c55378648ad
14,org.jfree.chart.Effect3D,Effect3D,1fa8aa35708badb7ace30020c6331e8cccb69b8843f01b041b1997b9ce7ffc26
15,org.jfree.chart.HashUtilities,HashUtilities,317326f25f1235c748f4e8b8349858a47ddba0687c94721bcd507e998b0edae3
