class_id,input_hash,embedding_sha256
org.jfree.chart.ChartColor,ce728470a022b78837ac1900dc573284c807989b22798ad7dba7ca3325ab3c9c,6945cdc03a54769e39cfad897bfd76fc37a026d921cf5dc56c03e4a7dd5224b7
org.jfree.chart.ChartFactory,166da6aee18fe886361ac8015a374a0e941dea32c2acbec49de5f8d22949d5a6,fe225ce8035248c6a5d91292ec2428e837eee3598bc5268f8102db7be4c59cf7
org.jfree.chart.ChartFrame,358c22bfdb28649a4a8dbf422ead25a46d936d3d83a7fc0028b8d212667f6e89,dadcd2180a6dd1b810222cbf3a541755434c63d065278dd03e124f614a840629
org.jfree.chart.ChartHints,fb8769a045ab075bea63da5b6d1e52bd829fd9ba9ecadb08cd373f7325a9aba3,9ddc6740691dcc99225f01c2871bc22c967e427ed22a186315144d504dc32ac6
org.jfree.chart.ChartHints$Key,5a5ab5edcec3b7df7fbe376b420a87201dab5766c2f0969b2437e57235a747bb,35fc67ee9478a2583f789cec8af0b22409eaca3bed30b8be0341cfdbf524d707
org.jfree.chart.ChartMouseEvent,ccf691f828581e172329560ca10b91cce14604acdb52554b75427d6ecebe0d75,f2b98e6efe0f668eb1d042d3cbebcadff646f5341d68c151f0ce211dd6c3f204
org.jfree.chart.ChartMouseListener,6abc6ad8570f6529bd4a6a40858cbcc3c0118d2480a3e3d83fee3575e3eeb142,01a6380fb06827400f7283ccec8b4df6386ee8eb4a0d6cee307ea83eaf3d1565
org.jfree.chart.ChartPanel,2a9f971e06cbe56882adac81675039703fb31f21b7bd5fc77cb14414f821814b,04654e187e5867b58606df478afc83b0253d30bcc2d48454035ced7828e01d7a
org.jfree.chart.ChartRenderingInfo,dfc7cb11bfb4c28660675163928048539d8dc650c5e1718d83d1792e517fc9a1,cfd5172afdd3fde3d54d197977862dc286ce2feecb3adbe7676d88a82eca5b1d
org.jfree.chart.ChartTheme,bf3a5390102ff492dcfc201c57cde045c6729a6f9089a3587c537ff0610c8406,4f6a8b739e133f5ed1398bfd7b01425e7ccefbca0c3caecd2f9d236ce7a1e963
org.jfree.chart.ChartTransferable,95881f39f1763c9f5359cf64a495b2588dbc70abd5b678c6a091fda6e07cb4c7,34e3f8b13e43e18f4e850336f080cd950d2d3c4aa6e027dc92c8fa2b8f74a16e
org.jfree.chart.ChartUtilities,2ac297b4d374d67c698699db96b0430ac311b22f416c7cba44712f6d9ce5a884,512e62b2fe0a2f1609de60586118ce360ddf2b36736606e8501a818159f943a0
org.jfree.chart.ClipPath,f1eafecf9069add561c12feb54161327dcc448346a3ccf4ac4888a9ca24d045d,15872504f9fe7551239b6698eec794872f884535e9f73b8b3d4178bd6f70c40c
org.jfree.chart.DrawableLegendItem,74b381009febed05694e06c3e9b08adbed864be6921a46e5b5739c55378648ad,86dc55b7117ecc26943acd8ae35f4a919e4bd2eb7c58e667c223963c28e7d546
org.jfree.chart.Effect3D,1fa8aa35708badb7ace30020c6331e8cccb69b8843f01b041b1997b9ce7ffc26,8bf61fb9dece5e4c75076b50e4a9f47cb38d7e5ab609329d370465b86228aa9f
org.jfree.chart.HashUtilities,317326f25f1235c748f4e8b8349858a47ddba0687c94721bcd507e998b0edae3,2331de2d39cf2abe9a7b2d5faf5f7446280cd6546838586ee95b8fda49ec94b5
org.jfree.chart.JFreeChart,a73c7fe61550b00b897620f8bf0d64b44d0a929df8ff014358f67ca4becdc72e,8b890f0a0d6317572289939ad46925707a8995e1422dd43d0c705ca60a2702dc
org.jfree.chart.JFreeChart$1,f37562bc0b133dc8c2ed37c2218814e196314904fc6a76f52b144a32e9727d2d,2faf42147349ecb80d2065383bc150d2e4a25da586316face32d1a0b1a26f5e8
org.jfree.chart.JFreeChartInfo,f82604c37c0092966fa6b24f00f8e8d8317348b6cde0bb7061b34c12e7b564c1,49d5bcbfc75d6fed7791814ee1b9d7a80ed27c143707809f42547a2f26c39c0e
org.jfree.chart.LegendItem,8b4fd8ce2866c9a463381b6706e19a776d321c089d9471f3bf799f1409a7a2c2,9af6c6f589ece742ebaa05126a49d0b9f6d1ebb13b9ec378bfe90a4bc99f918e
org.jfree.chart.LegendItemCollection,dc79b4e48f211255b208f743fa912f9223a520277c6c879e922fa882da00f66b,68e09004c59284751b9ca2564049407445c3e6434f2d474cdff1d6100e69d37e
org.jfree.chart.LegendItemSource,b91a0ecdb0deff5524496fdebb2596719b08e0ef27c5ee85db9d5667f920b015,4f5fc86a378b9d121e09e930be5f4bf6fbbee3806034a37a6fe12f04784ff552
org.jfree.chart.LegendRenderingOrder,49a8318fc1bd18598518c6b6a1bfb12a1dfe120791731829a9c3c474a251545a,ed02778b971904c3b770e25bb27a22bf00d9417fb879e8cab611db1cff4918c3
org.jfree.chart.MouseWheelHandler,5055b7ba94a1c8676ab4dd9aebf83db5a9a33ddd24dfdb44e8ad799ea48fae1c,444e80c7cd52e5205db5ef2042560605e03ca86589b77ef8b4f28c1eeb48aef3
org.jfree.chart.PaintMap,5dacbf1f1d8a61e38662830a48a8ee9ac7332fc314687413ef06670065e0a03b,7d2f191afffb88ebbe3fcd7d5795c917566059265f0859b99017c66b4ba2c7a3
org.jfree.chart.PolarChartPanel,df9bb04d5649acc78b93348ff5db58fd902f51f3e6a4951b9f51c1f104471f43,4c34a6aa8160e3f73f1cf15601dda6c56d388b57cd44b3cb5cae5831519c02d1
org.jfree.chart.StandardChartTheme,6e606104f9379c1ff1b42851af7244e2fd67b742a23e025b73699cd6607f63f6,db4622beb27043d67945c3c27201d44d4e9c4ac4bf7f9376b0abfdcab492870c
