class_id,input_hash,embedding_sha256
org.mybatis.jpetstore.domain.Account,836223e9668677fb8eeaa4e4c4db3f6f14503e489628c3084019e4eb3e554025,7d5ed91f2b7df29a373b5767f4c72996f870c0348361cbb14dba7e1bf6a6d1c5
org.mybatis.jpetstore.domain.Cart,ab0a8d13e63fa051903bd44e2d6597ee8bdd8bbb84afb45a7ca6e67e170c7f19,8866c1f175ded54a07b6c4080907ceb4568249a94e6db0fa29af11135e9b6ce3
org.mybatis.jpetstore.domain.CartItem,e004475c4603b53c4fe444d74cc119389a82314f8051479f3e2b362b776580f0,2a19e54576c839d5cc8f921a958a68f6457e8fa4cd6a9fd8896628ebb2f70371
org.mybatis.jpetstore.domain.Category,eab81e1147be4f1be016c8344b822381aee3d5a11b291d790c1d36e211f6be6e,0d281d550cd866ab163d2138941a0c6b00bdf7e464a6584fab342bc6b504f149
org.mybatis.jpetstore.domain.Item,d66651d9874ba8e963e8b46c2d16f66e4fa96a4540a84b30f42660c77772ee43,560735c8cadad546bf1563e840b5c70d62b836e5a7dc4bebba828681b951ef87
org.mybatis.jpetstore.domain.LineItem,7184d8270fc77b83090d88624768f379ddfd64a856af5fd1b63f95855be689c8,93e0ffec170a79112ae4e773b2952ee403cd80a4c3b49310a7fb082621e1ecb7
org.mybatis.jpetstore.domain.Order,5f711f85c4a0513bd637217a8467712934d7a028a257eab0ec3fbdf70b9b44cb,8a178e21a8df0c5534141925257077d5c2c0c064dd8d0a5984f73c6ebca5ef47
org.mybatis.jpetstore.domain.Product,847fa19d82ae7e6fbe86b45c03d38ad57c08046d7b4580a1b565a0d9afd33655,154cd35083047971a4acb2d473b4e7b08f17f0e265a502549e9a0b3c7c8c3d20
org.mybatis.jpetstore.domain.Sequence,abb9aaad117ec9fcb0617a69d8f482f44f4cf48fa2e5461581fb08ee44d8b133,f0b019ab0f8f679d5b5c9c4153fc70487ceb531c4b61eb5b1afddf47ed7cc1b4
org.mybatis.jpetstore.mapper.AccountMapper,0448e09395c3346af47c2b9115e9cc8b567d96c67409ce6b97d2c2b4ea54bdde,0811e2828854e878b8195b48089513932cf6f399875c2ef375d5d1fdccf8fe69
org.mybatis.jpetstore.mapper.CategoryMapper,4c2b0b9614de47c93d52b3e71d44d77577d0f8f24d5f318430de16a31d338a08,cd3aa0b97d8ae05cb9b1e7a1f314514fb8bef23c55ae6234e722815c6b131ec3
org.mybatis.jpetstore.mapper.ItemMapper,f7a4d34cc83ec41e04e5305afff4f8fa8db765acb0e16f08f36d5e3c436c660b,17421cf9f592a6ac36c221ba6c42b882ecf3411ad4ab1e203ff739fd0087a63c
org.mybatis.jpetstore.mapper.LineItemMapper,71af6f379965ab0cfb5273fbf7e3733ed5c5b8adb3fd3cac4b06b7a88333a51c,aefcadd10f4967ce842c47ef342ddfaadd0bb577d4c12f02036c435afa0813f7
org.mybatis.jpetstore.mapper.OrderMapper,7e8e40f55a2c7915a803664f4374d530ef390d75a7cb12d48749845a092d65c7,f2f2525e25fdaa1fac75aaf41b0b90d55fe110c3593f52eaa8c49bc3a3066118
org.mybatis.jpetstore.mapper.ProductMapper,88f2b3ee8fb71f2a5d030a5dd3a006010dce5220299e2df1624cb7a1e546bff5,c3f97124090486ea68913ed9bd39c5d2c2d187d6a9c542f01f2627e00f6457f8
org.mybatis.jpetstore.mapper.SequenceMapper,a18094d1f2d3b7eeb9a5d092d8e52dbcac67e6d2b5e1e0701a9e8859cc2e44c8,3a8e9ef16be27c283a95b5815dc64df0e3092ba6fb86ebb2293db524d84b2aee
org.mybatis.jpetstore.service.AccountService,62fa0263a48f1cdcf9221655e50e39b26e3a9164f982c1b84d14398a18c66be1,8f7cb915abf49d2002fba3a77577b8404be792e4a6eef6b255b8c8b3cc7a5122
org.mybatis.jpetstore.service.CatalogService,311b8cd67bd162079413ca08817b5c2f60b2908d6748e84b6127f36c5d91c253,7e0581c8f089a8d86f740055f63d3fe24b7ace0ef5ce20df4698b61a2135b91c
org.mybatis.jpetstore.service.OrderService,ab610247715c7e8af8066b7cf4549313474d223c241d7c1f8e14d0293507f315,1f3a11a0cc7715c0c70feeabf9be0cf4ef3bd9b341edec217a9534bd489dadf5
org.mybatis.jpetstore.web.actions.AbstractActionBean,5685ab07312f08adc9dc5704fe9436f04a6de52929f1ccab34a4af5f43512887,1bccf43ef7327c0a98bc47573ada98438ccaf300214343f45fc9a442ee6c60b8
org.mybatis.jpetstore.web.actions.AccountActionBean,f8889d28106565ed20148a4a22d087326279016eaf2b15316fd95731141ac8f5,993f5afb6a50a982f23f3dfe29fcb62bbcdca458811c28254f71662d975f9824
org.mybatis.jpetstore.web.actions.CartActionBean,6e2082049949bc32797b855bfa06cf8b854060e47407dbd85b81f0d1c8085e08,669b2d7e974aa134cfe52a4b2331dbfe4db585e0d5c9084c94c367d27b2df202
org.mybatis.jpetstore.web.actions.CatalogActionBean,c7b77c1ac86484ab13836eab214963ec1aa3c82fd8e04f889fd0dcd278382850,ab7e7df43640cb6f5d65df65aa7855da702ef1d4633fe4964ee3056c90c81c0a
org.mybatis.jpetstore.web.actions.OrderActionBean,e5d67bb4e9044a9c9e70b5900fa93f583f15d7d0ff4d856ecf1a521dbe5b5115,75f3dcea38de885a6c553563d44d9a2a571b7137759f1e779bc4f09de1a490b5
