subject,class_id,model_token_count,model_max_sequence_length,tokenizer_truncated,declaration_token_count,body_section_token_count,contract_body_tokens_truncated,declaration_section_affected,body_section_affected
jpetstore,org.mybatis.jpetstore.domain.Account,265,32768,false,207,49,0,false,false
jpetstore,org.mybatis.jpetstore.domain.Cart,121,32768,false,75,37,0,false,false
jpetstore,org.mybatis.jpetstore.domain.CartItem,77,32768,false,55,13,0,false,false
jpetstore,org.mybatis.jpetstore.domain.Category,61,32768,false,40,12,0,false,false
jpetstore,org.mybatis.jpetstore.domain.Item,211,32768,false,155,47,0,false,false
jpetstore,org.mybatis.jpetstore.domain.LineItem,115,32768,false,84,22,0,false,false
jpetstore,org.mybatis.jpetstore.domain.Order,466,32768,false,386,71,0,false,false
jpetstore,org.mybatis.jpetstore.domain.Product,74,32768,false,51,14,0,false,false
jpetstore,org.mybatis.jpetstore.domain.Sequence,45,32768,false,28,8,0,false,false
jpetstore,org.mybatis.jpetstore.mapper.AccountMapper,72,32768,false,61,3,0,false,false
jpetstore,org.mybatis.jpetstore.mapper.CategoryMapper,27,32768,false,16,3,0,false,false
jpetstore,org.mybatis.jpetstore.mapper.ItemMapper,44,32768,false,33,3,0,false,false
jpetstore,org.mybatis.jpetstore.mapper.LineItemMapper,35,32768,false,24,3,0,false,false
jpetstore,org.mybatis.jpetstore.mapper.OrderMapper,42,32768,false,31,3,0,false,false
jpetstore,org.mybatis.jpetstore.mapper.ProductMapper,37,32768,false,26,3,0,false,false
jpetstore,org.mybatis.jpetstore.mapper.SequenceMapper,31,32768,false,20,3,0,false,false
jpetstore,org.mybatis.jpetstore.service.AccountService,57,32768,false,34,14,0,false,false
jpetstore,org.mybatis.jpetstore.service.CatalogService,91,32768,false,59,23,0,false,false
jpetstore,org.mybatis.jpetstore.service.OrderService,71,32768,false,32,30,0,false,false
jpetstore,org.mybatis.jpetstore.web.actions.AbstractActionBean,48,32768,false,32,7,0,false,false
jpetstore,org.mybatis.jpetstore.web.actions.AccountActionBean,172,32768,false,107,56,0,false,false
jpetstore,org.mybatis.jpetstore.web.actions.CartActionBean,111,32768,false,70,32,0,false,false
jpetstore,org.mybatis.jpetstore.web.actions.CatalogActionBean,201,32768,false,158,34,0,false,false
jpetstore,org.mybatis.jpetstore.web.actions.OrderActionBean,173,32768,false,99,65,0,false,false
