subject,class_id,model_token_count,model_max_sequence_length,tokenizer_truncated,declaration_token_count,body_section_token_count,contract_body_tokens_truncated,declaration_section_affected,body_section_affected
xerces,org.apache.xerces.dom.ASDOMImplementationImpl,76,32768,false,48,19,0,false,false
xerces,org.apache.xerces.dom.ASModelImpl,395,32768,false,319,67,0,false,false
xerces,org.apache.xerces.dom.AttrImpl,421,32768,false,288,124,0,false,false
xerces,org.apache.xerces.dom.AttrNSImpl,120,32768,false,68,43,0,false,false
xerces,org.apache.xerces.dom.AttributeMap,238,32768,false,148,81,0,false,false
xerces,org.apache.xerces.dom.CDATASectionImpl,40,32768,false,25,6,0,false,false
xerces,org.apache.xerces.dom.CharacterDataImpl,183,32768,false,122,52,0,false,false
xerces,org.apache.xerces.dom.CharacterDataImpl$1,32,32768,false,20,3,0,false,false
xerces,org.apache.xerces.dom.ChildNode,73,32768,false,43,21,0,false,false
xerces,org.apache.xerces.dom.CommentImpl,39,32768,false,25,5,0,false,false
xerces,org.apache.xerces.dom.CoreDOMImplementationImpl,316,32768,false,165,142,0,false,false
xerces,org.apache.xerces.dom.CoreDOMImplementationImpl$RevalidationHandlerHolder,23,32768,false,12,2,0,false,false
xerces,org.apache.xerces.dom.CoreDOMImplementationImpl$XMLDTDLoaderHolder,23,32768,false,12,2,0,false,false
xerces,org.apache.xerces.dom.CoreDocumentImpl,1294,32768,false,998,287,1,false,true
xerces,org.apache.xerces.dom.DOMConfigurationImpl,633,32768,false,243,381,0,false,false
xerces,org.apache.xerces.dom.DOMErrorImpl,87,32768,false,54,24,0,false,false
xerces,org.apache.xerces.dom.DOMImplementationImpl,65,32768,false,39,17,0,false,false
xerces,org.apache.xerces.dom.DOMImplementationListImpl,43,32768,false,23,11,0,false,false
xerces,org.apache.xerces.dom.DOMImplementationSourceImpl,66,32768,false,40,17,0,false,false
xerces,org.apache.xerces.dom.DOMInputImpl,147,32768,false,114,24,0,false,false
xerces,org.apache.xerces.dom.DOMLocatorImpl,76,32768,false,45,22,0,false,false
xerces,org.apache.xerces.dom.DOMMessageFormatter,80,32768,false,33,38,0,false,false
xerces,org.apache.xerces.dom.DOMNormalizer,708,32768,false,415,284,0,false,false
xerces,org.apache.xerces.dom.DOMNormalizer$1,28,32768,false,16,3,0,false,false
xerces,org.apache.xerces.dom.DOMNormalizer$XMLAttributesProxy,317,32768,false,242,66,0,false,false
xerces,org.apache.xerces.dom.DOMOutputImpl,82,32768,false,62,11,0,false,false
xerces,org.apache.xerces.dom.DOMStringListImpl,54,32768,false,32,13,0,false,false
xerces,org.apache.xerces.dom.DOMXSImplementationSourceImpl,55,32768,false,32,14,0,false,false
xerces,org.apache.xerces.dom.DeepNodeListImpl,70,32768,false,28,33,0,false,false
xerces,org.apache.xerces.dom.DeferredAttrImpl,55,32768,false,28,18,0,false,false
xerces,org.apache.xerces.dom.DeferredAttrNSImpl,59,32768,false,30,20,0,false,false
xerces,org.apache.xerces.dom.DeferredCDATASectionImpl,48,32768,false,26,13,0,false,false
xerces,org.apache.xerces.dom.DeferredCommentImpl,45,32768,false,23,13,0,false,false
xerces,org.apache.xerces.dom.DeferredDOMImplementationImpl,35,32768,false,19,7,0,false,false
xerces,org.apache.xerces.dom.DeferredDocumentImpl,854,32768,false,694,151,0,false,false
xerces,org.apache.xerces.dom.DeferredDocumentImpl$IntVector,67,32768,false,36,22,0,false,false
xerces,org.apache.xerces.dom.DeferredDocumentImpl$RefCount,18,32768,false,8,1,0,false,false
xerces,org.apache.xerces.dom.DeferredDocumentTypeImpl,82,32768,false,30,43,0,false,false
xerces,org.apache.xerces.dom.DeferredElementDefinitionImpl,63,32768,false,30,24,0,false,false
xerces,org.apache.xerces.dom.DeferredElementImpl,57,32768,false,28,20,0,false,false
xerces,org.apache.xerces.dom.DeferredElementNSImpl,63,32768,false,30,24,0,false,false
xerces,org.apache.xerces.dom.DeferredEntityImpl,64,32768,false,28,27,0,false,false
xerces,org.apache.xerces.dom.DeferredEntityReferenceImpl,60,32768,false,30,21,0,false,false
xerces,org.apache.xerces.dom.DeferredNode,24,32768,false,13,3,0,false,false
xerces,org.apache.xerces.dom.DeferredNotationImpl,50,32768,false,25,16,0,false,false
xerces,org.apache.xerces.dom.DeferredProcessingInstructionImpl,48,32768,false,25,14,0,false,false
xerces,org.apache.xerces.dom.DeferredTextImpl,48,32768,false,23,16,0,false,false
xerces,org.apache.xerces.dom.DocumentFragmentImpl,55,32768,false,27,19,0,false,false
xerces,org.apache.xerces.dom.DocumentImpl,780,32768,false,617,154,0,false,false
xerces,org.apache.xerces.dom.DocumentImpl$EnclosingAttr,21,32768,false,11,1,0,false,false
xerces,org.apache.xerces.dom.DocumentImpl$LEntry,25,32768,false,11,5,0,false,false
xerces,org.apache.xerces.dom.DocumentTypeImpl,210,32768,false,142,59,0,false,false
xerces,org.apache.xerces.dom.ElementDefinitionImpl,62,32768,false,33,20,0,false,false
xerces,org.apache.xerces.dom.ElementImpl,526,32768,false,388,129,0,false,false
xerces,org.apache.xerces.dom.ElementNSImpl,147,32768,false,83,55,0,false,false
xerces,org.apache.xerces.dom.EntityImpl,165,32768,false,118,38,0,false,false
xerces,org.apache.xerces.dom.EntityReferenceImpl,122,32768,false,62,51,0,false,false
xerces,org.apache.xerces.dom.LCount,32,32768,false,11,12,0,false,false
xerces,org.apache.xerces.dom.NamedNodeMapImpl,325,32768,false,222,94,0,false,false
xerces,org.apache.xerces.dom.NodeImpl,700,32768,false,530,161,0,false,false
xerces,org.apache.xerces.dom.NodeIteratorImpl,155,32768,false,82,64,0,false,false
xerces,org.apache.xerces.dom.NodeListCache,21,32768,false,7,5,0,false,false
xerces,org.apache.xerces.dom.NotationImpl,101,32768,false,62,30,0,false,false
xerces,org.apache.xerces.dom.ObjectFactory,139,32768,false,70,60,0,false,false
xerces,org.apache.xerces.dom.ObjectFactory$ConfigurationError,27,32768,false,15,3,0,false,false
xerces,org.apache.xerces.dom.PSVIAttrNSImpl,238,32768,false,158,71,0,false,false
xerces,org.apache.xerces.dom.PSVIDOMImplementationImpl,62,32768,false,37,16,0,false,false
xerces,org.apache.xerces.dom.PSVIDocumentImpl,122,32768,false,82,31,0,false,false
xerces,org.apache.xerces.dom.PSVIElementNSImpl,267,32768,false,179,79,0,false,false
xerces,org.apache.xerces.dom.ParentNode,350,32768,false,226,115,0,false,false
xerces,org.apache.xerces.dom.ParentNode$1,34,32768,false,19,6,0,false,false
xerces,org.apache.xerces.dom.ParentNode$UserDataRecord,22,32768,false,10,3,0,false,false
xerces,org.apache.xerces.dom.ProcessingInstructionImpl,63,32768,false,35,19,0,false,false
xerces,org.apache.xerces.dom.RangeExceptionImpl,22,32768,false,10,3,0,false,false
xerces,org.apache.xerces.dom.RangeImpl,611,32768,false,444,158,0,false,false
xerces,org.apache.xerces.dom.SecuritySupport,94,32768,false,60,25,0,false,false
xerces,org.apache.xerces.dom.SecuritySupport$1,27,32768,false,15,3,0,false,false
xerces,org.apache.xerces.dom.SecuritySupport$2,27,32768,false,15,3,0,false,false
xerces,org.apache.xerces.dom.SecuritySupport$3,32,32768,false,15,8,0,false,false
xerces,org.apache.xerces.dom.SecuritySupport$4,33,32768,false,15,9,0,false,false
xerces,org.apache.xerces.dom.SecuritySupport$5,32,32768,false,16,7,0,false,false
xerces,org.apache.xerces.dom.SecuritySupport$6,34,32768,false,15,10,0,false,false
xerces,org.apache.xerces.dom.SecuritySupport$7,30,32768,false,15,6,0,false,false
xerces,org.apache.xerces.dom.SecuritySupport$8,29,32768,false,15,5,0,false,false
xerces,org.apache.xerces.dom.TextImpl,234,32768,false,142,83,0,false,false
xerces,org.apache.xerces.dom.TreeWalkerImpl,230,32768,false,157,64,0,false,false
xerces,org.apache.xerces.dom.events.EventImpl,105,32768,false,66,30,0,false,false
xerces,org.apache.xerces.dom.events.MouseEventImpl,141,32768,false,106,26,0,false,false
xerces,org.apache.xerces.dom.events.MutationEventImpl,93,32768,false,64,20,0,false,false
xerces,org.apache.xerces.dom.events.UIEventImpl,54,32768,false,39,6,0,false,false
xerces,org.apache.xerces.dom3.as.ASAttributeDeclaration,89,32768,false,78,3,0,false,false
xerces,org.apache.xerces.dom3.as.ASContentModel,104,32768,false,93,3,0,false,false
xerces,org.apache.xerces.dom3.as.ASDataType,22,32768,false,11,3,0,false,false
xerces,org.apache.xerces.dom3.as.ASElementDeclaration,156,32768,false,145,3,0,false,false
xerces,org.apache.xerces.dom3.as.ASEntityDeclaration,71,32768,false,60,3,0,false,false
xerces,org.apache.xerces.dom3.as.ASModel,204,32768,false,193,3,0,false,false
xerces,org.apache.xerces.dom3.as.ASNamedObjectMap,89,32768,false,78,3,0,false,false
xerces,org.apache.xerces.dom3.as.ASNotationDeclaration,48,32768,false,37,3,0,false,false
xerces,org.apache.xerces.dom3.as.ASObject,98,32768,false,87,3,0,false,false
xerces,org.apache.xerces.dom3.as.ASObjectList,29,32768,false,18,3,0,false,false
