source,target,flow_type,weight,evidence_method,evidence_statement
org.eclipse.cargotracker.domain.model.cargo.CargoRepository,org.eclipse.cargotracker.domain.model.cargo.Cargo,return_value_flow,3,"<org.eclipse.cargotracker.application.internal.DefaultBookingService: org.eclipse.cargotracker.domain.model.cargo.TrackingId bookNewCargo(org.eclipse.cargotracker.domain.model.location.UnLocode,org.eclipse.cargotracker.domain.model.location.UnLocode,java.time.LocalDate)>","specialinvoke $r11.<org.eclipse.cargotracker.domain.model.cargo.Cargo: void <init>(org.eclipse.cargotracker.domain.model.cargo.TrackingId,org.eclipse.cargotracker.domain.model.cargo.RouteSpecification)>(r2, $r9)"
org.eclipse.cargotracker.domain.model.location.LocationRepository,org.eclipse.cargotracker.domain.model.cargo.RouteSpecification,return_value_flow,3,"<org.eclipse.cargotracker.application.internal.DefaultBookingService: org.eclipse.cargotracker.domain.model.cargo.TrackingId bookNewCargo(org.eclipse.cargotracker.domain.model.location.UnLocode,org.eclipse.cargotracker.domain.model.location.UnLocode,java.time.LocalDate)>","specialinvoke $r9.<org.eclipse.cargotracker.domain.model.cargo.RouteSpecification: void <init>(org.eclipse.cargotracker.domain.model.location.Location,org.eclipse.cargotracker.domain.model.location.Location,java.time.LocalDate)>(r5, r8, r10)"
org.eclipse.cargotracker.domain.model.location.UnLocode,org.eclipse.cargotracker.domain.model.location.LocationRepository,argument_passing_flow,3,"<org.eclipse.cargotracker.application.internal.DefaultBookingService: org.eclipse.cargotracker.domain.model.cargo.TrackingId bookNewCargo(org.eclipse.cargotracker.domain.model.location.UnLocode,org.eclipse.cargotracker.domain.model.location.UnLocode,java.time.LocalDate)>",r5 = interfaceinvoke $r4.<org.eclipse.cargotracker.domain.model.location.LocationRepository: org.eclipse.cargotracker.domain.model.location.Location find(org.eclipse.cargotracker.domain.model.location.UnLocode)>(r3)
org.eclipse.cargotracker.domain.model.location.UnLocode,org.eclipse.cargotracker.domain.model.location.LocationRepository,argument_passing_flow,3,"<org.eclipse.cargotracker.application.internal.DefaultBookingService: org.eclipse.cargotracker.domain.model.cargo.TrackingId bookNewCargo(org.eclipse.cargotracker.domain.model.location.UnLocode,org.eclipse.cargotracker.domain.model.location.UnLocode,java.time.LocalDate)>",r8 = interfaceinvoke $r7.<org.eclipse.cargotracker.domain.model.location.LocationRepository: org.eclipse.cargotracker.domain.model.location.Location find(org.eclipse.cargotracker.domain.model.location.UnLocode)>(r6)
org.eclipse.cargotracker.domain.model.location.LocationRepository,org.eclipse.cargotracker.domain.model.cargo.RouteSpecification,argument_passing_flow,3,"<org.eclipse.cargotracker.application.internal.DefaultBookingService: org.eclipse.cargotracker.domain.model.cargo.TrackingId bookNewCargo(org.eclipse.cargotracker.domain.model.location.UnLocode,org.eclipse.cargotracker.domain.model.location.UnLocode,java.time.LocalDate)>","specialinvoke $r9.<org.eclipse.cargotracker.domain.model.cargo.RouteSpecification: void <init>(org.eclipse.cargotracker.domain.model.location.Location,org.eclipse.cargotracker.domain.model.location.Location,java.time.LocalDate)>(r5, r8, r10)"
org.eclipse.cargotracker.domain.model.cargo.CargoRepository,org.eclipse.cargotracker.domain.model.cargo.Cargo,argument_passing_flow,3,"<org.eclipse.cargotracker.application.internal.DefaultBookingService: org.eclipse.cargotracker.domain.model.cargo.TrackingId bookNewCargo(org.eclipse.cargotracker.domain.model.location.UnLocode,org.eclipse.cargotracker.domain.model.location.UnLocode,java.time.LocalDate)>","specialinvoke $r11.<org.eclipse.cargotracker.domain.model.cargo.Cargo: void <init>(org.eclipse.cargotracker.domain.model.cargo.TrackingId,org.eclipse.cargotracker.domain.model.cargo.RouteSpecification)>(r2, $r9)"
org.eclipse.cargotracker.domain.model.cargo.RouteSpecification,org.eclipse.cargotracker.domain.model.cargo.Cargo,argument_passing_flow,3,"<org.eclipse.cargotracker.application.internal.DefaultBookingService: org.eclipse.cargotracker.domain.model.cargo.TrackingId bookNewCargo(org.eclipse.cargotracker.domain.model.location.UnLocode,org.eclipse.cargotracker.domain.model.location.UnLocode,java.time.LocalDate)>","specialinvoke $r11.<org.eclipse.cargotracker.domain.model.cargo.Cargo: void <init>(org.eclipse.cargotracker.domain.model.cargo.TrackingId,org.eclipse.cargotracker.domain.model.cargo.RouteSpecification)>(r2, $r9)"
org.eclipse.cargotracker.domain.model.cargo.Cargo,org.eclipse.cargotracker.domain.model.cargo.CargoRepository,argument_passing_flow,3,"<org.eclipse.cargotracker.application.internal.DefaultBookingService: org.eclipse.cargotracker.domain.model.cargo.TrackingId bookNewCargo(org.eclipse.cargotracker.domain.model.location.UnLocode,org.eclipse.cargotracker.domain.model.location.UnLocode,java.time.LocalDate)>",interfaceinvoke $r12.<org.eclipse.cargotracker.domain.model.cargo.CargoRepository: void store(org.eclipse.cargotracker.domain.model.cargo.Cargo)>($r11)
org.eclipse.cargotracker.domain.model.cargo.Cargo,org.eclipse.cargotracker.domain.service.RoutingService,return_value_flow,3,<org.eclipse.cargotracker.application.internal.DefaultBookingService: java.util.List requestPossibleRoutesForCargo(org.eclipse.cargotracker.domain.model.cargo.TrackingId)>,$r6 = interfaceinvoke $r4.<org.eclipse.cargotracker.domain.service.RoutingService: java.util.List fetchRoutesForSpecification(org.eclipse.cargotracker.domain.model.cargo.RouteSpecification)>($r5)
org.eclipse.cargotracker.domain.model.cargo.TrackingId,org.eclipse.cargotracker.domain.model.cargo.CargoRepository,argument_passing_flow,3,<org.eclipse.cargotracker.application.internal.DefaultBookingService: java.util.List requestPossibleRoutesForCargo(org.eclipse.cargotracker.domain.model.cargo.TrackingId)>,r3 = interfaceinvoke $r2.<org.eclipse.cargotracker.domain.model.cargo.CargoRepository: org.eclipse.cargotracker.domain.model.cargo.Cargo find(org.eclipse.cargotracker.domain.model.cargo.TrackingId)>(r1)
org.eclipse.cargotracker.domain.model.cargo.Cargo,org.eclipse.cargotracker.domain.service.RoutingService,argument_passing_flow,3,<org.eclipse.cargotracker.application.internal.DefaultBookingService: java.util.List requestPossibleRoutesForCargo(org.eclipse.cargotracker.domain.model.cargo.TrackingId)>,$r6 = interfaceinvoke $r4.<org.eclipse.cargotracker.domain.service.RoutingService: java.util.List fetchRoutesForSpecification(org.eclipse.cargotracker.domain.model.cargo.RouteSpecification)>($r5)
org.eclipse.cargotracker.domain.model.cargo.TrackingId,org.eclipse.cargotracker.domain.model.cargo.CargoRepository,argument_passing_flow,3,"<org.eclipse.cargotracker.application.internal.DefaultBookingService: void assignCargoToRoute(org.eclipse.cargotracker.domain.model.cargo.Itinerary,org.eclipse.cargotracker.domain.model.cargo.TrackingId)>",r3 = interfaceinvoke $r2.<org.eclipse.cargotracker.domain.model.cargo.CargoRepository: org.eclipse.cargotracker.domain.model.cargo.Cargo find(org.eclipse.cargotracker.domain.model.cargo.TrackingId)>(r1)
org.eclipse.cargotracker.domain.model.cargo.Itinerary,org.eclipse.cargotracker.domain.model.cargo.Cargo,argument_passing_flow,3,"<org.eclipse.cargotracker.application.internal.DefaultBookingService: void assignCargoToRoute(org.eclipse.cargotracker.domain.model.cargo.Itinerary,org.eclipse.cargotracker.domain.model.cargo.TrackingId)>",virtualinvoke r3.<org.eclipse.cargotracker.domain.model.cargo.Cargo: void assignToRoute(org.eclipse.cargotracker.domain.model.cargo.Itinerary)>(r4)
org.eclipse.cargotracker.domain.model.location.LocationRepository,org.eclipse.cargotracker.domain.model.cargo.RouteSpecification,return_value_flow,3,"<org.eclipse.cargotracker.application.internal.DefaultBookingService: void changeDestination(org.eclipse.cargotracker.domain.model.cargo.TrackingId,org.eclipse.cargotracker.domain.model.location.UnLocode)>","specialinvoke $r7.<org.eclipse.cargotracker.domain.model.cargo.RouteSpecification: void <init>(org.eclipse.cargotracker.domain.model.location.Location,org.eclipse.cargotracker.domain.model.location.Location,java.time.LocalDate)>($r10, r6, $r9)"
org.eclipse.cargotracker.domain.model.cargo.Cargo,org.eclipse.cargotracker.domain.model.cargo.RouteSpecification,return_value_flow,3,"<org.eclipse.cargotracker.application.internal.DefaultBookingService: void changeDestination(org.eclipse.cargotracker.domain.model.cargo.TrackingId,org.eclipse.cargotracker.domain.model.location.UnLocode)>","specialinvoke $r7.<org.eclipse.cargotracker.domain.model.cargo.RouteSpecification: void <init>(org.eclipse.cargotracker.domain.model.location.Location,org.eclipse.cargotracker.domain.model.location.Location,java.time.LocalDate)>($r10, r6, $r9)"
org.eclipse.cargotracker.domain.model.cargo.TrackingId,org.eclipse.cargotracker.domain.model.cargo.CargoRepository,argument_passing_flow,3,"<org.eclipse.cargotracker.application.internal.DefaultBookingService: void changeDestination(org.eclipse.cargotracker.domain.model.cargo.TrackingId,org.eclipse.cargotracker.domain.model.location.UnLocode)>",r3 = interfaceinvoke $r2.<org.eclipse.cargotracker.domain.model.cargo.CargoRepository: org.eclipse.cargotracker.domain.model.cargo.Cargo find(org.eclipse.cargotracker.domain.model.cargo.TrackingId)>(r1)
org.eclipse.cargotracker.domain.model.location.UnLocode,org.eclipse.cargotracker.domain.model.location.LocationRepository,argument_passing_flow,3,"<org.eclipse.cargotracker.application.internal.DefaultBookingService: void changeDestination(org.eclipse.cargotracker.domain.model.cargo.TrackingId,org.eclipse.cargotracker.domain.model.location.UnLocode)>",r6 = interfaceinvoke $r5.<org.eclipse.cargotracker.domain.model.location.LocationRepository: org.eclipse.cargotracker.domain.model.location.Location find(org.eclipse.cargotracker.domain.model.location.UnLocode)>(r4)
org.eclipse.cargotracker.domain.model.cargo.Cargo,org.eclipse.cargotracker.domain.model.cargo.RouteSpecification,argument_passing_flow,3,"<org.eclipse.cargotracker.application.internal.DefaultBookingService: void changeDestination(org.eclipse.cargotracker.domain.model.cargo.TrackingId,org.eclipse.cargotracker.domain.model.location.UnLocode)>","specialinvoke $r7.<org.eclipse.cargotracker.domain.model.cargo.RouteSpecification: void <init>(org.eclipse.cargotracker.domain.model.location.Location,org.eclipse.cargotracker.domain.model.location.Location,java.time.LocalDate)>($r10, r6, $r9)"
org.eclipse.cargotracker.domain.model.location.LocationRepository,org.eclipse.cargotracker.domain.model.cargo.RouteSpecification,argument_passing_flow,3,"<org.eclipse.cargotracker.application.internal.DefaultBookingService: void changeDestination(org.eclipse.cargotracker.domain.model.cargo.TrackingId,org.eclipse.cargotracker.domain.model.location.UnLocode)>","specialinvoke $r7.<org.eclipse.cargotracker.domain.model.cargo.RouteSpecification: void <init>(org.eclipse.cargotracker.domain.model.location.Location,org.eclipse.cargotracker.domain.model.location.Location,java.time.LocalDate)>($r10, r6, $r9)"
org.eclipse.cargotracker.domain.model.cargo.RouteSpecification,org.eclipse.cargotracker.domain.model.cargo.Cargo,argument_passing_flow,3,"<org.eclipse.cargotracker.application.internal.DefaultBookingService: void changeDestination(org.eclipse.cargotracker.domain.model.cargo.TrackingId,org.eclipse.cargotracker.domain.model.location.UnLocode)>",virtualinvoke r3.<org.eclipse.cargotracker.domain.model.cargo.Cargo: void specifyNewRoute(org.eclipse.cargotracker.domain.model.cargo.RouteSpecification)>($r7)
org.eclipse.cargotracker.domain.model.cargo.Cargo,org.eclipse.cargotracker.domain.model.cargo.RouteSpecification,return_value_flow,3,"<org.eclipse.cargotracker.application.internal.DefaultBookingService: void changeDeadline(org.eclipse.cargotracker.domain.model.cargo.TrackingId,java.time.LocalDate)>","specialinvoke $r4.<org.eclipse.cargotracker.domain.model.cargo.RouteSpecification: void <init>(org.eclipse.cargotracker.domain.model.location.Location,org.eclipse.cargotracker.domain.model.location.Location,java.time.LocalDate)>($r8, $r7, r6)"
