source,target,flow_type,weight,evidence_method,evidence_statement
org.easymock.CaptureType,org.easymock.Capture,argument_passing_flow,3,<org.easymock.Capture: void <init>()>,specialinvoke r0.<org.easymock.Capture: void <init>(org.easymock.CaptureType)>($r1)
org.easymock.CaptureType,org.easymock.Capture,argument_passing_flow,3,<org.easymock.Capture: void <init>(org.easymock.CaptureType)>,"specialinvoke r0.<org.easymock.Capture: void <init>(org.easymock.CaptureType,java.util.function.UnaryOperator)>(r1, $r4)"
org.easymock.CaptureType,org.easymock.Capture,argument_passing_flow,3,<org.easymock.Capture: org.easymock.Capture newInstance(org.easymock.CaptureType)>,specialinvoke $r0.<org.easymock.Capture: void <init>(org.easymock.CaptureType)>(r1)
org.easymock.CaptureType,org.easymock.Capture,argument_passing_flow,3,"<org.easymock.Capture: org.easymock.Capture newInstance(org.easymock.CaptureType,java.util.function.UnaryOperator)>","specialinvoke $r0.<org.easymock.Capture: void <init>(org.easymock.CaptureType,java.util.function.UnaryOperator)>(r1, r2)"
org.easymock.CaptureType,org.easymock.Capture,argument_passing_flow,3,<org.easymock.Capture: org.easymock.Capture newInstance(java.util.function.UnaryOperator)>,"specialinvoke $r0.<org.easymock.Capture: void <init>(org.easymock.CaptureType,java.util.function.UnaryOperator)>($r2, r1)"
org.easymock.MockType,org.easymock.EasyMock,argument_passing_flow,3,"<org.easymock.EasyMock: java.lang.Object mock(org.easymock.MockType,java.lang.Class)>",$r2 = staticinvoke <org.easymock.EasyMock: org.easymock.IMocksControl createControl(org.easymock.MockType)>(r0)
org.easymock.MockType,org.easymock.EasyMock,argument_passing_flow,3,"<org.easymock.EasyMock: java.lang.Object mock(java.lang.String,org.easymock.MockType,java.lang.Class)>",$r3 = staticinvoke <org.easymock.EasyMock: org.easymock.IMocksControl createControl(org.easymock.MockType)>(r0)
org.easymock.MockType,org.easymock.EasyMock,argument_passing_flow,3,"<org.easymock.EasyMock: java.lang.Object createMock(org.easymock.MockType,java.lang.Class)>","$r2 = staticinvoke <org.easymock.EasyMock: java.lang.Object mock(org.easymock.MockType,java.lang.Class)>(r0, r1)"
org.easymock.MockType,org.easymock.EasyMock,argument_passing_flow,3,"<org.easymock.EasyMock: java.lang.Object createMock(java.lang.String,org.easymock.MockType,java.lang.Class)>","$r3 = staticinvoke <org.easymock.EasyMock: java.lang.Object mock(java.lang.String,org.easymock.MockType,java.lang.Class)>(r0, r1, r2)"
org.easymock.MockType,org.easymock.internal.MocksControl,argument_passing_flow,3,<org.easymock.EasyMock: org.easymock.IMocksControl createControl(org.easymock.MockType)>,specialinvoke $r0.<org.easymock.internal.MocksControl: void <init>(org.easymock.MockType)>(r1)
org.easymock.MockType,org.easymock.EasyMock,argument_passing_flow,3,<org.easymock.EasyMock: org.easymock.IMocksControl createStrictControl()>,$r1 = staticinvoke <org.easymock.EasyMock: org.easymock.IMocksControl createControl(org.easymock.MockType)>($r0)
org.easymock.MockType,org.easymock.EasyMock,argument_passing_flow,3,<org.easymock.EasyMock: org.easymock.IMocksControl createControl()>,$r1 = staticinvoke <org.easymock.EasyMock: org.easymock.IMocksControl createControl(org.easymock.MockType)>($r0)
org.easymock.MockType,org.easymock.EasyMock,argument_passing_flow,3,<org.easymock.EasyMock: org.easymock.IMocksControl createNiceControl()>,$r1 = staticinvoke <org.easymock.EasyMock: org.easymock.IMocksControl createControl(org.easymock.MockType)>($r0)
org.easymock.internal.matchers.Any,org.easymock.EasyMock,argument_passing_flow,3,<org.easymock.EasyMock: boolean anyBoolean()>,staticinvoke <org.easymock.EasyMock: void reportMatcher(org.easymock.IArgumentMatcher)>($r0)
org.easymock.internal.matchers.Any,org.easymock.EasyMock,argument_passing_flow,3,<org.easymock.EasyMock: byte anyByte()>,staticinvoke <org.easymock.EasyMock: void reportMatcher(org.easymock.IArgumentMatcher)>($r0)
org.easymock.internal.matchers.Any,org.easymock.EasyMock,argument_passing_flow,3,<org.easymock.EasyMock: char anyChar()>,staticinvoke <org.easymock.EasyMock: void reportMatcher(org.easymock.IArgumentMatcher)>($r0)
org.easymock.internal.matchers.Any,org.easymock.EasyMock,argument_passing_flow,3,<org.easymock.EasyMock: int anyInt()>,staticinvoke <org.easymock.EasyMock: void reportMatcher(org.easymock.IArgumentMatcher)>($r0)
org.easymock.internal.matchers.Any,org.easymock.EasyMock,argument_passing_flow,3,<org.easymock.EasyMock: long anyLong()>,staticinvoke <org.easymock.EasyMock: void reportMatcher(org.easymock.IArgumentMatcher)>($r0)
org.easymock.internal.matchers.Any,org.easymock.EasyMock,argument_passing_flow,3,<org.easymock.EasyMock: float anyFloat()>,staticinvoke <org.easymock.EasyMock: void reportMatcher(org.easymock.IArgumentMatcher)>($r0)
org.easymock.internal.matchers.Any,org.easymock.EasyMock,argument_passing_flow,3,<org.easymock.EasyMock: double anyDouble()>,staticinvoke <org.easymock.EasyMock: void reportMatcher(org.easymock.IArgumentMatcher)>($r0)
org.easymock.internal.matchers.Any,org.easymock.EasyMock,argument_passing_flow,3,<org.easymock.EasyMock: short anyShort()>,staticinvoke <org.easymock.EasyMock: void reportMatcher(org.easymock.IArgumentMatcher)>($r0)
org.easymock.internal.matchers.Any,org.easymock.EasyMock,argument_passing_flow,3,<org.easymock.EasyMock: java.lang.Object anyObject()>,staticinvoke <org.easymock.EasyMock: void reportMatcher(org.easymock.IArgumentMatcher)>($r0)
