source,target,dependency_type,weight,evidence_kind,evidence_location
org.easymock.Capture,org.easymock.CaptureType,type,1,field_type_reference,org.easymock.Capture.type
org.easymock.Capture,org.easymock.CaptureType,type,1,method_parameter_type_reference,<org.easymock.Capture: void <init>(org.easymock.CaptureType)>
org.easymock.Capture,org.easymock.CaptureType,type,1,method_parameter_type_reference,"<org.easymock.Capture: void <init>(org.easymock.CaptureType,java.util.function.UnaryOperator)>"
org.easymock.Capture,org.easymock.CaptureType,type,1,method_parameter_type_reference,<org.easymock.Capture: org.easymock.Capture newInstance(org.easymock.CaptureType)>
org.easymock.Capture,org.easymock.CaptureType,type,1,method_parameter_type_reference,"<org.easymock.Capture: org.easymock.Capture newInstance(org.easymock.CaptureType,java.util.function.UnaryOperator)>"
org.easymock.Capture$1,org.easymock.CaptureType,call,2,method_call,<org.easymock.Capture$1: void <clinit>()> :: $r0 = staticinvoke <org.easymock.CaptureType: org.easymock.CaptureType[] values()>()
org.easymock.EasyMock,org.easymock.MockType,type,1,method_parameter_type_reference,"<org.easymock.EasyMock: java.lang.Object mock(org.easymock.MockType,java.lang.Class)>"
org.easymock.EasyMock,org.easymock.MockType,type,1,method_parameter_type_reference,"<org.easymock.EasyMock: java.lang.Object mock(java.lang.String,org.easymock.MockType,java.lang.Class)>"
org.easymock.EasyMock,org.easymock.IMockBuilder,type,1,method_return_type_reference,<org.easymock.EasyMock: org.easymock.IMockBuilder partialMockBuilder(java.lang.Class)>
org.easymock.EasyMock,org.easymock.MockType,type,1,method_parameter_type_reference,"<org.easymock.EasyMock: java.lang.Object createMock(org.easymock.MockType,java.lang.Class)>"
org.easymock.EasyMock,org.easymock.MockType,type,1,method_parameter_type_reference,"<org.easymock.EasyMock: java.lang.Object createMock(java.lang.String,org.easymock.MockType,java.lang.Class)>"
org.easymock.EasyMock,org.easymock.IMockBuilder,type,1,method_return_type_reference,<org.easymock.EasyMock: org.easymock.IMockBuilder createMockBuilder(java.lang.Class)>
org.easymock.EasyMock,org.easymock.IMocksControl,type,1,method_return_type_reference,<org.easymock.EasyMock: org.easymock.IMocksControl createControl(org.easymock.MockType)>
org.easymock.EasyMock,org.easymock.MockType,type,1,method_parameter_type_reference,<org.easymock.EasyMock: org.easymock.IMocksControl createControl(org.easymock.MockType)>
org.easymock.EasyMock,org.easymock.IMocksControl,type,1,method_return_type_reference,<org.easymock.EasyMock: org.easymock.IMocksControl createStrictControl()>
org.easymock.EasyMock,org.easymock.IMocksControl,type,1,method_return_type_reference,<org.easymock.EasyMock: org.easymock.IMocksControl createControl()>
org.easymock.EasyMock,org.easymock.IMocksControl,type,1,method_return_type_reference,<org.easymock.EasyMock: org.easymock.IMocksControl createNiceControl()>
org.easymock.EasyMock,org.easymock.IExpectationSetters,type,1,method_return_type_reference,<org.easymock.EasyMock: org.easymock.IExpectationSetters expect(java.lang.Object)>
org.easymock.EasyMock,org.easymock.IExpectationSetters,type,1,method_return_type_reference,<org.easymock.EasyMock: org.easymock.IExpectationSetters expectLastCall()>
org.easymock.EasyMock,org.easymock.IExpectationSetters,type,1,method_return_type_reference,<org.easymock.EasyMock: org.easymock.IExpectationSetters getControlForLastCall()>
org.easymock.EasyMock,org.easymock.LogicalOperator,type,1,method_parameter_type_reference,"<org.easymock.EasyMock: java.lang.Object 'cmp'(java.lang.Object,java.util.Comparator,org.easymock.LogicalOperator)>"
org.easymock.EasyMock,org.easymock.Capture,type,1,method_return_type_reference,<org.easymock.EasyMock: org.easymock.Capture newCapture()>
org.easymock.EasyMock,org.easymock.Capture,type,1,method_return_type_reference,<org.easymock.EasyMock: org.easymock.Capture newCapture(org.easymock.CaptureType)>
org.easymock.EasyMock,org.easymock.CaptureType,type,1,method_parameter_type_reference,<org.easymock.EasyMock: org.easymock.Capture newCapture(org.easymock.CaptureType)>
org.easymock.EasyMock,org.easymock.Capture,type,1,method_return_type_reference,"<org.easymock.EasyMock: org.easymock.Capture newCapture(org.easymock.CaptureType,java.util.function.UnaryOperator)>"
org.easymock.EasyMock,org.easymock.CaptureType,type,1,method_parameter_type_reference,"<org.easymock.EasyMock: org.easymock.Capture newCapture(org.easymock.CaptureType,java.util.function.UnaryOperator)>"
org.easymock.EasyMock,org.easymock.Capture,type,1,method_return_type_reference,<org.easymock.EasyMock: org.easymock.Capture newCapture(java.util.function.UnaryOperator)>
org.easymock.EasyMock,org.easymock.Capture,type,1,method_parameter_type_reference,<org.easymock.EasyMock: java.lang.Object capture(org.easymock.Capture)>
org.easymock.EasyMock,org.easymock.Capture,type,1,method_parameter_type_reference,<org.easymock.EasyMock: boolean captureBoolean(org.easymock.Capture)>
org.easymock.EasyMock,org.easymock.Capture,type,1,method_parameter_type_reference,<org.easymock.EasyMock: int captureInt(org.easymock.Capture)>
org.easymock.EasyMock,org.easymock.Capture,type,1,method_parameter_type_reference,<org.easymock.EasyMock: long captureLong(org.easymock.Capture)>
org.easymock.EasyMock,org.easymock.Capture,type,1,method_parameter_type_reference,<org.easymock.EasyMock: float captureFloat(org.easymock.Capture)>
org.easymock.EasyMock,org.easymock.Capture,type,1,method_parameter_type_reference,<org.easymock.EasyMock: double captureDouble(org.easymock.Capture)>
org.easymock.EasyMock,org.easymock.Capture,type,1,method_parameter_type_reference,<org.easymock.EasyMock: byte captureByte(org.easymock.Capture)>
