source,target,flow_type,weight,evidence_method,evidence_statement
org.mybatis.jpetstore.domain.Item,org.mybatis.jpetstore.domain.CartItem,argument_passing_flow,3,"<org.mybatis.jpetstore.domain.Cart: void addItem(org.mybatis.jpetstore.domain.Item,boolean)>",virtualinvoke $r5.<org.mybatis.jpetstore.domain.CartItem: void setItem(org.mybatis.jpetstore.domain.Item)>(r1)
org.mybatis.jpetstore.domain.CartItem,org.mybatis.jpetstore.domain.Order,argument_passing_flow,3,"<org.mybatis.jpetstore.domain.Order: void initOrder(org.mybatis.jpetstore.domain.Account,org.mybatis.jpetstore.domain.Cart)>",virtualinvoke r0.<org.mybatis.jpetstore.domain.Order: void addLineItem(org.mybatis.jpetstore.domain.CartItem)>(r24)
org.mybatis.jpetstore.domain.CartItem,org.mybatis.jpetstore.domain.LineItem,argument_passing_flow,3,<org.mybatis.jpetstore.domain.Order: void addLineItem(org.mybatis.jpetstore.domain.CartItem)>,"specialinvoke $r0.<org.mybatis.jpetstore.domain.LineItem: void <init>(int,org.mybatis.jpetstore.domain.CartItem)>($i1, r3)"
org.mybatis.jpetstore.domain.LineItem,org.mybatis.jpetstore.domain.Order,argument_passing_flow,3,<org.mybatis.jpetstore.domain.Order: void addLineItem(org.mybatis.jpetstore.domain.CartItem)>,virtualinvoke r1.<org.mybatis.jpetstore.domain.Order: void addLineItem(org.mybatis.jpetstore.domain.LineItem)>($r0)
org.mybatis.jpetstore.domain.Account,org.mybatis.jpetstore.mapper.AccountMapper,argument_passing_flow,3,<org.mybatis.jpetstore.service.AccountService: void insertAccount(org.mybatis.jpetstore.domain.Account)>,interfaceinvoke $r2.<org.mybatis.jpetstore.mapper.AccountMapper: void insertAccount(org.mybatis.jpetstore.domain.Account)>(r1)
org.mybatis.jpetstore.domain.Account,org.mybatis.jpetstore.mapper.AccountMapper,argument_passing_flow,3,<org.mybatis.jpetstore.service.AccountService: void insertAccount(org.mybatis.jpetstore.domain.Account)>,interfaceinvoke $r3.<org.mybatis.jpetstore.mapper.AccountMapper: void insertProfile(org.mybatis.jpetstore.domain.Account)>(r1)
org.mybatis.jpetstore.domain.Account,org.mybatis.jpetstore.mapper.AccountMapper,argument_passing_flow,3,<org.mybatis.jpetstore.service.AccountService: void insertAccount(org.mybatis.jpetstore.domain.Account)>,interfaceinvoke $r4.<org.mybatis.jpetstore.mapper.AccountMapper: void insertSignon(org.mybatis.jpetstore.domain.Account)>(r1)
org.mybatis.jpetstore.domain.Account,org.mybatis.jpetstore.mapper.AccountMapper,argument_passing_flow,3,<org.mybatis.jpetstore.service.AccountService: void updateAccount(org.mybatis.jpetstore.domain.Account)>,interfaceinvoke $r2.<org.mybatis.jpetstore.mapper.AccountMapper: void updateAccount(org.mybatis.jpetstore.domain.Account)>(r1)
org.mybatis.jpetstore.domain.Account,org.mybatis.jpetstore.mapper.AccountMapper,argument_passing_flow,3,<org.mybatis.jpetstore.service.AccountService: void updateAccount(org.mybatis.jpetstore.domain.Account)>,interfaceinvoke $r3.<org.mybatis.jpetstore.mapper.AccountMapper: void updateProfile(org.mybatis.jpetstore.domain.Account)>(r1)
org.mybatis.jpetstore.domain.Account,org.mybatis.jpetstore.mapper.AccountMapper,argument_passing_flow,3,"<org.mybatis.jpetstore.service.AccountService: void lambda$updateAccount$1(org.mybatis.jpetstore.domain.Account,java.lang.String)>",interfaceinvoke $r2.<org.mybatis.jpetstore.mapper.AccountMapper: void updateSignon(org.mybatis.jpetstore.domain.Account)>(r1)
org.mybatis.jpetstore.service.OrderService,org.mybatis.jpetstore.domain.Order,return_value_flow,3,<org.mybatis.jpetstore.service.OrderService: void insertOrder(org.mybatis.jpetstore.domain.Order)>,virtualinvoke r0.<org.mybatis.jpetstore.domain.Order: void setOrderId(int)>($i0)
org.mybatis.jpetstore.service.OrderService,org.mybatis.jpetstore.domain.Order,argument_passing_flow,3,<org.mybatis.jpetstore.service.OrderService: void insertOrder(org.mybatis.jpetstore.domain.Order)>,virtualinvoke r0.<org.mybatis.jpetstore.domain.Order: void setOrderId(int)>($i0)
org.mybatis.jpetstore.domain.Order,org.mybatis.jpetstore.mapper.OrderMapper,argument_passing_flow,3,<org.mybatis.jpetstore.service.OrderService: void insertOrder(org.mybatis.jpetstore.domain.Order)>,interfaceinvoke $r4.<org.mybatis.jpetstore.mapper.OrderMapper: void insertOrder(org.mybatis.jpetstore.domain.Order)>(r0)
org.mybatis.jpetstore.domain.Order,org.mybatis.jpetstore.mapper.OrderMapper,argument_passing_flow,3,<org.mybatis.jpetstore.service.OrderService: void insertOrder(org.mybatis.jpetstore.domain.Order)>,interfaceinvoke $r5.<org.mybatis.jpetstore.mapper.OrderMapper: void insertOrderStatus(org.mybatis.jpetstore.domain.Order)>(r0)
org.mybatis.jpetstore.mapper.LineItemMapper,org.mybatis.jpetstore.domain.Order,return_value_flow,3,<org.mybatis.jpetstore.service.OrderService: org.mybatis.jpetstore.domain.Order getOrder(int)>,virtualinvoke r2.<org.mybatis.jpetstore.domain.Order: void setLineItems(java.util.List)>($r4)
org.mybatis.jpetstore.mapper.LineItemMapper,org.mybatis.jpetstore.domain.Order,argument_passing_flow,3,<org.mybatis.jpetstore.service.OrderService: org.mybatis.jpetstore.domain.Order getOrder(int)>,virtualinvoke r2.<org.mybatis.jpetstore.domain.Order: void setLineItems(java.util.List)>($r4)
org.mybatis.jpetstore.domain.Sequence,org.mybatis.jpetstore.mapper.SequenceMapper,argument_passing_flow,3,<org.mybatis.jpetstore.service.OrderService: int getNextId(java.lang.String)>,r4 = interfaceinvoke $r3.<org.mybatis.jpetstore.mapper.SequenceMapper: org.mybatis.jpetstore.domain.Sequence getSequence(org.mybatis.jpetstore.domain.Sequence)>($r9)
org.mybatis.jpetstore.domain.Sequence,org.mybatis.jpetstore.mapper.SequenceMapper,argument_passing_flow,3,<org.mybatis.jpetstore.service.OrderService: int getNextId(java.lang.String)>,interfaceinvoke $r6.<org.mybatis.jpetstore.mapper.SequenceMapper: void updateSequence(org.mybatis.jpetstore.domain.Sequence)>($r11)
org.mybatis.jpetstore.domain.LineItem,org.mybatis.jpetstore.mapper.ItemMapper,return_value_flow,3,<org.mybatis.jpetstore.service.OrderService: void lambda$getOrder$2(org.mybatis.jpetstore.domain.LineItem)>,r4 = interfaceinvoke $r2.<org.mybatis.jpetstore.mapper.ItemMapper: org.mybatis.jpetstore.domain.Item getItem(java.lang.String)>($r3)
org.mybatis.jpetstore.mapper.ItemMapper,org.mybatis.jpetstore.domain.LineItem,return_value_flow,3,<org.mybatis.jpetstore.service.OrderService: void lambda$getOrder$2(org.mybatis.jpetstore.domain.LineItem)>,virtualinvoke r1.<org.mybatis.jpetstore.domain.LineItem: void setItem(org.mybatis.jpetstore.domain.Item)>(r4)
org.mybatis.jpetstore.domain.LineItem,org.mybatis.jpetstore.mapper.ItemMapper,return_value_flow,3,<org.mybatis.jpetstore.service.OrderService: void lambda$getOrder$2(org.mybatis.jpetstore.domain.LineItem)>,$i0 = interfaceinvoke $r5.<org.mybatis.jpetstore.mapper.ItemMapper: int getInventoryQuantity(java.lang.String)>($r6)
org.mybatis.jpetstore.mapper.ItemMapper,org.mybatis.jpetstore.domain.Item,return_value_flow,3,<org.mybatis.jpetstore.service.OrderService: void lambda$getOrder$2(org.mybatis.jpetstore.domain.LineItem)>,virtualinvoke r4.<org.mybatis.jpetstore.domain.Item: void setQuantity(int)>($i0)
org.mybatis.jpetstore.domain.LineItem,org.mybatis.jpetstore.mapper.ItemMapper,argument_passing_flow,3,<org.mybatis.jpetstore.service.OrderService: void lambda$getOrder$2(org.mybatis.jpetstore.domain.LineItem)>,r4 = interfaceinvoke $r2.<org.mybatis.jpetstore.mapper.ItemMapper: org.mybatis.jpetstore.domain.Item getItem(java.lang.String)>($r3)
org.mybatis.jpetstore.domain.LineItem,org.mybatis.jpetstore.mapper.ItemMapper,argument_passing_flow,3,<org.mybatis.jpetstore.service.OrderService: void lambda$getOrder$2(org.mybatis.jpetstore.domain.LineItem)>,$i0 = interfaceinvoke $r5.<org.mybatis.jpetstore.mapper.ItemMapper: int getInventoryQuantity(java.lang.String)>($r6)
org.mybatis.jpetstore.mapper.ItemMapper,org.mybatis.jpetstore.domain.Item,argument_passing_flow,3,<org.mybatis.jpetstore.service.OrderService: void lambda$getOrder$2(org.mybatis.jpetstore.domain.LineItem)>,virtualinvoke r4.<org.mybatis.jpetstore.domain.Item: void setQuantity(int)>($i0)
org.mybatis.jpetstore.mapper.ItemMapper,org.mybatis.jpetstore.domain.LineItem,argument_passing_flow,3,<org.mybatis.jpetstore.service.OrderService: void lambda$getOrder$2(org.mybatis.jpetstore.domain.LineItem)>,virtualinvoke r1.<org.mybatis.jpetstore.domain.LineItem: void setItem(org.mybatis.jpetstore.domain.Item)>(r4)
org.mybatis.jpetstore.domain.Order,org.mybatis.jpetstore.domain.LineItem,return_value_flow,3,"<org.mybatis.jpetstore.service.OrderService: void lambda$insertOrder$1(org.mybatis.jpetstore.domain.Order,org.mybatis.jpetstore.domain.LineItem)>",virtualinvoke r0.<org.mybatis.jpetstore.domain.LineItem: void setOrderId(int)>($i0)
org.mybatis.jpetstore.domain.Order,org.mybatis.jpetstore.domain.LineItem,argument_passing_flow,3,"<org.mybatis.jpetstore.service.OrderService: void lambda$insertOrder$1(org.mybatis.jpetstore.domain.Order,org.mybatis.jpetstore.domain.LineItem)>",virtualinvoke r0.<org.mybatis.jpetstore.domain.LineItem: void setOrderId(int)>($i0)
org.mybatis.jpetstore.domain.LineItem,org.mybatis.jpetstore.mapper.LineItemMapper,argument_passing_flow,3,"<org.mybatis.jpetstore.service.OrderService: void lambda$insertOrder$1(org.mybatis.jpetstore.domain.Order,org.mybatis.jpetstore.domain.LineItem)>",interfaceinvoke $r3.<org.mybatis.jpetstore.mapper.LineItemMapper: void insertLineItem(org.mybatis.jpetstore.domain.LineItem)>(r0)
org.mybatis.jpetstore.domain.Account,org.mybatis.jpetstore.service.AccountService,return_value_flow,3,<org.mybatis.jpetstore.web.actions.AccountActionBean: net.sourceforge.stripes.action.Resolution newAccount()>,$r6 = virtualinvoke $r4.<org.mybatis.jpetstore.service.AccountService: org.mybatis.jpetstore.domain.Account getAccount(java.lang.String)>($r5)
