source,target,dependency_type,weight,evidence_kind,evidence_location
org.apache.xerces.dom.ASDOMImplementationImpl,org.apache.xerces.dom.DOMImplementationImpl,type,1,extends_type_reference,org.apache.xerces.dom.ASDOMImplementationImpl
org.apache.xerces.dom.ASDOMImplementationImpl,org.apache.xerces.dom3.as.DOMImplementationAS,type,1,implements_type_reference,org.apache.xerces.dom.ASDOMImplementationImpl
org.apache.xerces.dom.ASDOMImplementationImpl,org.apache.xerces.dom3.as.ASModel,type,1,method_return_type_reference,<org.apache.xerces.dom.ASDOMImplementationImpl: org.apache.xerces.dom3.as.ASModel createAS(boolean)>
org.apache.xerces.dom.ASDOMImplementationImpl,org.apache.xerces.dom3.as.DOMASBuilder,type,1,method_return_type_reference,<org.apache.xerces.dom.ASDOMImplementationImpl: org.apache.xerces.dom3.as.DOMASBuilder createDOMASBuilder()>
org.apache.xerces.dom.ASDOMImplementationImpl,org.apache.xerces.dom3.as.DOMASWriter,type,1,method_return_type_reference,<org.apache.xerces.dom.ASDOMImplementationImpl: org.apache.xerces.dom3.as.DOMASWriter createDOMASWriter()>
org.apache.xerces.dom.ASDOMImplementationImpl,org.apache.xerces.dom.DOMImplementationImpl,call,2,method_call,<org.apache.xerces.dom.ASDOMImplementationImpl: void <init>()> :: specialinvoke r0.<org.apache.xerces.dom.DOMImplementationImpl: void <init>()>()
org.apache.xerces.dom.ASDOMImplementationImpl,org.apache.xerces.dom.ASModelImpl,call,2,method_call,<org.apache.xerces.dom.ASDOMImplementationImpl: org.apache.xerces.dom3.as.ASModel createAS(boolean)> :: specialinvoke $r0.<org.apache.xerces.dom.ASModelImpl: void <init>(boolean)>(z0)
org.apache.xerces.dom.ASDOMImplementationImpl,org.apache.xerces.parsers.DOMASBuilderImpl,call,2,method_call,<org.apache.xerces.dom.ASDOMImplementationImpl: org.apache.xerces.dom3.as.DOMASBuilder createDOMASBuilder()> :: specialinvoke $r0.<org.apache.xerces.parsers.DOMASBuilderImpl: void <init>()>()
org.apache.xerces.dom.ASDOMImplementationImpl,org.apache.xerces.dom.DOMMessageFormatter,call,2,method_call,"<org.apache.xerces.dom.ASDOMImplementationImpl: org.apache.xerces.dom3.as.DOMASWriter createDOMASWriter()> :: r0 = staticinvoke <org.apache.xerces.dom.DOMMessageFormatter: java.lang.String formatMessage(java.lang.String,java.lang.String,java.lang.Object[])>(""http://www.w3.org/dom/DOMTR"", ""NOT_SUPPORTED_ERR"", null)"
org.apache.xerces.dom.ASModelImpl,org.apache.xerces.dom3.as.ASModel,type,1,implements_type_reference,org.apache.xerces.dom.ASModelImpl
org.apache.xerces.dom.ASModelImpl,org.apache.xerces.impl.xs.SchemaGrammar,type,1,field_type_reference,org.apache.xerces.dom.ASModelImpl.fGrammar
org.apache.xerces.dom.ASModelImpl,org.apache.xerces.dom3.as.ASModel,type,1,method_return_type_reference,<org.apache.xerces.dom.ASModelImpl: org.apache.xerces.dom3.as.ASModel getOwnerASModel()>
org.apache.xerces.dom.ASModelImpl,org.apache.xerces.dom3.as.ASModel,type,1,method_parameter_type_reference,<org.apache.xerces.dom.ASModelImpl: void setOwnerASModel(org.apache.xerces.dom3.as.ASModel)>
org.apache.xerces.dom.ASModelImpl,org.apache.xerces.dom3.as.ASObject,type,1,method_return_type_reference,<org.apache.xerces.dom.ASModelImpl: org.apache.xerces.dom3.as.ASObject cloneASObject(boolean)>
org.apache.xerces.dom.ASModelImpl,org.apache.xerces.dom3.as.ASNamedObjectMap,type,1,method_return_type_reference,<org.apache.xerces.dom.ASModelImpl: org.apache.xerces.dom3.as.ASNamedObjectMap getElementDeclarations()>
org.apache.xerces.dom.ASModelImpl,org.apache.xerces.dom3.as.ASNamedObjectMap,type,1,method_return_type_reference,<org.apache.xerces.dom.ASModelImpl: org.apache.xerces.dom3.as.ASNamedObjectMap getAttributeDeclarations()>
org.apache.xerces.dom.ASModelImpl,org.apache.xerces.dom3.as.ASNamedObjectMap,type,1,method_return_type_reference,<org.apache.xerces.dom.ASModelImpl: org.apache.xerces.dom3.as.ASNamedObjectMap getNotationDeclarations()>
org.apache.xerces.dom.ASModelImpl,org.apache.xerces.dom3.as.ASNamedObjectMap,type,1,method_return_type_reference,<org.apache.xerces.dom.ASModelImpl: org.apache.xerces.dom3.as.ASNamedObjectMap getEntityDeclarations()>
org.apache.xerces.dom.ASModelImpl,org.apache.xerces.dom3.as.ASNamedObjectMap,type,1,method_return_type_reference,<org.apache.xerces.dom.ASModelImpl: org.apache.xerces.dom3.as.ASNamedObjectMap getContentModelDeclarations()>
org.apache.xerces.dom.ASModelImpl,org.apache.xerces.dom3.as.ASModel,type,1,method_parameter_type_reference,<org.apache.xerces.dom.ASModelImpl: void addASModel(org.apache.xerces.dom3.as.ASModel)>
org.apache.xerces.dom.ASModelImpl,org.apache.xerces.dom3.as.ASObjectList,type,1,method_return_type_reference,<org.apache.xerces.dom.ASModelImpl: org.apache.xerces.dom3.as.ASObjectList getASModels()>
org.apache.xerces.dom.ASModelImpl,org.apache.xerces.dom3.as.ASModel,type,1,method_parameter_type_reference,<org.apache.xerces.dom.ASModelImpl: void removeAS(org.apache.xerces.dom3.as.ASModel)>
