class_id_a,class_id_b,weight,selected_by
org.jfree.chart.ChartColor,org.jfree.chart.plot.ColorPalette,0.59511427293123476,a
org.jfree.chart.ChartColor,org.jfree.chart.plot.GreyPalette,0.5514118525637185,a
org.jfree.chart.ChartColor,org.jfree.chart.plot.RainbowPalette,0.59663745524757539,both
org.jfree.chart.ChartFactory,org.jfree.chart.ChartFrame,0.52108373985915035,b
org.jfree.chart.ChartFactory,org.jfree.chart.ChartUtilities,0.63410372738583232,a
org.jfree.chart.ChartFactory,org.jfree.chart.JFreeChart,0.6954761532376359,a
org.jfree.chart.ChartFactory,org.jfree.chart.JFreeChartInfo,0.54552972201086336,b
org.jfree.chart.ChartFactory,org.jfree.chart.StandardChartTheme,0.64941779553781342,a
org.jfree.chart.ChartFrame,org.jfree.chart.ChartHints,0.51532321133368608,b
org.jfree.chart.ChartFrame,org.jfree.chart.ChartPanel,0.65604076228506825,both
org.jfree.chart.ChartFrame,org.jfree.chart.PolarChartPanel,0.5607020872997327,a
org.jfree.chart.ChartFrame,org.jfree.chart.servlet.DisplayChart,0.48004928581379153,b
org.jfree.chart.ChartHints,org.jfree.chart.ChartHints$Key,0.57243022825804035,both
org.jfree.chart.ChartHints,org.jfree.chart.editor.DefaultChartEditorFactory,0.51264205657960038,a
org.jfree.chart.ChartHints$Key,org.jfree.chart.JFreeChart$1,0.85239182317491158,both
org.jfree.chart.ChartHints$Key,org.jfree.data.KeyedValueComparator,0.55204650977780767,a
org.jfree.chart.ChartMouseEvent,org.jfree.chart.ChartMouseListener,0.70949678056563392,both
org.jfree.chart.ChartMouseEvent,org.jfree.chart.MouseWheelHandler,0.49331130192964284,b
org.jfree.chart.ChartMouseEvent,org.jfree.chart.event.ChartChangeEvent,0.66967061557092089,a
org.jfree.chart.ChartMouseEvent,org.jfree.chart.event.ChartProgressEvent,0.63196315938898406,both
org.jfree.chart.ChartMouseListener,org.jfree.chart.MouseWheelHandler,0.54724868943155547,b
org.jfree.chart.ChartMouseListener,org.jfree.chart.event.ChartChangeListener,0.81108093038024009,both
org.jfree.chart.ChartMouseListener,org.jfree.chart.event.ChartProgressListener,0.76432406720332791,both
org.jfree.chart.ChartPanel,org.jfree.chart.JFreeChart,0.70961884634620576,both
org.jfree.chart.ChartPanel,org.jfree.chart.MouseWheelHandler,0.51860358304946674,b
org.jfree.chart.ChartPanel,org.jfree.chart.PolarChartPanel,0.70708040903285985,both
org.jfree.chart.ChartRenderingInfo,org.jfree.chart.entity.ChartEntity,0.75449722670499386,a
org.jfree.chart.ChartRenderingInfo,org.jfree.chart.entity.PlotEntity,0.70418889868971069,a
