class_id_a,class_id_b,weight,selected_by
org.mybatis.jpetstore.domain.Account,org.mybatis.jpetstore.domain.Category,0.55119809653070595,both
org.mybatis.jpetstore.domain.Account,org.mybatis.jpetstore.domain.Order,0.57668282393655457,a
org.mybatis.jpetstore.domain.Account,org.mybatis.jpetstore.service.AccountService,0.55616377875691658,a
org.mybatis.jpetstore.domain.Cart,org.mybatis.jpetstore.domain.CartItem,0.73919814038381171,both
org.mybatis.jpetstore.domain.Cart,org.mybatis.jpetstore.domain.Order,0.5971305848481312,both
org.mybatis.jpetstore.domain.Cart,org.mybatis.jpetstore.web.actions.CartActionBean,0.62179603287082263,a
org.mybatis.jpetstore.domain.CartItem,org.mybatis.jpetstore.domain.Item,0.61984143816321569,both
org.mybatis.jpetstore.domain.CartItem,org.mybatis.jpetstore.domain.LineItem,0.77237068939097275,both
org.mybatis.jpetstore.domain.Category,org.mybatis.jpetstore.domain.Product,0.82744405789383135,both
org.mybatis.jpetstore.domain.Category,org.mybatis.jpetstore.domain.Sequence,0.51835890323804779,b
org.mybatis.jpetstore.domain.Category,org.mybatis.jpetstore.mapper.CategoryMapper,0.54805055532637725,a
org.mybatis.jpetstore.domain.Item,org.mybatis.jpetstore.domain.LineItem,0.64524846288944659,both
org.mybatis.jpetstore.domain.Item,org.mybatis.jpetstore.domain.Product,0.62429423073221724,both
org.mybatis.jpetstore.domain.LineItem,org.mybatis.jpetstore.domain.Order,0.68214825431385617,both
org.mybatis.jpetstore.domain.Order,org.mybatis.jpetstore.service.OrderService,0.59891623352202183,both
org.mybatis.jpetstore.domain.Product,org.mybatis.jpetstore.mapper.ProductMapper,0.54099259709999714,a
org.mybatis.jpetstore.domain.Sequence,org.mybatis.jpetstore.mapper.SequenceMapper,0.60953448031745261,a
org.mybatis.jpetstore.domain.Sequence,org.mybatis.jpetstore.service.OrderService,0.50474016832623469,a
org.mybatis.jpetstore.mapper.AccountMapper,org.mybatis.jpetstore.mapper.CategoryMapper,0.64545738008634568,both
org.mybatis.jpetstore.mapper.AccountMapper,org.mybatis.jpetstore.mapper.OrderMapper,0.76132247711324386,both
org.mybatis.jpetstore.mapper.AccountMapper,org.mybatis.jpetstore.mapper.SequenceMapper,0.64148321393757823,b
org.mybatis.jpetstore.mapper.AccountMapper,org.mybatis.jpetstore.service.AccountService,0.78078361344057978,both
org.mybatis.jpetstore.mapper.CategoryMapper,org.mybatis.jpetstore.mapper.ItemMapper,0.6423488805059937,b
org.mybatis.jpetstore.mapper.CategoryMapper,org.mybatis.jpetstore.mapper.OrderMapper,0.68072112201397272,both
org.mybatis.jpetstore.mapper.CategoryMapper,org.mybatis.jpetstore.mapper.ProductMapper,0.7838281292458078,both
org.mybatis.jpetstore.mapper.CategoryMapper,org.mybatis.jpetstore.mapper.SequenceMapper,0.63652114184432596,b
org.mybatis.jpetstore.mapper.CategoryMapper,org.mybatis.jpetstore.service.CatalogService,0.60422517840325662,b
org.mybatis.jpetstore.mapper.ItemMapper,org.mybatis.jpetstore.mapper.LineItemMapper,0.71001494982185653,both
org.mybatis.jpetstore.mapper.ItemMapper,org.mybatis.jpetstore.mapper.ProductMapper,0.7166865564904602,both
org.mybatis.jpetstore.mapper.LineItemMapper,org.mybatis.jpetstore.mapper.OrderMapper,0.72779170848032837,both
org.mybatis.jpetstore.mapper.LineItemMapper,org.mybatis.jpetstore.mapper.ProductMapper,0.62575951134158203,a
org.mybatis.jpetstore.mapper.OrderMapper,org.mybatis.jpetstore.mapper.ProductMapper,0.67650355178336696,b
org.mybatis.jpetstore.mapper.OrderMapper,org.mybatis.jpetstore.mapper.SequenceMapper,0.65617193110919558,b
org.mybatis.jpetstore.mapper.OrderMapper,org.mybatis.jpetstore.service.AccountService,0.58260401862115019,b
org.mybatis.jpetstore.mapper.OrderMapper,org.mybatis.jpetstore.service.OrderService,0.6701492442921817,b
org.mybatis.jpetstore.mapper.ProductMapper,org.mybatis.jpetstore.service.CatalogService,0.60978930036534951,b
org.mybatis.jpetstore.service.AccountService,org.mybatis.jpetstore.service.OrderService,0.58380646047120877,both
org.mybatis.jpetstore.service.CatalogService,org.mybatis.jpetstore.web.actions.CatalogActionBean,0.60081867871696293,a
org.mybatis.jpetstore.web.actions.AbstractActionBean,org.mybatis.jpetstore.web.actions.AccountActionBean,0.62156736065781304,a
org.mybatis.jpetstore.web.actions.AbstractActionBean,org.mybatis.jpetstore.web.actions.CartActionBean,0.5715952856989599,a
org.mybatis.jpetstore.web.actions.AbstractActionBean,org.mybatis.jpetstore.web.actions.OrderActionBean,0.5768369312625633,a
org.mybatis.jpetstore.web.actions.AccountActionBean,org.mybatis.jpetstore.web.actions.CartActionBean,0.64060347762808123,both
org.mybatis.jpetstore.web.actions.AccountActionBean,org.mybatis.jpetstore.web.actions.CatalogActionBean,0.72262326108574548,both
org.mybatis.jpetstore.web.actions.AccountActionBean,org.mybatis.jpetstore.web.actions.OrderActionBean,0.70496421024859734,both
org.mybatis.jpetstore.web.actions.CartActionBean,org.mybatis.jpetstore.web.actions.CatalogActionBean,0.74533501154472315,both
org.mybatis.jpetstore.web.actions.CartActionBean,org.mybatis.jpetstore.web.actions.OrderActionBean,0.70506959207828912,both
org.mybatis.jpetstore.web.actions.CatalogActionBean,org.mybatis.jpetstore.web.actions.OrderActionBean,0.66739122603852452,both
