source_class_id,rank,target_class_id,weight
org.apache.xerces.dom.ASDOMImplementationImpl,1,org.apache.xerces.dom3.as.DOMImplementationAS,0.8340360719926857
org.apache.xerces.dom.ASDOMImplementationImpl,2,org.apache.xerces.dom.DOMImplementationImpl,0.69484201058727602
org.apache.xerces.dom.ASDOMImplementationImpl,3,org.apache.xerces.parsers.DOMASBuilderImpl,0.69321614410604226
org.apache.xerces.dom.ASModelImpl,1,org.apache.xerces.dom3.as.ASModel,0.85618410006118473
org.apache.xerces.dom.ASModelImpl,2,org.apache.xerces.dom3.as.DOMImplementationAS,0.73247300905711743
org.apache.xerces.dom.ASModelImpl,3,org.apache.xerces.dom3.as.DocumentAS,0.72166000169900713
org.apache.xerces.dom.AttrImpl,1,org.apache.xerces.impl.xs.opti.AttrImpl,0.84736752635982493
org.apache.xerces.dom.AttrImpl,2,org.apache.xerces.dom.AttrNSImpl,0.77297851210758739
org.apache.xerces.dom.AttrImpl,3,org.apache.xerces.dom.ElementImpl,0.71165640123769935
org.apache.xerces.dom.AttrNSImpl,1,org.apache.xerces.dom.ElementNSImpl,0.83231282923514394
org.apache.xerces.dom.AttrNSImpl,2,org.apache.xerces.stax.events.NamespaceImpl,0.7974098796623057
org.apache.xerces.dom.AttrNSImpl,3,org.apache.xerces.dom.AttrImpl,0.77297851210758739
org.apache.xerces.dom.AttributeMap,1,org.apache.xerces.dom.NamedNodeMapImpl,0.76715756256753009
org.apache.xerces.dom.AttributeMap,2,org.apache.xerces.impl.xs.opti.NamedNodeMapImpl,0.75431038207176226
org.apache.xerces.dom.AttributeMap,3,org.apache.xerces.dom.AttrImpl,0.66885572061891263
org.apache.xerces.dom.CDATASectionImpl,1,org.apache.xerces.dom.CommentImpl,0.70374938339543969
org.apache.xerces.dom.CDATASectionImpl,2,org.apache.xerces.dom.DeferredCDATASectionImpl,0.68081384700333092
org.apache.xerces.dom.CDATASectionImpl,3,org.apache.xerces.dom.CharacterDataImpl,0.55914919358939863
org.apache.xerces.dom.CharacterDataImpl,1,org.apache.xerces.dom.TextImpl,0.70288115802808393
org.apache.xerces.dom.CharacterDataImpl,2,org.apache.xerces.dom3.as.CharacterDataEditAS,0.67057503632135884
org.apache.xerces.dom.CharacterDataImpl,3,org.apache.xerces.impl.xs.opti.DefaultText,0.66573925630517516
org.apache.xerces.dom.CharacterDataImpl$1,1,org.apache.xerces.dom.ParentNode$1,0.83152712253534555
org.apache.xerces.dom.CharacterDataImpl$1,2,org.apache.xerces.dom.NodeListCache,0.65794336264723818
org.apache.xerces.dom.CharacterDataImpl$1,3,org.apache.xerces.dom.CharacterDataImpl,0.64195910407586632
org.apache.xerces.dom.ChildNode,1,org.apache.xerces.dom.ParentNode,0.70623653875736725
org.apache.xerces.dom.ChildNode,2,org.apache.xerces.dom.NodeImpl,0.62598712865179562
org.apache.xerces.dom.ChildNode,3,org.apache.xerces.dom.EntityImpl,0.61725355468149501
org.apache.xerces.dom.CommentImpl,1,org.apache.xerces.dom.CDATASectionImpl,0.70374938339543969
org.apache.xerces.dom.CommentImpl,2,org.apache.xerces.stax.events.CommentImpl,0.65584747171718938
org.apache.xerces.dom.CommentImpl,3,org.apache.xerces.dom.DeferredCommentImpl,0.6304777614961854
org.apache.xerces.dom.CoreDOMImplementationImpl,1,org.apache.xerces.dom.DOMImplementationImpl,0.80291432226330373
