subject,class_id,class_name,kind,superclass_present,semantic_text,method_count,annotation_count,interface_count,truncated_method_count,input_hash,experiment_name,representation_id,stage3a_source_path,stage3a_source_file_sha256,stage3a_declaration_hash,declaration_exact_match,declaration_token_count,raw_body_candidate_count,filtered_body_token_count_before_budget,appended_body_token_count,body_model_token_count,total_token_count,body_tokens_truncated,declaration_truncated,body_empty,extracted_concrete_method_count,normalized_method_count,synthetic_method_count,generated_code_status,accepted_invoked_method_tokens,accepted_field_tokens,accepted_local_tokens,accepted_exception_tokens,accepted_operation_tokens,accepted_string_tokens,accepted_literals,rejected_token_count,body_hash
daytrader,com.ibm.websphere.samples.daytrader.TradeAction,TradeAction,class,false,"[DECLARATION]
public class TradeAction implements TradeServices {
    OrderDataBean buy(String, String, double, int);
    void cancelOrder(Integer, boolean);
    OrderDataBean completeOrder(Integer, boolean);
    QuoteDataBean createQuote(String, String, BigDecimal);
    void createTrade();
    AccountDataBean getAccountData(String);
    AccountProfileDataBean getAccountProfileData(String);
    Collection getAllQuotes();
    Collection getClosedOrders(String);
    HoldingDataBean getHolding(Integer);
    Collection getHoldings(String);
    MarketSummaryDataBean getMarketSummary();
    MarketSummaryDataBean getMarketSummaryInternal();
    Collection getOrders(String);
    QuoteDataBean getQuote(String);
    AccountDataBean login(String, String);
    void logout(String);
    void orderCompleted(String, Integer);
    void queueOrder(Integer, boolean);
    AccountDataBean register(String, String, String, String, String, String, BigDecimal);
    AccountDataBean register(String, String, String, String, String, String, String);
    RunStatsDataBean resetTrade(boolean);
    OrderDataBean sell(String, Integer, int);
    OrderDataBean sell(String, int, int);
    AccountProfileDataBean updateAccountProfile(AccountProfileDataBean);
    QuoteDataBean updateQuotePriceVolume(String, BigDecimal, double);
}
[METHOD_BODY]
print trace create invoke branch jump market summary lock next cached msdb trade remote shared cache mode jpa enabled none disabled unable determine create trade invoke branch jump trace buy update quote price volume cancel order unsupported operation exception method not supported complete order unsupported operation exception method not supported quote print remote creation ejb failed direct account data account profile data all quotes closed orders holding holdings market summary cached msdb next lock ejb3 using singleton bean cmp entermonitor exitmonitor internal orders zero primitive workload invalid symbol login logout completed queue register register reset sell sell update price volume cancelled profile
",26,0,1,0,9ceaa56547c07baa78d4bdf6b484a3a9946e0c2f975f5fde2e4c12e1238a5fba,stage3_declaration_method_body,declaration_method_body_v1,data/semantic_inputs/daytrader_class_declarations.csv,b4860350bc65e6239834b818fd997477629adef4ff8f10d9cd66ff41a1b5b0ac,033fdf6c2fa49a51a305fe52789247c81b8e17bbf41f418a3ea98b0dfa191659,true,264,476,102,102,110,383,0,false,false,29,29,0,not_detected,91,99,12,18,260,117,39,1251,67332a3603d5e1b4c4c7d8418167a79a5376248ac7794ab5fcb8b0bc0cfbc520
daytrader,com.ibm.websphere.samples.daytrader.TradeServices,TradeServices,interface,false,"[DECLARATION]
public interface TradeServices {
    OrderDataBean buy(String, String, double, int);
    void cancelOrder(Integer, boolean);
    OrderDataBean completeOrder(Integer, boolean);
    QuoteDataBean createQuote(String, String, BigDecimal);
    AccountDataBean getAccountData(String);
    AccountProfileDataBean getAccountProfileData(String);
    Collection getAllQuotes();
    Collection getClosedOrders(String);
    HoldingDataBean getHolding(Integer);
    Collection getHoldings(String);
    MarketSummaryDataBean getMarketSummary();
    Collection getOrders(String);
    QuoteDataBean getQuote(String);
    AccountDataBean login(String, String);
    void logout(String);
    void orderCompleted(String, Integer);
    void queueOrder(Integer, boolean);
    AccountDataBean register(String, String, String, String, String, String, BigDecimal);
    RunStatsDataBean resetTrade(boolean);
    OrderDataBean sell(String, Integer, int);
    AccountProfileDataBean updateAccountProfile(AccountProfileDataBean);
    QuoteDataBean updateQuotePriceVolume(String, BigDecimal, double);
}
[METHOD_BODY]
<EMPTY>
",22,0,0,0,2e5c99ac18edf6b99445dee5d1f4e1faacb80a2de37fcbc55ba20c3fe0fc47f6,stage3_declaration_method_body,declaration_method_body_v1,data/semantic_inputs/daytrader_class_declarations.csv,b4860350bc65e6239834b818fd997477629adef4ff8f10d9cd66ff41a1b5b0ac,79faebc4f5a70102505410ea8714fc1c26baa036aa637175132dd4a55b1b8f40,true,216,0,0,0,3,227,0,false,true,0,0,0,not_detected,0,0,0,0,0,0,0,0,77305bff7a24e74a0e38d809575b5b8b3de1388a175e5cc66f013233b3646ab2
daytrader,com.ibm.websphere.samples.daytrader.beans.MarketSummaryDataBean,MarketSummaryDataBean,class,false,"[DECLARATION]
public class MarketSummaryDataBean implements Serializable {
    BigDecimal getGainPercent();
    BigDecimal getOpenTSIA();
    MarketSummaryDataBean getRandomInstance();
    Date getSummaryDate();
    BigDecimal getTSIA();
    Collection getTopGainers();
    Collection getTopLosers();
    double getVolume();
    void print();
    void setOpenTSIA(BigDecimal);
    void setSummaryDate(Date);
    void setTSIA(BigDecimal);
    void setTopGainers(Collection);
    void setTopLosers(Collection);
    void setVolume(double);
    String toHTML();
    JsonObject toJSON();
    String toString();
}
[METHOD_BODY]
invoke gain percent compute gain percent invoke create compute branch jump open tsia random instance create branch jump summary date tsia top gainers top losers volume print log open summary date gainers losers volume html current json build gainer stock price change loser string market current
",18,0,1,0,4a765f7d3fadf646d0e28002fc19879802b4a1737798462df7beb5913419d3a9,stage3_declaration_method_body,declaration_method_body_v1,data/semantic_inputs/daytrader_class_declarations.csv,b4860350bc65e6239834b818fd997477629adef4ff8f10d9cd66ff41a1b5b0ac,c0e0176c877f840828c4caa0ca1603ddb7225b66f53d5b840fb0c003f3294a71,true,122,372,46,46,51,182,0,false,false,20,20,0,not_detected,38,43,0,0,242,27,22,982,764099e8ebc1aca2366a410c66e782e4035c8f0d3155755730c0e8a151db20f4
daytrader,com.ibm.websphere.samples.daytrader.beans.RunStatsDataBean,RunStatsDataBean,class,false,"[DECLARATION]
public class RunStatsDataBean implements Serializable {
    int getBuyOrderCount();
    int getCancelledOrderCount();
    int getDeletedOrderCount();
    int getHoldingCount();
    int getNewUserCount();
    int getOpenOrderCount();
    int getOrderCount();
    int getSellOrderCount();
    int getSumLoginCount();
    int getSumLogoutCount();
    int getTradeStockCount();
    int getTradeUserCount();
    void setBuyOrderCount(int);
    void setCancelledOrderCount(int);
    void setDeletedOrderCount(int);
    void setHoldingCount(int);
    void setNewUserCount(int);
    void setOpenOrderCount(int);
    void setOrderCount(int);
    void setSellOrderCount(int);
    void setSumLoginCount(int);
    void setSumLogoutCount(int);
    void setTradeStockCount(int);
    void setTradeUserCount(int);
    String toString();
}
[METHOD_BODY]
invoke buy order count cancelled order count deleted holding user open sell sum login sum logout trade stock trade user buy cancelled deleted holding open sell login logout stock string create invoke
",25,0,1,0,f1b4f274157ac2b7450e3b183d693713b07a328003e954702b16c0d55dbc8259,stage3_declaration_method_body,declaration_method_body_v1,data/semantic_inputs/daytrader_class_declarations.csv,b4860350bc65e6239834b818fd997477629adef4ff8f10d9cd66ff41a1b5b0ac,b6e55ef211e1bcc9532314cbe4d459af83d96d462127bc2abdd9ec76b8570a8d,true,190,117,32,32,32,231,0,false,false,26,26,0,not_detected,68,66,0,0,41,19,11,427,7c26af4a1ece6ac9738f44460e6a5264148fee9294c24e7ac33971158e3cdde8
daytrader,com.ibm.websphere.samples.daytrader.direct.KeySequenceDirect,KeySequenceDirect,class,false,"[DECLARATION]
public class KeySequenceDirect {
    Collection allocNewBlock(Connection, String, boolean, boolean);
    Integer getNextID(Connection, String, boolean, boolean);
}
[METHOD_BODY]
create invoke key map invoke alloc block branch jump create keyblocksize key map exception select keygenejb kg where keyname update insert into keyval values set next id trace branch jump sequence pk entity
",2,0,0,0,8c4d35240bd9c35be4c5bafba133d6e9d2a006335e44cd3806b7a23980f13d2d,stage3_declaration_method_body,declaration_method_body_v1,data/semantic_inputs/daytrader_class_declarations.csv,b4860350bc65e6239834b818fd997477629adef4ff8f10d9cd66ff41a1b5b0ac,7b6aafd7330dd4b826621f1e857114857f540c5b2d7441420d524b5e9c4318c6,true,32,125,33,33,39,80,0,false,false,4,4,0,not_detected,5,12,0,2,80,47,9,338,1d6b65f506e761b3589acc7ff009a48ca03c9dcb2273c5ff8096f7b15a356dd2
daytrader,com.ibm.websphere.samples.daytrader.direct.TradeDirect,TradeDirect,class,false,"[DECLARATION]
public class TradeDirect implements TradeServices {
    OrderDataBean buy(String, String, double, int);
    void cancelOrder(Connection, Integer);
    void cancelOrder(Integer, boolean);
    String checkDBProductName();
    void commit(Connection);
    OrderDataBean completeOrder(Connection, Integer);
    OrderDataBean completeOrder(Integer, boolean);
    HoldingDataBean createHolding(Connection, int, String, double, BigDecimal);
    OrderDataBean createOrder(Connection, AccountDataBean, QuoteDataBean, HoldingDataBean, String, double);
    QuoteDataBean createQuote(String, String, BigDecimal);
    void creditAccountBalance(Connection, AccountDataBean, BigDecimal);
    void destroy();
    AccountDataBean getAccountData(Connection, String);
    AccountDataBean getAccountData(String);
    AccountDataBean getAccountData(int);
    AccountDataBean getAccountData(int, Connection);
    AccountDataBean getAccountDataFromResultSet(ResultSet);
    AccountProfileDataBean getAccountProfileData(Connection, Integer);
    AccountProfileDataBean getAccountProfileData(Connection, String);
    AccountProfileDataBean getAccountProfileData(String);
    AccountProfileDataBean getAccountProfileDataFromResultSet(ResultSet);
    Collection getAllQuotes();
    Collection getClosedOrders(String);
    Connection getConn();
    Connection getConnPublic();
    void getDataSource();
    HoldingDataBean getHolding(Integer);
    HoldingDataBean getHoldingData(Connection, int);
    HoldingDataBean getHoldingData(int);
    HoldingDataBean getHoldingDataFromResultSet(ResultSet);
    Collection getHoldings(String);
    boolean getInGlobalTxn();
    MarketSummaryDataBean getMarketSummary();
    OrderDataBean getOrderData(Connection, int);
    OrderDataBean getOrderDataFromResultSet(ResultSet);
    Collection getOrders(String);
    QuoteDataBean getQuote(Connection, String);
    QuoteDataBean getQuote(String);
    QuoteDataBean getQuoteData(Connection, String);
    QuoteDataBean getQuoteDataFromResultSet(ResultSet);
    QuoteDataBean getQuoteForUpdate(Connection, String);
    PreparedStatement getStatement(Connection, String);
    PreparedStatement getStatement(Connection, String, int, int);
    void init();
    AccountDataBean login(String, String);
    void logout(String);
    void orderCompleted(String, Integer);
    void publishQuotePriceChange(QuoteDataBean, BigDecimal, BigDecimal, double);
    void queueOrder(Integer, boolean);
    boolean recreateDBTables(Object[], PrintWriter);
    AccountDataBean register(String, String, String, String, String, String, BigDecimal);
    void releaseConn(Connection);
    void removeHolding(Connection, int, int);
    RunStatsDataBean resetTrade(boolean);
    void rollBack(Connection, Exception);
    OrderDataBean sell(String, Integer, int);
    void setInGlobalTxn(boolean);
    AccountProfileDataBean updateAccountProfile(AccountProfileDataBean);
    void updateAccountProfile(Connection, AccountProfileDataBean);
    void updateHoldingStatus(Connection, Integer, String);
    void updateOrderHolding(Connection, int, int);
    void updateOrderStatus(Connection, Integer, String);
    QuoteDataBean updateQuotePriceVolume(String, BigDecimal, double);
    void updateQuotePriceVolume(Connection, String, BigDecimal, double, double);
    QuoteDataBean updateQuotePriceVolumeInt(String, BigDecimal, double, boolean);
}
[METHOD_BODY]
create invoke datasource ds name zero conn count lock initialized invoke branch jump global txn session initialized branch jump global txn session buy create context trade failed queue order committing transaction error rolling back cancel order trade error cancelling cancel update status cancelled check db product name commit complete completing complete completed processing mode exception select orderejb where orderid internal unable find alertcompleted cancelled account id attempt already quote symbol holding buy completing sell sold closed holding data data open quote creating credit account balance close update accountejb set where accountid destroy getting close select accountejb accountid exception getting result set cannot find id login count logout last creation date balance open profile user profile result user passwd full address email credit card all quotes quoteejb closed orders completed conn trace datasource lock connection isolation entermonitor exitmonitor source lookup context ds holdingejb holdingid no results quantity purchase price date symbol holdings holings market summary zero quoteejb change1 desc tsia total volume logging orderejb orderid no results type status completion quantity price fee orders failure could not company volume open1 low high change1 failure statement prepare statement prepare trace factory broker queue streamer topic initializing init login finder passwd cannot incorrect password logging logout out unsupported operation method not supported publish change add suppressed factory streamer topic publishing mdb command company old low high factor shares traded time stock add suppressed broker command neworder two phase direct publish time runtime recreate db tables measure drop thrown executing foll sql register registering release connection failed entermonitor exitmonitor remove
",65,0,1,0,123a2035996086de8fa8175eaa16db45a0f3933bade8118e2de6a2f59dd7865c,stage3_declaration_method_body,declaration_method_body_v1,data/semantic_inputs/daytrader_class_declarations.csv,b4860350bc65e6239834b818fd997477629adef4ff8f10d9cd66ff41a1b5b0ac,13e953a2da53b4570061f31d0a9e42f4b1125bbc41935c9ed16dff71dfa99ef1,true,678,3098,287,256,288,975,31,false,false,68,68,0,not_detected,215,153,14,24,1713,617,222,7709,aa39a12b9df0961531e3cd990964d27f8beba4ceb1aa96e9ede299f0bcebc9ef
daytrader,com.ibm.websphere.samples.daytrader.ejb3.DTBroker3MDB,DTBroker3MDB,class,false,"[DECLARATION]
@MessageDriven
@TransactionAttribute
@TransactionManagement
public class DTBroker3MDB implements MessageListener {
    TradeServices getTrade(boolean);
    void onMessage(Message);
}
[METHOD_BODY]
instance invoke branch jump stat interval mdb stats dt broker3 trade branch jump create invoke slsb message rollback only create mdb stats stat interval mdc trade received command dt broker3 following jms was redelivered due neworder ping order id two phase direct publish time completing processed stock trading orders total process exception test messages count unknown request error rolling back transaction
",2,3,1,0,7ef4a576343bb419e12bc614eccf03f10f1ab81e66a39dc5c60eab7410375f93,stage3_declaration_method_body,declaration_method_body_v1,data/semantic_inputs/daytrader_class_declarations.csv,b4860350bc65e6239834b818fd997477629adef4ff8f10d9cd66ff41a1b5b0ac,4912385984127e955b6c0d849843e4f4f52283377581b1410b6de9a3bba22757,true,36,199,61,61,69,114,0,false,false,3,3,0,not_detected,6,28,5,0,161,95,32,578,8e3578ccf2891df4c20074f36452faa6e7c1a43a74207e8fd2bab7fbc59f04af
daytrader,com.ibm.websphere.samples.daytrader.ejb3.DTStreamer3MDB,DTStreamer3MDB,class,false,"[DECLARATION]
@MessageDriven
@TransactionAttribute
@TransactionManagement
public class DTStreamer3MDB implements MessageListener {
    void onMessage(Message);
}
[METHOD_BODY]
instance invoke branch jump stat interval mdb stats dt streamer3 message rollback only invoke branch jump create mdb stats stat interval jms event mdc command dt streamer3 received update quote ping publish time symbol current price old prices total count messages unknown request exception cmpg
",1,3,1,0,a3d6c95dfce0bf665e08638c4e4f5597cc03a158fd63fe905000919ce98da1a4,stage3_declaration_method_body,declaration_method_body_v1,data/semantic_inputs/daytrader_class_declarations.csv,b4860350bc65e6239834b818fd997477629adef4ff8f10d9cd66ff41a1b5b0ac,2418cc2f34f28cce50e44343c2514a1659b9a3455a18ea6f45f4b3f3f217290f,true,29,171,45,45,52,90,0,false,false,2,2,0,not_detected,4,25,5,0,146,85,34,532,b045b03e25278dcfb8095030c71e429c2b0e12acc3dfd58b5ba901ead6d22417
daytrader,com.ibm.websphere.samples.daytrader.ejb3.MarketSummarySingleton,MarketSummarySingleton,class,false,"[DECLARATION]
@Singleton
public class MarketSummarySingleton {
    MarketSummaryDataBean getMarketSummaryDataBean();
    void setMarketSummaryDataBean(MarketSummaryDataBean);
    void setup();
    void updateMarketSummary();
}
[METHOD_BODY]
invoke market summary data bean market summary data bean setup update invoke update branch jump create measure entity manager zero updating not ejb3 so change1
",4,1,0,0,1c4fbd59711a41a7d2c50472d00e2b0ac8a0e4b58957a2128fa33a6886254ffe,stage3_declaration_method_body,declaration_method_body_v1,data/semantic_inputs/daytrader_class_declarations.csv,b4860350bc65e6239834b818fd997477629adef4ff8f10d9cd66ff41a1b5b0ac,c89e34e1575247704b611fd1b4991a46cc4da1f138e95b64c3262e0008131459,true,44,137,25,25,28,81,0,false,false,5,5,0,not_detected,19,16,0,0,65,17,3,323,427bf07452904ae6299e094de177efdb0536b2bb3d8f2095c110e0e62270672d
daytrader,com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBBean,TradeSLSBBean,class,false,"[DECLARATION]
@Stateless
@TransactionAttribute
@TransactionManagement
public class TradeSLSBBean implements TradeSLSBLocal, TradeSLSBRemote {
    OrderDataBean buy(String, String, double, int);
    void cancelOrder(Integer, boolean);
    OrderDataBean completeOrder(Integer, boolean);
    HoldingDataBean createHolding(AccountDataBean, QuoteDataBean, double, BigDecimal);
    OrderDataBean createOrder(AccountDataBean, QuoteDataBean, HoldingDataBean, String, double);
    QuoteDataBean createQuote(String, String, BigDecimal);
    AccountDataBean getAccountData(String);
    AccountProfileDataBean getAccountProfileData(String);
    Collection getAllQuotes();
    Collection getClosedOrders(String);
    HoldingDataBean getHolding(Integer);
    Collection getHoldings(String);
    MarketSummaryDataBean getMarketSummary();
    Collection getOrders(String);
    QuoteDataBean getQuote(String);
    double investmentReturn(double, double);
    AccountDataBean login(String, String);
    void logout(String);
    void orderCompleted(String, Integer);
    QuoteDataBean pingTwoPhase(String);
    void postConstruct();
    void publishQuotePriceChange(QuoteDataBean, BigDecimal, BigDecimal, double);
    void queueOrder(Integer, boolean);
    AccountDataBean register(String, String, String, String, String, String, BigDecimal);
    RunStatsDataBean resetTrade(boolean);
    OrderDataBean sell(String, Integer, int);
    AccountProfileDataBean updateAccountProfile(AccountProfileDataBean);
    QuoteDataBean updateQuotePriceVolume(String, BigDecimal, double);
}
[METHOD_BODY]
trace invoke branch jump trade slsb create jndi lookups ejb jms resources buy invoke branch jump create entity manager ejb exception trade slsb failed cancel order entity manager two complete order completed exception two attempt already bean completing account quote holding closed unable sell sold holding persist open quote creating account data profile id profile data find all quotes result list quoteejb closed orders status user id userid completed bean get error find holdings result list user userid market summary singleton getting orders investment trace login no such success logout success unsupported operation method not supported ping phase queue connection factory broker command publish time caught post construct update publish price price change topic connection factory streamer publishing command update symbol company old open low high volume factor shares traded time stock queue managed thread broker neworder phase runtime register persist failed already exists reset sell attempted which has been sold cancelled merge volume change penny stock maximum recovery miracle multiplier split context quoteejb
",28,3,2,0,460c3d5a913a77fae8b055076c0df320746c80407806ed2de6da679f9fe076b2,stage3_declaration_method_body,declaration_method_body_v1,data/semantic_inputs/daytrader_class_declarations.csv,b4860350bc65e6239834b818fd997477629adef4ff8f10d9cd66ff41a1b5b0ac,afe397d01db1e331390f5a45f3c9ee5e0718f8e0c4786528e82a9a96a041ebbf,true,323,946,164,164,178,510,0,false,false,29,29,0,not_detected,85,158,9,50,687,271,115,2931,bab746908d2b8c669eea76586a0ac4d2b5256bd63e27d987417bc756e717dac2
