class_id,display_name,x,y,canonical_order
org.mybatis.jpetstore.domain.Account,Account,225.470123466,90.3907667314,1
org.mybatis.jpetstore.domain.Cart,Cart,55,116.393278126,2
org.mybatis.jpetstore.domain.CartItem,CartItem,89.6859134595,135.693278126,3
org.mybatis.jpetstore.domain.Category,Category,359.972664555,144.234419423,4
org.mybatis.jpetstore.domain.Item,Item,217.704798889,148.303972427,5
org.mybatis.jpetstore.domain.LineItem,LineItem,169.450123466,97.9807572544,6
org.mybatis.jpetstore.domain.Order,Order,138.461513429,78.6807572544,7
org.mybatis.jpetstore.domain.Product,Product,330.722002864,179.151845751,8
org.mybatis.jpetstore.domain.Sequence,Sequence,425,97.0029897559,9
org.mybatis.jpetstore.mapper.AccountMapper,AccountMapper,286.777780188,34,10
org.mybatis.jpetstore.mapper.CategoryMapper,CategoryMapper,367.598385907,93.5773320096,11
org.mybatis.jpetstore.mapper.ItemMapper,ItemMapper,321.83603072,122.330655716,12
org.mybatis.jpetstore.mapper.LineItemMapper,LineItemMapper,341.586649022,74.2773320096,13
org.mybatis.jpetstore.mapper.OrderMapper,OrderMapper,281.479910617,61.8145561623,14
org.mybatis.jpetstore.mapper.ProductMapper,ProductMapper,392.080964985,123.997438964,15
org.mybatis.jpetstore.mapper.SequenceMapper,SequenceMapper,374.754523365,49.8016720069,16
org.mybatis.jpetstore.service.AccountService,AccountService,190.609406864,58.2117536892,17
org.mybatis.jpetstore.service.CatalogService,CatalogService,287.909597778,151.020228801,18
org.mybatis.jpetstore.service.OrderService,OrderService,281.476681085,92.8192043865,19
org.mybatis.jpetstore.web.actions.AbstractActionBean,AbstractActionBean,145.420987547,191,20
org.mybatis.jpetstore.web.actions.AccountActionBean,AccountActionBean,151.600913459,140.440768424,21
org.mybatis.jpetstore.web.actions.CartActionBean,CartActionBean,142.876404738,165.346416806,22
org.mybatis.jpetstore.web.actions.CatalogActionBean,CatalogActionBean,238.848114722,179.562784873,23
org.mybatis.jpetstore.web.actions.OrderActionBean,OrderActionBean,197.721395409,121.140768424,24
