subject,stage,representative_seed,representative_solution_id,source_path,cluster_id,canonical_member_signature,class_count,class_fraction,size_rank
jpetstore,1,42,raw_reference_leiden,results/stage1/subjects/jpetstore/leiden_baseline/raw_reference_leiden/clustering/stage1_clusters.csv,0,cfde9ebe19f43a31d1d6fabcafa91d05a73f429c826a1098c246d70704c1fb63,7,0.291666666667,1
jpetstore,1,42,raw_reference_leiden,results/stage1/subjects/jpetstore/leiden_baseline/raw_reference_leiden/clustering/stage1_clusters.csv,1,ef743e7ad5ba2f8fb6bd0b3e6cbba9b21fdf3dd51d90bf5c354302a290afbd42,7,0.291666666667,2
jpetstore,1,42,raw_reference_leiden,results/stage1/subjects/jpetstore/leiden_baseline/raw_reference_leiden/clustering/stage1_clusters.csv,2,b66894b62be7826cc5da5aab5051347ad0715926cbf4948421164eedec7b69b0,6,0.25,3
jpetstore,1,42,raw_reference_leiden,results/stage1/subjects/jpetstore/leiden_baseline/raw_reference_leiden/clustering/stage1_clusters.csv,3,72ec0e51c7678c471861f2e0dcae1f31f464017205a3a09d21fcd4566b4cf31a,4,0.166666666667,4
jpetstore,2,1,seed1_solution007,results/stage2/subjects/jpetstore/nsga/robustness_final_30seeds/seed_01/pareto_labels.csv.xz,3,952d12a0915691e9801e1b6df9543551b69718f512c4737bd35a90add061da51,6,0.25,1
jpetstore,2,1,seed1_solution007,results/stage2/subjects/jpetstore/nsga/robustness_final_30seeds/seed_01/pareto_labels.csv.xz,2,95fd56d3d6979804af586954ce12fff7f88045074abb1243fe2d41f523a6801c,6,0.25,2
jpetstore,2,1,seed1_solution007,results/stage2/subjects/jpetstore/nsga/robustness_final_30seeds/seed_01/pareto_labels.csv.xz,1,b4e9e0f4d4035422ab7bfb687dd3314be51cdb70f08a7529d8d6ef8ffaaf141a,6,0.25,3
jpetstore,2,1,seed1_solution007,results/stage2/subjects/jpetstore/nsga/robustness_final_30seeds/seed_01/pareto_labels.csv.xz,0,c087e32dd42ba414d5411ee7a8c4d0d553ec64f19bdda5bcf31d36e7a761b109,6,0.25,4
jpetstore,3,0,seed0_solution000,results/stage3/subjects/jpetstore/declaration_method_body/validation/seed_00/selected_partition.csv,0,cfde9ebe19f43a31d1d6fabcafa91d05a73f429c826a1098c246d70704c1fb63,7,0.291666666667,1
jpetstore,3,0,seed0_solution000,results/stage3/subjects/jpetstore/declaration_method_body/validation/seed_00/selected_partition.csv,2,ef743e7ad5ba2f8fb6bd0b3e6cbba9b21fdf3dd51d90bf5c354302a290afbd42,7,0.291666666667,2
