stage,cluster_id,class_count,member_classes,internal_edge_count,internal_weight,boundary_edge_count,boundary_weight,weighted_degree_sum,local_modularity_contribution,representative_seed,representative_solution_id,partition_source
1,C01,13,"[""com.ibm.websphere.samples.daytrader.TradeAction"",""com.ibm.websphere.samples.daytrader.beans.RunStatsDataBean"",""com.ibm.websphere.samples.daytrader.direct.KeySequenceDirect"",""com.ibm.websphere.samples.daytrader.direct.TradeDirect"",""com.ibm.websphere.samples.daytrader.util.Log"",""com.ibm.websphere.samples.daytrader.web.OrdersAlertFilter"",""com.ibm.websphere.samples.daytrader.web.jsf.LoginValidator"",""com.ibm.websphere.samples.daytrader.web.jsf.TradeActionProducer"",""com.ibm.websphere.samples.daytrader.web.jsf.TradeAppJSF"",""com.ibm.websphere.samples.daytrader.web.websocket.ActionDecoder"",""com.ibm.websphere.samples.daytrader.web.websocket.ActionMessage"",""com.ibm.websphere.samples.daytrader.web.websocket.MarketSummaryWebSocket"",""com.ibm.websphere.samples.daytrader.web.websocket.RecentStockChangeList""]",20,530,54,647,1707,0.0894803630635,42,stage1_seed42,results/stage1/subjects/daytrader/leiden_baseline/raw_reference_leiden/clustering/stage1_clusters.csv
1,C02,7,"[""com.ibm.websphere.samples.daytrader.TradeServices"",""com.ibm.websphere.samples.daytrader.util.CompleteOrderThread"",""com.ibm.websphere.samples.daytrader.util.TradeConfig"",""com.ibm.websphere.samples.daytrader.web.TradeAppServlet"",""com.ibm.websphere.samples.daytrader.web.TradeServletAction"",""com.ibm.websphere.samples.daytrader.web.TradeWebContextListener"",""com.ibm.websphere.samples.daytrader.web.jsf.TradeConfigJSF""]",8,203,41,294,700,0.0675720986915,42,stage1_seed42,results/stage1/subjects/daytrader/leiden_baseline/raw_reference_leiden/clustering/stage1_clusters.csv
1,C03,12,"[""com.ibm.websphere.samples.daytrader.beans.MarketSummaryDataBean"",""com.ibm.websphere.samples.daytrader.ejb3.MarketSummarySingleton"",""com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBBean$quotePriceComparator"",""com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBRemote"",""com.ibm.websphere.samples.daytrader.entities.HoldingDataBean"",""com.ibm.websphere.samples.daytrader.entities.QuoteDataBean"",""com.ibm.websphere.samples.daytrader.util.FinancialUtils"",""com.ibm.websphere.samples.daytrader.web.jsf.HoldingData"",""com.ibm.websphere.samples.daytrader.web.jsf.MarketSummaryJSF"",""com.ibm.websphere.samples.daytrader.web.jsf.PortfolioJSF"",""com.ibm.websphere.samples.daytrader.web.jsf.QuoteData"",""com.ibm.websphere.samples.daytrader.web.jsf.QuoteJSF""]",20,172,39,294,638,0.0576855486036,42,stage1_seed42,results/stage1/subjects/daytrader/leiden_baseline/raw_reference_leiden/clustering/stage1_clusters.csv
1,C04,4,"[""com.ibm.websphere.samples.daytrader.ejb3.DTBroker3MDB"",""com.ibm.websphere.samples.daytrader.ejb3.DTStreamer3MDB"",""com.ibm.websphere.samples.daytrader.util.MDBStats"",""com.ibm.websphere.samples.daytrader.util.TimerStat""]",5,73,7,74,220,0.031097241323,42,stage1_seed42,results/stage1/subjects/daytrader/leiden_baseline/raw_reference_leiden/clustering/stage1_clusters.csv
1,C05,8,"[""com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBBean"",""com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBLocal"",""com.ibm.websphere.samples.daytrader.entities.AccountDataBean"",""com.ibm.websphere.samples.daytrader.entities.AccountProfileDataBean"",""com.ibm.websphere.samples.daytrader.entities.OrderDataBean"",""com.ibm.websphere.samples.daytrader.web.jsf.AccountDataJSF"",""com.ibm.websphere.samples.daytrader.web.jsf.OrderData"",""com.ibm.websphere.samples.daytrader.web.jsf.OrderDataJSF""]",11,244,46,501,989,0.0605208921958,42,stage1_seed42,results/stage1/subjects/daytrader/leiden_baseline/raw_reference_leiden/clustering/stage1_clusters.csv
1,C06,2,"[""com.ibm.websphere.samples.daytrader.util.KeyBlock"",""com.ibm.websphere.samples.daytrader.util.KeyBlock$KeyBlockIterator""]",1,28,1,2,58,0.0127362015087,42,stage1_seed42,results/stage1/subjects/daytrader/leiden_baseline/raw_reference_leiden/clustering/stage1_clusters.csv
1,C07,1,"[""com.ibm.websphere.samples.daytrader.util.WebSocketJMSMessage""]",0,0,0,0,0,0,42,stage1_seed42,results/stage1/subjects/daytrader/leiden_baseline/raw_reference_leiden/clustering/stage1_clusters.csv
1,C08,1,"[""com.ibm.websphere.samples.daytrader.web.jsf.ExternalContextProducer""]",0,0,0,0,0,0,42,stage1_seed42,results/stage1/subjects/daytrader/leiden_baseline/raw_reference_leiden/clustering/stage1_clusters.csv
1,C09,1,"[""com.ibm.websphere.samples.daytrader.web.jsf.JSFLoginFilter""]",0,0,0,0,0,0,42,stage1_seed42,results/stage1/subjects/daytrader/leiden_baseline/raw_reference_leiden/clustering/stage1_clusters.csv
1,C10,1,"[""com.ibm.websphere.samples.daytrader.web.websocket.ActionMessage$1""]",0,0,0,0,0,0,42,stage1_seed42,results/stage1/subjects/daytrader/leiden_baseline/raw_reference_leiden/clustering/stage1_clusters.csv
