stage,focal_cluster_id,source_package,external_cluster_id,external_class_count,external_classes,boundary_edge_count,aggregated_boundary_weight
stage1+stage3,C11,P01,C01,8,"[""org.apache.xerces.dom.DOMNormalizer"",""org.apache.xerces.jaxp.validation.DOMResultBuilder"",""org.apache.xerces.parsers.AbstractDOMParser""]",3,16
stage1+stage3,C11,P01,C02,10,"[""org.apache.xerces.impl.dtd.XMLDTDValidator"",""org.apache.xerces.impl.dv.DVFactoryException"",""org.apache.xerces.jaxp.validation.DOMResultAugmentor"",""org.apache.xerces.xpointer.ShortHandPointer""]",4,20
stage1+stage3,C11,P01,C04,19,"[""org.apache.xerces.impl.xs.XMLSchemaLoader""]",3,15
stage1+stage3,C11,P01,C05,25,"[""org.apache.xerces.impl.dv.ValidatedInfo"",""org.apache.xerces.impl.xs.XMLSchemaValidator""]",3,39
stage1+stage3,C11,P01,C12,34,"[""org.apache.xerces.impl.dv.InvalidDatatypeValueException"",""org.apache.xerces.impl.dv.ValidationContext""]",2,7
stage1+stage3,C11,P01,C13,1,"[""org.apache.xerces.impl.dv.ObjectFactory""]",1,4
stage1+stage3,C11,P01,C17,15,"[""org.apache.xerces.jaxp.validation.ValidatorHandlerImpl$XMLSchemaTypeInfoProvider""]",1,2
stage1+stage3,C11,P02,C12,34,"[""org.apache.xerces.impl.dv.xs.Base64BinaryDV"",""org.apache.xerces.impl.dv.xs.Base64BinaryDV$XBase64""]",2,4
stage1+stage3,C11,P03,C01,8,"[""org.apache.xerces.dom.AttrNSImpl"",""org.apache.xerces.dom.ElementNSImpl""]",2,10
stage1+stage3,C11,P03,C04,19,"[""org.apache.xerces.impl.xs.XMLSchemaLoader""]",1,2
stage1+stage3,C11,P03,C05,25,"[""org.apache.xerces.impl.dv.ValidatedInfo"",""org.apache.xerces.impl.xs.XMLSchemaValidator"",""org.apache.xerces.impl.xs.util.ShortListImpl"",""org.apache.xerces.xs.ShortList"",""org.apache.xerces.xs.StringList""]",9,52
stage1+stage3,C11,P03,C08,2,"[""org.apache.xerces.util.XMLChar""]",1,8
stage1+stage3,C11,P03,C12,34,"[""org.apache.xerces.impl.dv.InvalidDatatypeValueException"",""org.apache.xerces.impl.dv.ValidationContext"",""org.apache.xerces.impl.dv.xs.AnyAtomicDV"",""org.apache.xerces.impl.dv.xs.AnySimpleDV"",""org.apache.xerces.impl.dv.xs.AnyURIDV"",""org.apache.xerces.impl.dv.xs.Base64BinaryDV"",""org.apache.xerces.impl.dv.xs.BooleanDV"",""org.apache.xerces.impl.dv.xs.DateDV"",""org.apache.xerces.impl.dv.xs.DateTimeDV"",""org.apache.xerces.impl.dv.xs.DayDV"",""org.apache.xerces.impl.dv.xs.DayTimeDurationDV"",""org.apache.xerces.impl.dv.xs.DecimalDV"",""org.apache.xerces.impl.dv.xs.DoubleDV"",""org.apache.xerces.impl.dv.xs.DurationDV"",""org.apache.xerces.impl.dv.xs.EntityDV"",""org.apache.xerces.impl.dv.xs.FloatDV"",""org.apache.xerces.impl.dv.xs.HexBinaryDV"",""org.apache.xerces.impl.dv.xs.IDDV"",""org.apache.xerces.impl.dv.xs.IDREFDV"",""org.apache.xerces.impl.dv.xs.IntegerDV"",""org.apache.xerces.impl.dv.xs.ListDV"",""org.apache.xerces.impl.dv.xs.MonthDV"",""org.apache.xerces.impl.dv.xs.MonthDayDV"",""org.apache.xerces.impl.dv.xs.PrecisionDecimalDV"",""org.apache.xerces.impl.dv.xs.QNameDV"",""org.apache.xerces.impl.dv.xs.StringDV"",""org.apache.xerces.impl.dv.xs.TimeDV"",""org.apache.xerces.impl.dv.xs.TypeValidator"",""org.apache.xerces.impl.dv.xs.UnionDV"",""org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl$ValidationContextImpl"",""org.apache.xerces.impl.dv.xs.YearDV"",""org.apache.xerces.impl.dv.xs.YearMonthDV"",""org.apache.xerces.impl.dv.xs.YearMonthDurationDV""]",37,171
stage1+stage3,C11,P03,C15,1,"[""org.apache.xerces.impl.xpath.regex.RegularExpression""]",1,4
stage1+stage3,C11,P04,C01,8,"[""org.apache.xerces.dom.ASModelImpl"",""org.apache.xerces.dom.ElementNSImpl"",""org.apache.xerces.parsers.AbstractDOMParser""]",3,11
