stage,rank_role,focal_cluster_id,source_class,target_class,weight
stage2,highest,C13,org.apache.xerces.impl.dv.DatatypeException,org.apache.xerces.impl.dv.InvalidDatatypeFacetException,3
stage2,highest,C13,org.apache.xerces.impl.dv.DatatypeException,org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl,34
stage2,highest,C13,org.apache.xerces.impl.dv.DatatypeException,org.apache.xerces.impl.xs.traversers.XSAttributeChecker,4
stage2,highest,C13,org.apache.xerces.impl.dv.DatatypeException,org.apache.xerces.impl.xs.traversers.XSDAbstractTraverser,4
stage2,highest,C13,org.apache.xerces.impl.dv.DatatypeException,org.apache.xerces.impl.xs.traversers.XSDAttributeTraverser,8
stage2,highest,C13,org.apache.xerces.impl.dv.DatatypeException,org.apache.xerces.impl.xs.traversers.XSDComplexTypeTraverser,4
stage2,highest,C13,org.apache.xerces.impl.dv.DatatypeException,org.apache.xerces.impl.xs.traversers.XSDSimpleTypeTraverser,4
stage2,highest,C13,org.apache.xerces.impl.dv.InvalidDatatypeFacetException,org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl,2
stage2,highest,C13,org.apache.xerces.impl.dv.SchemaDVFactory,org.apache.xerces.impl.dv.XSSimpleType,7
stage2,highest,C13,org.apache.xerces.impl.dv.SchemaDVFactory,org.apache.xerces.impl.dv.xs.BaseDVFactory,3
stage2,highest,C13,org.apache.xerces.impl.dv.SchemaDVFactory,org.apache.xerces.impl.dv.xs.BaseSchemaDVFactory,3
stage2,highest,C13,org.apache.xerces.impl.dv.SchemaDVFactory,org.apache.xerces.impl.xs.traversers.XSDComplexTypeTraverser,4
stage2,highest,C13,org.apache.xerces.impl.dv.SchemaDVFactory,org.apache.xerces.impl.xs.traversers.XSDHandler,2
stage2,highest,C13,org.apache.xerces.impl.dv.SchemaDVFactory,org.apache.xerces.impl.xs.traversers.XSDSimpleTypeTraverser,14
stage2,highest,C13,org.apache.xerces.impl.dv.SchemaDVFactory,org.apache.xerces.util.SymbolHash,1
stage2,highest,C13,org.apache.xerces.impl.dv.SchemaDVFactory,org.apache.xerces.xs.XSObjectList,3
stage2,highest,C13,org.apache.xerces.impl.dv.XSFacets,org.apache.xerces.impl.dv.XSSimpleType,1
stage2,highest,C13,org.apache.xerces.impl.dv.XSFacets,org.apache.xerces.impl.dv.xs.BaseDVFactory,2
stage2,highest,C13,org.apache.xerces.impl.dv.XSFacets,org.apache.xerces.impl.dv.xs.BaseSchemaDVFactory,2
stage2,highest,C13,org.apache.xerces.impl.dv.XSFacets,org.apache.xerces.impl.dv.xs.FullDVFactory,2
stage2,highest,C13,org.apache.xerces.impl.dv.XSFacets,org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl,4
stage2,highest,C13,org.apache.xerces.impl.dv.XSFacets,org.apache.xerces.impl.dv.xs.XSSimpleTypeDelegate,1
stage2,highest,C13,org.apache.xerces.impl.dv.XSFacets,org.apache.xerces.impl.xs.traversers.XSDAbstractTraverser,5
stage2,highest,C13,org.apache.xerces.impl.dv.XSFacets,org.apache.xerces.impl.xs.traversers.XSDAbstractTraverser$FacetInfo,2
stage2,highest,C13,org.apache.xerces.impl.dv.XSFacets,org.apache.xerces.impl.xs.util.XSObjectListImpl,1
stage2,highest,C13,org.apache.xerces.impl.dv.XSFacets,org.apache.xerces.xs.XSAnnotation,10
stage2,highest,C13,org.apache.xerces.impl.dv.XSFacets,org.apache.xerces.xs.XSObjectList,1
stage2,highest,C13,org.apache.xerces.impl.dv.XSSimpleType,org.apache.xerces.impl.dv.xs.BaseDVFactory,7
stage2,highest,C13,org.apache.xerces.impl.dv.XSSimpleType,org.apache.xerces.impl.dv.xs.BaseSchemaDVFactory,6
stage2,highest,C13,org.apache.xerces.impl.dv.XSSimpleType,org.apache.xerces.impl.dv.xs.ExtendedSchemaDVFactoryImpl,1
stage2,highest,C13,org.apache.xerces.impl.dv.XSSimpleType,org.apache.xerces.impl.dv.xs.FullDVFactory,1
stage2,highest,C13,org.apache.xerces.impl.dv.XSSimpleType,org.apache.xerces.impl.dv.xs.SchemaDVFactoryImpl,1
stage2,highest,C13,org.apache.xerces.impl.dv.XSSimpleType,org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl,1
stage2,highest,C13,org.apache.xerces.impl.dv.XSSimpleType,org.apache.xerces.impl.dv.xs.XSSimpleTypeDelegate,20
stage2,highest,C13,org.apache.xerces.impl.dv.XSSimpleType,org.apache.xerces.impl.xs.SchemaGrammar,3
stage2,highest,C13,org.apache.xerces.impl.dv.XSSimpleType,org.apache.xerces.impl.xs.SchemaGrammar$BuiltinAttrDecl,2
stage2,highest,C13,org.apache.xerces.impl.dv.XSSimpleType,org.apache.xerces.impl.xs.SchemaGrammar$Schema4Annotations,2
stage2,highest,C13,org.apache.xerces.impl.dv.XSSimpleType,org.apache.xerces.impl.xs.SchemaGrammar$XSAnyType,1
stage2,highest,C13,org.apache.xerces.impl.dv.XSSimpleType,org.apache.xerces.impl.xs.XSAttributeDecl,2
stage2,highest,C13,org.apache.xerces.impl.dv.XSSimpleType,org.apache.xerces.impl.xs.XSAttributeGroupDecl,2
stage2,highest,C13,org.apache.xerces.impl.dv.XSSimpleType,org.apache.xerces.impl.xs.XSComplexTypeDecl,2
stage2,highest,C13,org.apache.xerces.impl.dv.XSSimpleType,org.apache.xerces.impl.xs.XSConstraints,7
stage2,highest,C13,org.apache.xerces.impl.dv.XSSimpleType,org.apache.xerces.impl.xs.traversers.XSAttributeChecker,9
stage2,highest,C13,org.apache.xerces.impl.dv.XSSimpleType,org.apache.xerces.impl.xs.traversers.XSDAbstractTraverser,14
stage2,highest,C13,org.apache.xerces.impl.dv.XSSimpleType,org.apache.xerces.impl.xs.traversers.XSDAttributeTraverser,12
stage2,highest,C13,org.apache.xerces.impl.dv.XSSimpleType,org.apache.xerces.impl.xs.traversers.XSDComplexTypeTraverser,3
stage2,highest,C13,org.apache.xerces.impl.dv.XSSimpleType,org.apache.xerces.impl.xs.traversers.XSDElementTraverser,2
stage2,highest,C13,org.apache.xerces.impl.dv.XSSimpleType,org.apache.xerces.impl.xs.traversers.XSDSimpleTypeTraverser,9
stage2,highest,C13,org.apache.xerces.impl.dv.XSSimpleType,org.apache.xerces.xs.XSSimpleTypeDefinition,1
stage2,highest,C13,org.apache.xerces.impl.dv.util.Base64,org.apache.xerces.impl.xs.traversers.XSDAbstractTraverser,6
stage2,highest,C13,org.apache.xerces.impl.dv.xs.BaseDVFactory,org.apache.xerces.impl.dv.xs.FullDVFactory,5
stage2,highest,C13,org.apache.xerces.impl.dv.xs.BaseDVFactory,org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl,82
stage2,highest,C13,org.apache.xerces.impl.dv.xs.BaseDVFactory,org.apache.xerces.util.SymbolHash,63
stage2,highest,C13,org.apache.xerces.impl.dv.xs.BaseDVFactory,org.apache.xerces.xs.XSObjectList,3
stage2,highest,C13,org.apache.xerces.impl.dv.xs.BaseSchemaDVFactory,org.apache.xerces.impl.dv.xs.ExtendedSchemaDVFactoryImpl,5
stage2,highest,C13,org.apache.xerces.impl.dv.xs.BaseSchemaDVFactory,org.apache.xerces.impl.dv.xs.SchemaDVFactoryImpl,5
stage2,highest,C13,org.apache.xerces.impl.dv.xs.BaseSchemaDVFactory,org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl,152
stage2,highest,C13,org.apache.xerces.impl.dv.xs.BaseSchemaDVFactory,org.apache.xerces.impl.xs.XSDeclarationPool,10
stage2,highest,C13,org.apache.xerces.impl.dv.xs.BaseSchemaDVFactory,org.apache.xerces.util.SymbolHash,91
stage2,highest,C13,org.apache.xerces.impl.dv.xs.BaseSchemaDVFactory,org.apache.xerces.xs.XSObjectList,3
stage2,highest,C13,org.apache.xerces.impl.dv.xs.ExtendedSchemaDVFactoryImpl,org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl,4
stage2,highest,C13,org.apache.xerces.impl.dv.xs.ExtendedSchemaDVFactoryImpl,org.apache.xerces.util.SymbolHash,16
stage2,highest,C13,org.apache.xerces.impl.dv.xs.FullDVFactory,org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl,60
stage2,highest,C13,org.apache.xerces.impl.dv.xs.FullDVFactory,org.apache.xerces.util.SymbolHash,47
