stage,short_id,class_id,simple_name,fully_qualified_name,package,canonical_order
2,F001,org.apache.xerces.impl.dv.DatatypeException,DatatypeException,org.apache.xerces.impl.dv.DatatypeException,org.apache.xerces.impl.dv,1
2,F002,org.apache.xerces.impl.dv.InvalidDatatypeFacetException,InvalidDatatypeFacetException,org.apache.xerces.impl.dv.InvalidDatatypeFacetException,org.apache.xerces.impl.dv,2
2,F003,org.apache.xerces.impl.dv.SchemaDVFactory,SchemaDVFactory,org.apache.xerces.impl.dv.SchemaDVFactory,org.apache.xerces.impl.dv,3
2,F004,org.apache.xerces.impl.dv.XSFacets,XSFacets,org.apache.xerces.impl.dv.XSFacets,org.apache.xerces.impl.dv,4
2,F005,org.apache.xerces.impl.dv.XSSimpleType,XSSimpleType,org.apache.xerces.impl.dv.XSSimpleType,org.apache.xerces.impl.dv,5
2,F006,org.apache.xerces.impl.dv.util.Base64,Base64,org.apache.xerces.impl.dv.util.Base64,org.apache.xerces.impl.dv.util,6
2,F007,org.apache.xerces.impl.dv.xs.BaseDVFactory,BaseDVFactory,org.apache.xerces.impl.dv.xs.BaseDVFactory,org.apache.xerces.impl.dv.xs,7
2,F008,org.apache.xerces.impl.dv.xs.BaseSchemaDVFactory,BaseSchemaDVFactory,org.apache.xerces.impl.dv.xs.BaseSchemaDVFactory,org.apache.xerces.impl.dv.xs,8
2,F009,org.apache.xerces.impl.dv.xs.ExtendedSchemaDVFactoryImpl,ExtendedSchemaDVFactoryImpl,org.apache.xerces.impl.dv.xs.ExtendedSchemaDVFactoryImpl,org.apache.xerces.impl.dv.xs,9
2,F010,org.apache.xerces.impl.dv.xs.FullDVFactory,FullDVFactory,org.apache.xerces.impl.dv.xs.FullDVFactory,org.apache.xerces.impl.dv.xs,10
2,F011,org.apache.xerces.impl.dv.xs.ListDV$ListData,ListDV$ListData,org.apache.xerces.impl.dv.xs.ListDV$ListData,org.apache.xerces.impl.dv.xs,11
2,F012,org.apache.xerces.impl.dv.xs.SchemaDVFactoryImpl,SchemaDVFactoryImpl,org.apache.xerces.impl.dv.xs.SchemaDVFactoryImpl,org.apache.xerces.impl.dv.xs,12
2,F013,org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl,XSSimpleTypeDecl,org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl,org.apache.xerces.impl.dv.xs,13
2,F014,org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl$2,XSSimpleTypeDecl$2,org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl$2,org.apache.xerces.impl.dv.xs,14
2,F015,org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl$3,XSSimpleTypeDecl$3,org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl$3,org.apache.xerces.impl.dv.xs,15
2,F016,org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl$4,XSSimpleTypeDecl$4,org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl$4,org.apache.xerces.impl.dv.xs,16
2,F017,org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl$AbstractObjectList,XSSimpleTypeDecl$AbstractObjectList,org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl$AbstractObjectList,org.apache.xerces.impl.dv.xs,17
2,F018,org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl$XSFacetImpl,XSSimpleTypeDecl$XSFacetImpl,org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl$XSFacetImpl,org.apache.xerces.impl.dv.xs,18
2,F019,org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl$XSMVFacetImpl,XSSimpleTypeDecl$XSMVFacetImpl,org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl$XSMVFacetImpl,org.apache.xerces.impl.dv.xs,19
2,F020,org.apache.xerces.impl.dv.xs.XSSimpleTypeDelegate,XSSimpleTypeDelegate,org.apache.xerces.impl.dv.xs.XSSimpleTypeDelegate,org.apache.xerces.impl.dv.xs,20
2,F021,org.apache.xerces.impl.xs.SchemaGrammar,SchemaGrammar,org.apache.xerces.impl.xs.SchemaGrammar,org.apache.xerces.impl.xs,21
2,F022,org.apache.xerces.impl.xs.SchemaGrammar$BuiltinAttrDecl,SchemaGrammar$BuiltinAttrDecl,org.apache.xerces.impl.xs.SchemaGrammar$BuiltinAttrDecl,org.apache.xerces.impl.xs,22
2,F023,org.apache.xerces.impl.xs.SchemaGrammar$Schema4Annotations,SchemaGrammar$Schema4Annotations,org.apache.xerces.impl.xs.SchemaGrammar$Schema4Annotations,org.apache.xerces.impl.xs,23
2,F024,org.apache.xerces.impl.xs.SchemaGrammar$XSAnyType,SchemaGrammar$XSAnyType,org.apache.xerces.impl.xs.SchemaGrammar$XSAnyType,org.apache.xerces.impl.xs,24
2,F025,org.apache.xerces.impl.xs.SchemaNamespaceSupport,SchemaNamespaceSupport,org.apache.xerces.impl.xs.SchemaNamespaceSupport,org.apache.xerces.impl.xs,25
2,F026,org.apache.xerces.impl.xs.SubstitutionGroupHandler,SubstitutionGroupHandler,org.apache.xerces.impl.xs.SubstitutionGroupHandler,org.apache.xerces.impl.xs,26
2,F027,org.apache.xerces.impl.xs.SubstitutionGroupHandler$OneSubGroup,SubstitutionGroupHandler$OneSubGroup,org.apache.xerces.impl.xs.SubstitutionGroupHandler$OneSubGroup,org.apache.xerces.impl.xs,27
2,F028,org.apache.xerces.impl.xs.XMLSchemaException,XMLSchemaException,org.apache.xerces.impl.xs.XMLSchemaException,org.apache.xerces.impl.xs,28
2,F029,org.apache.xerces.impl.xs.XSAnnotationImpl,XSAnnotationImpl,org.apache.xerces.impl.xs.XSAnnotationImpl,org.apache.xerces.impl.xs,29
2,F030,org.apache.xerces.impl.xs.XSAttributeDecl,XSAttributeDecl,org.apache.xerces.impl.xs.XSAttributeDecl,org.apache.xerces.impl.xs,30
2,F031,org.apache.xerces.impl.xs.XSAttributeGroupDecl,XSAttributeGroupDecl,org.apache.xerces.impl.xs.XSAttributeGroupDecl,org.apache.xerces.impl.xs,31
2,F032,org.apache.xerces.impl.xs.XSAttributeUseImpl,XSAttributeUseImpl,org.apache.xerces.impl.xs.XSAttributeUseImpl,org.apache.xerces.impl.xs,32
2,F033,org.apache.xerces.impl.xs.XSComplexTypeDecl,XSComplexTypeDecl,org.apache.xerces.impl.xs.XSComplexTypeDecl,org.apache.xerces.impl.xs,33
2,F034,org.apache.xerces.impl.xs.XSConstraints,XSConstraints,org.apache.xerces.impl.xs.XSConstraints,org.apache.xerces.impl.xs,34
2,F035,org.apache.xerces.impl.xs.XSConstraints$1,XSConstraints$1,org.apache.xerces.impl.xs.XSConstraints$1,org.apache.xerces.impl.xs,35
2,F036,org.apache.xerces.impl.xs.XSDDescription,XSDDescription,org.apache.xerces.impl.xs.XSDDescription,org.apache.xerces.impl.xs,36
2,F037,org.apache.xerces.impl.xs.XSDeclarationPool,XSDeclarationPool,org.apache.xerces.impl.xs.XSDeclarationPool,org.apache.xerces.impl.xs,37
2,F038,org.apache.xerces.impl.xs.XSElementDecl,XSElementDecl,org.apache.xerces.impl.xs.XSElementDecl,org.apache.xerces.impl.xs,38
2,F039,org.apache.xerces.impl.xs.XSElementDeclHelper,XSElementDeclHelper,org.apache.xerces.impl.xs.XSElementDeclHelper,org.apache.xerces.impl.xs,39
2,F040,org.apache.xerces.impl.xs.XSGrammarBucket,XSGrammarBucket,org.apache.xerces.impl.xs.XSGrammarBucket,org.apache.xerces.impl.xs,40
2,F041,org.apache.xerces.impl.xs.XSGroupDecl,XSGroupDecl,org.apache.xerces.impl.xs.XSGroupDecl,org.apache.xerces.impl.xs,41
2,F042,org.apache.xerces.impl.xs.XSLoaderImpl$XSGrammarMerger,XSLoaderImpl$XSGrammarMerger,org.apache.xerces.impl.xs.XSLoaderImpl$XSGrammarMerger,org.apache.xerces.impl.xs,42
2,F043,org.apache.xerces.impl.xs.XSModelGroupImpl,XSModelGroupImpl,org.apache.xerces.impl.xs.XSModelGroupImpl,org.apache.xerces.impl.xs,43
2,F044,org.apache.xerces.impl.xs.XSModelImpl,XSModelImpl,org.apache.xerces.impl.xs.XSModelImpl,org.apache.xerces.impl.xs,44
2,F045,org.apache.xerces.impl.xs.XSModelImpl$XSNamespaceItemListIterator,XSModelImpl$XSNamespaceItemListIterator,org.apache.xerces.impl.xs.XSModelImpl$XSNamespaceItemListIterator,org.apache.xerces.impl.xs,45
2,F046,org.apache.xerces.impl.xs.XSNotationDecl,XSNotationDecl,org.apache.xerces.impl.xs.XSNotationDecl,org.apache.xerces.impl.xs,46
2,F047,org.apache.xerces.impl.xs.XSParticleDecl,XSParticleDecl,org.apache.xerces.impl.xs.XSParticleDecl,org.apache.xerces.impl.xs,47
2,F048,org.apache.xerces.impl.xs.XSWildcardDecl,XSWildcardDecl,org.apache.xerces.impl.xs.XSWildcardDecl,org.apache.xerces.impl.xs,48
2,F049,org.apache.xerces.impl.xs.models.XSAllCM,XSAllCM,org.apache.xerces.impl.xs.models.XSAllCM,org.apache.xerces.impl.xs.models,49
2,F050,org.apache.xerces.impl.xs.traversers.Container,Container,org.apache.xerces.impl.xs.traversers.Container,org.apache.xerces.impl.xs.traversers,50
2,F051,org.apache.xerces.impl.xs.traversers.LargeContainer,LargeContainer,org.apache.xerces.impl.xs.traversers.LargeContainer,org.apache.xerces.impl.xs.traversers,51
2,F052,org.apache.xerces.impl.xs.traversers.OneAttr,OneAttr,org.apache.xerces.impl.xs.traversers.OneAttr,org.apache.xerces.impl.xs.traversers,52
2,F053,org.apache.xerces.impl.xs.traversers.SmallContainer,SmallContainer,org.apache.xerces.impl.xs.traversers.SmallContainer,org.apache.xerces.impl.xs.traversers,53
2,F054,org.apache.xerces.impl.xs.traversers.XSAnnotationInfo,XSAnnotationInfo,org.apache.xerces.impl.xs.traversers.XSAnnotationInfo,org.apache.xerces.impl.xs.traversers,54
2,F055,org.apache.xerces.impl.xs.traversers.XSAttributeChecker,XSAttributeChecker,org.apache.xerces.impl.xs.traversers.XSAttributeChecker,org.apache.xerces.impl.xs.traversers,55
2,F056,org.apache.xerces.impl.xs.traversers.XSDAbstractIDConstraintTraverser,XSDAbstractIDConstraintTraverser,org.apache.xerces.impl.xs.traversers.XSDAbstractIDConstraintTraverser,org.apache.xerces.impl.xs.traversers,56
2,F057,org.apache.xerces.impl.xs.traversers.XSDAbstractParticleTraverser,XSDAbstractParticleTraverser,org.apache.xerces.impl.xs.traversers.XSDAbstractParticleTraverser,org.apache.xerces.impl.xs.traversers,57
2,F058,org.apache.xerces.impl.xs.traversers.XSDAbstractParticleTraverser$ParticleArray,XSDAbstractParticleTraverser$ParticleArray,org.apache.xerces.impl.xs.traversers.XSDAbstractParticleTraverser$ParticleArray,org.apache.xerces.impl.xs.traversers,58
2,F059,org.apache.xerces.impl.xs.traversers.XSDAbstractTraverser,XSDAbstractTraverser,org.apache.xerces.impl.xs.traversers.XSDAbstractTraverser,org.apache.xerces.impl.xs.traversers,59
2,F060,org.apache.xerces.impl.xs.traversers.XSDAbstractTraverser$FacetInfo,XSDAbstractTraverser$FacetInfo,org.apache.xerces.impl.xs.traversers.XSDAbstractTraverser$FacetInfo,org.apache.xerces.impl.xs.traversers,60
2,F061,org.apache.xerces.impl.xs.traversers.XSDAttributeTraverser,XSDAttributeTraverser,org.apache.xerces.impl.xs.traversers.XSDAttributeTraverser,org.apache.xerces.impl.xs.traversers,61
2,F062,org.apache.xerces.impl.xs.traversers.XSDComplexTypeTraverser,XSDComplexTypeTraverser,org.apache.xerces.impl.xs.traversers.XSDComplexTypeTraverser,org.apache.xerces.impl.xs.traversers,62
2,F063,org.apache.xerces.impl.xs.traversers.XSDComplexTypeTraverser$ComplexTypeRecoverableError,XSDComplexTypeTraverser$ComplexTypeRecoverableError,org.apache.xerces.impl.xs.traversers.XSDComplexTypeTraverser$ComplexTypeRecoverableError,org.apache.xerces.impl.xs.traversers,63
