subject,comparison_type,observation_id,ari,partition_distance
jpetstore,seed_variation,seed_00_vs_01,1,0
jpetstore,seed_variation,seed_00_vs_02,1,0
jpetstore,seed_variation,seed_00_vs_03,1,0
jpetstore,seed_variation,seed_00_vs_04,1,0
jpetstore,seed_variation,seed_00_vs_05,1,0
jpetstore,seed_variation,seed_00_vs_06,1,0
jpetstore,seed_variation,seed_00_vs_07,1,0
jpetstore,seed_variation,seed_00_vs_08,1,0
jpetstore,seed_variation,seed_00_vs_09,1,0
jpetstore,seed_variation,seed_00_vs_10,1,0
jpetstore,seed_variation,seed_00_vs_11,1,0
jpetstore,seed_variation,seed_00_vs_12,1,0
jpetstore,seed_variation,seed_00_vs_13,1,0
jpetstore,seed_variation,seed_00_vs_14,1,0
jpetstore,seed_variation,seed_00_vs_15,1,0
jpetstore,seed_variation,seed_00_vs_16,1,0
jpetstore,seed_variation,seed_00_vs_17,1,0
jpetstore,seed_variation,seed_00_vs_18,1,0
jpetstore,seed_variation,seed_00_vs_19,1,0
jpetstore,seed_variation,seed_00_vs_20,1,0
jpetstore,seed_variation,seed_00_vs_21,1,0
jpetstore,seed_variation,seed_00_vs_22,1,0
jpetstore,seed_variation,seed_00_vs_23,1,0
jpetstore,seed_variation,seed_00_vs_24,1,0
jpetstore,seed_variation,seed_00_vs_25,1,0
jpetstore,seed_variation,seed_00_vs_26,1,0
jpetstore,seed_variation,seed_00_vs_27,1,0
jpetstore,seed_variation,seed_00_vs_28,1,0
jpetstore,seed_variation,seed_00_vs_29,1,0
jpetstore,seed_variation,seed_01_vs_02,1,0
jpetstore,seed_variation,seed_01_vs_03,1,0
jpetstore,seed_variation,seed_01_vs_04,1,0
jpetstore,seed_variation,seed_01_vs_05,1,0
jpetstore,seed_variation,seed_01_vs_06,1,0
jpetstore,seed_variation,seed_01_vs_07,1,0
jpetstore,seed_variation,seed_01_vs_08,1,0
jpetstore,seed_variation,seed_01_vs_09,1,0
jpetstore,seed_variation,seed_01_vs_10,1,0
