stage,subject,profile,available_seed_count,pair_count,availability_rate,ari_mean,ari_median,ari_iqr,nmi_mean,nmi_median,identical_partition_count,identical_partition_rate,cluster_count_mean,cluster_count_std
stage2,daytrader,budgeted_balance_0.010,8,28,0.26666666666666666,0.92060515845448798,0.92862720724166503,0.040665531681066902,0.95227666024828073,0.95849525341279285,0,0,9.75,0.70710678118654757
stage2,daytrader,budgeted_balance_0.025,9,36,0.29999999999999999,0.8983988180840361,0.88984788958199168,0.053332086438212523,0.93879138248731786,0.93462352612446453,0,0,9.6666666666666661,0.70710678118654757
stage2,daytrader,budgeted_balance_0.050,13,78,0.43333333333333335,0.85882535890093725,0.86120767509172547,0.071285606475071539,0.90500477613765773,0.90094296876948909,0,0,9.615384615384615,0.86971849262290413
stage2,daytrader,budgeted_balance_0.100,16,120,0.53333333333333333,0.73908065735046979,0.72978470868460921,0.13641472086532214,0.81963983293516518,0.81369146422997418,0,0,9.1875,1.1086778913041726
stage2,daytrader,conservative,30,435,1,0.47298480909107482,0.49878230066103679,0.63598516085490542,0.6385469372311523,0.67936988027170442,0,0,8.9000000000000004,1.2415229801920009
stage2,daytrader,extreme_balance,30,435,1,-0.00086544386574550255,-0.006392555887581813,0.029977375565610864,0.045202471836256038,0.037885370746989416,0,0,3.3666666666666667,0.5560534167675355
stage2,daytrader,knee_native,30,435,1,0.061103444538763069,0.035404544132768528,0.06051856629319189,0.25008356984888863,0.2359591559751478,0,0,6.7333333333333334,2.0160277319749231
stage2,jpetstore,budgeted_balance_0.010,30,435,1,0.96150737654008178,1,0.10400180872710829,0.96980164780193712,1,253,0.58160919540229883,4,0
stage2,jpetstore,budgeted_balance_0.025,30,435,1,0.78761533664060823,0.70537552420892102,0.41279337321675103,0.83492294445153103,0.76109116841376501,45,0.10344827586206896,4,0
stage2,jpetstore,budgeted_balance_0.050,30,435,1,0.81964674192403553,0.78703703703703709,0.31944444444444442,0.86262468620451094,0.83749439458791142,150,0.34482758620689657,4,0
stage2,jpetstore,budgeted_balance_0.100,30,435,1,0.80352892331424586,0.68055555555555558,0.31944444444444442,0.85041679379499213,0.7704260414863775,150,0.34482758620689657,4,0
stage2,jpetstore,conservative,30,435,1,1,1,0,1,1,435,1,4,0
stage2,jpetstore,extreme_balance,30,435,1,0.7918837803320562,0.68055555555555558,0.31944444444444442,0.84143213282678164,0.75624159188186713,150,0.34482758620689657,4,0
stage2,jpetstore,knee_native,30,435,1,0.71198964116337915,0.67317939609236233,0.20305777612535758,0.81359751479629627,0.78723761293731065,2,0.0045977011494252873,4.9666666666666668,0.18257418583505533
stage2,xerces,budgeted_balance_0.010,27,351,0.90000000000000002,0.99037180353485788,0.99161724646418425,0.0079881968357138344,0.98981617301824332,0.9910273662873369,0,0,30.296296296296298,0.77533192965310105
stage2,xerces,budgeted_balance_0.025,30,435,1,0.95752870686429459,0.95760816127228421,0.021453795657645935,0.9539357041433224,0.95332635779857822,0,0,29.566666666666666,0.97143098618457724
stage2,xerces,budgeted_balance_0.050,30,435,1,0.92246195902187245,0.92298946073547095,0.020767947581123547,0.92066181756667154,0.92088971795764285,0,0,28.833333333333332,0.83390784793679384
