stage,subject,profile,availability_rate,median_q_loss,median_imbalance_gain,median_semantic_gain,median_coupling,median_cohesion,median_cluster_count,median_singleton_ratio
stage2,daytrader,budgeted_balance_0.010,0.26666666666666666,0,0.10594086858949353,,0.41789667896678967,7.1295238095238096,10,0.04716981132075472
stage2,daytrader,budgeted_balance_0.025,0.29999999999999999,0,0.16174074927348911,,0.41789667896678967,7.1042857142857141,10,0.037735849056603772
stage2,daytrader,budgeted_balance_0.050,0.43333333333333335,0.019055141076669203,0.16654762754980579,,0.42481549815498154,7.0977855477855485,10,0.037735849056603772
stage2,daytrader,budgeted_balance_0.100,0.53333333333333333,0.059810969225147559,0.27579455663409114,,0.43888376383763839,7.0790986790986796,9,0.018867924528301886
stage2,daytrader,conservative,1,0.085134145322324023,0.22493563055384436,,0.43011992619926198,7.1262737262737268,9,0.018867924528301886
stage2,daytrader,extreme_balance,1,0.95610917117149585,0.97011928476664022,,0.60124538745387457,2.0497004357298474,3,0
stage2,daytrader,knee_native,1,0.67917957759749359,0.33822693894792782,,0.58602398523985233,33.407399626517275,6.5,0
stage2,jpetstore,budgeted_balance_0.010,1,0,0,,0.25185185185185183,5.477380952380952,4,0
stage2,jpetstore,budgeted_balance_0.025,1,0.012163755594017452,0.4226497308103741,,0.25185185185185183,4.9083333333333332,4,0
stage2,jpetstore,budgeted_balance_0.050,1,0.032422890477930746,1,,0.27407407407407408,4.9000000000000004,4,0
stage2,jpetstore,budgeted_balance_0.100,1,0.032422890477930746,1,,0.27407407407407408,4.9000000000000004,4,0
stage2,jpetstore,conservative,1,0,0,,0.25185185185185183,5.477380952380952,4,0
stage2,jpetstore,extreme_balance,1,0.032422890477930746,1,,0.27407407407407408,4.9000000000000004,4,0
stage2,jpetstore,knee_native,1,0.046489818715910118,-0.63299316185545251,,0.33827160493827163,8.7733333333333334,5,0
stage2,xerces,budgeted_balance_0.010,0.90000000000000002,0.0010258457748568304,0.0243982099734571,,0.20957584471603163,8.2924420830974821,30,0.012285012285012284
stage2,xerces,budgeted_balance_0.025,1,0.017397660958154763,0.041330929244177805,,0.22089144500359453,8.1686613948822071,30,0.0073710073710073713
stage2,xerces,budgeted_balance_0.050,1,0.038565599507293782,0.07936851322204086,,0.23781452192667146,8.2748759786378798,29,0.005528255528255528
stage2,xerces,budgeted_balance_0.100,1,0.088314774454852571,0.10918726701221869,,0.2737886412652768,3.799410524513867,28,0.0012285012285012285
stage2,xerces,conservative,1,0,0.0035805377584743883,,0.20879942487419123,8.0687653361834233,31,0.012899262899262898
stage2,xerces,extreme_balance,1,1.0164169368769165,0.98573724972053001,,0.74885693745506821,0.10192100593016915,4,0
stage2,xerces,knee_native,1,0.050387950124668332,0.07132911686546789,,0.24399712437095614,8.8811421734198746,29,0.0049140049140049139
stage3a,daytrader,budgeted_balance_0.010,0.26666666666666666,0,0.10116766913577745,0.013836202633097067,0.41789667896678967,7.2502247752247753,9.5,0.037735849056603772
stage3a,daytrader,budgeted_balance_0.025,0.5,0.010964964745170698,0.075144798978162688,0.0083750948976276229,0.42020295202952029,7.3346715013381676,10,0.037735849056603772
stage3a,daytrader,budgeted_balance_0.050,0.66666666666666663,0.020950036950797352,0.10901186902059984,-0.0097533654860600047,0.42273985239852396,7.2494388327721655,10,0.037735849056603772
stage3a,daytrader,budgeted_balance_0.100,0.80000000000000004,0.043571134790937112,0.1358088378889345,-0.017132507964911607,0.43611623616236161,7.2523085556418891,10,0.018867924528301886
stage3a,daytrader,budgeted_semantic_0.050,0.66666666666666663,0.018067383178948463,0.055207005221790381,0.0055785116036710849,0.4195110701107011,6.9350823419005234,10,0.056603773584905662
stage3a,daytrader,conservative,1,0.034430113834673509,0.13122094912069021,-0.013802269856494707,0.42919741697416974,7.3788539238539235,9,0.018867924528301886
stage3a,daytrader,extreme_balance,1,0.9819450703048318,0.97011928476664022,-0.1615895697182943,0.62061808118081174,2.0160714285714287,3,0
stage3a,daytrader,extreme_semantic,1,0.70271404015593086,-0.65702830324551109,0.16167861365093694,0.18081180811808117,2.5542606516290731,16,0.15094339622641509
stage3a,daytrader,knee_native,1,0.71523175769453262,0.20520846186962177,-0.13643323666888862,0.63191881918819193,44.470473916062147,6,0
stage3a,daytrader,knee_projected_structural,1,0.71351121059332667,0.33610513275463505,-0.24919672672344262,0.62845940959409585,44.438497722321259,6,0
stage3a,jpetstore,budgeted_balance_0.010,1,0,0,-1.8541243364555779e-16,0.25185185185185183,5.477380952380952,4,0
stage3a,jpetstore,budgeted_balance_0.025,1,0.0024410257824728503,0,-1.8541243364555779e-16,0.25185185185185183,5.477380952380952,4,0
stage3a,jpetstore,budgeted_balance_0.050,1,0.014766826873349492,0.30307657494132401,0.061265319373319298,0.25802469135802464,4.9690476190476192,4,0
stage3a,jpetstore,budgeted_balance_0.100,1,0.039097785837913228,0.4226497308103741,0.061265319373319298,0.26666666666666666,4.8767857142857141,4,0
stage3a,jpetstore,budgeted_semantic_0.050,1,0.029737072561904915,0.18350341907227391,0.077762761257623297,0.26419753086419751,4.9690476190476192,4,0
stage3a,jpetstore,conservative,1,0,0,-1.8541243364555779e-16,0.25185185185185183,5.477380952380952,4,0
stage3a,jpetstore,extreme_balance,1,0.21613421504471778,1,0.13021904963257847,0.35185185185185186,4.375,4,0
stage3a,jpetstore,extreme_semantic,1,0.57664752001434272,-0.47086939701252095,0.6333699385087983,0.49135802469135803,3.1641865079365079,4,0
stage3a,jpetstore,knee_native,1,0.23131132732500823,-0.50000000000000044,0.31323351980059599,0.3666666666666667,7.6023809523809511,4,0
stage3a,jpetstore,knee_projected_structural,1,0.060108536005130379,-0.75594229214212338,-0.0030607599048985126,0.33827160493827163,8.8219047619047615,5,0
stage3a,xerces,budgeted_balance_0.010,0.96666666666666667,0.0018031339416758969,0.0054025928026988999,0.0029068998668318477,0.21003594536304818,8.0719128466729302,31,0.012285012285012284
stage3a,xerces,budgeted_balance_0.025,1,0.016634965425497937,0.04945125597287521,-0.034385760297841975,0.22136592379583034,8.3309798185547166,29.5,0.0073710073710073713
stage3a,xerces,budgeted_balance_0.050,1,0.035210953388269531,0.072964626292025075,-0.05443143962369057,0.2337742631200575,8.1873888745844567,29,0.005528255528255528
stage3a,xerces,budgeted_balance_0.100,1,0.083951973727475759,0.10326618949034221,-0.14911159503083843,0.269705248023005,3.4592911143643916,28,0.0030712530712530715
stage3a,xerces,budgeted_semantic_0.050,1,0.0013670555938627657,-0.00017596700851984915,0.0049726178052238073,0.2096764917325665,8.0708135168858828,31,0.013513513513513514
stage3a,xerces,conservative,1,0.00037510148138731225,1.6891607846050344e-16,0.0038585236126901399,0.20904385334291875,8.0709479238671591,31,0.013513513513513514
stage3a,xerces,extreme_balance,1,1.0193035577327727,0.98576576232860358,-0.95747936250494226,0.75626168224299062,0.10080334937433987,4,0
stage3a,xerces,extreme_semantic,1,0.0013670555938627657,-0.00017596700851984915,0.0049726178052238073,0.2096764917325665,8.0708135168858828,31,0.013513513513513514
stage3a,xerces,knee_native,1,0.023163411190562221,0.064398471490732023,-0.035461550960159474,0.22415528396836809,8.7673146568928182,29,0.0061425061425061421
