analysis,stage,subject,target_improvement,achieved_seed_count,availability_rate,median_required_modularity_loss,iqr_required_modularity_loss,maximum_required_modularity_loss
balance,stage2,daytrader,0.050000000000000003,30,1,0.12059789831075055,0.36658271489223637,0.55681623409927727
balance,stage2,daytrader,0.10000000000000001,30,1,0.16116708806415508,0.36160885901509326,0.56061094169639392
balance,stage2,daytrader,0.20000000000000001,30,1,0.17415066421311193,0.37562042109161342,0.62372716383377225
balance,stage2,daytrader,0.29999999999999999,30,1,0.2623146110498451,0.32266034270021016,0.62669371475950841
balance,stage2,jpetstore,0.050000000000000003,30,1,0.011343184780135315,0,0.012163755594017452
balance,stage2,jpetstore,0.10000000000000001,30,1,0.011343184780135315,0,0.012163755594017452
balance,stage2,jpetstore,0.20000000000000001,30,1,0.012163755594017452,0,0.012536115459140486
balance,stage2,jpetstore,0.29999999999999999,30,1,0.012163755594017452,0,0.012536115459140486
balance,stage2,xerces,0.050000000000000003,30,1,0.030868764541796632,0.026697732496719587,0.12113020951930058
balance,stage2,xerces,0.10000000000000001,30,1,0.094453843301576093,0.039684774857602384,0.1552251537479247
balance,stage2,xerces,0.20000000000000001,30,1,0.2293808054347283,0.061274180838582715,0.30833974226908611
balance,stage2,xerces,0.29999999999999999,30,1,0.40928293138892613,0.035669298823900408,0.53827765100605018
balance,stage3a,daytrader,0.050000000000000003,30,1,0.060075278032218543,0.10785110221524538,0.61148178432204714
balance,stage3a,daytrader,0.10000000000000001,30,1,0.088268818279092456,0.14527144498100017,0.61148178432204714
balance,stage3a,daytrader,0.20000000000000001,30,1,0.22558093043910005,0.38482878917726704,0.64278197718718422
balance,stage3a,daytrader,0.29999999999999999,30,1,0.43022804622864275,0.37698907534521531,0.6859342816551991
balance,stage3a,jpetstore,0.050000000000000003,30,1,0.036201653553623356,0.03003185745512725,0.12563697671371735
balance,stage3a,jpetstore,0.10000000000000001,30,1,0.036201653553623356,0.03003185745512725,0.12563697671371735
balance,stage3a,jpetstore,0.20000000000000001,30,1,0.047862033774418958,0.074596092979637374,0.19907461677963881
balance,stage3a,jpetstore,0.29999999999999999,30,1,0.047862033774418958,0.074596092979637374,0.2041635349363197
balance,stage3a,xerces,0.050000000000000003,30,1,0.02509835729184369,0.027785161562813954,0.070386293811470643
balance,stage3a,xerces,0.10000000000000001,30,1,0.089344942549510198,0.031898048390638756,0.17764260304302576
balance,stage3a,xerces,0.20000000000000001,30,1,0.25919916032479851,0.049208167450495416,0.38658693106772629
balance,stage3a,xerces,0.29999999999999999,30,1,0.44620003200022945,0.065680660871678509,0.55382034924861501
balance,stage3b,daytrader,0.050000000000000003,30,1,0.036617174992749205,0.091878444166607953,0.55655438321663664
balance,stage3b,daytrader,0.10000000000000001,30,1,0.075890710848131454,0.17713368323253104,0.58423323408780692
balance,stage3b,daytrader,0.20000000000000001,30,1,0.12594650573269905,0.38678144627550709,0.63236365483531087
balance,stage3b,daytrader,0.29999999999999999,30,1,0.39451112702389601,0.38175761260161478,0.71107720996082069
balance,stage3b,jpetstore,0.050000000000000003,30,1,0.011343184780135315,0.0066404175946932781,0.10846704959971334
balance,stage3b,jpetstore,0.10000000000000001,30,1,0.011343184780135315,0.0066404175946932781,0.10846704959971334
balance,stage3b,jpetstore,0.20000000000000001,30,1,0.035436247164203794,0.078729977037808208,0.15598430572124042
balance,stage3b,jpetstore,0.29999999999999999,30,1,0.035436247164203794,0.086425414250349969,0.2308010563987285
balance,stage3b,xerces,0.050000000000000003,30,1,0.025621382988506539,0.025617666155989035,0.065463859391906229
balance,stage3b,xerces,0.10000000000000001,30,1,0.075519894694576664,0.049278899615518568,0.18265211512792887
balance,stage3b,xerces,0.20000000000000001,30,1,0.25772754059285807,0.060138225755917679,0.32241290990615601
balance,stage3b,xerces,0.29999999999999999,30,1,0.45910756270861003,0.05519676622276809,0.54174968915579802
