analysis,stage,subject,target_improvement,achieved_seed_count,availability_rate,median_required_modularity_loss,iqr_required_modularity_loss,maximum_required_modularity_loss
semantic,stage3a,daytrader,0.050000000000000003,30,1,0.68682929387108338,0.036210798153607171,0.69041589719976881
semantic,stage3a,daytrader,0.10000000000000001,30,1,0.6901861631963504,0.0067809219182952685,0.69041589719976881
semantic,stage3a,daytrader,0.20000000000000001,5,0.16666666666666666,0.69762711975499414,0.14238494046087735,1.2750292902661275
semantic,stage3a,daytrader,0.29999999999999999,0,0,,,
semantic,stage3a,jpetstore,0.050000000000000003,30,1,0.036201653553623356,0.039366712407168658,0.1204722074734005
semantic,stage3a,jpetstore,0.10000000000000001,30,1,0.077999048413678052,0.060322298149923126,0.15799780721412759
semantic,stage3a,jpetstore,0.20000000000000001,30,1,0.12935367981188939,0.050158252942677242,0.25867977741154724
semantic,stage3a,jpetstore,0.29999999999999999,30,1,0.2067217851207756,0.089412912612656104,0.4097613449086685
semantic,stage3a,xerces,0.050000000000000003,0,0,,,
semantic,stage3a,xerces,0.10000000000000001,0,0,,,
semantic,stage3a,xerces,0.20000000000000001,0,0,,,
semantic,stage3a,xerces,0.29999999999999999,0,0,,,
semantic,stage3b,daytrader,0.050000000000000003,30,1,0.66570064774501825,0.18557689944303435,0.69077573733636388
semantic,stage3b,daytrader,0.10000000000000001,30,1,0.68771447438924682,0.013344399455323952,0.69077573733636388
semantic,stage3b,daytrader,0.20000000000000001,3,0.10000000000000001,0.55885336186710488,0.18419161323412059,0.86772335568952141
semantic,stage3b,daytrader,0.29999999999999999,1,0.033333333333333333,0.4993401292212804,0,0.4993401292212804
semantic,stage3b,jpetstore,0.050000000000000003,30,1,0.011343184780135315,0.034332958674950578,0.084691182656304889
semantic,stage3b,jpetstore,0.10000000000000001,30,1,0.076188965735996927,0.054131815392253542,0.12710572951503585
semantic,stage3b,jpetstore,0.20000000000000001,30,1,0.16061811737610418,0.084429151640107253,0.25137049117024435
semantic,stage3b,jpetstore,0.29999999999999999,30,1,0.20494273243185485,0.093045145185869538,0.46768399059446569
semantic,stage3b,xerces,0.050000000000000003,0,0,,,
semantic,stage3b,xerces,0.10000000000000001,0,0,,,
semantic,stage3b,xerces,0.20000000000000001,0,0,,,
semantic,stage3b,xerces,0.29999999999999999,0,0,,,
