subject,seed,budget,source_stage,evaluation_graph,solution_id,f_semantic,semantic_improvement_vs_same_graph_leiden,evaluation_policy
jpetstore,0,0,stage3a,stage3a,seed0_solution000,0.59878563847962085,0,post-hoc matched partition; no reselection
jpetstore,0,0,stage3a,stage3b,seed0_solution000,0.51226006853751849,0,post-hoc matched partition; no reselection
jpetstore,0,0.0050000000000000001,stage3a,stage3a,seed0_solution000,0.59878563847962085,0,post-hoc matched partition; no reselection
jpetstore,0,0.0050000000000000001,stage3a,stage3b,seed0_solution000,0.51226006853751849,0,post-hoc matched partition; no reselection
jpetstore,0,0.01,stage3a,stage3a,seed0_solution000,0.59878563847962085,0,post-hoc matched partition; no reselection
jpetstore,0,0.01,stage3a,stage3b,seed0_solution000,0.51226006853751849,0,post-hoc matched partition; no reselection
jpetstore,0,0.025000000000000001,stage3a,stage3a,seed0_solution001,0.55222241383003645,0.077762761257623478,post-hoc matched partition; no reselection
jpetstore,0,0.025000000000000001,stage3a,stage3b,seed0_solution001,0.46566906033572097,0.090951864225554277,post-hoc matched partition; no reselection
jpetstore,0,0.050000000000000003,stage3a,stage3a,seed0_solution001,0.55222241383003645,0.077762761257623478,post-hoc matched partition; no reselection
jpetstore,0,0.050000000000000003,stage3a,stage3b,seed0_solution001,0.46566906033572097,0.090951864225554277,post-hoc matched partition; no reselection
jpetstore,0,0.10000000000000001,stage3a,stage3a,seed0_solution012,0.49757698863012223,0.16902317514908663,post-hoc matched partition; no reselection
jpetstore,0,0.10000000000000001,stage3a,stage3b,seed0_solution012,0.44609974591006785,0.12915377694055999,post-hoc matched partition; no reselection
jpetstore,0,0.14999999999999999,stage3a,stage3a,seed0_solution014,0.43158261015741317,0.27923687138982423,post-hoc matched partition; no reselection
jpetstore,0,0.14999999999999999,stage3a,stage3b,seed0_solution014,0.37952697506684185,0.25911270782753804,post-hoc matched partition; no reselection
jpetstore,0,0.20000000000000001,stage3a,stage3a,seed0_solution018,0.38658197457799681,0.35439003587399198,post-hoc matched partition; no reselection
jpetstore,0,0.20000000000000001,stage3a,stage3b,seed0_solution018,0.37357128594403521,0.27073900760883834,post-hoc matched partition; no reselection
jpetstore,1,0,stage3a,stage3a,seed1_solution000,0.59878563847962085,0,post-hoc matched partition; no reselection
jpetstore,1,0,stage3a,stage3b,seed1_solution000,0.51226006853751849,0,post-hoc matched partition; no reselection
jpetstore,1,0.0050000000000000001,stage3a,stage3a,seed1_solution000,0.59878563847962085,0,post-hoc matched partition; no reselection
jpetstore,1,0.0050000000000000001,stage3a,stage3b,seed1_solution000,0.51226006853751849,0,post-hoc matched partition; no reselection
jpetstore,1,0.01,stage3a,stage3a,seed1_solution000,0.59878563847962085,0,post-hoc matched partition; no reselection
jpetstore,1,0.01,stage3a,stage3b,seed1_solution000,0.51226006853751849,0,post-hoc matched partition; no reselection
jpetstore,1,0.025000000000000001,stage3a,stage3a,seed1_solution001,0.55222241383003645,0.077762761257623478,post-hoc matched partition; no reselection
