subject,stage,seed,four_d_front_size,projected_3d_front_size,population_size_limit_plausible,leiden_in_four_d_front,leiden_dominated_in_four_d,leiden_four_d_dominator_solution_ids,leiden_in_projected_3d_front,leiden_dominated_in_projected_3d,leiden_projected_dominator_solution_ids,leiden_eligible_for_projected_selector,another_eligible_solution_higher_modularity,selected_solution_id,selected_equals_leiden,selected_weighted_modularity,four_d_classification,projected_selection_classification
jpetstore,stage3a,0,100,44,True,True,False,,True,False,,True,False,seed0_solution000,True,0.44206980643194638,present,present_selected
jpetstore,stage3a,1,100,48,True,True,False,,True,False,,True,False,seed1_solution000,True,0.44206980643194638,present,present_selected
jpetstore,stage3a,2,100,41,True,True,False,,True,False,,True,False,seed2_solution000,True,0.44206980643194638,present,present_selected
jpetstore,stage3a,3,100,49,True,True,False,,True,False,,True,False,seed3_solution000,True,0.44206980643194638,present,present_selected
jpetstore,stage3a,4,100,44,True,True,False,,True,False,,True,False,seed4_solution000,True,0.44206980643194638,present,present_selected
jpetstore,stage3a,5,100,44,True,True,False,,True,False,,True,False,seed5_solution000,True,0.44206980643194638,present,present_selected
jpetstore,stage3a,6,100,37,True,True,False,,True,False,,True,False,seed6_solution000,True,0.44206980643194638,present,present_selected
jpetstore,stage3a,7,100,46,True,True,False,,True,False,,True,False,seed7_solution000,True,0.44206980643194638,present,present_selected
jpetstore,stage3a,8,100,32,True,True,False,,True,False,,True,False,seed8_solution000,True,0.44206980643194638,present,present_selected
jpetstore,stage3a,9,100,45,True,True,False,,True,False,,True,False,seed9_solution000,True,0.44206980643194638,present,present_selected
jpetstore,stage3a,10,100,38,True,False,False,,False,False,,False,False,seed10_solution002,False,0.43991159884164005,absent_not_dominated,absent_or_not_selected
jpetstore,stage3a,11,100,48,True,True,False,,True,False,,True,False,seed11_solution000,True,0.44206980643194638,present,present_selected
jpetstore,stage3a,12,100,33,True,True,False,,True,False,,True,False,seed12_solution000,True,0.44206980643194638,present,present_selected
jpetstore,stage3a,13,100,42,True,True,False,,True,False,,True,False,seed13_solution000,True,0.44206980643194638,present,present_selected
jpetstore,stage3a,14,100,50,True,True,False,,True,False,,True,False,seed14_solution000,True,0.44206980643194638,present,present_selected
