summary,source_per_seed,checked_rows,mismatch_count,denominator_30,unavailable_excluded,status,note
stage2_budgeted_balance_summary.csv,stage2_budgeted_balance_per_seed.csv,24,0,True,True,PASS,
stage3_budgeted_balance_summary.csv,stage3_budgeted_balance_per_seed.csv,48,0,True,True,PASS,
stage3_budgeted_semantic_summary.csv,stage3_budgeted_semantic_per_seed.csv,48,0,True,True,PASS,
reverse_balance_target_summary.csv,reverse_balance_target_per_seed.csv,36,0,True,True,PASS,
reverse_semantic_target_summary.csv,reverse_semantic_target_per_seed.csv,24,0,True,True,PASS,
profile_comparison_summary.csv,profile_comparison_per_seed.csv,81,0,True,True,PASS,
preference_secondary_costs_summary.csv,preference_secondary_costs_per_seed.csv,210,0,True,True,PASS,
preference_external_metrics_summary.csv,preference_external_metrics_per_seed.csv,336,0,True,True,PASS,
realised_modularity_loss.csv,stage*_budgeted_*_per_seed.csv,120,0,True,True,PASS,
preference_availability.csv,stage*_budgeted_*_summary.csv,120,0,True,True,PASS,
five_percent_operating_profile_summary.md,five_percent_operating_profile.csv,391,0,True,True,PASS,Markdown summary source rows and availability fields audited; no source report rewritten
