kind,stage,subject,seed,solution_id,field,production,reference,absolute_difference,match,rule,budget,projected_only
metric,stage2,jpetstore,0,seed0_solution000,weighted_modularity,0.4420698064319464,0.44206980643194654,1.6653345369377348e-16,True,,,
metric,stage2,jpetstore,0,seed0_solution000,internal_edge_weight_ratio,0.7481481481481481,0.7481481481481481,0,True,,,
metric,stage2,jpetstore,0,seed0_solution000,internal_external_edge_ratio,2.9705882352941178,2.9705882352941178,0,True,,,
metric,stage2,jpetstore,0,seed0_solution000,cluster_count,4,4,0,True,,,
metric,stage2,jpetstore,0,seed0_solution000,average_cluster_size,6.0,6.0,0,True,,,
metric,stage2,jpetstore,0,seed0_solution000,max_cluster_size,7,7,0,True,,,
metric,stage2,jpetstore,0,seed0_solution000,min_cluster_size,4,4,0,True,,,
metric,stage2,jpetstore,0,seed0_solution000,max_cluster_ratio,0.2916666666666667,0.2916666666666667,0,True,,,
metric,stage2,jpetstore,0,seed0_solution000,singleton_ratio,0.0,0.0,0,True,,,
metric,stage2,jpetstore,0,seed0_solution000,cluster_size_cv,0.20412414523193148,0.20412414523193148,0,True,,,
metric,stage2,jpetstore,0,seed0_solution000,coupling,0.2518518518518518,0.2518518518518518,0,True,,,
metric,stage2,jpetstore,0,seed0_solution000,cohesion,5.477380952380952,5.477380952380952,0,True,,,
metric,stage2,jpetstore,0,seed0_solution000,imbalance,0.20412414523193148,0.20412414523193148,0,True,,,
metric,stage2,jpetstore,0,seed0_solution099,weighted_modularity,0.2660234720317025,0.2660234720317024,1.1102230246251565e-16,True,,,
metric,stage2,jpetstore,0,seed0_solution099,internal_edge_weight_ratio,0.4469135802469136,0.4469135802469136,0,True,,,
metric,stage2,jpetstore,0,seed0_solution099,internal_external_edge_ratio,0.8080357142857143,0.8080357142857143,0,True,,,
metric,stage2,jpetstore,0,seed0_solution099,cluster_count,6,6,0,True,,,
metric,stage2,jpetstore,0,seed0_solution099,average_cluster_size,4.0,4.0,0,True,,,
metric,stage2,jpetstore,0,seed0_solution099,max_cluster_size,6,6,0,True,,,
metric,stage2,jpetstore,0,seed0_solution099,min_cluster_size,2,2,0,True,,,
metric,stage2,jpetstore,0,seed0_solution099,max_cluster_ratio,0.25,0.25,0,True,,,
metric,stage2,jpetstore,0,seed0_solution099,singleton_ratio,0.0,0.0,0,True,,,
metric,stage2,jpetstore,0,seed0_solution099,cluster_size_cv,0.3818813079129867,0.3818813079129867,0,True,,,
metric,stage2,jpetstore,0,seed0_solution099,coupling,0.5530864197530864,0.5530864197530864,0,True,,,
metric,stage2,jpetstore,0,seed0_solution099,cohesion,11.600000000000001,11.600000000000001,0,True,,,
metric,stage2,jpetstore,0,seed0_solution099,imbalance,0.3818813079129867,0.3818813079129867,0,True,,,
metric,stage2,jpetstore,0,seed0_solution006,weighted_modularity,0.4341197988111568,0.4341197988111571,2.7755575615628914e-16,True,,,
metric,stage2,jpetstore,0,seed0_solution006,internal_edge_weight_ratio,0.725925925925926,0.725925925925926,0,True,,,
metric,stage2,jpetstore,0,seed0_solution006,internal_external_edge_ratio,2.6486486486486487,2.6486486486486487,0,True,,,
metric,stage2,jpetstore,0,seed0_solution006,cluster_count,4,4,0,True,,,
metric,stage2,jpetstore,0,seed0_solution006,average_cluster_size,6.0,6.0,0,True,,,
metric,stage2,jpetstore,0,seed0_solution006,max_cluster_size,6,6,0,True,,,
metric,stage2,jpetstore,0,seed0_solution006,min_cluster_size,6,6,0,True,,,
metric,stage2,jpetstore,0,seed0_solution006,max_cluster_ratio,0.25,0.25,0,True,,,
metric,stage2,jpetstore,0,seed0_solution006,singleton_ratio,0.0,0.0,0,True,,,
metric,stage2,jpetstore,0,seed0_solution006,cluster_size_cv,0.0,0.0,0,True,,,
metric,stage2,jpetstore,0,seed0_solution006,coupling,0.2740740740740741,0.2740740740740741,0,True,,,
metric,stage2,jpetstore,0,seed0_solution006,cohesion,4.8999999999999995,4.8999999999999995,0,True,,,
metric,stage2,jpetstore,0,seed0_solution006,imbalance,0.0,0.0,0,True,,,
metric,stage2,jpetstore,0,seed0_solution019,weighted_modularity,0.43013869836915103,0.4301386983691513,2.7755575615628914e-16,True,,,
metric,stage2,jpetstore,0,seed0_solution019,internal_edge_weight_ratio,0.6839506172839506,0.6839506172839506,0,True,,,
metric,stage2,jpetstore,0,seed0_solution019,internal_external_edge_ratio,2.1640625,2.1640625,0,True,,,
metric,stage2,jpetstore,0,seed0_solution019,cluster_count,5,5,0,True,,,
metric,stage2,jpetstore,0,seed0_solution019,average_cluster_size,4.8,4.8,0,True,,,
metric,stage2,jpetstore,0,seed0_solution019,max_cluster_size,6,6,0,True,,,
metric,stage2,jpetstore,0,seed0_solution019,min_cluster_size,2,2,0,True,,,
metric,stage2,jpetstore,0,seed0_solution019,max_cluster_ratio,0.25,0.25,0,True,,,
metric,stage2,jpetstore,0,seed0_solution019,singleton_ratio,0.0,0.0,0,True,,,
metric,stage2,jpetstore,0,seed0_solution019,cluster_size_cv,0.3061862178478973,0.3061862178478973,0,True,,,
metric,stage2,jpetstore,0,seed0_solution019,coupling,0.3160493827160494,0.3160493827160494,0,True,,,
metric,stage2,jpetstore,0,seed0_solution019,cohesion,8.260000000000002,8.260000000000002,0,True,,,
metric,stage2,jpetstore,0,seed0_solution019,imbalance,0.3061862178478973,0.3061862178478973,0,True,,,
selection,stage2,jpetstore,0,,,seed0_solution000,seed0_solution000,0,True,modularity,,False
selection,stage2,jpetstore,0,,,seed0_solution000,seed0_solution000,0,True,balance,0,False
selection,stage2,jpetstore,0,,,seed0_solution006,seed0_solution006,0,True,balance,0.050000000000000003,False
selection,stage2,jpetstore,0,,,seed0_solution006,seed0_solution006,0,True,balance,0.050000000000000003,True
metric,stage2,jpetstore,7,seed7_solution000,weighted_modularity,0.4420698064319464,0.44206980643194654,1.6653345369377348e-16,True,,,
metric,stage2,jpetstore,7,seed7_solution000,internal_edge_weight_ratio,0.7481481481481481,0.7481481481481481,0,True,,,
metric,stage2,jpetstore,7,seed7_solution000,internal_external_edge_ratio,2.9705882352941178,2.9705882352941178,0,True,,,
metric,stage2,jpetstore,7,seed7_solution000,cluster_count,4,4,0,True,,,
metric,stage2,jpetstore,7,seed7_solution000,average_cluster_size,6.0,6.0,0,True,,,
metric,stage2,jpetstore,7,seed7_solution000,max_cluster_size,7,7,0,True,,,
metric,stage2,jpetstore,7,seed7_solution000,min_cluster_size,4,4,0,True,,,
metric,stage2,jpetstore,7,seed7_solution000,max_cluster_ratio,0.2916666666666667,0.2916666666666667,0,True,,,
metric,stage2,jpetstore,7,seed7_solution000,singleton_ratio,0.0,0.0,0,True,,,
metric,stage2,jpetstore,7,seed7_solution000,cluster_size_cv,0.20412414523193148,0.20412414523193148,0,True,,,
metric,stage2,jpetstore,7,seed7_solution000,coupling,0.2518518518518518,0.2518518518518518,0,True,,,
metric,stage2,jpetstore,7,seed7_solution000,cohesion,5.477380952380952,5.477380952380952,0,True,,,
metric,stage2,jpetstore,7,seed7_solution000,imbalance,0.20412414523193148,0.20412414523193148,0,True,,,
metric,stage2,jpetstore,7,seed7_solution099,weighted_modularity,0.23607072092668802,0.2360707209266879,1.1102230246251565e-16,True,,,
metric,stage2,jpetstore,7,seed7_solution099,internal_edge_weight_ratio,0.45185185185185184,0.45185185185185184,0,True,,,
metric,stage2,jpetstore,7,seed7_solution099,internal_external_edge_ratio,0.8243243243243243,0.8243243243243243,0,True,,,
metric,stage2,jpetstore,7,seed7_solution099,cluster_count,5,5,0,True,,,
metric,stage2,jpetstore,7,seed7_solution099,average_cluster_size,4.8,4.8,0,True,,,
metric,stage2,jpetstore,7,seed7_solution099,max_cluster_size,6,6,0,True,,,
metric,stage2,jpetstore,7,seed7_solution099,min_cluster_size,2,2,0,True,,,
metric,stage2,jpetstore,7,seed7_solution099,max_cluster_ratio,0.25,0.25,0,True,,,
metric,stage2,jpetstore,7,seed7_solution099,singleton_ratio,0.0,0.0,0,True,,,
metric,stage2,jpetstore,7,seed7_solution099,cluster_size_cv,0.3061862178478973,0.3061862178478973,0,True,,,
metric,stage2,jpetstore,7,seed7_solution099,coupling,0.5481481481481482,0.5481481481481482,0,True,,,
metric,stage2,jpetstore,7,seed7_solution099,cohesion,9.5,9.5,0,True,,,
metric,stage2,jpetstore,7,seed7_solution099,imbalance,0.3061862178478973,0.3061862178478973,0,True,,,
metric,stage2,jpetstore,7,seed7_solution007,weighted_modularity,0.4341197988111568,0.4341197988111571,2.7755575615628914e-16,True,,,
metric,stage2,jpetstore,7,seed7_solution007,internal_edge_weight_ratio,0.725925925925926,0.725925925925926,0,True,,,
metric,stage2,jpetstore,7,seed7_solution007,internal_external_edge_ratio,2.6486486486486487,2.6486486486486487,0,True,,,
metric,stage2,jpetstore,7,seed7_solution007,cluster_count,4,4,0,True,,,
metric,stage2,jpetstore,7,seed7_solution007,average_cluster_size,6.0,6.0,0,True,,,
metric,stage2,jpetstore,7,seed7_solution007,max_cluster_size,6,6,0,True,,,
metric,stage2,jpetstore,7,seed7_solution007,min_cluster_size,6,6,0,True,,,
metric,stage2,jpetstore,7,seed7_solution007,max_cluster_ratio,0.25,0.25,0,True,,,
metric,stage2,jpetstore,7,seed7_solution007,singleton_ratio,0.0,0.0,0,True,,,
metric,stage2,jpetstore,7,seed7_solution007,cluster_size_cv,0.0,0.0,0,True,,,
metric,stage2,jpetstore,7,seed7_solution007,coupling,0.2740740740740741,0.2740740740740741,0,True,,,
metric,stage2,jpetstore,7,seed7_solution007,cohesion,4.8999999999999995,4.8999999999999995,0,True,,,
metric,stage2,jpetstore,7,seed7_solution007,imbalance,0.0,0.0,0,True,,,
metric,stage2,jpetstore,7,seed7_solution019,weighted_modularity,0.39438500228623685,0.39438500228623685,0,True,,,
metric,stage2,jpetstore,7,seed7_solution019,internal_edge_weight_ratio,0.691358024691358,0.691358024691358,0,True,,,
metric,stage2,jpetstore,7,seed7_solution019,internal_external_edge_ratio,2.24,2.24,0,True,,,
metric,stage2,jpetstore,7,seed7_solution019,cluster_count,4,4,0,True,,,
metric,stage2,jpetstore,7,seed7_solution019,average_cluster_size,6.0,6.0,0,True,,,
metric,stage2,jpetstore,7,seed7_solution019,max_cluster_size,8,8,0,True,,,
metric,stage2,jpetstore,7,seed7_solution019,min_cluster_size,2,2,0,True,,,
metric,stage2,jpetstore,7,seed7_solution019,max_cluster_ratio,0.3333333333333333,0.3333333333333333,0,True,,,
metric,stage2,jpetstore,7,seed7_solution019,singleton_ratio,0.0,0.0,0,True,,,
metric,stage2,jpetstore,7,seed7_solution019,cluster_size_cv,0.40824829046386296,0.40824829046386296,0,True,,,
metric,stage2,jpetstore,7,seed7_solution019,coupling,0.30864197530864196,0.30864197530864196,0,True,,,
metric,stage2,jpetstore,7,seed7_solution019,cohesion,8.614880952380952,8.614880952380952,0,True,,,
metric,stage2,jpetstore,7,seed7_solution019,imbalance,0.40824829046386296,0.40824829046386296,0,True,,,
selection,stage2,jpetstore,7,,,seed7_solution000,seed7_solution000,0,True,modularity,,False
selection,stage2,jpetstore,7,,,seed7_solution000,seed7_solution000,0,True,balance,0,False
selection,stage2,jpetstore,7,,,seed7_solution007,seed7_solution007,0,True,balance,0.050000000000000003,False
selection,stage2,jpetstore,7,,,seed7_solution007,seed7_solution007,0,True,balance,0.050000000000000003,True
metric,stage2,jpetstore,29,seed29_solution000,weighted_modularity,0.4420698064319464,0.44206980643194654,1.6653345369377348e-16,True,,,
metric,stage2,jpetstore,29,seed29_solution000,internal_edge_weight_ratio,0.7481481481481481,0.7481481481481481,0,True,,,
metric,stage2,jpetstore,29,seed29_solution000,internal_external_edge_ratio,2.9705882352941178,2.9705882352941178,0,True,,,
metric,stage2,jpetstore,29,seed29_solution000,cluster_count,4,4,0,True,,,
metric,stage2,jpetstore,29,seed29_solution000,average_cluster_size,6.0,6.0,0,True,,,
metric,stage2,jpetstore,29,seed29_solution000,max_cluster_size,7,7,0,True,,,
metric,stage2,jpetstore,29,seed29_solution000,min_cluster_size,4,4,0,True,,,
metric,stage2,jpetstore,29,seed29_solution000,max_cluster_ratio,0.2916666666666667,0.2916666666666667,0,True,,,
metric,stage2,jpetstore,29,seed29_solution000,singleton_ratio,0.0,0.0,0,True,,,
metric,stage2,jpetstore,29,seed29_solution000,cluster_size_cv,0.20412414523193148,0.20412414523193148,0,True,,,
metric,stage2,jpetstore,29,seed29_solution000,coupling,0.2518518518518518,0.2518518518518518,0,True,,,
metric,stage2,jpetstore,29,seed29_solution000,cohesion,5.477380952380952,5.477380952380952,0,True,,,
metric,stage2,jpetstore,29,seed29_solution000,imbalance,0.20412414523193148,0.20412414523193148,0,True,,,
metric,stage2,jpetstore,29,seed29_solution084,weighted_modularity,0.2210638622161256,0.22106386221612562,2.7755575615628914e-17,True,,,
metric,stage2,jpetstore,29,seed29_solution084,internal_edge_weight_ratio,0.43209876543209874,0.43209876543209874,0,True,,,
metric,stage2,jpetstore,29,seed29_solution084,internal_external_edge_ratio,0.7608695652173914,0.7608695652173914,0,True,,,
metric,stage2,jpetstore,29,seed29_solution084,cluster_count,5,5,0,True,,,
metric,stage2,jpetstore,29,seed29_solution084,average_cluster_size,4.8,4.8,0,True,,,
metric,stage2,jpetstore,29,seed29_solution084,max_cluster_size,7,7,0,True,,,
metric,stage2,jpetstore,29,seed29_solution084,min_cluster_size,2,2,0,True,,,
metric,stage2,jpetstore,29,seed29_solution084,max_cluster_ratio,0.2916666666666667,0.2916666666666667,0,True,,,
metric,stage2,jpetstore,29,seed29_solution084,singleton_ratio,0.0,0.0,0,True,,,
metric,stage2,jpetstore,29,seed29_solution084,cluster_size_cv,0.4823265376162594,0.4823265376162594,0,True,,,
metric,stage2,jpetstore,29,seed29_solution084,coupling,0.5679012345679012,0.5679012345679012,0,True,,,
metric,stage2,jpetstore,29,seed29_solution084,cohesion,12.481904761904762,12.481904761904762,0,True,,,
metric,stage2,jpetstore,29,seed29_solution084,imbalance,0.4823265376162594,0.4823265376162594,0,True,,,
metric,stage2,jpetstore,29,seed29_solution009,weighted_modularity,0.4341197988111568,0.4341197988111571,2.7755575615628914e-16,True,,,
metric,stage2,jpetstore,29,seed29_solution009,internal_edge_weight_ratio,0.725925925925926,0.725925925925926,0,True,,,
metric,stage2,jpetstore,29,seed29_solution009,internal_external_edge_ratio,2.6486486486486487,2.6486486486486487,0,True,,,
metric,stage2,jpetstore,29,seed29_solution009,cluster_count,4,4,0,True,,,
metric,stage2,jpetstore,29,seed29_solution009,average_cluster_size,6.0,6.0,0,True,,,
metric,stage2,jpetstore,29,seed29_solution009,max_cluster_size,6,6,0,True,,,
metric,stage2,jpetstore,29,seed29_solution009,min_cluster_size,6,6,0,True,,,
metric,stage2,jpetstore,29,seed29_solution009,max_cluster_ratio,0.25,0.25,0,True,,,
metric,stage2,jpetstore,29,seed29_solution009,singleton_ratio,0.0,0.0,0,True,,,
metric,stage2,jpetstore,29,seed29_solution009,cluster_size_cv,0.0,0.0,0,True,,,
metric,stage2,jpetstore,29,seed29_solution009,coupling,0.2740740740740741,0.2740740740740741,0,True,,,
metric,stage2,jpetstore,29,seed29_solution009,cohesion,4.8999999999999995,4.8999999999999995,0,True,,,
metric,stage2,jpetstore,29,seed29_solution009,imbalance,0.0,0.0,0,True,,,
metric,stage2,jpetstore,29,seed29_solution034,weighted_modularity,0.4215180612711477,0.4215180612711478,1.1102230246251565e-16,True,,,
metric,stage2,jpetstore,29,seed29_solution034,internal_edge_weight_ratio,0.6617283950617284,0.6617283950617284,0,True,,,
metric,stage2,jpetstore,29,seed29_solution034,internal_external_edge_ratio,1.9562043795620438,1.9562043795620438,0,True,,,
metric,stage2,jpetstore,29,seed29_solution034,cluster_count,5,5,0,True,,,
metric,stage2,jpetstore,29,seed29_solution034,average_cluster_size,4.8,4.8,0,True,,,
metric,stage2,jpetstore,29,seed29_solution034,max_cluster_size,6,6,0,True,,,
metric,stage2,jpetstore,29,seed29_solution034,min_cluster_size,2,2,0,True,,,
metric,stage2,jpetstore,29,seed29_solution034,max_cluster_ratio,0.25,0.25,0,True,,,
metric,stage2,jpetstore,29,seed29_solution034,singleton_ratio,0.0,0.0,0,True,,,
metric,stage2,jpetstore,29,seed29_solution034,cluster_size_cv,0.33333333333333337,0.33333333333333337,0,True,,,
