class_count,changed_class_count_after_label_alignment,changed_class_ratio_after_label_alignment,ari,nmi,label_alignment,subject,seed,stage2_cluster_count,stage3_cluster_count,delta_cluster_count
24,0,0,1,1,maximum-overlap Hungarian assignment; unmatched Stage 3 labels count as changed,jpetstore,0,4,4,0
24,0,0,1,1,maximum-overlap Hungarian assignment; unmatched Stage 3 labels count as changed,jpetstore,1,4,4,0
24,0,0,1,1,maximum-overlap Hungarian assignment; unmatched Stage 3 labels count as changed,jpetstore,2,4,4,0
24,0,0,1,1,maximum-overlap Hungarian assignment; unmatched Stage 3 labels count as changed,jpetstore,3,4,4,0
24,0,0,1,1,maximum-overlap Hungarian assignment; unmatched Stage 3 labels count as changed,jpetstore,4,4,4,0
24,0,0,1,1,maximum-overlap Hungarian assignment; unmatched Stage 3 labels count as changed,jpetstore,5,4,4,0
24,0,0,1,1,maximum-overlap Hungarian assignment; unmatched Stage 3 labels count as changed,jpetstore,6,4,4,0
24,0,0,1,1,maximum-overlap Hungarian assignment; unmatched Stage 3 labels count as changed,jpetstore,7,4,4,0
24,0,0,1,1,maximum-overlap Hungarian assignment; unmatched Stage 3 labels count as changed,jpetstore,8,4,4,0
24,0,0,1,1,maximum-overlap Hungarian assignment; unmatched Stage 3 labels count as changed,jpetstore,9,4,4,0
24,1,0.041666666666666664,0.89940957795757703,0.91871780558966454,maximum-overlap Hungarian assignment; unmatched Stage 3 labels count as changed,jpetstore,10,4,4,0
24,0,0,1,1,maximum-overlap Hungarian assignment; unmatched Stage 3 labels count as changed,jpetstore,11,4,4,0
24,0,0,1,1,maximum-overlap Hungarian assignment; unmatched Stage 3 labels count as changed,jpetstore,12,4,4,0
24,0,0,1,1,maximum-overlap Hungarian assignment; unmatched Stage 3 labels count as changed,jpetstore,13,4,4,0
24,0,0,1,1,maximum-overlap Hungarian assignment; unmatched Stage 3 labels count as changed,jpetstore,14,4,4,0
24,0,0,1,1,maximum-overlap Hungarian assignment; unmatched Stage 3 labels count as changed,jpetstore,15,4,4,0
24,0,0,1,1,maximum-overlap Hungarian assignment; unmatched Stage 3 labels count as changed,jpetstore,16,4,4,0
24,0,0,1,1,maximum-overlap Hungarian assignment; unmatched Stage 3 labels count as changed,jpetstore,17,4,4,0
24,0,0,1,1,maximum-overlap Hungarian assignment; unmatched Stage 3 labels count as changed,jpetstore,18,4,4,0
24,0,0,1,1,maximum-overlap Hungarian assignment; unmatched Stage 3 labels count as changed,jpetstore,19,4,4,0
24,0,0,1,1,maximum-overlap Hungarian assignment; unmatched Stage 3 labels count as changed,jpetstore,20,4,4,0
24,0,0,1,1,maximum-overlap Hungarian assignment; unmatched Stage 3 labels count as changed,jpetstore,21,4,4,0
24,0,0,1,1,maximum-overlap Hungarian assignment; unmatched Stage 3 labels count as changed,jpetstore,22,4,4,0
24,0,0,1,1,maximum-overlap Hungarian assignment; unmatched Stage 3 labels count as changed,jpetstore,23,4,4,0
24,0,0,1,1,maximum-overlap Hungarian assignment; unmatched Stage 3 labels count as changed,jpetstore,24,4,4,0
24,0,0,1,1,maximum-overlap Hungarian assignment; unmatched Stage 3 labels count as changed,jpetstore,25,4,4,0
24,0,0,1,1,maximum-overlap Hungarian assignment; unmatched Stage 3 labels count as changed,jpetstore,26,4,4,0
24,0,0,1,1,maximum-overlap Hungarian assignment; unmatched Stage 3 labels count as changed,jpetstore,27,4,4,0
24,1,0.041666666666666664,0.89940957795757703,0.91871780558966454,maximum-overlap Hungarian assignment; unmatched Stage 3 labels count as changed,jpetstore,28,4,4,0
24,0,0,1,1,maximum-overlap Hungarian assignment; unmatched Stage 3 labels count as changed,jpetstore,29,4,4,0
53,12,0.22641509433962265,0.63407873090989164,0.76485659422418262,maximum-overlap Hungarian assignment; unmatched Stage 3 labels count as changed,daytrader,0,10,10,0
53,35,0.660377358490566,0.019955923844638568,0.34769632449812965,maximum-overlap Hungarian assignment; unmatched Stage 3 labels count as changed,daytrader,1,9,11,2
53,0,0,1,1.0000000000000002,maximum-overlap Hungarian assignment; unmatched Stage 3 labels count as changed,daytrader,2,10,10,0
53,27,0.50943396226415094,0.13895106911847507,0.42340107558998374,maximum-overlap Hungarian assignment; unmatched Stage 3 labels count as changed,daytrader,3,8,9,1
53,30,0.56603773584905659,0.11600230057956908,0.50098108454747214,maximum-overlap Hungarian assignment; unmatched Stage 3 labels count as changed,daytrader,4,9,15,6
53,30,0.56603773584905659,0.13021506912246703,0.44522082912475036,maximum-overlap Hungarian assignment; unmatched Stage 3 labels count as changed,daytrader,5,9,9,0
53,6,0.11320754716981132,0.79373203249631941,0.85419708542465766,maximum-overlap Hungarian assignment; unmatched Stage 3 labels count as changed,daytrader,6,9,10,1
53,19,0.35849056603773582,0.3882586118759136,0.60488352061682393,maximum-overlap Hungarian assignment; unmatched Stage 3 labels count as changed,daytrader,7,8,9,1
53,5,0.094339622641509441,0.8604669424732494,0.9018727851519579,maximum-overlap Hungarian assignment; unmatched Stage 3 labels count as changed,daytrader,8,8,11,3
53,20,0.37735849056603776,0.32923910662567035,0.53410294717847329,maximum-overlap Hungarian assignment; unmatched Stage 3 labels count as changed,daytrader,9,9,9,0
53,11,0.20754716981132076,0.683223992502343,0.77898700371947849,maximum-overlap Hungarian assignment; unmatched Stage 3 labels count as changed,daytrader,10,10,9,-1
53,30,0.56603773584905659,0.14962451737799062,0.3747856064968822,maximum-overlap Hungarian assignment; unmatched Stage 3 labels count as changed,daytrader,11,6,9,3
53,10,0.18867924528301888,0.70066957787481798,0.78464681101496103,maximum-overlap Hungarian assignment; unmatched Stage 3 labels count as changed,daytrader,12,8,10,2
53,5,0.094339622641509441,0.81432829097402937,0.86947497499403925,maximum-overlap Hungarian assignment; unmatched Stage 3 labels count as changed,daytrader,13,9,9,0
53,5,0.094339622641509441,0.85832071211360284,0.89987160411579836,maximum-overlap Hungarian assignment; unmatched Stage 3 labels count as changed,daytrader,14,8,9,1
53,16,0.30188679245283018,0.4413040233339654,0.65344900707877462,maximum-overlap Hungarian assignment; unmatched Stage 3 labels count as changed,daytrader,15,8,11,3
