subject,rule,count
jpetstore,boilerplate_or_invalid_identifier,327
jpetstore,duplicate_within_method,870
jpetstore,java_keyword,339
jpetstore,literal_format_only,1
jpetstore,literal_length,4
jpetstore,literal_path,40
jpetstore,raw_jimple_syntax,15
jpetstore,repeated_token_cap,377
jpetstore,synthetic_local,2270
jpetstore,accepted_literals,33
daytrader,boilerplate_or_invalid_identifier,3243
daytrader,duplicate_within_method,8582
daytrader,java_keyword,1193
daytrader,literal_boilerplate,1
daytrader,literal_empty,56
daytrader,literal_encoded_or_binary,1
daytrader,literal_format_only,1
daytrader,literal_length,127
daytrader,literal_no_meaningful_tokens,79
daytrader,literal_numeric_or_timestamp,3
daytrader,literal_path,153
daytrader,raw_jimple_syntax,788
daytrader,repeated_token_cap,2039
daytrader,synthetic_local,16821
daytrader,type_like_identifier,1
daytrader,accepted_literals,920
xerces,boilerplate_or_invalid_identifier,83207
xerces,duplicate_within_method,147462
xerces,java_keyword,26477
xerces,literal_boilerplate,11
xerces,literal_empty,272
xerces,literal_encoded_or_binary,501
xerces,literal_format_only,14
xerces,literal_hash,6
xerces,literal_length,462
xerces,literal_namespace_uri,3
xerces,literal_no_meaningful_tokens,549
xerces,literal_numeric_or_timestamp,110
xerces,literal_path,484
xerces,literal_url,2471
xerces,raw_jimple_syntax,17469
xerces,repeated_token_cap,30420
xerces,synthetic_local,269316
xerces,type_like_identifier,13
xerces,accepted_literals,4938
