subject,collision_type,group_id,class_ids,input_hashes,embedding_hashes,exact_embedding_equality,maximum_euclidean_distance,minimum_pairwise_cosine,notes
xerces,duplicate_text_group,text_001,org.apache.xerces.dom.ObjectFactory|org.apache.xerces.impl.dv.ObjectFactory|org.apache.xerces.parsers.ObjectFactory|org.apache.xerces.xinclude.ObjectFactory|org.apache.xml.serialize.ObjectFactory,c8a06958a9895235ba26e221d9ec10ac182508d559df82d41849a00fc2e412ae|c8a06958a9895235ba26e221d9ec10ac182508d559df82d41849a00fc2e412ae|c8a06958a9895235ba26e221d9ec10ac182508d559df82d41849a00fc2e412ae|c8a06958a9895235ba26e221d9ec10ac182508d559df82d41849a00fc2e412ae|c8a06958a9895235ba26e221d9ec10ac182508d559df82d41849a00fc2e412ae,60ae260d8c630caaa1dba0023a2779f658f237ef615bb05a06f173828c0a5b70|60ae260d8c630caaa1dba0023a2779f658f237ef615bb05a06f173828c0a5b70|60ae260d8c630caaa1dba0023a2779f658f237ef615bb05a06f173828c0a5b70|60ae260d8c630caaa1dba0023a2779f658f237ef615bb05a06f173828c0a5b70|60ae260d8c630caaa1dba0023a2779f658f237ef615bb05a06f173828c0a5b70,true,0,1,expected representation-induced duplicate text
xerces,duplicate_text_group,text_002,org.apache.xerces.dom.ObjectFactory$ConfigurationError|org.apache.xerces.impl.dv.ObjectFactory$ConfigurationError|org.apache.xerces.parsers.ObjectFactory$ConfigurationError|org.apache.xerces.xinclude.ObjectFactory$ConfigurationError|org.apache.xml.serialize.ObjectFactory$ConfigurationError,c662b9268c9234e681496f21b9ccf5bb8def43078e31d8e7e8603ad845e48cc4|c662b9268c9234e681496f21b9ccf5bb8def43078e31d8e7e8603ad845e48cc4|c662b9268c9234e681496f21b9ccf5bb8def43078e31d8e7e8603ad845e48cc4|c662b9268c9234e681496f21b9ccf5bb8def43078e31d8e7e8603ad845e48cc4|c662b9268c9234e681496f21b9ccf5bb8def43078e31d8e7e8603ad845e48cc4,9dc5c38f169c078e08c9725ba30815157709bdeb33a2accf489df6a54c7c0a9c|9dc5c38f169c078e08c9725ba30815157709bdeb33a2accf489df6a54c7c0a9c|9dc5c38f169c078e08c9725ba30815157709bdeb33a2accf489df6a54c7c0a9c|9dc5c38f169c078e08c9725ba30815157709bdeb33a2accf489df6a54c7c0a9c|9dc5c38f169c078e08c9725ba30815157709bdeb33a2accf489df6a54c7c0a9c,true,0,1,expected representation-induced duplicate text
xerces,duplicate_text_group,text_003,org.apache.xerces.dom.SecuritySupport|org.apache.xerces.impl.dv.SecuritySupport|org.apache.xerces.parsers.SecuritySupport|org.apache.xerces.xinclude.SecuritySupport|org.apache.xml.serialize.SecuritySupport,f6393f8504fc98ca4155f5c526bcb8cab0eb27f2a6ba94f98b9384b34f390959|f6393f8504fc98ca4155f5c526bcb8cab0eb27f2a6ba94f98b9384b34f390959|f6393f8504fc98ca4155f5c526bcb8cab0eb27f2a6ba94f98b9384b34f390959|f6393f8504fc98ca4155f5c526bcb8cab0eb27f2a6ba94f98b9384b34f390959|f6393f8504fc98ca4155f5c526bcb8cab0eb27f2a6ba94f98b9384b34f390959,96c9c0d1b239f4966d6f0082243f5c028c509825d49569a4a76b70229a22026b|96c9c0d1b239f4966d6f0082243f5c028c509825d49569a4a76b70229a22026b|96c9c0d1b239f4966d6f0082243f5c028c509825d49569a4a76b70229a22026b|96c9c0d1b239f4966d6f0082243f5c028c509825d49569a4a76b70229a22026b|96c9c0d1b239f4966d6f0082243f5c028c509825d49569a4a76b70229a22026b,true,0,1,expected representation-induced duplicate text
xerces,duplicate_text_group,text_004,org.apache.xerces.dom.SecuritySupport$1|org.apache.xerces.impl.dv.SecuritySupport$1|org.apache.xerces.parsers.SecuritySupport$1|org.apache.xerces.xinclude.SecuritySupport$1|org.apache.xml.serialize.SecuritySupport$1,458dba71e23e6fea78635777fddacf9876c47827179061096fc3d25973c9846d|458dba71e23e6fea78635777fddacf9876c47827179061096fc3d25973c9846d|458dba71e23e6fea78635777fddacf9876c47827179061096fc3d25973c9846d|458dba71e23e6fea78635777fddacf9876c47827179061096fc3d25973c9846d|458dba71e23e6fea78635777fddacf9876c47827179061096fc3d25973c9846d,e37f0b276d424e04d5b196864f8dea32cf8ab2bc4be0599825b2c41d485ba717|e37f0b276d424e04d5b196864f8dea32cf8ab2bc4be0599825b2c41d485ba717|e37f0b276d424e04d5b196864f8dea32cf8ab2bc4be0599825b2c41d485ba717|e37f0b276d424e04d5b196864f8dea32cf8ab2bc4be0599825b2c41d485ba717|e37f0b276d424e04d5b196864f8dea32cf8ab2bc4be0599825b2c41d485ba717,true,0,1,expected representation-induced duplicate text
xerces,duplicate_text_group,text_005,org.apache.xerces.dom.SecuritySupport$2|org.apache.xerces.impl.dv.SecuritySupport$2|org.apache.xerces.parsers.SecuritySupport$2|org.apache.xerces.xinclude.SecuritySupport$2|org.apache.xml.serialize.SecuritySupport$2,c00ea0d51804f8e0888dfdc3209bb29df207beb5281482f2d5ef44008aa426e4|c00ea0d51804f8e0888dfdc3209bb29df207beb5281482f2d5ef44008aa426e4|c00ea0d51804f8e0888dfdc3209bb29df207beb5281482f2d5ef44008aa426e4|c00ea0d51804f8e0888dfdc3209bb29df207beb5281482f2d5ef44008aa426e4|c00ea0d51804f8e0888dfdc3209bb29df207beb5281482f2d5ef44008aa426e4,0600abbb9709cd54db2171416ab6907b787eeb180263f6eb650f5d76edeed460|0600abbb9709cd54db2171416ab6907b787eeb180263f6eb650f5d76edeed460|0600abbb9709cd54db2171416ab6907b787eeb180263f6eb650f5d76edeed460|0600abbb9709cd54db2171416ab6907b787eeb180263f6eb650f5d76edeed460|0600abbb9709cd54db2171416ab6907b787eeb180263f6eb650f5d76edeed460,true,0,1,expected representation-induced duplicate text
xerces,duplicate_text_group,text_006,org.apache.xerces.dom.SecuritySupport$3|org.apache.xerces.impl.dv.SecuritySupport$3|org.apache.xerces.parsers.SecuritySupport$3|org.apache.xerces.xinclude.SecuritySupport$3|org.apache.xml.serialize.SecuritySupport$3,8af9c2dc032cdaeb80ccbe1c2545e010e555a42a9998fc586c52b1227c5e7e36|8af9c2dc032cdaeb80ccbe1c2545e010e555a42a9998fc586c52b1227c5e7e36|8af9c2dc032cdaeb80ccbe1c2545e010e555a42a9998fc586c52b1227c5e7e36|8af9c2dc032cdaeb80ccbe1c2545e010e555a42a9998fc586c52b1227c5e7e36|8af9c2dc032cdaeb80ccbe1c2545e010e555a42a9998fc586c52b1227c5e7e36,dee2cabf97cecdc52310151d0f1bbe317c29d0f45c474440295ce4fc860b15a0|dee2cabf97cecdc52310151d0f1bbe317c29d0f45c474440295ce4fc860b15a0|dee2cabf97cecdc52310151d0f1bbe317c29d0f45c474440295ce4fc860b15a0|dee2cabf97cecdc52310151d0f1bbe317c29d0f45c474440295ce4fc860b15a0|dee2cabf97cecdc52310151d0f1bbe317c29d0f45c474440295ce4fc860b15a0,true,0,1,expected representation-induced duplicate text
xerces,duplicate_text_group,text_007,org.apache.xerces.dom.SecuritySupport$4|org.apache.xerces.impl.dv.SecuritySupport$4|org.apache.xerces.parsers.SecuritySupport$4|org.apache.xerces.xinclude.SecuritySupport$4|org.apache.xml.serialize.SecuritySupport$4,d7f02abfd8f8f6c4cceb48a42ff33f93d8b4ce6a01691c9279c706ba8247caef|d7f02abfd8f8f6c4cceb48a42ff33f93d8b4ce6a01691c9279c706ba8247caef|d7f02abfd8f8f6c4cceb48a42ff33f93d8b4ce6a01691c9279c706ba8247caef|d7f02abfd8f8f6c4cceb48a42ff33f93d8b4ce6a01691c9279c706ba8247caef|d7f02abfd8f8f6c4cceb48a42ff33f93d8b4ce6a01691c9279c706ba8247caef,18e802d4c75119b2037ebb453bfdfe042c933358771a4f97dae91850da007824|18e802d4c75119b2037ebb453bfdfe042c933358771a4f97dae91850da007824|18e802d4c75119b2037ebb453bfdfe042c933358771a4f97dae91850da007824|18e802d4c75119b2037ebb453bfdfe042c933358771a4f97dae91850da007824|18e802d4c75119b2037ebb453bfdfe042c933358771a4f97dae91850da007824,true,0,1,expected representation-induced duplicate text
xerces,duplicate_text_group,text_008,org.apache.xerces.dom.SecuritySupport$5|org.apache.xerces.impl.dv.SecuritySupport$5|org.apache.xerces.parsers.SecuritySupport$5|org.apache.xerces.xinclude.SecuritySupport$5|org.apache.xml.serialize.SecuritySupport$5,f6e902249758352ac3713e9ce7218d1d933d3ab3ecbb581b0d3df7ef80dd5457|f6e902249758352ac3713e9ce7218d1d933d3ab3ecbb581b0d3df7ef80dd5457|f6e902249758352ac3713e9ce7218d1d933d3ab3ecbb581b0d3df7ef80dd5457|f6e902249758352ac3713e9ce7218d1d933d3ab3ecbb581b0d3df7ef80dd5457|f6e902249758352ac3713e9ce7218d1d933d3ab3ecbb581b0d3df7ef80dd5457,fc0a8660ddbe7df6e768ed81d5bc53bd51f0bd6ef42e4c48f05b3665e739e5dd|fc0a8660ddbe7df6e768ed81d5bc53bd51f0bd6ef42e4c48f05b3665e739e5dd|fc0a8660ddbe7df6e768ed81d5bc53bd51f0bd6ef42e4c48f05b3665e739e5dd|fc0a8660ddbe7df6e768ed81d5bc53bd51f0bd6ef42e4c48f05b3665e739e5dd|fc0a8660ddbe7df6e768ed81d5bc53bd51f0bd6ef42e4c48f05b3665e739e5dd,true,0,1,expected representation-induced duplicate text
xerces,duplicate_text_group,text_009,org.apache.xerces.dom.SecuritySupport$6|org.apache.xerces.impl.dv.SecuritySupport$6|org.apache.xerces.parsers.SecuritySupport$6|org.apache.xerces.xinclude.SecuritySupport$6|org.apache.xml.serialize.SecuritySupport$6,3f4cadf240e8fca3bf0c74d81829b14c635a81f105172578f16f6837a719ddfd|3f4cadf240e8fca3bf0c74d81829b14c635a81f105172578f16f6837a719ddfd|3f4cadf240e8fca3bf0c74d81829b14c635a81f105172578f16f6837a719ddfd|3f4cadf240e8fca3bf0c74d81829b14c635a81f105172578f16f6837a719ddfd|3f4cadf240e8fca3bf0c74d81829b14c635a81f105172578f16f6837a719ddfd,c5f22fc3d94f18603ea8056763b0d5cc14c8e4db99b5cac1fcd69a8fc8b93e7b|c5f22fc3d94f18603ea8056763b0d5cc14c8e4db99b5cac1fcd69a8fc8b93e7b|c5f22fc3d94f18603ea8056763b0d5cc14c8e4db99b5cac1fcd69a8fc8b93e7b|c5f22fc3d94f18603ea8056763b0d5cc14c8e4db99b5cac1fcd69a8fc8b93e7b|c5f22fc3d94f18603ea8056763b0d5cc14c8e4db99b5cac1fcd69a8fc8b93e7b,true,0,1,expected representation-induced duplicate text
xerces,duplicate_text_group,text_010,org.apache.xerces.dom.SecuritySupport$7|org.apache.xerces.impl.dv.SecuritySupport$7|org.apache.xerces.parsers.SecuritySupport$7|org.apache.xerces.xinclude.SecuritySupport$7|org.apache.xml.serialize.SecuritySupport$7,d0d28ec3df44f7e041c39724d023a1a9dfa185c7bdeb967f570a0c07d98f6f4b|d0d28ec3df44f7e041c39724d023a1a9dfa185c7bdeb967f570a0c07d98f6f4b|d0d28ec3df44f7e041c39724d023a1a9dfa185c7bdeb967f570a0c07d98f6f4b|d0d28ec3df44f7e041c39724d023a1a9dfa185c7bdeb967f570a0c07d98f6f4b|d0d28ec3df44f7e041c39724d023a1a9dfa185c7bdeb967f570a0c07d98f6f4b,ad1553792a15a70f662d7337042be63ec85e63711216b8970930fe69e6813f4b|ad1553792a15a70f662d7337042be63ec85e63711216b8970930fe69e6813f4b|ad1553792a15a70f662d7337042be63ec85e63711216b8970930fe69e6813f4b|ad1553792a15a70f662d7337042be63ec85e63711216b8970930fe69e6813f4b|ad1553792a15a70f662d7337042be63ec85e63711216b8970930fe69e6813f4b,true,0,1,expected representation-induced duplicate text
