subject,class_id,stage3a_declaration_hash,stage3b_full_text_hash,declaration_exact_match,only_section_markers_and_empty_marker_added,stage3a_stage3b_embedding_cosine,cosine_distance,stage3a_neighbours,stage3b_neighbours,retained_neighbour_count,neighbour_retention,stage3a_degree,stage3b_degree,degree_change,body_lexical_content_contributed,diagnostic_note,body_empty
jpetstore,org.mybatis.jpetstore.mapper.AccountMapper,fbf942adc8a5c6036a7bf5498e0ad11c4e470a5bfad8f8846740138145f27ea5,0448e09395c3346af47c2b9115e9cc8b567d96c67409ce6b97d2c2b4ea54bdde,true,true,0.8083504667886392,0.1916495332113608,org.mybatis.jpetstore.mapper.OrderMapper|org.mybatis.jpetstore.service.AccountService|org.mybatis.jpetstore.mapper.CategoryMapper,org.mybatis.jpetstore.service.AccountService|org.mybatis.jpetstore.mapper.OrderMapper|org.mybatis.jpetstore.mapper.CategoryMapper,3,1,5,4,-1,false,Embedding and neighbour changes cannot be attributed to lexical method-body content; section markers and <EMPTY> remain textual input.,true
jpetstore,org.mybatis.jpetstore.mapper.CategoryMapper,77045e6e50f73c3cbd199dc5537096c548999d9dabbdce2d12d5ea9ef68c1fd9,4c2b0b9614de47c93d52b3e71d44d77577d0f8f24d5f318430de16a31d338a08,true,true,0.75286416000446232,0.24713583999553768,org.mybatis.jpetstore.mapper.ProductMapper|org.mybatis.jpetstore.mapper.OrderMapper|org.mybatis.jpetstore.mapper.LineItemMapper,org.mybatis.jpetstore.mapper.ProductMapper|org.mybatis.jpetstore.mapper.OrderMapper|org.mybatis.jpetstore.mapper.AccountMapper,2,0.66666666666666663,7,7,0,false,Embedding and neighbour changes cannot be attributed to lexical method-body content; section markers and <EMPTY> remain textual input.,true
jpetstore,org.mybatis.jpetstore.mapper.ItemMapper,46865703180302cba3a502392172882bd12eef02a25d68b8fadea2e950037bdb,f7a4d34cc83ec41e04e5305afff4f8fa8db765acb0e16f08f36d5e3c436c660b,true,true,0.8228094044431421,0.1771905955568579,org.mybatis.jpetstore.mapper.ProductMapper|org.mybatis.jpetstore.mapper.LineItemMapper|org.mybatis.jpetstore.mapper.CategoryMapper,org.mybatis.jpetstore.mapper.ProductMapper|org.mybatis.jpetstore.mapper.LineItemMapper|org.mybatis.jpetstore.mapper.CategoryMapper,3,1,4,3,-1,false,Embedding and neighbour changes cannot be attributed to lexical method-body content; section markers and <EMPTY> remain textual input.,true
jpetstore,org.mybatis.jpetstore.mapper.LineItemMapper,40f209695f43ebed808ee266c5265e0d032ff7607933101edec189de1634a1b4,71af6f379965ab0cfb5273fbf7e3733ed5c5b8adb3fd3cac4b06b7a88333a51c,true,true,0.82245569058595502,0.17754430941404498,org.mybatis.jpetstore.mapper.OrderMapper|org.mybatis.jpetstore.mapper.ItemMapper|org.mybatis.jpetstore.mapper.CategoryMapper,org.mybatis.jpetstore.mapper.OrderMapper|org.mybatis.jpetstore.mapper.ItemMapper|org.mybatis.jpetstore.mapper.ProductMapper,2,0.66666666666666663,3,3,0,false,Embedding and neighbour changes cannot be attributed to lexical method-body content; section markers and <EMPTY> remain textual input.,true
jpetstore,org.mybatis.jpetstore.mapper.OrderMapper,be60bbfe64991d122c53390240b91317703e08e794a236aecd63b3a482beec75,7e8e40f55a2c7915a803664f4374d530ef390d75a7cb12d48749845a092d65c7,true,true,0.75818968127014852,0.24181031872985148,org.mybatis.jpetstore.mapper.AccountMapper|org.mybatis.jpetstore.service.OrderService|org.mybatis.jpetstore.mapper.LineItemMapper,org.mybatis.jpetstore.mapper.AccountMapper|org.mybatis.jpetstore.mapper.LineItemMapper|org.mybatis.jpetstore.mapper.CategoryMapper,2,0.66666666666666663,7,7,0,false,Embedding and neighbour changes cannot be attributed to lexical method-body content; section markers and <EMPTY> remain textual input.,true
jpetstore,org.mybatis.jpetstore.mapper.ProductMapper,afd68148ad4082277eb3d9d64fa5785aa184223a17b106720118f27a4211c9aa,88f2b3ee8fb71f2a5d030a5dd3a006010dce5220299e2df1624cb7a1e546bff5,true,true,0.78100038804480287,0.21899961195519713,org.mybatis.jpetstore.mapper.CategoryMapper|org.mybatis.jpetstore.mapper.ItemMapper|org.mybatis.jpetstore.mapper.OrderMapper,org.mybatis.jpetstore.mapper.CategoryMapper|org.mybatis.jpetstore.mapper.ItemMapper|org.mybatis.jpetstore.mapper.OrderMapper,3,1,4,6,2,false,Embedding and neighbour changes cannot be attributed to lexical method-body content; section markers and <EMPTY> remain textual input.,true
jpetstore,org.mybatis.jpetstore.mapper.SequenceMapper,397e1f58a092b8af9680028ce2121bbe684304b6880a2851792711c9bccc3bcb,a18094d1f2d3b7eeb9a5d092d8e52dbcac67e6d2b5e1e0701a9e8859cc2e44c8,true,true,0.79915412152444709,0.20084587847555291,org.mybatis.jpetstore.mapper.CategoryMapper|org.mybatis.jpetstore.mapper.OrderMapper|org.mybatis.jpetstore.mapper.AccountMapper,org.mybatis.jpetstore.mapper.OrderMapper|org.mybatis.jpetstore.mapper.AccountMapper|org.mybatis.jpetstore.mapper.CategoryMapper,3,1,4,4,0,false,Embedding and neighbour changes cannot be attributed to lexical method-body content; section markers and <EMPTY> remain textual input.,true
daytrader,com.ibm.websphere.samples.daytrader.TradeServices,79faebc4f5a70102505410ea8714fc1c26baa036aa637175132dd4a55b1b8f40,2e5c99ac18edf6b99445dee5d1f4e1faacb80a2de37fcbc55ba20c3fe0fc47f6,true,true,0.8693630471197088,0.1306369528802912,com.ibm.websphere.samples.daytrader.TradeAction|com.ibm.websphere.samples.daytrader.direct.TradeDirect|com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBBean,com.ibm.websphere.samples.daytrader.TradeAction|com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBRemote|com.ibm.websphere.samples.daytrader.direct.TradeDirect,2,0.66666666666666663,8,4,-4,false,Embedding and neighbour changes cannot be attributed to lexical method-body content; section markers and <EMPTY> remain textual input.,true
daytrader,com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBLocal,ebb0a71ae821572211f9108ae470bb16755bf374a203a0cabed519823f207842,330ee5d97b95d34d91c65fd3e5496954ee19996fec4ee992a76c708d29dae5fa,true,true,0.88145902068685289,0.11854097931314711,com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBRemote|com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBBean|com.ibm.websphere.samples.daytrader.TradeServices,com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBRemote|com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBBean|com.ibm.websphere.samples.daytrader.TradeServices,3,1,4,4,0,false,Embedding and neighbour changes cannot be attributed to lexical method-body content; section markers and <EMPTY> remain textual input.,true
daytrader,com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBRemote,3f95dc954e38484462053beb3b05e249e536f1db830393b557d7ccb93dea5c3c,468e5076710d5c6529ad9e1cb8c4ee067c6f07ce361998475269bd51580137d5,true,true,0.88385509577869859,0.11614490422130141,com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBLocal|com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBBean|com.ibm.websphere.samples.daytrader.TradeServices,com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBLocal|com.ibm.websphere.samples.daytrader.TradeServices|com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBBean,3,1,4,4,0,false,Embedding and neighbour changes cannot be attributed to lexical method-body content; section markers and <EMPTY> remain textual input.,true
