subject,seed,method,reference_status,reference_path,reference_source,reference_coverage,evaluation_policy,mojofm_vs_reference,pairwise_precision,pairwise_recall,pairwise_f1,ari_vs_reference,nmi_vs_reference,reference_coverage_ratio
jpetstore,0,stage2,unavailable,,,,saved selected partition only; no reselection,,,,,,,
jpetstore,0,stage3a,unavailable,,,,saved selected partition only; no reselection,,,,,,,
jpetstore,0,stage3b,unavailable,,,,saved selected partition only; no reselection,,,,,,,
jpetstore,1,stage2,unavailable,,,,saved selected partition only; no reselection,,,,,,,
jpetstore,1,stage3a,unavailable,,,,saved selected partition only; no reselection,,,,,,,
jpetstore,1,stage3b,unavailable,,,,saved selected partition only; no reselection,,,,,,,
jpetstore,2,stage2,unavailable,,,,saved selected partition only; no reselection,,,,,,,
jpetstore,2,stage3a,unavailable,,,,saved selected partition only; no reselection,,,,,,,
jpetstore,2,stage3b,unavailable,,,,saved selected partition only; no reselection,,,,,,,
jpetstore,3,stage2,unavailable,,,,saved selected partition only; no reselection,,,,,,,
jpetstore,3,stage3a,unavailable,,,,saved selected partition only; no reselection,,,,,,,
jpetstore,3,stage3b,unavailable,,,,saved selected partition only; no reselection,,,,,,,
jpetstore,4,stage2,unavailable,,,,saved selected partition only; no reselection,,,,,,,
jpetstore,4,stage3a,unavailable,,,,saved selected partition only; no reselection,,,,,,,
jpetstore,4,stage3b,unavailable,,,,saved selected partition only; no reselection,,,,,,,
jpetstore,5,stage2,unavailable,,,,saved selected partition only; no reselection,,,,,,,
jpetstore,5,stage3a,unavailable,,,,saved selected partition only; no reselection,,,,,,,
jpetstore,5,stage3b,unavailable,,,,saved selected partition only; no reselection,,,,,,,
jpetstore,6,stage2,unavailable,,,,saved selected partition only; no reselection,,,,,,,
jpetstore,6,stage3a,unavailable,,,,saved selected partition only; no reselection,,,,,,,
jpetstore,6,stage3b,unavailable,,,,saved selected partition only; no reselection,,,,,,,
jpetstore,7,stage2,unavailable,,,,saved selected partition only; no reselection,,,,,,,
jpetstore,7,stage3a,unavailable,,,,saved selected partition only; no reselection,,,,,,,
jpetstore,7,stage3b,unavailable,,,,saved selected partition only; no reselection,,,,,,,
jpetstore,8,stage2,unavailable,,,,saved selected partition only; no reselection,,,,,,,
jpetstore,8,stage3a,unavailable,,,,saved selected partition only; no reselection,,,,,,,
jpetstore,8,stage3b,unavailable,,,,saved selected partition only; no reselection,,,,,,,
jpetstore,9,stage2,unavailable,,,,saved selected partition only; no reselection,,,,,,,
