subject,method,metric,available_seed_count,mean,median,min,max,reference_status
daytrader,stage2,ari_vs_reference,30,0.029603356355566511071,0.037138304582459799597,-0.028616617149276463161,0.065576386118867166508,available
daytrader,stage2,mojofm_vs_reference,30,23.55072463768116009,23.91304347826086385,15.217391304347827941,28.260869565217394239,available
daytrader,stage2,nmi_vs_reference,30,0.37608399151557553308,0.39021503485715502979,0.22572975506337561447,0.42832512967876523735,available
daytrader,stage2,pairwise_f1,30,0.16544765411682466061,0.16982841719683822168,0.12887828162291167788,0.1974683544303797722,available
daytrader,stage2,pairwise_precision,30,0.1551199612341786771,0.16088981492830004005,0.11111111111111110494,0.18857142857142858428,available
daytrader,stage2,pairwise_recall,30,0.1787037037037037257,0.18333333333333332038,0.12777777777777776791,0.21666666666666667407,available
daytrader,stage2,reference_coverage_ratio,30,1,1,1,1,available
daytrader,stage3a,ari_vs_reference,30,0.045273772804652369361,0.046676526176477453611,0.0038469248058411774707,0.08734879536139156242,available
daytrader,stage3a,mojofm_vs_reference,30,25.217391304347824388,26.08695652173913615,19.565217391304344119,30.434782608695655881,available
daytrader,stage3a,nmi_vs_reference,30,0.40220665228203483776,0.40988867229393910474,0.28373775512354765249,0.44080710615294327326,available
daytrader,stage3a,pairwise_f1,30,0.17928552706874426037,0.17918344674350783485,0.1460957178841309767,0.22058823529411764053,available
daytrader,stage3a,pairwise_precision,30,0.1668299239475285467,0.1687682341887949411,0.13364055299539170929,0.19736842105263158187,available
daytrader,stage3a,pairwise_recall,30,0.19425925925925929816,0.19166666666666665186,0.14999999999999999445,0.25,available
daytrader,stage3a,reference_coverage_ratio,30,1,1,1,1,available
daytrader,stage3b,ari_vs_reference,30,0.036094382029562388503,0.044542710605430482773,-0.048970821081203354252,0.078306384277672530514,available
daytrader,stage3b,mojofm_vs_reference,30,24.202898550724640359,23.91304347826086385,15.217391304347827941,30.434782608695655881,available
daytrader,stage3b,nmi_vs_reference,30,0.39000921301758278981,0.40086260587952221579,0.26611466137438671842,0.45433979120514167427,available
daytrader,stage3b,pairwise_f1,30,0.17069929742966824526,0.17760533326264726917,0.097938144329896892337,0.2346570397111913675,available
daytrader,stage3b,pairwise_precision,30,0.15967679132085196847,0.16666666666666665741,0.091346153846153840816,0.19587628865979381243,available
daytrader,stage3b,pairwise_recall,30,0.18555555555555558467,0.18888888888888888395,0.10555555555555555525,0.36111111111111110494,available
daytrader,stage3b,reference_coverage_ratio,30,1,1,1,1,available
jpetstore,stage2,ari_vs_reference,0,,,,,unavailable
jpetstore,stage2,mojofm_vs_reference,0,,,,,unavailable
jpetstore,stage2,nmi_vs_reference,0,,,,,unavailable
jpetstore,stage2,pairwise_f1,0,,,,,unavailable
jpetstore,stage2,pairwise_precision,0,,,,,unavailable
jpetstore,stage2,pairwise_recall,0,,,,,unavailable
jpetstore,stage2,reference_coverage_ratio,0,,,,,unavailable
jpetstore,stage3a,ari_vs_reference,0,,,,,unavailable
jpetstore,stage3a,mojofm_vs_reference,0,,,,,unavailable
jpetstore,stage3a,nmi_vs_reference,0,,,,,unavailable
jpetstore,stage3a,pairwise_f1,0,,,,,unavailable
jpetstore,stage3a,pairwise_precision,0,,,,,unavailable
jpetstore,stage3a,pairwise_recall,0,,,,,unavailable
jpetstore,stage3a,reference_coverage_ratio,0,,,,,unavailable
jpetstore,stage3b,ari_vs_reference,0,,,,,unavailable
jpetstore,stage3b,mojofm_vs_reference,0,,,,,unavailable
jpetstore,stage3b,nmi_vs_reference,0,,,,,unavailable
jpetstore,stage3b,pairwise_f1,0,,,,,unavailable
jpetstore,stage3b,pairwise_precision,0,,,,,unavailable
jpetstore,stage3b,pairwise_recall,0,,,,,unavailable
jpetstore,stage3b,reference_coverage_ratio,0,,,,,unavailable
xerces,stage2,ari_vs_reference,0,,,,,unavailable
xerces,stage2,mojofm_vs_reference,0,,,,,unavailable
xerces,stage2,nmi_vs_reference,0,,,,,unavailable
xerces,stage2,pairwise_f1,0,,,,,unavailable
xerces,stage2,pairwise_precision,0,,,,,unavailable
xerces,stage2,pairwise_recall,0,,,,,unavailable
xerces,stage2,reference_coverage_ratio,0,,,,,unavailable
xerces,stage3a,ari_vs_reference,0,,,,,unavailable
xerces,stage3a,mojofm_vs_reference,0,,,,,unavailable
xerces,stage3a,nmi_vs_reference,0,,,,,unavailable
xerces,stage3a,pairwise_f1,0,,,,,unavailable
xerces,stage3a,pairwise_precision,0,,,,,unavailable
xerces,stage3a,pairwise_recall,0,,,,,unavailable
xerces,stage3a,reference_coverage_ratio,0,,,,,unavailable
xerces,stage3b,ari_vs_reference,0,,,,,unavailable
xerces,stage3b,mojofm_vs_reference,0,,,,,unavailable
xerces,stage3b,nmi_vs_reference,0,,,,,unavailable
xerces,stage3b,pairwise_f1,0,,,,,unavailable
xerces,stage3b,pairwise_precision,0,,,,,unavailable
xerces,stage3b,pairwise_recall,0,,,,,unavailable
xerces,stage3b,reference_coverage_ratio,0,,,,,unavailable
