subject,seed,front_size,projected_front_size,four_dimensional_front_expands_beyond_projected_front,front_rows_removed_by_3d_projection,front_semantic_unique_count,front_semantic_min,front_semantic_mean,front_semantic_max,front_semantic_std,stage2_selected_f_semantic_on_stage3b,front_rows_better_than_stage2_selected,front_fraction_better_than_stage2_selected,projected_rows_better_than_stage2_selected,selected_front_semantic_rank,selected_minus_best_front_f_semantic,semantic_vs_coupling_spearman,semantic_vs_cohesion_spearman,semantic_vs_imbalance_spearman,semantic_objective_used_for_selection,diagnostic_note
jpetstore,0,100,61,True,39,100,0.3562014513514241143,0.5463518120765046282,0.78427093967525152163,0.099291752222786008875,0.51226006853751848702,39,0.39000000000000001332,14,40,0.15605861718609437272,0.60962612213714406639,0.35203120312031205286,-0.03940464408057844925,False,descriptive front contribution; semantic objective was not used by the representative selector
jpetstore,1,100,51,True,49,96,0.28651701579068378223,0.50513456530507760966,0.70967683360927913405,0.091928628747503723928,0.51226006853751848702,59,0.58999999999999996891,21,60,0.22574305274683470479,-0.068515429201750355226,-0.058614564835482288463,-0.22648297927727470413,False,descriptive front contribution; semantic objective was not used by the representative selector
jpetstore,2,100,41,True,59,99,0.32774230946527704855,0.49769835390821520749,0.68152636317856751802,0.083621002910335681668,0.51226006853751848702,59,0.58999999999999996891,12,60,0.18451775907224143847,0.23267300101857951722,0.48156760146511812248,0.021412213586381442787,False,descriptive front contribution; semantic objective was not used by the representative selector
jpetstore,3,100,69,True,31,98,0.35358952330260673413,0.53684691106300608254,0.76975524618538004873,0.091405628496096194557,0.51226006853751848702,39,0.39000000000000001332,16,40,0.15867054523491175289,0.3656356360301802888,0.18709383194955470087,-0.1128089772495298182,False,descriptive front contribution; semantic objective was not used by the representative selector
jpetstore,4,100,51,True,49,99,0.28651701579068378223,0.54540997200735996664,0.74751897268255140805,0.10509243247592321702,0.51226006853751848702,36,0.35999999999999998668,5,37,0.22574305274683470479,0.5713831363435876165,0.46078746111056811952,-0.043887376339197051167,False,descriptive front contribution; semantic objective was not used by the representative selector
jpetstore,5,100,45,True,55,97,0.26342572455406321197,0.52149371892597928824,0.82045057235305773879,0.11410848387491855094,0.51226006853751848702,46,0.46000000000000001998,13,47,0.24883434398345527505,0.41382538633253979077,0.59341668244242207209,0.13624085625951645739,False,descriptive front contribution; semantic objective was not used by the representative selector
jpetstore,6,100,43,True,57,100,0.30528984221309940494,0.49495551443324503627,0.71228548088466547838,0.10472946623921826348,0.51226006853751848702,56,0.56000000000000005329,12,57,0.20697022632441908208,0.13092491222793065098,0.39113111311131104619,-0.26605072845097926804,False,descriptive front contribution; semantic objective was not used by the representative selector
jpetstore,7,100,49,True,51,99,0.24101129252703723527,0.46996727366090645939,0.67822210223615408964,0.10756815335609715145,0.51226006853751848702,62,0.61999999999999999556,21,63,0.27124877601048125175,0.15082382465859475729,0.36992010177214729172,0.021559001142350646407,False,descriptive front contribution; semantic objective was not used by the representative selector
jpetstore,8,100,51,True,49,100,0.31383455107111379867,0.51393298372286400078,0.76322146112117761341,0.09584854883518130475,0.51226006853751848702,48,0.47999999999999998224,9,49,0.19842551746640468835,0.16563200449381698665,0.47601560156015593206,-0.038262521882976706367,False,descriptive front contribution; semantic objective was not used by the representative selector
jpetstore,9,100,52,True,48,99,0.26342572455406321197,0.49891524139013398997,0.74834601231790132125,0.11115395074946338161,0.51226006853751848702,60,0.5999999999999999778,21,61,0.24883434398345527505,0.211943803721269447,0.43901721877550958784,0.009741382074252085202,False,descriptive front contribution; semantic objective was not used by the representative selector
jpetstore,10,100,60,True,40,100,0.28651701579068378223,0.54134127149638122667,0.78658167838724524223,0.11137444663697002034,0.51226006853751848702,41,0.40999999999999997558,18,42,0.22574305274683470479,0.70044166617362191296,0.4561176117611761005,0.05930942212601555269,False,descriptive front contribution; semantic objective was not used by the representative selector
jpetstore,11,100,45,True,55,100,0.30162760388834997105,0.48844339525907254362,0.69363009751426729643,0.086801375934820804159,0.51226006853751848702,60,0.5999999999999999778,16,61,0.21063246464916851597,-0.030755013128183166654,0.21592559255925591888,-0.29265455736294970768,False,descriptive front contribution; semantic objective was not used by the representative selector
jpetstore,12,100,50,True,50,98,0.28651701579068378223,0.49239332948058761596,0.68553217847275715879,0.091980115585591007421,0.51226006853751848702,60,0.5999999999999999778,26,38,0.17915204454503719234,0.39673595195618538423,0.34211529056821160522,0.061064938506495886061,False,descriptive front contribution; semantic objective was not used by the representative selector
jpetstore,13,100,52,True,48,100,0.30576806245195353728,0.51536980973050616761,0.7676821962487049289,0.096875882362340265397,0.51226006853751848702,49,0.48999999999999999112,11,50,0.20649200608556494974,0.32586302694636581911,0.32009096937128578286,-0.18621378983686259767,False,descriptive front contribution; semantic objective was not used by the representative selector
jpetstore,14,100,52,True,48,98,0.30455912623294068009,0.51461912934442832768,0.79006314127088761445,0.10706823791683446612,0.51226006853751848702,48,0.47999999999999998224,13,56,0.2290314377288557024,0.43781130433254106249,0.57430287611520669522,-0.12033244358776575,False,descriptive front contribution; semantic objective was not used by the representative selector
jpetstore,15,100,59,True,41,99,0.30649877843211226214,0.54680560500075492403,0.77010729179169756797,0.10452000629724944591,0.51226006853751848702,37,0.36999999999999999556,10,38,0.20576129010540622488,0.65632558079227920622,0.46694409524391150557,-0.0087334675565462014518,False,descriptive front contribution; semantic objective was not used by the representative selector
