subject,seed,source_type,source_path,representation_id,graph_hash,config_hash,completion_status,artifact_hash_status,stage2_path,stage3a_path,stage3b_path,stage3b_seed0_is_validation,stage3b_seed1_to_29_are_formal
jpetstore,0,validation,results/jpetstore/05_stage3_declaration_method_body/validation/seed_00,declaration_method_body_v1,2dcf34b9e931cfdb0eec205f7da5bd0f24f6956be98d838369e12573026a9214,c1af2191baefddee68a7f41c97c29f7799df4bcf5372d9e9cf44a52a3b510286,completed,passed,results/jpetstore/03_stage2_nsga/robustness_final_30seeds/seed_00,results/jpetstore/04_stage3_semantic/validation/seed_00,results/jpetstore/05_stage3_declaration_method_body/validation/seed_00,True,False
jpetstore,1,formal,results/jpetstore/05_stage3_declaration_method_body/formal/seed_01,declaration_method_body_v1,2dcf34b9e931cfdb0eec205f7da5bd0f24f6956be98d838369e12573026a9214,c1af2191baefddee68a7f41c97c29f7799df4bcf5372d9e9cf44a52a3b510286,completed,passed,results/jpetstore/03_stage2_nsga/robustness_final_30seeds/seed_01,results/jpetstore/04_stage3_semantic/formal/seed_01,results/jpetstore/05_stage3_declaration_method_body/formal/seed_01,False,True
jpetstore,2,formal,results/jpetstore/05_stage3_declaration_method_body/formal/seed_02,declaration_method_body_v1,2dcf34b9e931cfdb0eec205f7da5bd0f24f6956be98d838369e12573026a9214,c1af2191baefddee68a7f41c97c29f7799df4bcf5372d9e9cf44a52a3b510286,completed,passed,results/jpetstore/03_stage2_nsga/robustness_final_30seeds/seed_02,results/jpetstore/04_stage3_semantic/formal/seed_02,results/jpetstore/05_stage3_declaration_method_body/formal/seed_02,False,True
jpetstore,3,formal,results/jpetstore/05_stage3_declaration_method_body/formal/seed_03,declaration_method_body_v1,2dcf34b9e931cfdb0eec205f7da5bd0f24f6956be98d838369e12573026a9214,c1af2191baefddee68a7f41c97c29f7799df4bcf5372d9e9cf44a52a3b510286,completed,passed,results/jpetstore/03_stage2_nsga/robustness_final_30seeds/seed_03,results/jpetstore/04_stage3_semantic/formal/seed_03,results/jpetstore/05_stage3_declaration_method_body/formal/seed_03,False,True
jpetstore,4,formal,results/jpetstore/05_stage3_declaration_method_body/formal/seed_04,declaration_method_body_v1,2dcf34b9e931cfdb0eec205f7da5bd0f24f6956be98d838369e12573026a9214,c1af2191baefddee68a7f41c97c29f7799df4bcf5372d9e9cf44a52a3b510286,completed,passed,results/jpetstore/03_stage2_nsga/robustness_final_30seeds/seed_04,results/jpetstore/04_stage3_semantic/formal/seed_04,results/jpetstore/05_stage3_declaration_method_body/formal/seed_04,False,True
jpetstore,5,formal,results/jpetstore/05_stage3_declaration_method_body/formal/seed_05,declaration_method_body_v1,2dcf34b9e931cfdb0eec205f7da5bd0f24f6956be98d838369e12573026a9214,c1af2191baefddee68a7f41c97c29f7799df4bcf5372d9e9cf44a52a3b510286,completed,passed,results/jpetstore/03_stage2_nsga/robustness_final_30seeds/seed_05,results/jpetstore/04_stage3_semantic/formal/seed_05,results/jpetstore/05_stage3_declaration_method_body/formal/seed_05,False,True
jpetstore,6,formal,results/jpetstore/05_stage3_declaration_method_body/formal/seed_06,declaration_method_body_v1,2dcf34b9e931cfdb0eec205f7da5bd0f24f6956be98d838369e12573026a9214,c1af2191baefddee68a7f41c97c29f7799df4bcf5372d9e9cf44a52a3b510286,completed,passed,results/jpetstore/03_stage2_nsga/robustness_final_30seeds/seed_06,results/jpetstore/04_stage3_semantic/formal/seed_06,results/jpetstore/05_stage3_declaration_method_body/formal/seed_06,False,True
jpetstore,7,formal,results/jpetstore/05_stage3_declaration_method_body/formal/seed_07,declaration_method_body_v1,2dcf34b9e931cfdb0eec205f7da5bd0f24f6956be98d838369e12573026a9214,c1af2191baefddee68a7f41c97c29f7799df4bcf5372d9e9cf44a52a3b510286,completed,passed,results/jpetstore/03_stage2_nsga/robustness_final_30seeds/seed_07,results/jpetstore/04_stage3_semantic/formal/seed_07,results/jpetstore/05_stage3_declaration_method_body/formal/seed_07,False,True
jpetstore,8,formal,results/jpetstore/05_stage3_declaration_method_body/formal/seed_08,declaration_method_body_v1,2dcf34b9e931cfdb0eec205f7da5bd0f24f6956be98d838369e12573026a9214,c1af2191baefddee68a7f41c97c29f7799df4bcf5372d9e9cf44a52a3b510286,completed,passed,results/jpetstore/03_stage2_nsga/robustness_final_30seeds/seed_08,results/jpetstore/04_stage3_semantic/formal/seed_08,results/jpetstore/05_stage3_declaration_method_body/formal/seed_08,False,True
jpetstore,9,formal,results/jpetstore/05_stage3_declaration_method_body/formal/seed_09,declaration_method_body_v1,2dcf34b9e931cfdb0eec205f7da5bd0f24f6956be98d838369e12573026a9214,c1af2191baefddee68a7f41c97c29f7799df4bcf5372d9e9cf44a52a3b510286,completed,passed,results/jpetstore/03_stage2_nsga/robustness_final_30seeds/seed_09,results/jpetstore/04_stage3_semantic/formal/seed_09,results/jpetstore/05_stage3_declaration_method_body/formal/seed_09,False,True
