subject,stage3a_declaration_hash,class_ids,stage3a_group_size,stage3b_full_text_hashes,stage3b_distinct_hash_count,status,empty_body_classes
xerces,3ae36f6f14cea8ebbd4bf828cab530eb868c1f884d3bb1dbf5b049de6045c285,org.apache.xerces.dom.SecuritySupport$7|org.apache.xerces.impl.dv.SecuritySupport$7|org.apache.xerces.parsers.SecuritySupport$7|org.apache.xerces.xinclude.SecuritySupport$7|org.apache.xml.serialize.SecuritySupport$7,5,d0d28ec3df44f7e041c39724d023a1a9dfa185c7bdeb967f570a0c07d98f6f4b,1,unchanged,
xerces,3fb44aac69d888d2755eca62a1e593fa088043d6451fd19b3a90cfbc8a92ff23,org.apache.xerces.dom.SecuritySupport$8|org.apache.xerces.impl.dv.SecuritySupport$8|org.apache.xerces.parsers.SecuritySupport$8|org.apache.xerces.xinclude.SecuritySupport$8|org.apache.xml.serialize.SecuritySupport$8,5,86511c70db0dc36cdd481c8014f06736d24332bfcad652e4fd2d1743fc26db67,1,unchanged,
xerces,49d1e77c8fa6215bec51a06cbcabbb4d099d74647e64a04d6494e5a59133a34a,org.apache.xerces.dom.ObjectFactory|org.apache.xerces.impl.dv.ObjectFactory|org.apache.xerces.parsers.ObjectFactory|org.apache.xerces.xinclude.ObjectFactory|org.apache.xml.serialize.ObjectFactory,5,c8a06958a9895235ba26e221d9ec10ac182508d559df82d41849a00fc2e412ae,1,unchanged,
xerces,4fca8db224a9024ef00ffcdfd6d5856875d3a490da46338d7c9e28d1c10d9acd,org.apache.xerces.dom.SecuritySupport$3|org.apache.xerces.impl.dv.SecuritySupport$3|org.apache.xerces.parsers.SecuritySupport$3|org.apache.xerces.xinclude.SecuritySupport$3|org.apache.xml.serialize.SecuritySupport$3,5,8af9c2dc032cdaeb80ccbe1c2545e010e555a42a9998fc586c52b1227c5e7e36,1,unchanged,
xerces,6af59348663710d36475a07859dfaf00b11370bbdb8225118603d678d529184e,org.apache.xerces.dom.SecuritySupport$2|org.apache.xerces.impl.dv.SecuritySupport$2|org.apache.xerces.parsers.SecuritySupport$2|org.apache.xerces.xinclude.SecuritySupport$2|org.apache.xml.serialize.SecuritySupport$2,5,c00ea0d51804f8e0888dfdc3209bb29df207beb5281482f2d5ef44008aa426e4,1,unchanged,
xerces,98d3409121602417f75407e38f07caea05966fb746d4119733f29c4ca624eab7,org.apache.xerces.dom.SecuritySupport$1|org.apache.xerces.impl.dv.SecuritySupport$1|org.apache.xerces.parsers.SecuritySupport$1|org.apache.xerces.xinclude.SecuritySupport$1|org.apache.xml.serialize.SecuritySupport$1,5,458dba71e23e6fea78635777fddacf9876c47827179061096fc3d25973c9846d,1,unchanged,
xerces,9fc60181c994bf6466552898914e871526e3f9118f5c555c76d2abc645d03db1,org.apache.xerces.dom.SecuritySupport$4|org.apache.xerces.impl.dv.SecuritySupport$4|org.apache.xerces.parsers.SecuritySupport$4|org.apache.xerces.xinclude.SecuritySupport$4|org.apache.xml.serialize.SecuritySupport$4,5,d7f02abfd8f8f6c4cceb48a42ff33f93d8b4ce6a01691c9279c706ba8247caef,1,unchanged,
xerces,ac6f2adf67ceeeb5aba35428a01e51f7a2706280647196db3db720e62c3120f1,org.apache.xerces.dom.SecuritySupport$6|org.apache.xerces.impl.dv.SecuritySupport$6|org.apache.xerces.parsers.SecuritySupport$6|org.apache.xerces.xinclude.SecuritySupport$6|org.apache.xml.serialize.SecuritySupport$6,5,3f4cadf240e8fca3bf0c74d81829b14c635a81f105172578f16f6837a719ddfd,1,unchanged,
xerces,aeef6608bf43e6e58ab7fb2053b0830edb89d0212b9abda34204c37cf6fc8f6c,org.apache.xerces.dom.SecuritySupport$5|org.apache.xerces.impl.dv.SecuritySupport$5|org.apache.xerces.parsers.SecuritySupport$5|org.apache.xerces.xinclude.SecuritySupport$5|org.apache.xml.serialize.SecuritySupport$5,5,f6e902249758352ac3713e9ce7218d1d933d3ab3ecbb581b0d3df7ef80dd5457,1,unchanged,
xerces,c0a57e73698c8de56d69b20887c969d80b4b3746e029eb7120d15b6e6056ef3e,org.apache.xerces.dom.ObjectFactory$ConfigurationError|org.apache.xerces.impl.dv.ObjectFactory$ConfigurationError|org.apache.xerces.parsers.ObjectFactory$ConfigurationError|org.apache.xerces.xinclude.ObjectFactory$ConfigurationError|org.apache.xml.serialize.ObjectFactory$ConfigurationError,5,c662b9268c9234e681496f21b9ccf5bb8def43078e31d8e7e8603ad845e48cc4,1,unchanged,
xerces,d1104d3c86bd262db5f9c4221b4ffa629dc2aeb3fb8a3e8516aebe3ea404fe5f,org.apache.xerces.dom.SecuritySupport|org.apache.xerces.impl.dv.SecuritySupport|org.apache.xerces.parsers.SecuritySupport|org.apache.xerces.xinclude.SecuritySupport|org.apache.xml.serialize.SecuritySupport,5,f6393f8504fc98ca4155f5c526bcb8cab0eb27f2a6ba94f98b9384b34f390959,1,unchanged,
