subject,partition_source,semantic_objective,finite,in_range
jpetstore,all_one,0.0,True,True
jpetstore,all_singletons,1.0,True,True
jpetstore,fixed_leiden,0.5122600685375185,True,True
jpetstore,stage2_seed00_selected,0.5122600685375185,True,True
jpetstore,stage3a_seed00_selected,0.5122600685375185,True,True
jpetstore,stage3b_seed00_selected,0.5122600685375185,True,True
jpetstore,seeded_shuffle_42,0.7369250292648631,True,True
daytrader,all_one,0.0,True,True
daytrader,all_singletons,1.0,True,True
daytrader,fixed_leiden,0.5687088046963977,True,True
daytrader,stage2_seed00_selected,0.575731951339093,True,True
daytrader,stage3a_seed00_selected,0.5830336270130281,True,True
daytrader,stage3b_seed00_selected,0.734552402740659,True,True
daytrader,seeded_shuffle_42,0.7580738591551899,True,True
xerces,all_one,0.0,True,True
xerces,all_singletons,1.0,True,True
xerces,fixed_leiden,0.3887319473870403,True,True
xerces,stage2_seed00_selected,0.3887319473870403,True,True
xerces,stage3a_seed00_selected,0.3881231085907053,True,True
xerces,stage3b_seed00_selected,0.38743299874057835,True,True
xerces,seeded_shuffle_42,0.7646330050436978,True,True
