collision_group,record_type,edge_type,class_id_a,class_id_b,rank,weight,selected_by,identical_embedding_tie,tie_rule
collision_01,directed_topk,intra_group,org.apache.xerces.dom.ObjectFactory,org.apache.xerces.impl.dv.ObjectFactory,1,1,directed,true,class_id_lexicographic_ascending
collision_01,directed_topk,intra_group,org.apache.xerces.dom.ObjectFactory,org.apache.xerces.parsers.ObjectFactory,2,1,directed,true,class_id_lexicographic_ascending
collision_01,directed_topk,intra_group,org.apache.xerces.dom.ObjectFactory,org.apache.xerces.xinclude.ObjectFactory,3,1,directed,true,class_id_lexicographic_ascending
collision_02,directed_topk,intra_group,org.apache.xerces.dom.ObjectFactory$ConfigurationError,org.apache.xerces.impl.dv.ObjectFactory$ConfigurationError,1,1,directed,true,class_id_lexicographic_ascending
collision_02,directed_topk,intra_group,org.apache.xerces.dom.ObjectFactory$ConfigurationError,org.apache.xerces.parsers.ObjectFactory$ConfigurationError,2,1,directed,true,class_id_lexicographic_ascending
collision_02,directed_topk,intra_group,org.apache.xerces.dom.ObjectFactory$ConfigurationError,org.apache.xerces.xinclude.ObjectFactory$ConfigurationError,3,1,directed,true,class_id_lexicographic_ascending
collision_03,directed_topk,intra_group,org.apache.xerces.dom.SecuritySupport,org.apache.xerces.impl.dv.SecuritySupport,1,0.999999999999999,directed,true,class_id_lexicographic_ascending
collision_03,directed_topk,intra_group,org.apache.xerces.dom.SecuritySupport,org.apache.xerces.parsers.SecuritySupport,2,0.999999999999999,directed,true,class_id_lexicographic_ascending
collision_03,directed_topk,intra_group,org.apache.xerces.dom.SecuritySupport,org.apache.xerces.xinclude.SecuritySupport,3,0.999999999999999,directed,true,class_id_lexicographic_ascending
collision_04,directed_topk,intra_group,org.apache.xerces.dom.SecuritySupport$1,org.apache.xerces.impl.dv.SecuritySupport$1,1,1,directed,true,class_id_lexicographic_ascending
collision_04,directed_topk,intra_group,org.apache.xerces.dom.SecuritySupport$1,org.apache.xerces.parsers.SecuritySupport$1,2,1,directed,true,class_id_lexicographic_ascending
collision_04,directed_topk,intra_group,org.apache.xerces.dom.SecuritySupport$1,org.apache.xerces.xinclude.SecuritySupport$1,3,1,directed,true,class_id_lexicographic_ascending
collision_05,directed_topk,intra_group,org.apache.xerces.dom.SecuritySupport$2,org.apache.xerces.impl.dv.SecuritySupport$2,1,1,directed,true,class_id_lexicographic_ascending
collision_05,directed_topk,intra_group,org.apache.xerces.dom.SecuritySupport$2,org.apache.xerces.parsers.SecuritySupport$2,2,1,directed,true,class_id_lexicographic_ascending
collision_05,directed_topk,intra_group,org.apache.xerces.dom.SecuritySupport$2,org.apache.xerces.xinclude.SecuritySupport$2,3,1,directed,true,class_id_lexicographic_ascending
collision_06,directed_topk,intra_group,org.apache.xerces.dom.SecuritySupport$3,org.apache.xerces.impl.dv.SecuritySupport$3,1,0.99999999999999789,directed,true,class_id_lexicographic_ascending
collision_06,directed_topk,intra_group,org.apache.xerces.dom.SecuritySupport$3,org.apache.xerces.parsers.SecuritySupport$3,2,0.99999999999999789,directed,true,class_id_lexicographic_ascending
collision_06,directed_topk,intra_group,org.apache.xerces.dom.SecuritySupport$3,org.apache.xerces.xinclude.SecuritySupport$3,3,0.99999999999999789,directed,true,class_id_lexicographic_ascending
collision_07,directed_topk,intra_group,org.apache.xerces.dom.SecuritySupport$4,org.apache.xerces.impl.dv.SecuritySupport$4,1,0.99999999999999878,directed,true,class_id_lexicographic_ascending
collision_07,directed_topk,intra_group,org.apache.xerces.dom.SecuritySupport$4,org.apache.xerces.parsers.SecuritySupport$4,2,0.99999999999999878,directed,true,class_id_lexicographic_ascending
collision_07,directed_topk,intra_group,org.apache.xerces.dom.SecuritySupport$4,org.apache.xerces.xinclude.SecuritySupport$4,3,0.99999999999999878,directed,true,class_id_lexicographic_ascending
collision_08,directed_topk,intra_group,org.apache.xerces.dom.SecuritySupport$5,org.apache.xerces.impl.dv.SecuritySupport$5,1,1,directed,true,class_id_lexicographic_ascending
collision_08,directed_topk,intra_group,org.apache.xerces.dom.SecuritySupport$5,org.apache.xerces.parsers.SecuritySupport$5,2,1,directed,true,class_id_lexicographic_ascending
collision_08,directed_topk,intra_group,org.apache.xerces.dom.SecuritySupport$5,org.apache.xerces.xinclude.SecuritySupport$5,3,1,directed,true,class_id_lexicographic_ascending
collision_09,directed_topk,intra_group,org.apache.xerces.dom.SecuritySupport$6,org.apache.xerces.impl.dv.SecuritySupport$6,1,1,directed,true,class_id_lexicographic_ascending
collision_09,directed_topk,intra_group,org.apache.xerces.dom.SecuritySupport$6,org.apache.xerces.parsers.SecuritySupport$6,2,1,directed,true,class_id_lexicographic_ascending
collision_09,directed_topk,intra_group,org.apache.xerces.dom.SecuritySupport$6,org.apache.xerces.xinclude.SecuritySupport$6,3,1,directed,true,class_id_lexicographic_ascending
collision_10,directed_topk,intra_group,org.apache.xerces.dom.SecuritySupport$7,org.apache.xerces.impl.dv.SecuritySupport$7,1,1,directed,true,class_id_lexicographic_ascending
collision_10,directed_topk,intra_group,org.apache.xerces.dom.SecuritySupport$7,org.apache.xerces.parsers.SecuritySupport$7,2,1,directed,true,class_id_lexicographic_ascending
collision_10,directed_topk,intra_group,org.apache.xerces.dom.SecuritySupport$7,org.apache.xerces.xinclude.SecuritySupport$7,3,1,directed,true,class_id_lexicographic_ascending
collision_11,directed_topk,intra_group,org.apache.xerces.dom.SecuritySupport$8,org.apache.xerces.impl.dv.SecuritySupport$8,1,1,directed,true,class_id_lexicographic_ascending
collision_11,directed_topk,intra_group,org.apache.xerces.dom.SecuritySupport$8,org.apache.xerces.parsers.SecuritySupport$8,2,1,directed,true,class_id_lexicographic_ascending
collision_11,directed_topk,intra_group,org.apache.xerces.dom.SecuritySupport$8,org.apache.xerces.xinclude.SecuritySupport$8,3,1,directed,true,class_id_lexicographic_ascending
collision_01,directed_topk,intra_group,org.apache.xerces.impl.dv.ObjectFactory,org.apache.xerces.dom.ObjectFactory,1,1,directed,true,class_id_lexicographic_ascending
collision_01,directed_topk,intra_group,org.apache.xerces.impl.dv.ObjectFactory,org.apache.xerces.parsers.ObjectFactory,2,1,directed,true,class_id_lexicographic_ascending
collision_01,directed_topk,intra_group,org.apache.xerces.impl.dv.ObjectFactory,org.apache.xerces.xinclude.ObjectFactory,3,1,directed,true,class_id_lexicographic_ascending
collision_02,directed_topk,intra_group,org.apache.xerces.impl.dv.ObjectFactory$ConfigurationError,org.apache.xerces.dom.ObjectFactory$ConfigurationError,1,1,directed,true,class_id_lexicographic_ascending
collision_02,directed_topk,intra_group,org.apache.xerces.impl.dv.ObjectFactory$ConfigurationError,org.apache.xerces.parsers.ObjectFactory$ConfigurationError,2,1,directed,true,class_id_lexicographic_ascending
collision_02,directed_topk,intra_group,org.apache.xerces.impl.dv.ObjectFactory$ConfigurationError,org.apache.xerces.xinclude.ObjectFactory$ConfigurationError,3,1,directed,true,class_id_lexicographic_ascending
collision_03,directed_topk,intra_group,org.apache.xerces.impl.dv.SecuritySupport,org.apache.xerces.dom.SecuritySupport,1,0.999999999999999,directed,true,class_id_lexicographic_ascending
collision_03,directed_topk,intra_group,org.apache.xerces.impl.dv.SecuritySupport,org.apache.xerces.parsers.SecuritySupport,2,0.999999999999999,directed,true,class_id_lexicographic_ascending
collision_03,directed_topk,intra_group,org.apache.xerces.impl.dv.SecuritySupport,org.apache.xerces.xinclude.SecuritySupport,3,0.999999999999999,directed,true,class_id_lexicographic_ascending
collision_04,directed_topk,intra_group,org.apache.xerces.impl.dv.SecuritySupport$1,org.apache.xerces.dom.SecuritySupport$1,1,1,directed,true,class_id_lexicographic_ascending
collision_04,directed_topk,intra_group,org.apache.xerces.impl.dv.SecuritySupport$1,org.apache.xerces.parsers.SecuritySupport$1,2,1,directed,true,class_id_lexicographic_ascending
collision_04,directed_topk,intra_group,org.apache.xerces.impl.dv.SecuritySupport$1,org.apache.xerces.xinclude.SecuritySupport$1,3,1,directed,true,class_id_lexicographic_ascending
collision_05,directed_topk,intra_group,org.apache.xerces.impl.dv.SecuritySupport$2,org.apache.xerces.dom.SecuritySupport$2,1,1,directed,true,class_id_lexicographic_ascending
collision_05,directed_topk,intra_group,org.apache.xerces.impl.dv.SecuritySupport$2,org.apache.xerces.parsers.SecuritySupport$2,2,1,directed,true,class_id_lexicographic_ascending
collision_05,directed_topk,intra_group,org.apache.xerces.impl.dv.SecuritySupport$2,org.apache.xerces.xinclude.SecuritySupport$2,3,1,directed,true,class_id_lexicographic_ascending
collision_06,directed_topk,intra_group,org.apache.xerces.impl.dv.SecuritySupport$3,org.apache.xerces.dom.SecuritySupport$3,1,0.99999999999999789,directed,true,class_id_lexicographic_ascending
collision_06,directed_topk,intra_group,org.apache.xerces.impl.dv.SecuritySupport$3,org.apache.xerces.parsers.SecuritySupport$3,2,0.99999999999999789,directed,true,class_id_lexicographic_ascending
collision_06,directed_topk,intra_group,org.apache.xerces.impl.dv.SecuritySupport$3,org.apache.xerces.xinclude.SecuritySupport$3,3,0.99999999999999789,directed,true,class_id_lexicographic_ascending
collision_07,directed_topk,intra_group,org.apache.xerces.impl.dv.SecuritySupport$4,org.apache.xerces.dom.SecuritySupport$4,1,0.99999999999999878,directed,true,class_id_lexicographic_ascending
collision_07,directed_topk,intra_group,org.apache.xerces.impl.dv.SecuritySupport$4,org.apache.xerces.parsers.SecuritySupport$4,2,0.99999999999999878,directed,true,class_id_lexicographic_ascending
collision_07,directed_topk,intra_group,org.apache.xerces.impl.dv.SecuritySupport$4,org.apache.xerces.xinclude.SecuritySupport$4,3,0.99999999999999878,directed,true,class_id_lexicographic_ascending
collision_08,directed_topk,intra_group,org.apache.xerces.impl.dv.SecuritySupport$5,org.apache.xerces.dom.SecuritySupport$5,1,1,directed,true,class_id_lexicographic_ascending
collision_08,directed_topk,intra_group,org.apache.xerces.impl.dv.SecuritySupport$5,org.apache.xerces.parsers.SecuritySupport$5,2,1,directed,true,class_id_lexicographic_ascending
collision_08,directed_topk,intra_group,org.apache.xerces.impl.dv.SecuritySupport$5,org.apache.xerces.xinclude.SecuritySupport$5,3,1,directed,true,class_id_lexicographic_ascending
collision_09,directed_topk,intra_group,org.apache.xerces.impl.dv.SecuritySupport$6,org.apache.xerces.dom.SecuritySupport$6,1,1,directed,true,class_id_lexicographic_ascending
collision_09,directed_topk,intra_group,org.apache.xerces.impl.dv.SecuritySupport$6,org.apache.xerces.parsers.SecuritySupport$6,2,1,directed,true,class_id_lexicographic_ascending
collision_09,directed_topk,intra_group,org.apache.xerces.impl.dv.SecuritySupport$6,org.apache.xerces.xinclude.SecuritySupport$6,3,1,directed,true,class_id_lexicographic_ascending
collision_10,directed_topk,intra_group,org.apache.xerces.impl.dv.SecuritySupport$7,org.apache.xerces.dom.SecuritySupport$7,1,1,directed,true,class_id_lexicographic_ascending
collision_10,directed_topk,intra_group,org.apache.xerces.impl.dv.SecuritySupport$7,org.apache.xerces.parsers.SecuritySupport$7,2,1,directed,true,class_id_lexicographic_ascending
collision_10,directed_topk,intra_group,org.apache.xerces.impl.dv.SecuritySupport$7,org.apache.xerces.xinclude.SecuritySupport$7,3,1,directed,true,class_id_lexicographic_ascending
collision_11,directed_topk,intra_group,org.apache.xerces.impl.dv.SecuritySupport$8,org.apache.xerces.dom.SecuritySupport$8,1,1,directed,true,class_id_lexicographic_ascending
collision_11,directed_topk,intra_group,org.apache.xerces.impl.dv.SecuritySupport$8,org.apache.xerces.parsers.SecuritySupport$8,2,1,directed,true,class_id_lexicographic_ascending
collision_11,directed_topk,intra_group,org.apache.xerces.impl.dv.SecuritySupport$8,org.apache.xerces.xinclude.SecuritySupport$8,3,1,directed,true,class_id_lexicographic_ascending
collision_01,directed_topk,intra_group,org.apache.xerces.parsers.ObjectFactory,org.apache.xerces.dom.ObjectFactory,1,1,directed,true,class_id_lexicographic_ascending
