group_id,member_count,collision_classes_over_xerces,directed_top3_rows,directed_intragroup_selections,directed_external_selections,identical_embedding_tie_selections,tie_rule,stage3b_intragroup_edges,stage3b_external_edges,total_edges_involving_collision_classes,collision_edges_over_all_xerces_edges,intragroup_edges_over_all_xerces_edges,all_three_neighbours_intragroup_count,all_three_neighbours_intragroup_fraction,connected_component_count_touched,components_primarily_explained_by_collision_group,component_memberships,graph_edge_weight_values,nearly_closed_component
collision_01,5,0.0061425061425061421,15,15,0,15,class_id_lexicographic_ascending,9,0,9,0.005353955978584176,0.005353955978584176,5,1,1,1,"['org.apache.xerces.dom.ObjectFactory', 'org.apache.xerces.impl.dv.ObjectFactory', 'org.apache.xerces.parsers.ObjectFactory', 'org.apache.xerces.xinclude.ObjectFactory', 'org.apache.xml.serialize.ObjectFactory']",1|1|1|1|1|1|1|1|1,true
collision_02,5,0.0061425061425061421,15,15,0,15,class_id_lexicographic_ascending,9,0,9,0.005353955978584176,0.005353955978584176,5,1,1,1,"['org.apache.xerces.dom.ObjectFactory$ConfigurationError', 'org.apache.xerces.impl.dv.ObjectFactory$ConfigurationError', 'org.apache.xerces.parsers.ObjectFactory$ConfigurationError', 'org.apache.xerces.xinclude.ObjectFactory$ConfigurationError', 'org.apache.xml.serialize.ObjectFactory$ConfigurationError']",1|1|1|1|1|1|1|1|1,true
collision_03,5,0.0061425061425061421,15,15,0,15,class_id_lexicographic_ascending,9,0,9,0.005353955978584176,0.005353955978584176,5,1,1,1,"['org.apache.xerces.dom.SecuritySupport', 'org.apache.xerces.impl.dv.SecuritySupport', 'org.apache.xerces.parsers.SecuritySupport', 'org.apache.xerces.xinclude.SecuritySupport', 'org.apache.xml.serialize.SecuritySupport']",0.999999999999999|0.999999999999999|0.999999999999999|0.999999999999999|0.999999999999999|0.999999999999999|0.999999999999999|0.999999999999999|0.999999999999999,true
collision_04,5,0.0061425061425061421,15,15,0,15,class_id_lexicographic_ascending,9,0,9,0.005353955978584176,0.005353955978584176,5,1,1,1,"['org.apache.xerces.dom.SecuritySupport$1', 'org.apache.xerces.impl.dv.SecuritySupport$1', 'org.apache.xerces.parsers.SecuritySupport$1', 'org.apache.xerces.xinclude.SecuritySupport$1', 'org.apache.xml.serialize.SecuritySupport$1']",1|1|1|1|1|1|1|1|1,true
collision_05,5,0.0061425061425061421,15,15,0,15,class_id_lexicographic_ascending,9,0,9,0.005353955978584176,0.005353955978584176,5,1,1,1,"['org.apache.xerces.dom.SecuritySupport$2', 'org.apache.xerces.impl.dv.SecuritySupport$2', 'org.apache.xerces.parsers.SecuritySupport$2', 'org.apache.xerces.xinclude.SecuritySupport$2', 'org.apache.xml.serialize.SecuritySupport$2']",1|1|1|1|1|1|1|1|1,true
collision_06,5,0.0061425061425061421,15,15,0,15,class_id_lexicographic_ascending,9,0,9,0.005353955978584176,0.005353955978584176,5,1,1,1,"['org.apache.xerces.dom.SecuritySupport$3', 'org.apache.xerces.impl.dv.SecuritySupport$3', 'org.apache.xerces.parsers.SecuritySupport$3', 'org.apache.xerces.xinclude.SecuritySupport$3', 'org.apache.xml.serialize.SecuritySupport$3']",0.99999999999999789|0.99999999999999789|0.99999999999999789|0.99999999999999789|0.99999999999999789|0.99999999999999789|0.99999999999999789|0.99999999999999789|0.99999999999999789,true
collision_07,5,0.0061425061425061421,15,15,0,15,class_id_lexicographic_ascending,9,3,12,0.007138607971445568,0.005353955978584176,5,1,1,1,"['org.apache.xerces.dom.SecuritySupport$4', 'org.apache.xerces.impl.dv.SecuritySupport$4', 'org.apache.xerces.parsers.SecuritySupport$4', 'org.apache.xerces.xinclude.SecuritySupport$4', 'org.apache.xml.serialize.SecuritySupport$4']",0.62586198228930767|0.99999999999999878|0.99999999999999878|0.99999999999999878|0.99999999999999878|0.62586198228930767|0.62586198228930767|0.99999999999999878|0.99999999999999878|0.99999999999999878|0.99999999999999878|0.99999999999999878,true
collision_08,5,0.0061425061425061421,15,15,0,15,class_id_lexicographic_ascending,9,0,9,0.005353955978584176,0.005353955978584176,5,1,1,1,"['org.apache.xerces.dom.SecuritySupport$5', 'org.apache.xerces.impl.dv.SecuritySupport$5', 'org.apache.xerces.parsers.SecuritySupport$5', 'org.apache.xerces.xinclude.SecuritySupport$5', 'org.apache.xml.serialize.SecuritySupport$5']",1|1|1|1|1|1|1|1|1,true
collision_09,5,0.0061425061425061421,15,15,0,15,class_id_lexicographic_ascending,9,0,9,0.005353955978584176,0.005353955978584176,5,1,1,1,"['org.apache.xerces.dom.SecuritySupport$6', 'org.apache.xerces.impl.dv.SecuritySupport$6', 'org.apache.xerces.parsers.SecuritySupport$6', 'org.apache.xerces.xinclude.SecuritySupport$6', 'org.apache.xml.serialize.SecuritySupport$6']",1|1|1|1|1|1|1|1|1,true
collision_10,5,0.0061425061425061421,15,15,0,15,class_id_lexicographic_ascending,9,1,10,0.0059488399762046397,0.005353955978584176,5,1,1,0,"['org.apache.xerces.dom.SecuritySupport$7', 'org.apache.xerces.impl.dv.SecuritySupport$7', 'org.apache.xerces.parsers.SecuritySupport$7', 'org.apache.xerces.xinclude.SecuritySupport$7', 'org.apache.xml.serialize.SecuritySupport$7']",1|1|0.45051808989650483|1|1|1|1|1|1|1,true
collision_11,5,0.0061425061425061421,15,15,0,15,class_id_lexicographic_ascending,9,0,9,0.005353955978584176,0.005353955978584176,5,1,1,1,"['org.apache.xerces.dom.SecuritySupport$8', 'org.apache.xerces.impl.dv.SecuritySupport$8', 'org.apache.xerces.parsers.SecuritySupport$8', 'org.apache.xerces.xinclude.SecuritySupport$8', 'org.apache.xml.serialize.SecuritySupport$8']",1|1|1|1|1|1|1|1|1,true
