group_id,member_count,member_class_ids,member_fqns_for_audit_only,packages_for_audit_only,generated_status,class_kinds,declaration_hash,full_stage3b_text_hash,embedding_hash,method_inventory_hashes,jimple_body_hashes,permitted_body_evidence_hashes,raw_body_equivalence,normalized_body_equivalence,structural_neighbourhood_similarity,stage3b_intragroup_edges,stage3b_external_edges,classification,correctness_concern,notes
collision_01,5,org.apache.xerces.dom.ObjectFactory|org.apache.xerces.impl.dv.ObjectFactory|org.apache.xerces.parsers.ObjectFactory|org.apache.xerces.xinclude.ObjectFactory|org.apache.xml.serialize.ObjectFactory,org.apache.xerces.dom.ObjectFactory|org.apache.xerces.impl.dv.ObjectFactory|org.apache.xerces.parsers.ObjectFactory|org.apache.xerces.xinclude.ObjectFactory|org.apache.xml.serialize.ObjectFactory,org.apache.xerces.dom|org.apache.xerces.impl.dv|org.apache.xerces.parsers|org.apache.xerces.xinclude|org.apache.xml.serialize,not_detected,class,49d1e77c8fa6215bec51a06cbcabbb4d099d74647e64a04d6494e5a59133a34a,c8a06958a9895235ba26e221d9ec10ac182508d559df82d41849a00fc2e412ae,60ae260d8c630caaa1dba0023a2779f658f237ef615bb05a06f173828c0a5b70,a4a52e45584391eed6fafef7dd0d225f5c0ce15a6fb86d9745a164c6ddb75c4e|5af335d7292682a5803b27b405c949121951fd98b6a6cbe98c80966f912b2029|d1f50b540a0f88278a92ce6c7b348fbea40da0698de1d2d4ab8103d3ce2c3e99|d9c8dc49903f4512b7183e7973c37c3407ae376270038717c37a5761abf1622d|7961e33ca9c99288c1fecde054690eb082b0e809eb3b98acc4bc71ee3be9d58b,2028cd7458277849e3b13d85370b523a0ca0ae8de56759f55064bdf00781a57e|6f75a82b70112583ad3def6037f6c7cdbdd7dae9a94ad92cc940f364de373348|ca49998a608d5abb60c436f53b7f656506488c15b1d7fee1d34920dc2a0f8e4e|786e642c87a01004bc8a759e751929331c5edc66fe4df22b2ddd4c10fd438afc|312281adc5e06372157a0d1aa2276f35c796587a212c55c1b2341ec7607cea94,1be4a9585d956dd420e6a86d76c9d267285e0bedb17db19f154c7a39fcbfc334|1be4a9585d956dd420e6a86d76c9d267285e0bedb17db19f154c7a39fcbfc334|1be4a9585d956dd420e6a86d76c9d267285e0bedb17db19f154c7a39fcbfc334|1be4a9585d956dd420e6a86d76c9d267285e0bedb17db19f154c7a39fcbfc334|1be4a9585d956dd420e6a86d76c9d267285e0bedb17db19f154c7a39fcbfc334,false,true,0,9,0,C,none,Raw Jimple body hashes differ across package copies; permitted normalized body evidence is identical and package/owner/type context is intentionally excluded.
collision_02,5,org.apache.xerces.dom.ObjectFactory$ConfigurationError|org.apache.xerces.impl.dv.ObjectFactory$ConfigurationError|org.apache.xerces.parsers.ObjectFactory$ConfigurationError|org.apache.xerces.xinclude.ObjectFactory$ConfigurationError|org.apache.xml.serialize.ObjectFactory$ConfigurationError,org.apache.xerces.dom.ObjectFactory$ConfigurationError|org.apache.xerces.impl.dv.ObjectFactory$ConfigurationError|org.apache.xerces.parsers.ObjectFactory$ConfigurationError|org.apache.xerces.xinclude.ObjectFactory$ConfigurationError|org.apache.xml.serialize.ObjectFactory$ConfigurationError,org.apache.xerces.dom|org.apache.xerces.impl.dv|org.apache.xerces.parsers|org.apache.xerces.xinclude|org.apache.xml.serialize,not_detected,class,c0a57e73698c8de56d69b20887c969d80b4b3746e029eb7120d15b6e6056ef3e,c662b9268c9234e681496f21b9ccf5bb8def43078e31d8e7e8603ad845e48cc4,9dc5c38f169c078e08c9725ba30815157709bdeb33a2accf489df6a54c7c0a9c,f663e8755eb2212efabcc5534e3c14ebfef1f9dc033873665282f501836863c3|2dd63a8e20348eb816f5162b882cf16734c0b13c47e4ca8596a86cd86f2eedd5|d37c620cce7da0424bc39f7a12e300e13d88dfc6c50fed0ef6ad06f38df22531|0a76abcf435092de694a7c02247fb4b2c13644adb78698e30445c686ece62cee|e61696dd74efb4e639955bcc0b3e09606fede6cbf6077d0b4bf7433cd1d29e58,a4c3acbcd53dca94860da1523f9dfee21a0c8caef34937628d6007677890f1c5|54f4e65c966f44584137ada9e06801f23a8b518752d63fac3396b8384ea87a75|4880176c4f8507ea83f4989fc41974e024f63fcf86f3e0d739709a2c2a27782f|0ab6119fc9b90f939e74432afb6f485eb7afbe852b7781ae95a16be425472bfc|c3b91487b9b3a857f264aa50c4260eff0536820378cae7aa812f9dfa3bbd2250,0e39382e5eacdf97ab281f94483dcdfdbc5cfc074013fb2fe4eea9ebc59da234|0e39382e5eacdf97ab281f94483dcdfdbc5cfc074013fb2fe4eea9ebc59da234|0e39382e5eacdf97ab281f94483dcdfdbc5cfc074013fb2fe4eea9ebc59da234|0e39382e5eacdf97ab281f94483dcdfdbc5cfc074013fb2fe4eea9ebc59da234|0e39382e5eacdf97ab281f94483dcdfdbc5cfc074013fb2fe4eea9ebc59da234,false,true,0,9,0,C,none,Raw Jimple body hashes differ across package copies; permitted normalized body evidence is identical and package/owner/type context is intentionally excluded.
collision_03,5,org.apache.xerces.dom.SecuritySupport|org.apache.xerces.impl.dv.SecuritySupport|org.apache.xerces.parsers.SecuritySupport|org.apache.xerces.xinclude.SecuritySupport|org.apache.xml.serialize.SecuritySupport,org.apache.xerces.dom.SecuritySupport|org.apache.xerces.impl.dv.SecuritySupport|org.apache.xerces.parsers.SecuritySupport|org.apache.xerces.xinclude.SecuritySupport|org.apache.xml.serialize.SecuritySupport,org.apache.xerces.dom|org.apache.xerces.impl.dv|org.apache.xerces.parsers|org.apache.xerces.xinclude|org.apache.xml.serialize,not_detected,class,d1104d3c86bd262db5f9c4221b4ffa629dc2aeb3fb8a3e8516aebe3ea404fe5f,f6393f8504fc98ca4155f5c526bcb8cab0eb27f2a6ba94f98b9384b34f390959,96c9c0d1b239f4966d6f0082243f5c028c509825d49569a4a76b70229a22026b,9fb12595f45155714997c26e7b1b2c63ed7c7df7956fc15f2e41599604875b60|1a4f7193e2a406770798d2433fe473ca68cf8df78a3bab892995a1c11a0afa39|2bd97b3af0f8eefd823529707e0262c56f10ab2d8424f070e63d465535d6eee4|2a121cfb25a1b33a388ed00865ed1845a23dff06c255507fd68f5ab77dec70cf|bbafef743993130a0eb94fed2619eff00ec5c578bd811406886ba6176fe38187,2306e75b9c4b0959642c80d9e7d6d2415f920082d03abbcb5d030ced0eb100d0|938debd47f31a4f5cfa6640ee70094aa33773d0523b0bb681ade5725992d5f3d|b544a9b5124699f92f55a0c070c7d5b8d349d1328f7f476f0ce899a0421a801d|1e89282f35b5de4d8ccc8537980f1e3c2bf064d86caec8f76626f8a90b41e74b|9f3e1640460a9cb2e7b6e2ecdf571ca6b197a9789b4a228997ea8fe7429b311f,050fc6dd8befa16219607b073d03fa8b355ada88ba7e4c87205cbd76bbb13202|050fc6dd8befa16219607b073d03fa8b355ada88ba7e4c87205cbd76bbb13202|050fc6dd8befa16219607b073d03fa8b355ada88ba7e4c87205cbd76bbb13202|050fc6dd8befa16219607b073d03fa8b355ada88ba7e4c87205cbd76bbb13202|050fc6dd8befa16219607b073d03fa8b355ada88ba7e4c87205cbd76bbb13202,false,true,0,9,0,C,none,Raw Jimple body hashes differ across package copies; permitted normalized body evidence is identical and package/owner/type context is intentionally excluded.
collision_04,5,org.apache.xerces.dom.SecuritySupport$1|org.apache.xerces.impl.dv.SecuritySupport$1|org.apache.xerces.parsers.SecuritySupport$1|org.apache.xerces.xinclude.SecuritySupport$1|org.apache.xml.serialize.SecuritySupport$1,org.apache.xerces.dom.SecuritySupport$1|org.apache.xerces.impl.dv.SecuritySupport$1|org.apache.xerces.parsers.SecuritySupport$1|org.apache.xerces.xinclude.SecuritySupport$1|org.apache.xml.serialize.SecuritySupport$1,org.apache.xerces.dom|org.apache.xerces.impl.dv|org.apache.xerces.parsers|org.apache.xerces.xinclude|org.apache.xml.serialize,generated_or_synthetic_member,class,98d3409121602417f75407e38f07caea05966fb746d4119733f29c4ca624eab7,458dba71e23e6fea78635777fddacf9876c47827179061096fc3d25973c9846d,e37f0b276d424e04d5b196864f8dea32cf8ab2bc4be0599825b2c41d485ba717,06f5af17e01316c91804215250dc653f492362023d858cd7c1737560687c147d|8e52c760075e6ba5731b04bca46e00e444fdd565046f98a4a9f745a29a8391f6|8cecc2ea3c23637c5a5ffaba0ccaf0ceb7b15094b99a10a9e8f69c0147557d63|d6c367801eb92fe45530bab8753a6e6d5a3a5d9182b09534e0b3f62db6abe731|21470d53825977340f8e53d2b6d64a1b93c086593e0ed8aee4fb7d7291de96eb,739b274a21abc46d4972cb15f1bb0890634440dd2ba66831ac27ff626f6b934d|374a0d1395ae0dfa0dee64c55d0c68cdb2f20b0f372ddb4b935634803558c755|53c98e1c5eb00cd823f807f5b5fa8e842d1ae74c8a68cea970c1fd16d3dfb684|b3c389c0992f05cd41119c819bb7d27f0bc4eb3025ae8dba62af3c8b087c334b|146aa691427c8d91d90b11f0726326400309842c16bea6d2c778f9c0d86aaf7a,6a36a56badee36452d87c7fe28b4450de6857d1cc07782c9e9d6c80cb1d63af3|6a36a56badee36452d87c7fe28b4450de6857d1cc07782c9e9d6c80cb1d63af3|6a36a56badee36452d87c7fe28b4450de6857d1cc07782c9e9d6c80cb1d63af3|6a36a56badee36452d87c7fe28b4450de6857d1cc07782c9e9d6c80cb1d63af3|6a36a56badee36452d87c7fe28b4450de6857d1cc07782c9e9d6c80cb1d63af3,false,true,0,9,0,C,none,Raw Jimple body hashes differ across package copies; permitted normalized body evidence is identical and package/owner/type context is intentionally excluded.
collision_05,5,org.apache.xerces.dom.SecuritySupport$2|org.apache.xerces.impl.dv.SecuritySupport$2|org.apache.xerces.parsers.SecuritySupport$2|org.apache.xerces.xinclude.SecuritySupport$2|org.apache.xml.serialize.SecuritySupport$2,org.apache.xerces.dom.SecuritySupport$2|org.apache.xerces.impl.dv.SecuritySupport$2|org.apache.xerces.parsers.SecuritySupport$2|org.apache.xerces.xinclude.SecuritySupport$2|org.apache.xml.serialize.SecuritySupport$2,org.apache.xerces.dom|org.apache.xerces.impl.dv|org.apache.xerces.parsers|org.apache.xerces.xinclude|org.apache.xml.serialize,generated_or_synthetic_member,class,6af59348663710d36475a07859dfaf00b11370bbdb8225118603d678d529184e,c00ea0d51804f8e0888dfdc3209bb29df207beb5281482f2d5ef44008aa426e4,0600abbb9709cd54db2171416ab6907b787eeb180263f6eb650f5d76edeed460,be02482f0d68f8cf458ac09b3e7a0197eeca12c9eb6ea7a9ae645899f6af5f65|bec83ceb8e83d61aa18118a9baca36956d427763fcf7b832c83d78b694e44f4c|001b13f8122ce2246910abdd21a450a057f94fcc94c4a5ad74066c1aff07f32f|5ef2ffb0f0817198bd7a186e379d8a5b939105a0dd2c09f5b7e03795d9e7d847|505fb654058ed9bbae46dbcd146ff71ef280683c528abd293d49999833c8b3f3,9cae9de647c518408179e36c34560b5d50fe6c3d3aceb4fed0f2939e8ce5c178|4581fdd34cc14647781f3cbe2d2e62ed37be658e512d4e8134149cd9aaa900ac|094f753f8e401ebab6b2b71673d76a59a92fd83330e0402103d24013a81b1fbe|38150b8a1aa0061081a45eda5af9647ebf005c64c28b0c960479cb63f3e2f55d|e00eca2c9fb15e7d3f6d2a6f64dee84645c0a4d6d5d82bb65a2eefa23fbe0369,6a36a56badee36452d87c7fe28b4450de6857d1cc07782c9e9d6c80cb1d63af3|6a36a56badee36452d87c7fe28b4450de6857d1cc07782c9e9d6c80cb1d63af3|6a36a56badee36452d87c7fe28b4450de6857d1cc07782c9e9d6c80cb1d63af3|6a36a56badee36452d87c7fe28b4450de6857d1cc07782c9e9d6c80cb1d63af3|6a36a56badee36452d87c7fe28b4450de6857d1cc07782c9e9d6c80cb1d63af3,false,true,0,9,0,C,none,Raw Jimple body hashes differ across package copies; permitted normalized body evidence is identical and package/owner/type context is intentionally excluded.
collision_06,5,org.apache.xerces.dom.SecuritySupport$3|org.apache.xerces.impl.dv.SecuritySupport$3|org.apache.xerces.parsers.SecuritySupport$3|org.apache.xerces.xinclude.SecuritySupport$3|org.apache.xml.serialize.SecuritySupport$3,org.apache.xerces.dom.SecuritySupport$3|org.apache.xerces.impl.dv.SecuritySupport$3|org.apache.xerces.parsers.SecuritySupport$3|org.apache.xerces.xinclude.SecuritySupport$3|org.apache.xml.serialize.SecuritySupport$3,org.apache.xerces.dom|org.apache.xerces.impl.dv|org.apache.xerces.parsers|org.apache.xerces.xinclude|org.apache.xml.serialize,generated_or_synthetic_member,class,4fca8db224a9024ef00ffcdfd6d5856875d3a490da46338d7c9e28d1c10d9acd,8af9c2dc032cdaeb80ccbe1c2545e010e555a42a9998fc586c52b1227c5e7e36,dee2cabf97cecdc52310151d0f1bbe317c29d0f45c474440295ce4fc860b15a0,a68ba7e0f54037fe645bd90dc0d239ad3ed6a271e65f3a3455ebbe9df20bf548|132e80cd1960a934a3472d000c7a931eb19b950bdbe98c69ae90c4fdb3a44558|75ea75640b75952fc3880f19dab4135172490fc43d39cb038e4c6e4a4c023250|d6df3591b02bce99a724bdb3d03fc0769335faf04937e37b65d119e290ada3c6|146ef0f9d87a7e954a424a2123d26d698eccef2085d79f544df6fd12a656a2a1,6449adf530d4e5ddef7c38a56ce0705943504923e5ea07959126c5c62e913c6f|d4ca30cff45685b17b5f937dabda8c783493894faf5e094cb087072a087cc547|d96fbe1802fe8f733bddd561cd6fe49e9da707211399d472399d7c004a8014a9|669568e4f6d5ae47b7643fa5e9edfb774c0a4949f43147c385246dbad50566d3|41249688c1489a40ec0ce53a18cedddb010b74451615db262efaaabcd8ada0ab,7ce182d7b65229e290471258c004e68b5f4ced57116652ca238a7f9e43f839bb|7ce182d7b65229e290471258c004e68b5f4ced57116652ca238a7f9e43f839bb|7ce182d7b65229e290471258c004e68b5f4ced57116652ca238a7f9e43f839bb|7ce182d7b65229e290471258c004e68b5f4ced57116652ca238a7f9e43f839bb|7ce182d7b65229e290471258c004e68b5f4ced57116652ca238a7f9e43f839bb,false,true,0,9,0,C,none,Raw Jimple body hashes differ across package copies; permitted normalized body evidence is identical and package/owner/type context is intentionally excluded.
collision_07,5,org.apache.xerces.dom.SecuritySupport$4|org.apache.xerces.impl.dv.SecuritySupport$4|org.apache.xerces.parsers.SecuritySupport$4|org.apache.xerces.xinclude.SecuritySupport$4|org.apache.xml.serialize.SecuritySupport$4,org.apache.xerces.dom.SecuritySupport$4|org.apache.xerces.impl.dv.SecuritySupport$4|org.apache.xerces.parsers.SecuritySupport$4|org.apache.xerces.xinclude.SecuritySupport$4|org.apache.xml.serialize.SecuritySupport$4,org.apache.xerces.dom|org.apache.xerces.impl.dv|org.apache.xerces.parsers|org.apache.xerces.xinclude|org.apache.xml.serialize,generated_or_synthetic_member,class,9fc60181c994bf6466552898914e871526e3f9118f5c555c76d2abc645d03db1,d7f02abfd8f8f6c4cceb48a42ff33f93d8b4ce6a01691c9279c706ba8247caef,18e802d4c75119b2037ebb453bfdfe042c933358771a4f97dae91850da007824,d5ba09a6c88ed49caf71da5d7f8a63bfbaaf7b5bf5eda1212a04e78589c24747|072b6f13df1d8093785eefc68c8dff9784952f3a86ad6442a076c866f520a18a|71bae0375903fb5a51633db806eb4110510713e7515e11e066a983253e80a466|28e8f124000af6bf6165c0bd077c7b67dea284f5d7c701d179f9822f58ff65ab|1831d4b031a86f23e0bde30c2fb0a1ff81dd9a06bcf6cfdccfdacc1a7239b835,3de9ddb4443bdf1d03e16865548250886bd7caacfdd6236dfb150c01c2cd8e55|87669ef4e0a02f56d7782e9296fb9331bf3ee4c69d60153447fd35e3a3269823|cec5fc8cda83f13c83718a8e990033d83ed5e84ddcdd618c1034ee4f7d2c4431|8865fbc05c993a2ebed428f2571820604c099b71e5dfcc477fcd794b54e2a82f|23ee63045ac1d94db718935f39396116bcdb3d0b56e1570dc228575f087bc84e,22255997c1868a3c6015014687d281b52eca55a92f921dfbfb4f120053cbf0d3|22255997c1868a3c6015014687d281b52eca55a92f921dfbfb4f120053cbf0d3|22255997c1868a3c6015014687d281b52eca55a92f921dfbfb4f120053cbf0d3|22255997c1868a3c6015014687d281b52eca55a92f921dfbfb4f120053cbf0d3|22255997c1868a3c6015014687d281b52eca55a92f921dfbfb4f120053cbf0d3,false,true,0,9,3,C,none,Raw Jimple body hashes differ across package copies; permitted normalized body evidence is identical and package/owner/type context is intentionally excluded.
collision_08,5,org.apache.xerces.dom.SecuritySupport$5|org.apache.xerces.impl.dv.SecuritySupport$5|org.apache.xerces.parsers.SecuritySupport$5|org.apache.xerces.xinclude.SecuritySupport$5|org.apache.xml.serialize.SecuritySupport$5,org.apache.xerces.dom.SecuritySupport$5|org.apache.xerces.impl.dv.SecuritySupport$5|org.apache.xerces.parsers.SecuritySupport$5|org.apache.xerces.xinclude.SecuritySupport$5|org.apache.xml.serialize.SecuritySupport$5,org.apache.xerces.dom|org.apache.xerces.impl.dv|org.apache.xerces.parsers|org.apache.xerces.xinclude|org.apache.xml.serialize,generated_or_synthetic_member,class,aeef6608bf43e6e58ab7fb2053b0830edb89d0212b9abda34204c37cf6fc8f6c,f6e902249758352ac3713e9ce7218d1d933d3ab3ecbb581b0d3df7ef80dd5457,fc0a8660ddbe7df6e768ed81d5bc53bd51f0bd6ef42e4c48f05b3665e739e5dd,d3c90e0308b0f8988fb07ac174a56886d100b7afb1788229aa31c1a741849e20|8ac20a96556fbc3660bd82e693f20768e43ce011184728d61095edf7431b8edb|78d01c6bec0892286b32d9d18d2bfaad6457505d42cc3edf915dfef552ebfcf9|3523cdedcbe20394d3a1091e2af5f70f832456ee890c287025305b8373d5ad1a|39a2ad8828ef30efde10270482df644efd43078f8e5e999f27d3939e0d7b7ca4,33050082b9c97f170a3703d0ddc42a16a21615f2dc6f533257fa2a8a84da6142|de118cdb61a9ef789b81f3f33365ab46f46bd0108e47c941f862d39a6baa6e6f|077a560ed3ad7c02720b5babf2fab61eb090027749ea17ddcac987cf83ecadfc|4eac5ad24f5ebc1cdb93a38cca08e8277df6b6d47316ed1316ecdef5598ab7fe|30c693c48e21f0c29e58f65c5d3c4583de466a0e1e33ea9f6f11db90765fa5a0,3e08fa2d886d03e384af73617c037bf5cb4ad500fab4e5ba4f781714f59d16ab|3e08fa2d886d03e384af73617c037bf5cb4ad500fab4e5ba4f781714f59d16ab|3e08fa2d886d03e384af73617c037bf5cb4ad500fab4e5ba4f781714f59d16ab|3e08fa2d886d03e384af73617c037bf5cb4ad500fab4e5ba4f781714f59d16ab|3e08fa2d886d03e384af73617c037bf5cb4ad500fab4e5ba4f781714f59d16ab,false,true,0,9,0,C,none,Raw Jimple body hashes differ across package copies; permitted normalized body evidence is identical and package/owner/type context is intentionally excluded.
collision_09,5,org.apache.xerces.dom.SecuritySupport$6|org.apache.xerces.impl.dv.SecuritySupport$6|org.apache.xerces.parsers.SecuritySupport$6|org.apache.xerces.xinclude.SecuritySupport$6|org.apache.xml.serialize.SecuritySupport$6,org.apache.xerces.dom.SecuritySupport$6|org.apache.xerces.impl.dv.SecuritySupport$6|org.apache.xerces.parsers.SecuritySupport$6|org.apache.xerces.xinclude.SecuritySupport$6|org.apache.xml.serialize.SecuritySupport$6,org.apache.xerces.dom|org.apache.xerces.impl.dv|org.apache.xerces.parsers|org.apache.xerces.xinclude|org.apache.xml.serialize,generated_or_synthetic_member,class,ac6f2adf67ceeeb5aba35428a01e51f7a2706280647196db3db720e62c3120f1,3f4cadf240e8fca3bf0c74d81829b14c635a81f105172578f16f6837a719ddfd,c5f22fc3d94f18603ea8056763b0d5cc14c8e4db99b5cac1fcd69a8fc8b93e7b,90bdd4da2e1911e084cc5466e9055af48460e888531966dd169242f219722fcf|71ed81b5660f466b94a3ec9d039dcdb02181b0c1196eeb7cf5dd0c6e6a23bb0f|52b7f0be7ffa283e1bfab18b3061238fff4afae871bb3a18b0cf919b5674bdbc|a202aa19be672093f9ee76c6efd41e11c729321cb1c33eef7c671d50ed0cb09f|ebcfdf844a4d68ef8439da87ccf1ed0891ae41fe233311c179dec34f3d7cdb0b,d0addabaa37fd1c1c2141e526a199afec798bde666c85477bb06ddf3c7b1c3c5|e9b69263455d96020e776fa4dbce6ad626c5612ac240d81dc73eb235e124fbc3|db9b90e1c462a5c9ecc4bf3d75b5130e13237f89869d10e63487c1e3b1d8222f|eb430acb5992a8ab725fcbd4f2a750f4bcb83b6b4e0a27324690dc06cf2711bd|84ced4b1d38cf85b25bdd36abf7b6e23180e8d6e1095884084bd3d54e11ee3ca,24ff40d3e7b495541ef8dfa396bff99529dd2a68b9cb659904c75f41fb9b24d7|24ff40d3e7b495541ef8dfa396bff99529dd2a68b9cb659904c75f41fb9b24d7|24ff40d3e7b495541ef8dfa396bff99529dd2a68b9cb659904c75f41fb9b24d7|24ff40d3e7b495541ef8dfa396bff99529dd2a68b9cb659904c75f41fb9b24d7|24ff40d3e7b495541ef8dfa396bff99529dd2a68b9cb659904c75f41fb9b24d7,false,true,0,9,0,C,none,Raw Jimple body hashes differ across package copies; permitted normalized body evidence is identical and package/owner/type context is intentionally excluded.
collision_10,5,org.apache.xerces.dom.SecuritySupport$7|org.apache.xerces.impl.dv.SecuritySupport$7|org.apache.xerces.parsers.SecuritySupport$7|org.apache.xerces.xinclude.SecuritySupport$7|org.apache.xml.serialize.SecuritySupport$7,org.apache.xerces.dom.SecuritySupport$7|org.apache.xerces.impl.dv.SecuritySupport$7|org.apache.xerces.parsers.SecuritySupport$7|org.apache.xerces.xinclude.SecuritySupport$7|org.apache.xml.serialize.SecuritySupport$7,org.apache.xerces.dom|org.apache.xerces.impl.dv|org.apache.xerces.parsers|org.apache.xerces.xinclude|org.apache.xml.serialize,generated_or_synthetic_member,class,3ae36f6f14cea8ebbd4bf828cab530eb868c1f884d3bb1dbf5b049de6045c285,d0d28ec3df44f7e041c39724d023a1a9dfa185c7bdeb967f570a0c07d98f6f4b,ad1553792a15a70f662d7337042be63ec85e63711216b8970930fe69e6813f4b,888fd52981205c1b9aef928558c58645f0a695aafe0693b2440af24ee76ac6fd|9c7bd7f0c4582def9bb56df8e09214f894e4fa48678448c6dcdcf525fbab5fe7|7118679af614fb538b3e5e94ebd1db21ebb8085cdb2137b7935ae01e4fd62d3b|c5cd81c6ce5988cbcca8fbf8fe9de0637740345ef424f021568c763ab0f1d3f5|ca2b122810498c5d820adabeae8fb60b5bff2cd5c5123b3c9efb8a13f82b4cad,e53625feb14b94579c4bc191a0fa07db3b4f4445e33fb727845feb06506aeb1b|81330d2655bfd37b447217e1fd0ae36571a04f769f2f1239fdba48919a046a93|093e79c0e23991386cd6bd5b9b1a6f5cabc6aa47756620c2e35931012cb2634e|9a12c966dd13bd5f5bb3860379fa0764a91d674cde38a441c9eb0945fc327d90|92287e7805b0c6d9e0b9b037d30e27e1685657d6bd5b9fad8d2c4c6706d36cf7,bc7439e0db20b2ede4d5d2731e589fcb8f0b39a61e2cc7d804073153d328e8b3|bc7439e0db20b2ede4d5d2731e589fcb8f0b39a61e2cc7d804073153d328e8b3|bc7439e0db20b2ede4d5d2731e589fcb8f0b39a61e2cc7d804073153d328e8b3|bc7439e0db20b2ede4d5d2731e589fcb8f0b39a61e2cc7d804073153d328e8b3|bc7439e0db20b2ede4d5d2731e589fcb8f0b39a61e2cc7d804073153d328e8b3,false,true,0,9,1,C,none,Raw Jimple body hashes differ across package copies; permitted normalized body evidence is identical and package/owner/type context is intentionally excluded.
