class_name,package,cluster_id,cluster_size
org.eclipse.cargotracker.application.BookingService,org.eclipse.cargotracker.application,0,27
org.eclipse.cargotracker.application.CargoInspectionService,org.eclipse.cargotracker.application,0,27
org.eclipse.cargotracker.application.internal.DefaultBookingService,org.eclipse.cargotracker.application.internal,0,27
org.eclipse.cargotracker.application.internal.DefaultCargoInspectionService,org.eclipse.cargotracker.application.internal,0,27
org.eclipse.cargotracker.domain.model.cargo.Cargo,org.eclipse.cargotracker.domain.model.cargo,0,27
org.eclipse.cargotracker.domain.model.cargo.CargoRepository,org.eclipse.cargotracker.domain.model.cargo,0,27
org.eclipse.cargotracker.domain.model.cargo.Delivery,org.eclipse.cargotracker.domain.model.cargo,0,27
org.eclipse.cargotracker.domain.model.cargo.HandlingActivity,org.eclipse.cargotracker.domain.model.cargo,0,27
org.eclipse.cargotracker.domain.model.cargo.Itinerary,org.eclipse.cargotracker.domain.model.cargo,0,27
org.eclipse.cargotracker.domain.model.cargo.RouteSpecification,org.eclipse.cargotracker.domain.model.cargo,0,27
org.eclipse.cargotracker.domain.model.cargo.TrackingId,org.eclipse.cargotracker.domain.model.cargo,0,27
org.eclipse.cargotracker.domain.model.handling.HandlingEventRepository,org.eclipse.cargotracker.domain.model.handling,0,27
org.eclipse.cargotracker.domain.model.handling.HandlingHistory,org.eclipse.cargotracker.domain.model.handling,0,27
org.eclipse.cargotracker.domain.model.handling.UnknownCargoException,org.eclipse.cargotracker.domain.model.handling,0,27
org.eclipse.cargotracker.domain.service.RoutingService,org.eclipse.cargotracker.domain.service,0,27
org.eclipse.cargotracker.infrastructure.messaging.jms.CargoHandledConsumer,org.eclipse.cargotracker.infrastructure.messaging.jms,0,27
org.eclipse.cargotracker.infrastructure.messaging.jms.JmsApplicationEvents,org.eclipse.cargotracker.infrastructure.messaging.jms,0,27
org.eclipse.cargotracker.infrastructure.persistence.jpa.JpaCargoRepository,org.eclipse.cargotracker.infrastructure.persistence.jpa,0,27
org.eclipse.cargotracker.infrastructure.persistence.jpa.JpaHandlingEventRepository,org.eclipse.cargotracker.infrastructure.persistence.jpa,0,27
org.eclipse.cargotracker.interfaces.booking.facade.dto.CargoStatus,org.eclipse.cargotracker.interfaces.booking.facade.dto,0,27
org.eclipse.cargotracker.interfaces.booking.facade.internal.DefaultBookingServiceFacade,org.eclipse.cargotracker.interfaces.booking.facade.internal,0,27
org.eclipse.cargotracker.interfaces.booking.facade.internal.assembler.CargoStatusDtoAssembler,org.eclipse.cargotracker.interfaces.booking.facade.internal.assembler,0,27
org.eclipse.cargotracker.interfaces.booking.sse.LocationViewAdapter,org.eclipse.cargotracker.interfaces.booking.sse,0,27
org.eclipse.cargotracker.interfaces.booking.sse.RealtimeCargoTrackingService,org.eclipse.cargotracker.interfaces.booking.sse,0,27
org.eclipse.cargotracker.interfaces.booking.sse.RealtimeCargoTrackingViewAdapter,org.eclipse.cargotracker.interfaces.booking.sse,0,27
org.eclipse.cargotracker.interfaces.tracking.web.CargoTrackingViewAdapter,org.eclipse.cargotracker.interfaces.tracking.web,0,27
org.eclipse.cargotracker.interfaces.tracking.web.Track,org.eclipse.cargotracker.interfaces.tracking.web,0,27
org.eclipse.cargotracker.domain.model.cargo.Leg,org.eclipse.cargotracker.domain.model.cargo,1,23
org.eclipse.cargotracker.domain.model.cargo.RoutingStatus,org.eclipse.cargotracker.domain.model.cargo,1,23
org.eclipse.cargotracker.domain.model.cargo.TransportStatus,org.eclipse.cargotracker.domain.model.cargo,1,23
org.eclipse.cargotracker.domain.model.location.LocationRepository,org.eclipse.cargotracker.domain.model.location,1,23
org.eclipse.cargotracker.domain.model.voyage.VoyageRepository,org.eclipse.cargotracker.domain.model.voyage,1,23
org.eclipse.cargotracker.infrastructure.persistence.jpa.JpaVoyageRepository,org.eclipse.cargotracker.infrastructure.persistence.jpa,1,23
org.eclipse.cargotracker.interfaces.booking.facade.BookingServiceFacade,org.eclipse.cargotracker.interfaces.booking.facade,1,23
org.eclipse.cargotracker.interfaces.booking.facade.dto.CargoRoute,org.eclipse.cargotracker.interfaces.booking.facade.dto,1,23
org.eclipse.cargotracker.interfaces.booking.facade.dto.Leg,org.eclipse.cargotracker.interfaces.booking.facade.dto,1,23
org.eclipse.cargotracker.interfaces.booking.facade.dto.Location,org.eclipse.cargotracker.interfaces.booking.facade.dto,1,23
org.eclipse.cargotracker.interfaces.booking.facade.dto.RouteCandidate,org.eclipse.cargotracker.interfaces.booking.facade.dto,1,23
org.eclipse.cargotracker.interfaces.booking.facade.internal.assembler.CargoRouteDtoAssembler,org.eclipse.cargotracker.interfaces.booking.facade.internal.assembler,1,23
org.eclipse.cargotracker.interfaces.booking.facade.internal.assembler.CargoStatusDtoAssembler$1,org.eclipse.cargotracker.interfaces.booking.facade.internal.assembler,1,23
org.eclipse.cargotracker.interfaces.booking.facade.internal.assembler.ItineraryCandidateDtoAssembler,org.eclipse.cargotracker.interfaces.booking.facade.internal.assembler,1,23
org.eclipse.cargotracker.interfaces.booking.facade.internal.assembler.LocationDtoAssembler,org.eclipse.cargotracker.interfaces.booking.facade.internal.assembler,1,23
org.eclipse.cargotracker.interfaces.booking.web.Booking,org.eclipse.cargotracker.interfaces.booking.web,1,23
org.eclipse.cargotracker.interfaces.booking.web.CargoDetails,org.eclipse.cargotracker.interfaces.booking.web,1,23
org.eclipse.cargotracker.interfaces.booking.web.ChangeArrivalDeadline,org.eclipse.cargotracker.interfaces.booking.web,1,23
org.eclipse.cargotracker.interfaces.booking.web.ChangeDestination,org.eclipse.cargotracker.interfaces.booking.web,1,23
