source,target,type_weight,call_weight,raw_weight
org.eclipse.cargotracker.application.ApplicationEvents,org.eclipse.cargotracker.domain.model.cargo.Cargo,2.0,0.0,2.0
org.eclipse.cargotracker.application.ApplicationEvents,org.eclipse.cargotracker.domain.model.handling.HandlingEvent,1.0,0.0,1.0
org.eclipse.cargotracker.application.ApplicationEvents,org.eclipse.cargotracker.interfaces.handling.HandlingEventRegistrationAttempt,1.0,0.0,1.0
org.eclipse.cargotracker.application.BookingService,org.eclipse.cargotracker.domain.model.cargo.Itinerary,1.0,0.0,1.0
org.eclipse.cargotracker.application.BookingService,org.eclipse.cargotracker.domain.model.cargo.TrackingId,5.0,0.0,5.0
org.eclipse.cargotracker.application.BookingService,org.eclipse.cargotracker.domain.model.location.UnLocode,2.0,0.0,2.0
org.eclipse.cargotracker.application.CargoInspectionService,org.eclipse.cargotracker.domain.model.cargo.TrackingId,1.0,0.0,1.0
org.eclipse.cargotracker.application.HandlingEventService,org.eclipse.cargotracker.domain.model.cargo.TrackingId,1.0,0.0,1.0
org.eclipse.cargotracker.application.HandlingEventService,org.eclipse.cargotracker.domain.model.handling.HandlingEvent$Type,1.0,0.0,1.0
org.eclipse.cargotracker.application.HandlingEventService,org.eclipse.cargotracker.domain.model.location.UnLocode,1.0,0.0,1.0
org.eclipse.cargotracker.application.HandlingEventService,org.eclipse.cargotracker.domain.model.voyage.VoyageNumber,1.0,0.0,1.0
org.eclipse.cargotracker.application.internal.DefaultBookingService,org.eclipse.cargotracker.application.BookingService,1.0,0.0,1.0
org.eclipse.cargotracker.application.internal.DefaultBookingService,org.eclipse.cargotracker.domain.model.cargo.Cargo,0.0,22.0,22.0
org.eclipse.cargotracker.application.internal.DefaultBookingService,org.eclipse.cargotracker.domain.model.cargo.CargoRepository,1.0,18.0,19.0
org.eclipse.cargotracker.application.internal.DefaultBookingService,org.eclipse.cargotracker.domain.model.cargo.Itinerary,1.0,0.0,1.0
org.eclipse.cargotracker.application.internal.DefaultBookingService,org.eclipse.cargotracker.domain.model.cargo.RouteSpecification,0.0,12.0,12.0
org.eclipse.cargotracker.application.internal.DefaultBookingService,org.eclipse.cargotracker.domain.model.cargo.TrackingId,5.0,2.0,7.0
org.eclipse.cargotracker.application.internal.DefaultBookingService,org.eclipse.cargotracker.domain.model.location.LocationRepository,1.0,6.0,7.0
org.eclipse.cargotracker.application.internal.DefaultBookingService,org.eclipse.cargotracker.domain.model.location.UnLocode,2.0,0.0,2.0
org.eclipse.cargotracker.application.internal.DefaultBookingService,org.eclipse.cargotracker.domain.service.RoutingService,1.0,2.0,3.0
org.eclipse.cargotracker.application.internal.DefaultCargoInspectionService,org.eclipse.cargotracker.application.ApplicationEvents,1.0,4.0,5.0
org.eclipse.cargotracker.application.internal.DefaultCargoInspectionService,org.eclipse.cargotracker.application.CargoInspectionService,1.0,0.0,1.0
org.eclipse.cargotracker.application.internal.DefaultCargoInspectionService,org.eclipse.cargotracker.domain.model.cargo.Cargo,0.0,6.0,6.0
org.eclipse.cargotracker.application.internal.DefaultCargoInspectionService,org.eclipse.cargotracker.domain.model.cargo.CargoRepository,1.0,4.0,5.0
org.eclipse.cargotracker.application.internal.DefaultCargoInspectionService,org.eclipse.cargotracker.domain.model.cargo.Delivery,0.0,4.0,4.0
org.eclipse.cargotracker.application.internal.DefaultCargoInspectionService,org.eclipse.cargotracker.domain.model.cargo.TrackingId,1.0,0.0,1.0
org.eclipse.cargotracker.application.internal.DefaultCargoInspectionService,org.eclipse.cargotracker.domain.model.handling.HandlingEventRepository,1.0,2.0,3.0
org.eclipse.cargotracker.application.internal.DefaultHandlingEventService,org.eclipse.cargotracker.application.ApplicationEvents,1.0,2.0,3.0
org.eclipse.cargotracker.application.internal.DefaultHandlingEventService,org.eclipse.cargotracker.application.HandlingEventService,1.0,0.0,1.0
org.eclipse.cargotracker.application.internal.DefaultHandlingEventService,org.eclipse.cargotracker.domain.model.cargo.TrackingId,1.0,0.0,1.0
org.eclipse.cargotracker.application.internal.DefaultHandlingEventService,org.eclipse.cargotracker.domain.model.handling.HandlingEvent$Type,1.0,0.0,1.0
org.eclipse.cargotracker.application.internal.DefaultHandlingEventService,org.eclipse.cargotracker.domain.model.handling.HandlingEventFactory,1.0,2.0,3.0
org.eclipse.cargotracker.application.internal.DefaultHandlingEventService,org.eclipse.cargotracker.domain.model.handling.HandlingEventRepository,1.0,2.0,3.0
org.eclipse.cargotracker.application.internal.DefaultHandlingEventService,org.eclipse.cargotracker.domain.model.location.UnLocode,1.0,0.0,1.0
org.eclipse.cargotracker.application.internal.DefaultHandlingEventService,org.eclipse.cargotracker.domain.model.voyage.VoyageNumber,1.0,0.0,1.0
org.eclipse.cargotracker.application.util.SampleDataGenerator,org.eclipse.cargotracker.application.util.ApplicationSettings,0.0,4.0,4.0
org.eclipse.cargotracker.application.util.SampleDataGenerator,org.eclipse.cargotracker.domain.model.cargo.Cargo,0.0,20.0,20.0
org.eclipse.cargotracker.application.util.SampleDataGenerator,org.eclipse.cargotracker.domain.model.cargo.Itinerary,0.0,6.0,6.0
org.eclipse.cargotracker.application.util.SampleDataGenerator,org.eclipse.cargotracker.domain.model.cargo.Leg,0.0,14.0,14.0
org.eclipse.cargotracker.application.util.SampleDataGenerator,org.eclipse.cargotracker.domain.model.cargo.RouteSpecification,0.0,8.0,8.0
org.eclipse.cargotracker.application.util.SampleDataGenerator,org.eclipse.cargotracker.domain.model.cargo.TrackingId,0.0,8.0,8.0
org.eclipse.cargotracker.application.util.SampleDataGenerator,org.eclipse.cargotracker.domain.model.handling.HandlingEventFactory,1.0,24.0,25.0
org.eclipse.cargotracker.application.util.SampleDataGenerator,org.eclipse.cargotracker.domain.model.handling.HandlingEventRepository,1.0,6.0,7.0
org.eclipse.cargotracker.application.util.SampleDataGenerator,org.eclipse.cargotracker.domain.model.location.Location,0.0,24.0,24.0
org.eclipse.cargotracker.application.util.SampleDataGenerator,org.eclipse.cargotracker.domain.model.voyage.Voyage,0.0,14.0,14.0
org.eclipse.cargotracker.domain.model.cargo.Cargo,org.eclipse.cargotracker.domain.model.cargo.Delivery,2.0,8.0,10.0
org.eclipse.cargotracker.domain.model.cargo.Cargo,org.eclipse.cargotracker.domain.model.cargo.Itinerary,3.0,0.0,3.0
org.eclipse.cargotracker.domain.model.cargo.Cargo,org.eclipse.cargotracker.domain.model.cargo.RouteSpecification,4.0,2.0,6.0
org.eclipse.cargotracker.domain.model.cargo.Cargo,org.eclipse.cargotracker.domain.model.cargo.TrackingId,3.0,6.0,9.0
org.eclipse.cargotracker.domain.model.cargo.Cargo,org.eclipse.cargotracker.domain.model.handling.HandlingHistory,1.0,0.0,1.0
org.eclipse.cargotracker.domain.model.cargo.Cargo,org.eclipse.cargotracker.domain.model.location.Location,3.0,0.0,3.0
org.eclipse.cargotracker.domain.model.cargo.Cargo,org.eclipse.cargotracker.domain.shared.DomainObjectUtils,0.0,2.0,2.0
org.eclipse.cargotracker.domain.model.cargo.CargoRepository,org.eclipse.cargotracker.domain.model.cargo.Cargo,2.0,0.0,2.0
org.eclipse.cargotracker.domain.model.cargo.CargoRepository,org.eclipse.cargotracker.domain.model.cargo.TrackingId,2.0,0.0,2.0
org.eclipse.cargotracker.domain.model.cargo.Delivery,org.eclipse.cargotracker.domain.model.cargo.HandlingActivity,4.0,12.0,16.0
org.eclipse.cargotracker.domain.model.cargo.Delivery,org.eclipse.cargotracker.domain.model.cargo.Itinerary,7.0,10.0,17.0
