cluster_id,cluster_size,packages,representative_classes
0,19,org.eclipse.cargotracker.application;org.eclipse.cargotracker.application.internal;org.eclipse.cargotracker.application.util;org.eclipse.cargotracker.domain.model.cargo;org.eclipse.cargotracker.domain.model.handling;org.eclipse.cargotracker.infrastructure.messaging.jms;org.eclipse.cargotracker.infrastructure.persistence.jpa;org.eclipse.cargotracker.interfaces.booking.facade.internal;org.eclipse.cargotracker.interfaces.tracking.web,ApplicationSettings;BookingService;CannotCreateHandlingEventException;CargoHandledConsumer;CargoInspectionService;DefaultBookingServiceFacade;DefaultHandlingEventService;HandlingEventFactory;HandlingEventRepository;HandlingHistory
1,17,org.eclipse.cargotracker.application.internal;org.eclipse.cargotracker.domain.model.cargo;org.eclipse.cargotracker.domain.service;org.eclipse.cargotracker.domain.shared;org.eclipse.cargotracker.interfaces.booking.facade.internal.assembler;org.eclipse.cargotracker.interfaces.booking.sse;org.eclipse.cargotracker.interfaces.tracking.web,Cargo;CargoRepository;CargoRouteDtoAssembler;CargoStatusDtoAssembler;CargoStatusDtoAssembler$1;CargoTrackingViewAdapter;DefaultBookingService;DefaultCargoInspectionService;Delivery;DomainObjectUtils
2,16,org.eclipse.cargotracker.application.util;org.eclipse.cargotracker.interfaces.booking.facade;org.eclipse.cargotracker.interfaces.booking.facade.dto;org.eclipse.cargotracker.interfaces.booking.facade.internal.assembler;org.eclipse.cargotracker.interfaces.booking.web,Booking;BookingServiceFacade;CargoDetails;CargoRoute;CargoStatus;ChangeArrivalDeadline;ChangeDestination;DateConverter;ItineraryCandidateDtoAssembler;ItinerarySelection
3,13,org.eclipse.cargotracker.application;org.eclipse.cargotracker.domain.model.cargo;org.eclipse.cargotracker.domain.model.handling;org.eclipse.cargotracker.infrastructure.messaging.jms;org.eclipse.cargotracker.interfaces.booking.facade.internal.assembler;org.eclipse.cargotracker.interfaces.handling;org.eclipse.cargotracker.interfaces.handling.file;org.eclipse.cargotracker.interfaces.handling.mobile;org.eclipse.cargotracker.interfaces.handling.rest;org.eclipse.cargotracker.interfaces.tracking.web,ApplicationEvents;CargoTrackingViewAdapter$1;Delivery$1;EventItemWriter;EventLogger;HandlingEvent$Type;HandlingEventRegistrationAttempt;HandlingEventRegistrationAttemptConsumer;HandlingEventService;HandlingReport
4,8,org.eclipse.cargotracker.domain.model.location;org.eclipse.cargotracker.domain.model.voyage;org.eclipse.cargotracker.infrastructure.persistence.jpa;org.eclipse.cargotracker.interfaces;org.eclipse.cargotracker.interfaces.booking.sse,CarrierMovement;Coordinates;CoordinatesFactory;JpaLocationRepository;Location;LocationViewAdapter;SampleLocations;UnLocode
5,8,org.eclipse.cargotracker.domain.model.location;org.eclipse.cargotracker.domain.model.voyage;org.eclipse.cargotracker.infrastructure.routing;org.eclipse.pathfinder.api;org.eclipse.pathfinder.internal,ExternalRoutingService;ExternalRoutingService$1;GraphDao;GraphTraversalService;LocationRepository;TransitEdge;TransitPath;VoyageRepository
6,6,org.eclipse.cargotracker.domain.model.cargo;org.eclipse.cargotracker.domain.model.handling;org.eclipse.cargotracker.interfaces.booking.facade.dto;org.eclipse.cargotracker.interfaces.booking.facade.internal.assembler;org.eclipse.cargotracker.interfaces.tracking.web,CargoTrackingViewAdapter$HandlingEventViewAdapter;HandlingEvent;Itinerary;Leg;TrackingEvents;TrackingEventsDtoAssembler
7,6,org.eclipse.cargotracker.domain.model.voyage;org.eclipse.cargotracker.infrastructure.persistence.jpa,JpaVoyageRepository;SampleVoyages;Schedule;Voyage;Voyage$Builder;VoyageNumber
8,5,org.eclipse.cargotracker.domain.shared,AbstractSpecification;AndSpecification;NotSpecification;OrSpecification;Specification
9,4,org.eclipse.cargotracker.interfaces.handling.file,EventFilesCheckpoint;EventItemReader;EventLineParseException;LineParseExceptionListener
10,1,org.eclipse.cargotracker.application.util,RestConfiguration
11,1,org.eclipse.cargotracker.infrastructure.events.cdi,CargoUpdated
12,1,org.eclipse.cargotracker.infrastructure.logging,LoggerProducer
13,1,org.eclipse.cargotracker.infrastructure.messaging.jms,DeliveredCargoConsumer
14,1,org.eclipse.cargotracker.infrastructure.messaging.jms,MisdirectedCargoConsumer
15,1,org.eclipse.cargotracker.infrastructure.messaging.jms,RejectedRegistrationAttemptsConsumer
16,1,org.eclipse.cargotracker.interfaces,FacesConfiguration
17,1,org.eclipse.cargotracker.interfaces.booking.web,ChangeArrivalDeadlineDialog
18,1,org.eclipse.cargotracker.interfaces.booking.web,ChangeDestinationDialog
19,1,org.eclipse.cargotracker.interfaces.handling.file,FileProcessorJobListener
20,1,org.eclipse.cargotracker.interfaces.handling.file,UploadDirectoryScanner
