cluster_id,cluster_size,packages,representative_classes
0,27,org.eclipse.cargotracker.application;org.eclipse.cargotracker.application.internal;org.eclipse.cargotracker.domain.model.cargo;org.eclipse.cargotracker.domain.model.handling;org.eclipse.cargotracker.domain.service;org.eclipse.cargotracker.infrastructure.messaging.jms;org.eclipse.cargotracker.infrastructure.persistence.jpa;org.eclipse.cargotracker.interfaces.booking.facade.dto;org.eclipse.cargotracker.interfaces.booking.facade.internal;org.eclipse.cargotracker.interfaces.booking.facade.internal.assembler;org.eclipse.cargotracker.interfaces.booking.sse;org.eclipse.cargotracker.interfaces.tracking.web,BookingService;Cargo;CargoHandledConsumer;CargoInspectionService;CargoRepository;CargoStatus;CargoStatusDtoAssembler;CargoTrackingViewAdapter;DefaultBookingService;DefaultBookingServiceFacade
1,23,org.eclipse.cargotracker.domain.model.cargo;org.eclipse.cargotracker.domain.model.location;org.eclipse.cargotracker.domain.model.voyage;org.eclipse.cargotracker.infrastructure.persistence.jpa;org.eclipse.cargotracker.interfaces.booking.facade;org.eclipse.cargotracker.interfaces.booking.facade.dto;org.eclipse.cargotracker.interfaces.booking.facade.internal.assembler;org.eclipse.cargotracker.interfaces.booking.web;org.eclipse.cargotracker.interfaces.tracking.web,Booking;BookingServiceFacade;CargoDetails;CargoRoute;CargoRouteDtoAssembler;CargoStatusDtoAssembler$1;CargoTrackingViewAdapter$1;ChangeArrivalDeadline;ChangeDestination;ItineraryCandidateDtoAssembler
2,18,org.eclipse.cargotracker.application.util;org.eclipse.cargotracker.domain.model.cargo;org.eclipse.cargotracker.domain.model.handling;org.eclipse.cargotracker.domain.model.voyage;org.eclipse.cargotracker.domain.shared;org.eclipse.cargotracker.interfaces.booking.facade.dto;org.eclipse.cargotracker.interfaces.booking.facade.internal.assembler;org.eclipse.cargotracker.interfaces.handling.mobile;org.eclipse.cargotracker.interfaces.tracking.web,ApplicationSettings;CannotCreateHandlingEventException;CargoTrackingViewAdapter$HandlingEventViewAdapter;Delivery$1;DomainObjectUtils;EventLogger;HandlingEvent;HandlingEvent$Type;HandlingEventFactory;Itinerary$1
3,10,org.eclipse.cargotracker.domain.model.handling;org.eclipse.cargotracker.domain.model.location;org.eclipse.cargotracker.domain.model.voyage;org.eclipse.cargotracker.infrastructure.persistence.jpa;org.eclipse.cargotracker.interfaces,CarrierMovement;Coordinates;CoordinatesFactory;JpaLocationRepository;Location;SampleLocations;SampleVoyages;UnLocode;UnknownLocationException;Voyage$Builder
4,9,org.eclipse.cargotracker.application;org.eclipse.cargotracker.application.internal;org.eclipse.cargotracker.application.util;org.eclipse.cargotracker.infrastructure.messaging.jms;org.eclipse.cargotracker.interfaces.handling;org.eclipse.cargotracker.interfaces.handling.file;org.eclipse.cargotracker.interfaces.handling.rest,ApplicationEvents;DateConverter;DefaultHandlingEventService;EventItemWriter;HandlingEventRegistrationAttempt;HandlingEventRegistrationAttemptConsumer;HandlingEventService;HandlingReport;HandlingReportService
5,6,org.eclipse.cargotracker.infrastructure.routing;org.eclipse.pathfinder.api;org.eclipse.pathfinder.internal,ExternalRoutingService;ExternalRoutingService$1;GraphDao;GraphTraversalService;TransitEdge;TransitPath
6,5,org.eclipse.cargotracker.domain.shared,AbstractSpecification;AndSpecification;NotSpecification;OrSpecification;Specification
7,4,org.eclipse.cargotracker.interfaces.handling.file,EventFilesCheckpoint;EventItemReader;EventLineParseException;LineParseExceptionListener
8,1,org.eclipse.cargotracker.application.util,RestConfiguration
9,1,org.eclipse.cargotracker.infrastructure.events.cdi,CargoUpdated
10,1,org.eclipse.cargotracker.infrastructure.logging,LoggerProducer
11,1,org.eclipse.cargotracker.infrastructure.messaging.jms,DeliveredCargoConsumer
12,1,org.eclipse.cargotracker.infrastructure.messaging.jms,MisdirectedCargoConsumer
13,1,org.eclipse.cargotracker.infrastructure.messaging.jms,RejectedRegistrationAttemptsConsumer
14,1,org.eclipse.cargotracker.interfaces,FacesConfiguration
15,1,org.eclipse.cargotracker.interfaces.booking.web,ChangeArrivalDeadlineDialog
16,1,org.eclipse.cargotracker.interfaces.booking.web,ChangeDestinationDialog
17,1,org.eclipse.cargotracker.interfaces.handling.file,FileProcessorJobListener
18,1,org.eclipse.cargotracker.interfaces.handling.file,UploadDirectoryScanner
