subject,metric,n_pairs,nsga_median,leiden_median,median_difference_nsga_minus_leiden,wilcoxon_statistic,p_value_two_sided,rank_biserial_nsga_minus_leiden,nonzero_pairs,bonferroni_alpha_12,bonferroni_significant,all_pairs_identical,nsga_lower_count,ties,nsga_higher_count,bonferroni_alpha_10,significant_family_10,significant_family_12,decision_changed_10_vs_12
daytrader,weighted_modularity,30,0.2969624958299859,0.324596763898912,-0.0276342680689261,0.0,1.8215297148968006e-05,-1.0,24,0.004166666666666667,True,False,24,6,0,0.005,True,True,False
daytrader,coupling,30,0.430119926199262,0.4178966789667896,0.0122232472324723,85.0,0.0023910208621638,0.6933333333333334,24,0.004166666666666667,True,False,9,6,21,0.005,True,True,False
daytrader,cohesion,30,7.126273726273727,6.5407774044137685,0.5854963218599583,67.0,0.0011359936250968,0.6919540229885057,29,0.004166666666666667,True,False,6,1,23,0.005,True,True,False
daytrader,imbalance,30,0.6921271919518872,0.8929931748074893,-0.2008659828556021,0.0,2.557909636120417e-06,-1.0,29,0.004166666666666667,True,False,29,1,0,0.005,True,True,False
daytrader,mojofm_vs_reference,30,23.913043478260864,23.913043478260864,0.0,80.0,0.8085931232292147,0.0643274853801169,18,0.004166666666666667,False,False,8,12,10,0.005,False,False,False
daytrader,pairwise_f1,30,0.1698284171968382,0.1775456919060052,-0.0077172747091669,94.0,0.0075728584295923,-0.5678160919540229,29,0.004166666666666667,False,False,20,1,9,0.005,False,False,False
xerces-j,weighted_modularity,30,0.6615191429343901,0.6615191429343901,0.0,7.0,0.0663160312989308,-0.6888888888888889,9,0.004166666666666667,False,False,6,21,3,0.005,False,False,False
xerces-j,coupling,30,0.2087994248741912,0.2087994248741912,-2.7755575615628914e-17,165.0,0.1474489705391323,0.7333333333333333,9,0.004166666666666667,False,False,24,21,6,0.005,False,False,False
xerces-j,cohesion,30,8.068765336183423,8.068765336183423,0.0,29.0,0.0138594078214554,0.6608187134502924,18,0.004166666666666667,False,False,4,12,14,0.005,False,False,False
xerces-j,imbalance,30,1.3098194550186948,1.314526165589089,-0.0047067105703941,4.0,0.0003855608280426,-0.953216374269006,18,0.004166666666666667,True,False,16,12,2,0.005,True,True,False
