matching_scope,caliper,usable_pairs,mean_imbalance_gap,median_imbalance_gap
same_seed,0.01,8,0.004835067932378492,0.00404950910669255
same_seed,0.025,14,0.009645366241308049,0.008892450997942558
same_seed,0.05,22,0.019856360069303036,0.017238089722328376
same_seed,0.1,28,0.029089141730394983,0.023824361209035527
pooled,0.01,16,0.004562934078948866,0.0037691208727500536
pooled,0.025,23,0.007368342091882838,0.006272337941867101
pooled,0.05,27,0.012159194757043709,0.008660159762191921
pooled,0.1,28,0.013934420997481201,0.008892450997942558
same_seed_cluster_count_delta_le_1,0.01,2,0.0045623711168465975,0.0045623711168465975
same_seed_cluster_count_delta_le_1,0.025,2,0.0045623711168465975,0.0045623711168465975
same_seed_cluster_count_delta_le_1,0.05,5,0.027015609668627684,0.04058887306586523
same_seed_cluster_count_delta_le_1,0.1,6,0.037152824654967075,0.04058887306586523
