matching_scope,caliper,metric,n_pairs,stage2_wins,ties,stage2_losses,mean_stage2_minus_leiden_raw,median_stage2_minus_leiden_raw,wilcoxon_statistic,wilcoxon_p_two_sided,rank_biserial,n_nonzero_pairs,selector_contract_id,selector_contract,selected_profile_source,selected_profile_sha256,posthoc_status
same_seed,0.01,weighted_modularity,14,5,1,8,-0.011450464914012604,-0.0022497332042047957,30.0,0.2785606122337073,-0.34065934065934067,13,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/cross_subject/03_stage2_nsga/modularity_band/canonical_operating_profile_metrics_per_seed.csv,0a81c1b770f3531a3025f58cd659a49b3b4773503899a47df4ac5fb1d6bd122c,recomputed_from_frozen_front_and_labels
same_seed,0.01,coupling,14,11,1,2,-0.06691486557722723,-0.06619003690036904,3.0,0.0029678594886235568,0.9340659340659341,13,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/cross_subject/03_stage2_nsga/modularity_band/canonical_operating_profile_metrics_per_seed.csv,0a81c1b770f3531a3025f58cd659a49b3b4773503899a47df4ac5fb1d6bd122c,recomputed_from_frozen_front_and_labels
same_seed,0.01,cohesion,14,2,1,11,-0.1542981782626502,-0.8407881176062988,25.0,0.15183112946792546,-0.45054945054945056,13,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/cross_subject/03_stage2_nsga/modularity_band/canonical_operating_profile_metrics_per_seed.csv,0a81c1b770f3531a3025f58cd659a49b3b4773503899a47df4ac5fb1d6bd122c,recomputed_from_frozen_front_and_labels
same_seed,0.025,weighted_modularity,17,7,1,9,-0.010023790105222505,-0.0008192162756497923,48.0,0.30097338937477436,-0.29411764705882354,16,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/cross_subject/03_stage2_nsga/modularity_band/canonical_operating_profile_metrics_per_seed.csv,0a81c1b770f3531a3025f58cd659a49b3b4773503899a47df4ac5fb1d6bd122c,recomputed_from_frozen_front_and_labels
same_seed,0.025,coupling,17,14,1,2,-0.06905252876058174,-0.06549815498154987,3.0,0.0007748336777427586,0.9558823529411765,16,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/cross_subject/03_stage2_nsga/modularity_band/canonical_operating_profile_metrics_per_seed.csv,0a81c1b770f3531a3025f58cd659a49b3b4773503899a47df4ac5fb1d6bd122c,recomputed_from_frozen_front_and_labels
same_seed,0.025,cohesion,17,2,1,14,-0.2684433110709153,-0.8154712291075921,31.0,0.05567841349193896,-0.5441176470588235,16,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/cross_subject/03_stage2_nsga/modularity_band/canonical_operating_profile_metrics_per_seed.csv,0a81c1b770f3531a3025f58cd659a49b3b4773503899a47df4ac5fb1d6bd122c,recomputed_from_frozen_front_and_labels
same_seed,0.05,weighted_modularity,21,8,2,11,-0.013245219802290235,-0.0008192162756497923,65.0,0.22728288317784962,-0.3157894736842105,19,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/cross_subject/03_stage2_nsga/modularity_band/canonical_operating_profile_metrics_per_seed.csv,0a81c1b770f3531a3025f58cd659a49b3b4773503899a47df4ac5fb1d6bd122c,recomputed_from_frozen_front_and_labels
same_seed,0.05,coupling,21,16,2,3,-0.07202161307327362,-0.06549815498154987,6.0,0.00034108250232265476,0.9368421052631579,19,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/cross_subject/03_stage2_nsga/modularity_band/canonical_operating_profile_metrics_per_seed.csv,0a81c1b770f3531a3025f58cd659a49b3b4773503899a47df4ac5fb1d6bd122c,recomputed_from_frozen_front_and_labels
same_seed,0.05,cohesion,21,5,1,15,0.20673671800787846,-0.7439448051948059,76.0,0.27892307181082354,-0.2761904761904762,20,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/cross_subject/03_stage2_nsga/modularity_band/canonical_operating_profile_metrics_per_seed.csv,0a81c1b770f3531a3025f58cd659a49b3b4773503899a47df4ac5fb1d6bd122c,recomputed_from_frozen_front_and_labels
same_seed,0.1,weighted_modularity,27,9,2,16,-0.01703048069072324,-0.003837583059871197,93.0,0.06146785132878157,-0.4276923076923077,25,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/cross_subject/03_stage2_nsga/modularity_band/canonical_operating_profile_metrics_per_seed.csv,0a81c1b770f3531a3025f58cd659a49b3b4773503899a47df4ac5fb1d6bd122c,recomputed_from_frozen_front_and_labels
same_seed,0.1,coupling,27,20,2,5,-0.0720240535738691,-0.06549815498154987,15.0,7.219030483816392e-05,0.9076923076923077,25,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/cross_subject/03_stage2_nsga/modularity_band/canonical_operating_profile_metrics_per_seed.csv,0a81c1b770f3531a3025f58cd659a49b3b4773503899a47df4ac5fb1d6bd122c,recomputed_from_frozen_front_and_labels
