stage2_seed,matching_scope,match_found,stage2_solution_id,stage2_imbalance,stage2_weighted_modularity,stage2_coupling,stage2_cohesion,stage2_cluster_count,leiden_seed,leiden_resolution,leiden_imbalance,leiden_weighted_modularity,leiden_coupling,leiden_cohesion,leiden_cluster_count,imbalance_gap,cluster_count_difference,stage2_minus_leiden_modularity,stage2_minus_leiden_coupling,stage2_minus_leiden_cohesion
0,pooled,True,seed0_solution054,0.6592983097983453,0.2660538093503631,0.5345940959409594,14.832683982683983,10,29,1.75,0.6484090670731918,0.3061187083849621,0.5202952029520295,8.181009070294785,14,0.010889242725153458,-4,-0.04006489903459898,0.014298892988929945,6.651674912389199
1,pooled,True,seed1_solution064,0.489839810782912,0.1698876479078443,0.6217712177121771,16.69781946448613,9,0,2.75,0.5517053402722055,0.220255885676938,0.6642066420664207,10.036904761904761,16,0.061865529489293525,-7,-0.05036823776909369,-0.04243542435424352,6.660914702581369
2,pooled,True,seed2_solution040,0.8482176148297745,0.324596763898912,0.4178966789667896,7.154761904761905,10,29,1.0,0.8544899527716416,0.31250319133726384,0.4174354243542435,8.53566341066341,12,0.006272337941867101,-2,0.01209357256164817,0.00046125461254609146,-1.3809015059015053
3,pooled,True,seed3_solution077,0.3106052383614024,0.1802069433286583,0.5899446494464945,7.775595238095239,8,0,2.75,0.5517053402722055,0.220255885676938,0.6642066420664207,10.036904761904761,16,0.2411001019108031,-8,-0.04004894234827969,-0.07426199261992616,-2.2613095238095227
4,pooled,True,seed4_solution042,0.7179734939788847,0.2886576256791166,0.4257380073800738,7.323702223702224,9,2,1.75,0.7072326344902382,0.3055102267466401,0.5216789667896679,8.767857142857142,14,0.010740859488646448,-5,-0.016852601067523454,-0.09594095940959407,-1.4441549191549186
5,pooled,True,seed5_solution037,0.8141678871845818,0.1779881129069593,0.3450184501845018,5.628086419753086,9,22,1.0,0.8342524894126091,0.31537390558407413,0.41420664206642066,7.082885632885632,12,0.020084602228027326,-3,-0.13738579267711484,-0.06918819188191888,-1.4547992131325458
6,pooled,True,seed6_solution038,0.7179734939788848,0.3198640107365095,0.4215867158671587,7.671596304929638,9,2,1.75,0.7072326344902382,0.3055102267466401,0.5216789667896679,8.767857142857142,14,0.01074085948864656,-5,0.014353783989869418,-0.10009225092250917,-1.0962608379275043
7,pooled,True,seed7_solution073,0.3453397210891156,0.1913697091883282,0.5996309963099631,6.939583333333333,8,0,2.75,0.5517053402722055,0.220255885676938,0.6642066420664207,10.036904761904761,16,0.20636561918308993,-8,-0.028886176488609777,-0.06457564575645758,-3.097321428571428
8,pooled,True,seed8_solution052,0.6034787015743198,0.3053628933429556,0.4423431734317343,5.452452408702408,8,0,2.5,0.6014104698305369,0.2859247772021078,0.5618081180811808,11.107843137254903,17,0.0020682317437829,-9,0.019438116140847783,-0.11946494464944651,-5.655390728552495
9,pooled,True,seed9_solution050,0.6426183534311849,0.2700822343786168,0.4792435424354243,6.484848484848485,9,29,1.75,0.6484090670731918,0.3061187083849621,0.5202952029520295,8.181009070294785,14,0.005790713642006895,-5,-0.0360364740063453,-0.04105166051660519,-1.6961605854462993
10,pooled,True,seed10_solution038,0.6203502725574942,0.2938668454950231,0.4552583025830258,8.028138528138529,10,7,2.5,0.6212104767228048,0.2843410228959301,0.5622693726937269,11.771708683473392,17,0.0008602041653106296,-7,0.009525822599093015,-0.1070110701107011,-3.7435701553348633
11,pooled,True,seed11_solution061,0.6040683242861177,0.172390932857668,0.5770295202952029,23.90138888888889,6,0,2.5,0.6014104698305369,0.2859247772021078,0.5618081180811808,11.107843137254903,17,0.002657854455580755,-11,-0.1135338443444398,0.015221402214022128,12.793545751633985
12,pooled,True,seed12_solution034,0.5115261023292814,0.3000581461649487,0.4372693726937269,5.671807359307359,8,0,2.75,0.5517053402722055,0.220255885676938,0.6642066420664207,10.036904761904761,16,0.040179237942924106,-8,0.0798022604880107,-0.22693726937269376,-4.365097402597402
13,pooled,True,seed13_solution033,0.7442672801251328,0.324596763898912,0.4178966789667896,7.94973544973545,9,0,1.25,0.7356071203629408,0.31911425923530445,0.4833948339483395,7.9703907203907205,13,0.008660159762191921,-4,0.005482504663607557,-0.06549815498154987,-0.020655270655270286
14,pooled,True,seed14_solution042,0.631159572968971,0.3163976865783416,0.4248154981549815,8.089528527028527,8,7,2.5,0.6212104767228048,0.2843410228959301,0.5622693726937269,11.771708683473392,17,0.009949096246166134,-9,0.0320566636824115,-0.1374538745387454,-3.682180156444865
15,pooled,True,seed15_solution030,0.6662808899248897,0.196940826649964,0.3920664206642066,6.6310356310356315,8,29,1.75,0.6484090670731918,0.3061187083849621,0.5202952029520295,8.181009070294785,14,0.01787182285169786,-6,-0.10917788173499807,-0.12822878228782286,-1.549973439259153
16,pooled,True,seed16_solution039,0.6034787015743198,0.282244527069348,0.4571033210332103,5.441818598068598,8,0,2.5,0.6014104698305369,0.2859247772021078,0.5618081180811808,11.107843137254903,17,0.0020682317437829,-9,-0.003680250132759799,-0.10470479704797053,-5.6660245391863056
17,pooled,True,seed17_solution034,0.7872696620764176,0.3110936840456965,0.434040590405904,6.971824841824841,10,22,1.0,0.8342524894126091,0.31537390558407413,0.41420664206642066,7.082885632885632,12,0.046982827336191524,-2,-0.004280221538377649,0.01983394833948332,-0.11106079106079125
18,pooled,True,seed18_solution033,0.8524043017416241,0.324596763898912,0.4178966789667896,7.0977855477855485,10,29,1.0,0.8544899527716416,0.31250319133726384,0.4174354243542435,8.53566341066341,12,0.0020856510300175657,-2,0.01209357256164817,0.00046125461254609146,-1.437877862877862
19,pooled,True,seed19_solution029,0.6525138288977578,0.2701040418499204,0.4308118081180812,14.845606245606248,9,29,1.75,0.6484090670731918,0.3061187083849621,0.5202952029520295,8.181009070294785,14,0.004104761824565983,-5,-0.036014666535041706,-0.0894833948339483,6.664597175311464
20,pooled,True,seed20_solution038,0.7442672801251328,0.324596763898912,0.4178966789667896,7.94973544973545,9,0,1.25,0.7356071203629408,0.31911425923530445,0.4833948339483395,7.9703907203907205,13,0.008660159762191921,-4,0.005482504663607557,-0.06549815498154987,-0.020655270655270286
21,pooled,True,seed21_solution030,0.8524043017416241,0.324596763898912,0.4178966789667896,7.0977855477855485,10,29,1.0,0.8544899527716416,0.31250319133726384,0.4174354243542435,8.53566341066341,12,0.0020856510300175657,-2,0.01209357256164817,0.00046125461254609146,-1.437877862877862
