stage2_seed,matching_scope,match_found,stage2_solution_id,stage2_imbalance,stage2_weighted_modularity,stage2_coupling,stage2_cohesion,stage2_cluster_count,leiden_seed,leiden_resolution,leiden_imbalance,leiden_weighted_modularity,leiden_coupling,leiden_cohesion,leiden_cluster_count,imbalance_gap,cluster_count_difference,stage2_minus_leiden_modularity,stage2_minus_leiden_coupling,stage2_minus_leiden_cohesion
0,same_seed_cluster_count_delta_le_1,True,seed0_solution054,0.6592983097983453,0.2660538093503631,0.5345940959409594,14.832683982683983,10.0,0.0,1.0,0.8929931748074893,0.324596763898912,0.41789667896678967,6.5407774044137685,11.0,0.23369486500914405,-1.0,-0.05854295454854891,0.11669741697416974,8.291906578270215
1,same_seed_cluster_count_delta_le_1,True,seed1_solution064,0.489839810782912,0.1698876479078443,0.6217712177121771,16.69781946448613,9.0,1.0,0.75,1.184478952129774,0.30044706379951247,0.3118081180811808,6.9185672514619885,10.0,0.694639141346862,-1.0,-0.13055941589166817,0.30996309963099633,9.779252213024142
2,same_seed_cluster_count_delta_le_1,True,seed2_solution040,0.8482176148297745,0.324596763898912,0.4178966789667896,7.154761904761905,10.0,2.0,1.0,0.8929931748074893,0.324596763898912,0.41789667896678967,6.5407774044137685,11.0,0.04477555997771476,-1.0,0.0,-5.551115123125783e-17,0.6139845003481366
3,same_seed_cluster_count_delta_le_1,True,seed3_solution077,0.3106052383614024,0.1802069433286583,0.5899446494464945,7.775595238095239,8.0,3.0,0.75,1.2541139138025559,0.30412305881591994,0.31642066420664205,6.256465237166992,9.0,0.9435086754411535,-1.0,-0.12391611548726164,0.27352398523985244,1.5191300009282465
4,same_seed_cluster_count_delta_le_1,True,seed4_solution042,0.7179734939788847,0.2886576256791166,0.4257380073800738,7.323702223702224,9.0,4.0,0.75,1.2541139138025559,0.30412305881591994,0.31642066420664205,6.256465237166992,9.0,0.5361404198236712,0.0,-0.01546543313680332,0.10931734317343172,1.0672369865352316
5,same_seed_cluster_count_delta_le_1,True,seed5_solution037,0.8141678871845818,0.1779881129069593,0.3450184501845018,5.628086419753086,9.0,5.0,0.75,1.110004987176055,0.3058079785133643,0.32656826568265684,6.306470588235294,10.0,0.2958370999914731,-1.0,-0.127819865606405,0.018450184501844935,-0.6783841684822081
6,same_seed_cluster_count_delta_le_1,True,seed6_solution038,0.7179734939788848,0.3198640107365095,0.4215867158671587,7.671596304929638,9.0,6.0,0.75,1.1912221975595922,0.30746970782669064,0.32795202952029523,5.494911707373008,9.0,0.4732487035807075,0.0,0.012394302909818855,0.09363468634686345,2.17668459755663
7,same_seed_cluster_count_delta_le_1,False,,,,,,,,,,,,,,,,,,
8,same_seed_cluster_count_delta_le_1,False,,,,,,,,,,,,,,,,,,
9,same_seed_cluster_count_delta_le_1,True,seed9_solution050,0.6426183534311849,0.2700822343786168,0.4792435424354243,6.484848484848485,9.0,9.0,0.75,1.110004987176055,0.3058079785133643,0.32656826568265684,6.306470588235294,10.0,0.46738663374487,-1.0,-0.035725744134747495,0.15267527675276743,0.17837789661319103
10,same_seed_cluster_count_delta_le_1,True,seed10_solution038,0.6203502725574942,0.2938668454950231,0.4552583025830258,8.028138528138529,10.0,10.0,1.0,0.8929931748074893,0.324596763898912,0.41789667896678967,6.5407774044137685,11.0,0.2726429022499951,-1.0,-0.03072991840388889,0.03736162361623613,1.4873611237247601
11,same_seed_cluster_count_delta_le_1,False,,,,,,,,,,,,,,,,,,
12,same_seed_cluster_count_delta_le_1,True,seed12_solution034,0.5115261023292814,0.3000581461649487,0.4372693726937269,5.671807359307359,8.0,12.0,0.75,1.2541139138025559,0.30412305881591994,0.31642066420664205,6.256465237166992,9.0,0.7425878114732745,-1.0,-0.004064912650971253,0.12084870848708484,-0.584657877859633
13,same_seed_cluster_count_delta_le_1,True,seed13_solution033,0.7442672801251328,0.324596763898912,0.4178966789667896,7.94973544973545,9.0,13.0,0.75,1.2541139138025559,0.30412305881591994,0.31642066420664205,6.256465237166992,9.0,0.5098466336774231,0.0,0.020473705082992066,0.10147601476014756,1.693270212568458
14,same_seed_cluster_count_delta_le_1,False,,,,,,,,,,,,,,,,,,
15,same_seed_cluster_count_delta_le_1,True,seed15_solution030,0.6662808899248897,0.196940826649964,0.3920664206642066,6.6310356310356315,8.0,15.0,0.75,1.1912221975595922,0.30746970782669064,0.32795202952029523,5.494911707373008,9.0,0.5249413076347026,-1.0,-0.11052888117672663,0.06411439114391138,1.1361239236626233
16,same_seed_cluster_count_delta_le_1,False,,,,,,,,,,,,,,,,,,
17,same_seed_cluster_count_delta_le_1,True,seed17_solution034,0.7872696620764176,0.3110936840456965,0.434040590405904,6.971824841824841,10.0,17.0,1.0,0.8929931748074893,0.324596763898912,0.41789667896678967,6.5407774044137685,11.0,0.10572351273107172,-1.0,-0.013503079853215527,0.01614391143911431,0.4310474374110722
18,same_seed_cluster_count_delta_le_1,True,seed18_solution033,0.8524043017416241,0.324596763898912,0.4178966789667896,7.0977855477855485,10.0,18.0,1.0,0.8929931748074893,0.324596763898912,0.41789667896678967,6.5407774044137685,11.0,0.04058887306586523,-1.0,0.0,-5.551115123125783e-17,0.55700814337178
19,same_seed_cluster_count_delta_le_1,True,seed19_solution029,0.6525138288977578,0.2701040418499204,0.4308118081180812,14.845606245606248,9.0,19.0,0.75,1.110004987176055,0.3058079785133643,0.32656826568265684,6.306470588235294,10.0,0.4574911582782971,-1.0,-0.0357039366634439,0.10424354243542433,8.539135657370954
20,same_seed_cluster_count_delta_le_1,True,seed20_solution038,0.7442672801251328,0.324596763898912,0.4178966789667896,7.94973544973545,9.0,20.0,0.75,1.184478952129774,0.30044706379951247,0.3118081180811808,6.9185672514619885,10.0,0.4402116720046413,-1.0,0.02414970009939954,0.1060885608856088,1.0311681982734617
21,same_seed_cluster_count_delta_le_1,True,seed21_solution030,0.8524043017416241,0.324596763898912,0.4178966789667896,7.0977855477855485,10.0,21.0,1.0,0.8929931748074893,0.324596763898912,0.41789667896678967,6.5407774044137685,11.0,0.04058887306586523,-1.0,0.0,-5.551115123125783e-17,0.55700814337178
22,same_seed_cluster_count_delta_le_1,True,seed22_solution037,0.8433772316463023,0.3145546893084243,0.4308118081180812,6.26741440377804,11.0,22.0,1.0,0.8342524894126091,0.31537390558407413,0.41420664206642066,7.082885632885632,12.0,0.009124742233693195,-1.0,-0.0008192162756498478,0.016605166051660514,-0.8154712291075921
23,same_seed_cluster_count_delta_le_1,False,,,,,,,,,,,,,,,,,,
24,same_seed_cluster_count_delta_le_1,True,seed24_solution029,0.8929931748074893,0.324596763898912,0.4178966789667896,6.5407774044137685,11.0,24.0,1.0,0.8929931748074893,0.324596763898912,0.41789667896678967,6.5407774044137685,11.0,0.0,0.0,0.0,-5.551115123125783e-17,0.0
25,same_seed_cluster_count_delta_le_1,True,seed25_solution046,0.7224222535500622,0.3143226790893369,0.4294280442804428,6.716842416842416,9.0,25.0,0.75,1.2541139138025559,0.30412305881591994,0.31642066420664205,6.256465237166992,9.0,0.5316916602524937,0.0,0.010199620273416976,0.11300738007380073,0.46037717967542413
26,same_seed_cluster_count_delta_le_1,False,,,,,,,,,,,,,,,,,,
27,same_seed_cluster_count_delta_le_1,True,seed27_solution030,0.8051542752208253,0.2697474630996311,0.4372693726937269,7.028957708957708,10.0,27.0,1.0,0.8929931748074893,0.324596763898912,0.41789667896678967,6.5407774044137685,11.0,0.08783889958666402,-1.0,-0.05484930079928091,0.01937269372693723,0.48818030454393924
28,same_seed_cluster_count_delta_le_1,True,seed28_solution040,0.7781732312189162,0.3218660429800792,0.4225092250922509,7.543423243423243,10.0,28.0,1.0,0.8929931748074893,0.324596763898912,0.41789667896678967,6.5407774044137685,11.0,0.11481994358857306,-1.0,-0.0027307209188328074,0.004612546125461248,1.0026458390094746
29,same_seed_cluster_count_delta_le_1,True,seed29_solution039,0.748559789618014,0.3214603176359253,0.4220479704797047,8.036852036852038,9.0,29.0,0.75,1.110004987176055,0.3058079785133643,0.32656826568265684,6.306470588235294,10.0,0.36144519755804094,-1.0,0.015652339122561032,0.09547970479704787,1.7303814486167433
