subject,threshold,selected_weighted_modularity_median,selected_imbalance_median,selected_coupling_median,selected_cohesion_median,selected_cluster_count_median,selected_max_cluster_ratio_median,selected_distance_to_threshold_median,trimmed_ratio_mean,retained_pathological_gt_050_ratio_mean,imbalance_lower_than_leiden_count,modularity_not_higher_than_leiden_count,source_front_right_censored
daytrader,0.3,0.2969624958299859,0.6921271919518872,0.4308118081180812,7.126273726273727,9.0,0.2452830188679245,0.05471698113207549,0.5505803517283202,0.0,28,30,False
daytrader,0.35,0.2969624958299859,0.6921271919518872,0.430119926199262,7.126273726273727,9.0,0.2452830188679245,0.10471698113207548,0.31049975454099166,0.0,29,30,False
daytrader,0.4,0.2969624958299859,0.6921271919518872,0.430119926199262,7.126273726273727,9.0,0.2452830188679245,0.15471698113207552,0.0,0.0,29,30,False
daytrader,0.45,0.2969624958299859,0.6921271919518872,0.430119926199262,7.126273726273727,9.0,0.2452830188679245,0.2047169811320755,0.0,0.0,29,30,True
daytrader,0.5,0.2969624958299859,0.6921271919518872,0.430119926199262,7.126273726273727,9.0,0.2452830188679245,0.2547169811320755,0.0,0.0,29,30,True
daytrader,0.6,0.2969624958299859,0.6921271919518872,0.430119926199262,7.126273726273727,9.0,0.2452830188679245,0.3547169811320755,0.0,0.0,29,30,True
xerces-j,0.3,0.6615191429343901,1.3098194550186948,0.2087994248741912,8.068765336183423,31.0,0.1449631449631449,0.15503685503685508,0.19466666666666665,0.0,16,27,False
xerces-j,0.35,0.6615191429343901,1.3098194550186948,0.2087994248741912,8.068765336183423,31.0,0.1449631449631449,0.20503685503685506,0.16699999999999998,0.0,16,27,False
xerces-j,0.4,0.6615191429343901,1.3098194550186948,0.2087994248741912,8.068765336183423,31.0,0.1449631449631449,0.25503685503685514,0.0,0.0,16,27,False
xerces-j,0.45,0.6615191429343901,1.3098194550186948,0.2087994248741912,8.068765336183423,31.0,0.1449631449631449,0.30503685503685507,0.0,0.0,16,27,True
xerces-j,0.5,0.6615191429343901,1.3098194550186948,0.2087994248741912,8.068765336183423,31.0,0.1449631449631449,0.3550368550368551,0.0,0.0,16,27,True
xerces-j,0.6,0.6615191429343901,1.3098194550186948,0.2087994248741912,8.068765336183423,31.0,0.1449631449631449,0.4550368550368551,0.0,0.0,16,27,True
