subject,seed,stage2_hv,stage3_projected_hv,delta_hv_stage3_minus_stage2,stage2_selected_semantic_on_stage3,stage3_selected_f_semantic,delta_selected_f_semantic_stage3_minus_stage2,stage2_selected_solution_id,stage3_selected_solution_id,stage2_selected_is_injected_seed,stage3_selected_is_injected_seed,stage3_selected_seed_name,stage2_selected_ari_vs_leiden,stage2_selected_nmi_vs_leiden,stage2_selected_equals_leiden,stage3_selected_ari_vs_leiden,stage3_selected_nmi_vs_leiden,stage3_selected_equals_leiden,stage2_vs_stage3_selected_ari,stage2_vs_stage3_selected_nmi,stage2_vs_stage3_selected_partition_equal,stage3_front_size,stage3_projected_front_size,stage3_front_f_semantic_min,stage3_front_f_semantic_mean,stage3_front_f_semantic_max,stage3_front_f_semantic_std,reference_status,stage2_coupling,stage3_coupling,delta_coupling_stage3_minus_stage2,stage2_cohesion,stage3_cohesion,delta_cohesion_stage3_minus_stage2,stage2_imbalance,stage3_imbalance,delta_imbalance_stage3_minus_stage2,stage2_weighted_modularity,stage3_weighted_modularity,delta_weighted_modularity_stage3_minus_stage2,stage2_internal_edge_weight_ratio,stage3_internal_edge_weight_ratio,delta_internal_edge_weight_ratio_stage3_minus_stage2,stage2_internal_external_edge_ratio,stage3_internal_external_edge_ratio,delta_internal_external_edge_ratio_stage3_minus_stage2,stage2_cluster_count,stage3_cluster_count,delta_cluster_count_stage3_minus_stage2,stage2_average_cluster_size,stage3_average_cluster_size,delta_average_cluster_size_stage3_minus_stage2,stage2_max_cluster_size,stage3_max_cluster_size,delta_max_cluster_size_stage3_minus_stage2,stage2_min_cluster_size,stage3_min_cluster_size,delta_min_cluster_size_stage3_minus_stage2,stage2_max_cluster_ratio,stage3_max_cluster_ratio,delta_max_cluster_ratio_stage3_minus_stage2,stage2_singleton_ratio,stage3_singleton_ratio,delta_singleton_ratio_stage3_minus_stage2,stage2_cluster_size_cv,stage3_cluster_size_cv,delta_cluster_size_cv_stage3_minus_stage2,stage2_mojofm_vs_reference,stage3_mojofm_vs_reference,delta_mojofm_vs_reference_stage3_minus_stage2,stage2_pairwise_precision,stage3_pairwise_precision,delta_pairwise_precision_stage3_minus_stage2,stage2_pairwise_recall,stage3_pairwise_recall,delta_pairwise_recall_stage3_minus_stage2,stage2_pairwise_f1,stage3_pairwise_f1,delta_pairwise_f1_stage3_minus_stage2,stage2_ari_vs_reference,stage3_ari_vs_reference,delta_ari_vs_reference_stage3_minus_stage2,stage2_nmi_vs_reference,stage3_nmi_vs_reference,delta_nmi_vs_reference_stage3_minus_stage2,stage2_reference_coverage_ratio,stage3_reference_coverage_ratio,delta_reference_coverage_ratio_stage3_minus_stage2
jpetstore,0,0.40787796639549112054,0.40539329983443922467,-0.002484666561051900209,0.51226006853751826498,0.51226006853751826498,0,seed0_solution000,seed0_solution000,True,True,raw_leiden,1,1,True,1,1,True,1,1,True,100,61,0.3562014513514241143,0.5463518120765046282,0.78427093967525152163,0.099291752222785897852,unavailable,0.25185185185185182677,0.25185185185185182677,0,5.4773809523809520172,5.4773809523809520172,0,0.20412414523193128657,0.20412414523193128657,0,0.44206980643194637715,0.44206980643194637715,0,0.74814814814814811772,0.74814814814814811772,0,2.9705882352941177516,2.9705882352941177516,0,4,4,0,6,6,0,7,7,0,4,4,0,0.29166666666666651864,0.29166666666666651864,0,0,0,0,0.20412414523193128657,0.20412414523193128657,0,,,,,,,,,,,,,,,,,,,,,
jpetstore,1,0.40485147405653831854,0.38876923891856640658,-0.016082235137971901545,0.51226006853751826498,0.51226006853751826498,0,seed1_solution000,seed1_solution000,True,True,raw_leiden,1,1,True,1,1,True,1,1,True,100,51,0.28651701579068372672,0.50513456530507760966,0.70967683360927913405,0.091928628747503599028,unavailable,0.25185185185185182677,0.25185185185185182677,0,5.4773809523809520172,5.4773809523809520172,0,0.20412414523193128657,0.20412414523193128657,0,0.44206980643194637715,0.44206980643194637715,0,0.74814814814814811772,0.74814814814814811772,0,2.9705882352941177516,2.9705882352941177516,0,4,4,0,6,6,0,7,7,0,4,4,0,0.29166666666666651864,0.29166666666666651864,0,0,0,0,0.20412414523193128657,0.20412414523193128657,0,,,,,,,,,,,,,,,,,,,,,
jpetstore,2,0.41042890000419890439,0.38978727721011502405,-0.02064162279408390116,0.51226006853751826498,0.51226006853751826498,0,seed2_solution001,seed2_solution000,True,True,raw_leiden,1,1,True,1,1,True,1,1,True,100,41,0.32774230946527688202,0.49769835390821520749,0.68152636317856751802,0.083621002910335501257,unavailable,0.25185185185185182677,0.25185185185185182677,0,5.4773809523809520172,5.4773809523809520172,0,0.20412414523193128657,0.20412414523193128657,0,0.44206980643194637715,0.44206980643194637715,0,0.74814814814814811772,0.74814814814814811772,0,2.9705882352941177516,2.9705882352941177516,0,4,4,0,6,6,0,7,7,0,4,4,0,0.29166666666666651864,0.29166666666666651864,0,0,0,0,0.20412414523193128657,0.20412414523193128657,0,,,,,,,,,,,,,,,,,,,,,
jpetstore,3,0.39642942616537352185,0.40625147748052181651,0.00982205131514810037,0.51226006853751826498,0.51226006853751826498,0,seed3_solution000,seed3_solution000,True,True,raw_leiden,1,1,True,1,1,True,1,1,True,100,69,0.35358952330260662311,0.5368469110630058605,0.76975524618538004873,0.091405628496096000268,unavailable,0.25185185185185182677,0.25185185185185182677,0,5.4773809523809520172,5.4773809523809520172,0,0.20412414523193128657,0.20412414523193128657,0,0.44206980643194637715,0.44206980643194637715,0,0.74814814814814811772,0.74814814814814811772,0,2.9705882352941177516,2.9705882352941177516,0,4,4,0,6,6,0,7,7,0,4,4,0,0.29166666666666651864,0.29166666666666651864,0,0,0,0,0.20412414523193128657,0.20412414523193128657,0,,,,,,,,,,,,,,,,,,,,,
jpetstore,4,0.40378611234558697829,0.38972579981931021464,-0.014060312526276900688,0.51226006853751826498,0.51226006853751826498,0,seed4_solution000,seed4_solution000,True,True,raw_leiden,1,1,True,1,1,True,1,1,True,100,51,0.28651701579068372672,0.54540997200735974459,0.74751897268255140805,0.10509243247592320314,unavailable,0.25185185185185182677,0.25185185185185182677,0,5.4773809523809520172,5.4773809523809520172,0,0.20412414523193128657,0.20412414523193128657,0,0.44206980643194637715,0.44206980643194637715,0,0.74814814814814811772,0.74814814814814811772,0,2.9705882352941177516,2.9705882352941177516,0,4,4,0,6,6,0,7,7,0,4,4,0,0.29166666666666651864,0.29166666666666651864,0,0,0,0,0.20412414523193128657,0.20412414523193128657,0,,,,,,,,,,,,,,,,,,,,,
jpetstore,5,0.39038945670391311804,0.38222996476479420558,-0.0081594919391189003194,0.51226006853751826498,0.51226006853751826498,0,seed5_solution000,seed5_solution000,True,True,raw_leiden,1,1,True,1,1,True,1,1,True,100,45,0.26342572455406321197,0.52149371892597906619,0.82045057235305773879,0.11410848387491839828,unavailable,0.25185185185185182677,0.25185185185185182677,0,5.4773809523809520172,5.4773809523809520172,0,0.20412414523193128657,0.20412414523193128657,0,0.44206980643194637715,0.44206980643194637715,0,0.74814814814814811772,0.74814814814814811772,0,2.9705882352941177516,2.9705882352941177516,0,4,4,0,6,6,0,7,7,0,4,4,0,0.29166666666666651864,0.29166666666666651864,0,0,0,0,0.20412414523193128657,0.20412414523193128657,0,,,,,,,,,,,,,,,,,,,,,
jpetstore,6,0.39815529664132220944,0.38562011166260762307,-0.012535184978714400753,0.51226006853751826498,0.51226006853751826498,0,seed6_solution000,seed6_solution000,True,True,raw_leiden,1,1,True,1,1,True,1,1,True,100,43,0.30528984221309940494,0.49495551443324492524,0.71228548088466525634,0.10472946623921809695,unavailable,0.25185185185185182677,0.25185185185185182677,0,5.4773809523809520172,5.4773809523809520172,0,0.20412414523193128657,0.20412414523193128657,0,0.44206980643194637715,0.44206980643194637715,0,0.74814814814814811772,0.74814814814814811772,0,2.9705882352941177516,2.9705882352941177516,0,4,4,0,6,6,0,7,7,0,4,4,0,0.29166666666666651864,0.29166666666666651864,0,0,0,0,0.20412414523193128657,0.20412414523193128657,0,,,,,,,,,,,,,,,,,,,,,
jpetstore,7,0.38274836879224971575,0.36657534544482317518,-0.016173023347426301183,0.51226006853751826498,0.51226006853751826498,0,seed7_solution000,seed7_solution000,True,True,raw_leiden,1,1,True,1,1,True,1,1,True,100,49,0.24101129252703720751,0.46996727366090640388,0.67822210223615386759,0.1075681533560969988,unavailable,0.25185185185185182677,0.25185185185185182677,0,5.4773809523809520172,5.4773809523809520172,0,0.20412414523193128657,0.20412414523193128657,0,0.44206980643194637715,0.44206980643194637715,0,0.74814814814814811772,0.74814814814814811772,0,2.9705882352941177516,2.9705882352941177516,0,4,4,0,6,6,0,7,7,0,4,4,0,0.29166666666666651864,0.29166666666666651864,0,0,0,0,0.20412414523193128657,0.20412414523193128657,0,,,,,,,,,,,,,,,,,,,,,
jpetstore,8,0.40916193649272841748,0.38774239642415270213,-0.021419540068575701475,0.51226006853751826498,0.51226006853751826498,0,seed8_solution000,seed8_solution001,True,True,raw_leiden,1,1,True,1,1,True,1,1,True,100,51,0.31383455107111357663,0.51393298372286400078,0.76322146112117761341,0.09584854883518130475,unavailable,0.25185185185185182677,0.25185185185185182677,0,5.4773809523809520172,5.4773809523809520172,0,0.20412414523193128657,0.20412414523193128657,0,0.44206980643194637715,0.44206980643194637715,0,0.74814814814814811772,0.74814814814814811772,0,2.9705882352941177516,2.9705882352941177516,0,4,4,0,6,6,0,7,7,0,4,4,0,0.29166666666666651864,0.29166666666666651864,0,0,0,0,0.20412414523193128657,0.20412414523193128657,0,,,,,,,,,,,,,,,,,,,,,
jpetstore,9,0.40770511044770091358,0.39168011027951632474,-0.016025000168184401483,0.51226006853751826498,0.51226006853751826498,0,seed9_solution000,seed9_solution000,True,True,raw_leiden,1,1,True,1,1,True,1,1,True,100,52,0.26342572455406321197,0.49891524139013382344,0.74834601231790132125,0.1111539507494632012,unavailable,0.25185185185185182677,0.25185185185185182677,0,5.4773809523809520172,5.4773809523809520172,0,0.20412414523193128657,0.20412414523193128657,0,0.44206980643194637715,0.44206980643194637715,0,0.74814814814814811772,0.74814814814814811772,0,2.9705882352941177516,2.9705882352941177516,0,4,4,0,6,6,0,7,7,0,4,4,0,0.29166666666666651864,0.29166666666666651864,0,0,0,0,0.20412414523193128657,0.20412414523193128657,0,,,,,,,,,,,,,,,,,,,,,
