subject,ssa_lambda,resolution,raw_edge_count,g_ssa_edge_count,new_ssa_edge_count,ssa_weight_share,cluster_count,max_cluster_ratio,singleton_ratio,weighted_modularity,internal_edge_weight_ratio,mojofm_vs_reference,pairwise_f1,reference_coverage_ratio,ari_vs_reference,nmi_vs_reference,pairwise_precision,pairwise_recall,rejected_extreme_cluster_count,rejected_high_max_cluster_ratio,rejected_high_singleton_ratio,rejected_low_reference_coverage,rejected_high_ssa_lambda,is_candidate,is_stress_lambda,resolution_distance_from_1,ranking_basis
daytrader,1.0,1.25,161,169,8,0.2608250937606546,13,0.18867924528301888,0.07547169811320754,0.3297409621796671,0.5114217524718718,26.086956521739136,0.1671826625386997,1.0,0.05826012286148358,0.4780682352362388,0.1888111888111888,0.15,False,False,False,False,False,True,False,0.25,internal_first_admissible_then_controlled_lambda_balance_reference_tiebreak
daytrader,1.0,1.0,161,169,8,0.2608250937606546,12,0.2641509433962264,0.07547169811320754,0.3295751962019364,0.5346062052505967,23.913043478260864,0.17222222222222222,1.0,0.04784826562789834,0.4487278589181909,0.17222222222222222,0.17222222222222222,False,False,False,False,False,True,False,0.0,internal_first_admissible_then_controlled_lambda_balance_reference_tiebreak
daytrader,0.5,1.0,161,169,8,0.14997059400117624,12,0.2641509433962264,0.07547169811320754,0.3278497541198859,0.573416977063321,26.086956521739136,0.16893732970027248,1.0,0.04132242715656263,0.4491045852787916,0.1657754010695187,0.17222222222222222,False,False,False,False,False,True,False,0.0,internal_first_admissible_then_controlled_lambda_balance_reference_tiebreak
daytrader,0.5,1.25,161,169,8,0.14997059400117624,12,0.22641509433962265,0.07547169811320754,0.327533077088836,0.5636149774554009,26.086956521739136,0.16997167138810199,1.0,0.04809573881184664,0.44749715067525797,0.17341040462427745,0.16666666666666666,False,False,False,False,False,True,False,0.25,internal_first_admissible_then_controlled_lambda_balance_reference_tiebreak
daytrader,0.25,1.0,161,169,8,0.08106389742502915,11,0.24528301886792453,0.07547169811320754,0.325156018952318,0.5780438698739006,23.913043478260864,0.18041237113402062,1.0,0.046935082560506665,0.42215724069726573,0.16826923076923078,0.19444444444444445,False,False,False,False,False,True,False,0.0,internal_first_admissible_then_controlled_lambda_balance_reference_tiebreak
daytrader,0.25,1.25,161,169,8,0.08106389742502915,12,0.22641509433962265,0.07547169811320754,0.3246151067638515,0.5644802373635689,26.086956521739136,0.16997167138810199,1.0,0.04809573881184664,0.44749715067525797,0.17341040462427745,0.16666666666666666,False,False,False,False,False,True,False,0.25,internal_first_admissible_then_controlled_lambda_balance_reference_tiebreak
daytrader,0.0,1.0,161,161,0,0.0,11,0.24528301886792453,0.07547169811320754,0.324596763898912,0.5821033210332104,23.913043478260864,0.1775456919060052,1.0,0.04535797701311211,0.4210370859980581,0.16748768472906403,0.18888888888888888,False,False,False,False,False,True,False,0.0,internal_first_admissible_then_controlled_lambda_balance_reference_tiebreak
daytrader,1.0,1.5,161,169,8,0.2608250937606546,14,0.16981132075471697,0.07547169811320754,0.320915609424203,0.48107739515854075,26.086956521739136,0.15737704918032785,1.0,0.056340430067414536,0.4861617683238407,0.192,0.13333333333333333,False,False,False,False,False,True,False,0.5,internal_first_admissible_then_controlled_lambda_balance_reference_tiebreak
daytrader,0.5,1.5,161,169,8,0.14997059400117624,13,0.18867924528301888,0.07547169811320754,0.32061768085496395,0.5055871397765144,26.086956521739136,0.1625,1.0,0.054424416222859484,0.4687840872327963,0.18571428571428572,0.14444444444444443,False,False,False,False,False,True,False,0.5,internal_first_admissible_then_controlled_lambda_balance_reference_tiebreak
daytrader,0.5,0.75,161,169,8,0.14997059400117624,10,0.33962264150943394,0.07547169811320754,0.31533839803927777,0.6232111350715546,26.086956521739136,0.19153674832962136,1.0,0.04151896405700907,0.3939679474832429,0.15985130111524162,0.2388888888888889,False,False,False,False,False,True,False,0.25,internal_first_admissible_then_controlled_lambda_balance_reference_tiebreak
