subject,ssa_lambda,resolution,raw_edge_count,g_ssa_edge_count,new_ssa_edge_count,ssa_weight_share,cluster_count,max_cluster_ratio,singleton_ratio,weighted_modularity,internal_edge_weight_ratio,mojofm_vs_reference,pairwise_f1,reference_coverage_ratio,ari_vs_reference,nmi_vs_reference,pairwise_precision,pairwise_recall
daytrader,0.0,0.5,267,267,0,0.0,25,0.6115702479338843,0.12396694214876033,0.13688464377188753,0.9685787358421629,55.55555555555556,0.2377594197058231,1.0,-0.1508164573669721,0.2550102731463848,0.21415607985480944,0.26721014492753625
daytrader,0.25,0.5,267,275,8,0.07243921037024485,25,0.6115702479338843,0.12396694214876033,0.1313395574352018,0.9708548674065915,55.55555555555556,0.2377594197058231,1.0,-0.1508164573669721,0.2550102731463848,0.21415607985480944,0.26721014492753625
daytrader,0.5,0.5,267,275,8,0.13509243166376994,25,0.6115702479338843,0.12396694214876033,0.12649674241774292,0.9728235108231948,55.55555555555556,0.2377594197058231,1.0,-0.1508164573669721,0.2550102731463848,0.21415607985480944,0.26721014492753625
daytrader,1.0,0.5,267,275,8,0.23802895322939865,25,0.6115702479338843,0.12396694214876033,0.11844590304611761,0.9760579064587973,55.55555555555556,0.2377594197058231,1.0,-0.1508164573669721,0.2550102731463848,0.21415607985480944,0.26721014492753625
daytrader,2.0,0.5,267,275,8,0.3845288958848662,25,0.6115702479338843,0.12396694214876033,0.10678571986612509,0.9806611198560827,55.55555555555556,0.2377594197058231,1.0,-0.1508164573669721,0.2550102731463848,0.21415607985480944,0.26721014492753625
daytrader,3.0,0.5,267,275,8,0.483779705771407,25,0.5785123966942148,0.12396694214876033,0.1858035500720646,0.8960769520935497,55.55555555555556,0.24217918706107683,1.0,-0.11847013327228069,0.2628725666293181,0.22842232035327178,0.25769927536231885
daytrader,4.0,0.5,267,275,8,0.555465324021439,25,0.5785123966942148,0.12396694214876033,0.19558559050732754,0.89783985707325,55.55555555555556,0.24217918706107683,1.0,-0.11847013327228069,0.2628725666293181,0.22842232035327178,0.25769927536231885
daytrader,0.0,0.75,267,267,0,0.0,26,0.35537190082644626,0.12396694214876033,0.3483242068093758,0.6817683595177201,59.25925925925925,0.20115606936416186,1.0,-0.02429062505359666,0.30176297675779307,0.2779552715654952,0.15760869565217392
daytrader,0.25,0.75,267,275,8,0.07243921037024485,26,0.35537190082644626,0.12396694214876033,0.34292287757800666,0.6723714309921206,61.111111111111114,0.20869565217391303,1.0,-0.013161623708589277,0.3224428105300333,0.2898550724637681,0.16304347826086957
daytrader,0.5,0.75,267,275,8,0.13509243166376994,26,0.35537190082644626,0.12396694214876033,0.3381053778860589,0.6655079791436246,62.03703703703704,0.22061378112333527,1.0,0.0015216333096689236,0.33126342685968924,0.3057784911717496,0.17255434782608695
