source,target,raw_weight,g_ssa_weight,ssa_flow_weight,weight_increase,flow_type_summary
com.ibm.websphere.samples.daytrader.util.TradeConfig,com.ibm.websphere.samples.daytrader.web.TradeServletAction,34.0,130.0,96.0,96.0,argument_passing_flow:16 rows/48.0 weight; return_value_flow:16 rows/48.0 weight
com.ibm.websphere.samples.daytrader.direct.TradeDirect,com.ibm.websphere.samples.daytrader.entities.OrderDataBean,47.0,101.0,54.0,54.0,argument_passing_flow:9 rows/27.0 weight; return_value_flow:9 rows/27.0 weight
com.ibm.websphere.samples.daytrader.entities.AccountDataBean,com.ibm.websphere.samples.daytrader.web.jsf.AccountDataJSF,17.0,65.0,48.0,48.0,argument_passing_flow:8 rows/24.0 weight; return_value_flow:8 rows/24.0 weight
com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBBean,com.ibm.websphere.samples.daytrader.entities.OrderDataBean,56.0,92.0,36.0,36.0,argument_passing_flow:6 rows/18.0 weight; return_value_flow:6 rows/18.0 weight
com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBBean,com.ibm.websphere.samples.daytrader.util.TradeConfig,14.0,50.0,36.0,36.0,argument_passing_flow:6 rows/18.0 weight; return_value_flow:6 rows/18.0 weight
com.ibm.websphere.samples.daytrader.direct.TradeDirect,com.ibm.websphere.samples.daytrader.util.TradeConfig,10.0,46.0,36.0,36.0,argument_passing_flow:6 rows/18.0 weight; return_value_flow:6 rows/18.0 weight
com.ibm.websphere.samples.daytrader.entities.OrderDataBean,com.ibm.websphere.samples.daytrader.web.jsf.OrderData,0.0,36.0,36.0,36.0,argument_passing_flow:6 rows/18.0 weight; return_value_flow:6 rows/18.0 weight
com.ibm.websphere.samples.daytrader.entities.AccountProfileDataBean,com.ibm.websphere.samples.daytrader.web.jsf.TradeAppJSF,12.0,42.0,30.0,30.0,argument_passing_flow:5 rows/15.0 weight; return_value_flow:5 rows/15.0 weight
com.ibm.websphere.samples.daytrader.entities.HoldingDataBean,com.ibm.websphere.samples.daytrader.web.jsf.HoldingData,0.0,30.0,30.0,30.0,argument_passing_flow:5 rows/15.0 weight; return_value_flow:5 rows/15.0 weight
com.ibm.websphere.samples.daytrader.beans.MarketSummaryDataBean,com.ibm.websphere.samples.daytrader.web.jsf.MarketSummaryJSF,12.0,36.0,24.0,24.0,argument_passing_flow:4 rows/12.0 weight; return_value_flow:4 rows/12.0 weight
com.ibm.websphere.samples.daytrader.direct.TradeDirect,com.ibm.websphere.samples.daytrader.entities.HoldingDataBean,20.0,38.0,18.0,18.0,argument_passing_flow:3 rows/9.0 weight; return_value_flow:3 rows/9.0 weight
com.ibm.websphere.samples.daytrader.util.FinancialUtils,com.ibm.websphere.samples.daytrader.web.jsf.AccountDataJSF,10.0,28.0,18.0,18.0,argument_passing_flow:3 rows/9.0 weight; return_value_flow:3 rows/9.0 weight
com.ibm.websphere.samples.daytrader.direct.KeySequenceDirect,com.ibm.websphere.samples.daytrader.direct.TradeDirect,6.0,24.0,18.0,18.0,argument_passing_flow:3 rows/9.0 weight; return_value_flow:3 rows/9.0 weight
com.ibm.websphere.samples.daytrader.entities.AccountProfileDataBean,com.ibm.websphere.samples.daytrader.util.Log,2.0,20.0,18.0,18.0,argument_passing_flow:4 rows/12.0 weight; return_value_flow:2 rows/6.0 weight
com.ibm.websphere.samples.daytrader.entities.QuoteDataBean,com.ibm.websphere.samples.daytrader.web.jsf.QuoteData,0.0,18.0,18.0,18.0,argument_passing_flow:3 rows/9.0 weight; return_value_flow:3 rows/9.0 weight
com.ibm.websphere.samples.daytrader.direct.TradeDirect,com.ibm.websphere.samples.daytrader.entities.QuoteDataBean,50.0,65.0,15.0,15.0,argument_passing_flow:3 rows/9.0 weight; return_value_flow:2 rows/6.0 weight
com.ibm.websphere.samples.daytrader.TradeAction,com.ibm.websphere.samples.daytrader.entities.AccountProfileDataBean,3.0,18.0,15.0,15.0,argument_passing_flow:3 rows/9.0 weight; return_value_flow:2 rows/6.0 weight
com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBBean,com.ibm.websphere.samples.daytrader.entities.AccountProfileDataBean,45.0,57.0,12.0,12.0,argument_passing_flow:2 rows/6.0 weight; return_value_flow:2 rows/6.0 weight
com.ibm.websphere.samples.daytrader.TradeAction,com.ibm.websphere.samples.daytrader.util.TradeConfig,16.0,28.0,12.0,12.0,argument_passing_flow:2 rows/6.0 weight; return_value_flow:2 rows/6.0 weight
com.ibm.websphere.samples.daytrader.entities.OrderDataBean,com.ibm.websphere.samples.daytrader.util.TradeConfig,16.0,28.0,12.0,12.0,argument_passing_flow:2 rows/6.0 weight; return_value_flow:2 rows/6.0 weight
