source,target,type_weight,call_weight,raw_weight
com.ibm.websphere.samples.daytrader.TradeAction,com.ibm.websphere.samples.daytrader.TradeServices,5.0,38.0,43.0
com.ibm.websphere.samples.daytrader.TradeAction,com.ibm.websphere.samples.daytrader.beans.MarketSummaryDataBean,3.0,2.0,5.0
com.ibm.websphere.samples.daytrader.TradeAction,com.ibm.websphere.samples.daytrader.beans.RunStatsDataBean,1.0,0.0,1.0
com.ibm.websphere.samples.daytrader.TradeAction,com.ibm.websphere.samples.daytrader.direct.TradeDirect,0.0,2.0,2.0
com.ibm.websphere.samples.daytrader.TradeAction,com.ibm.websphere.samples.daytrader.entities.AccountDataBean,4.0,0.0,4.0
com.ibm.websphere.samples.daytrader.TradeAction,com.ibm.websphere.samples.daytrader.entities.AccountProfileDataBean,3.0,0.0,3.0
com.ibm.websphere.samples.daytrader.TradeAction,com.ibm.websphere.samples.daytrader.entities.HoldingDataBean,1.0,0.0,1.0
com.ibm.websphere.samples.daytrader.TradeAction,com.ibm.websphere.samples.daytrader.entities.OrderDataBean,4.0,6.0,10.0
com.ibm.websphere.samples.daytrader.TradeAction,com.ibm.websphere.samples.daytrader.entities.QuoteDataBean,3.0,2.0,5.0
com.ibm.websphere.samples.daytrader.TradeAction,com.ibm.websphere.samples.daytrader.util.Log,0.0,108.0,108.0
com.ibm.websphere.samples.daytrader.TradeAction,com.ibm.websphere.samples.daytrader.util.TradeConfig,0.0,16.0,16.0
com.ibm.websphere.samples.daytrader.TradeServices,com.ibm.websphere.samples.daytrader.beans.MarketSummaryDataBean,1.0,0.0,1.0
com.ibm.websphere.samples.daytrader.TradeServices,com.ibm.websphere.samples.daytrader.beans.RunStatsDataBean,1.0,0.0,1.0
com.ibm.websphere.samples.daytrader.TradeServices,com.ibm.websphere.samples.daytrader.entities.AccountDataBean,3.0,0.0,3.0
com.ibm.websphere.samples.daytrader.TradeServices,com.ibm.websphere.samples.daytrader.entities.AccountProfileDataBean,3.0,0.0,3.0
com.ibm.websphere.samples.daytrader.TradeServices,com.ibm.websphere.samples.daytrader.entities.HoldingDataBean,1.0,0.0,1.0
com.ibm.websphere.samples.daytrader.TradeServices,com.ibm.websphere.samples.daytrader.entities.OrderDataBean,3.0,0.0,3.0
com.ibm.websphere.samples.daytrader.TradeServices,com.ibm.websphere.samples.daytrader.entities.QuoteDataBean,3.0,0.0,3.0
com.ibm.websphere.samples.daytrader.beans.MarketSummaryDataBean,com.ibm.websphere.samples.daytrader.entities.QuoteDataBean,0.0,24.0,24.0
com.ibm.websphere.samples.daytrader.beans.MarketSummaryDataBean,com.ibm.websphere.samples.daytrader.util.FinancialUtils,0.0,4.0,4.0
com.ibm.websphere.samples.daytrader.beans.MarketSummaryDataBean,com.ibm.websphere.samples.daytrader.util.Log,0.0,2.0,2.0
com.ibm.websphere.samples.daytrader.beans.MarketSummaryDataBean,com.ibm.websphere.samples.daytrader.util.TradeConfig,0.0,6.0,6.0
com.ibm.websphere.samples.daytrader.direct.KeySequenceDirect,com.ibm.websphere.samples.daytrader.util.KeyBlock,0.0,2.0,2.0
com.ibm.websphere.samples.daytrader.direct.KeySequenceDirect,com.ibm.websphere.samples.daytrader.util.Log,0.0,6.0,6.0
com.ibm.websphere.samples.daytrader.direct.TradeDirect,com.ibm.websphere.samples.daytrader.TradeAction,0.0,4.0,4.0
com.ibm.websphere.samples.daytrader.direct.TradeDirect,com.ibm.websphere.samples.daytrader.TradeServices,1.0,0.0,1.0
com.ibm.websphere.samples.daytrader.direct.TradeDirect,com.ibm.websphere.samples.daytrader.beans.MarketSummaryDataBean,1.0,2.0,3.0
com.ibm.websphere.samples.daytrader.direct.TradeDirect,com.ibm.websphere.samples.daytrader.beans.RunStatsDataBean,1.0,26.0,27.0
com.ibm.websphere.samples.daytrader.direct.TradeDirect,com.ibm.websphere.samples.daytrader.direct.KeySequenceDirect,0.0,6.0,6.0
com.ibm.websphere.samples.daytrader.direct.TradeDirect,com.ibm.websphere.samples.daytrader.entities.AccountDataBean,9.0,8.0,17.0
com.ibm.websphere.samples.daytrader.direct.TradeDirect,com.ibm.websphere.samples.daytrader.entities.AccountProfileDataBean,7.0,20.0,27.0
com.ibm.websphere.samples.daytrader.direct.TradeDirect,com.ibm.websphere.samples.daytrader.entities.HoldingDataBean,6.0,14.0,20.0
com.ibm.websphere.samples.daytrader.direct.TradeDirect,com.ibm.websphere.samples.daytrader.entities.OrderDataBean,7.0,40.0,47.0
com.ibm.websphere.samples.daytrader.direct.TradeDirect,com.ibm.websphere.samples.daytrader.entities.QuoteDataBean,10.0,40.0,50.0
com.ibm.websphere.samples.daytrader.direct.TradeDirect,com.ibm.websphere.samples.daytrader.util.CompleteOrderThread,0.0,2.0,2.0
com.ibm.websphere.samples.daytrader.direct.TradeDirect,com.ibm.websphere.samples.daytrader.util.Log,0.0,260.0,260.0
com.ibm.websphere.samples.daytrader.direct.TradeDirect,com.ibm.websphere.samples.daytrader.util.MDBStats,0.0,8.0,8.0
com.ibm.websphere.samples.daytrader.direct.TradeDirect,com.ibm.websphere.samples.daytrader.util.TradeConfig,0.0,10.0,10.0
com.ibm.websphere.samples.daytrader.ejb3.DTBroker3MDB,com.ibm.websphere.samples.daytrader.TradeServices,1.0,2.0,3.0
com.ibm.websphere.samples.daytrader.ejb3.DTBroker3MDB,com.ibm.websphere.samples.daytrader.direct.TradeDirect,0.0,2.0,2.0
com.ibm.websphere.samples.daytrader.ejb3.DTBroker3MDB,com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBLocal,1.0,0.0,1.0
com.ibm.websphere.samples.daytrader.ejb3.DTBroker3MDB,com.ibm.websphere.samples.daytrader.util.Log,0.0,30.0,30.0
com.ibm.websphere.samples.daytrader.ejb3.DTBroker3MDB,com.ibm.websphere.samples.daytrader.util.MDBStats,1.0,6.0,7.0
com.ibm.websphere.samples.daytrader.ejb3.DTBroker3MDB,com.ibm.websphere.samples.daytrader.util.TimerStat,0.0,20.0,20.0
com.ibm.websphere.samples.daytrader.ejb3.DTStreamer3MDB,com.ibm.websphere.samples.daytrader.util.Log,0.0,26.0,26.0
com.ibm.websphere.samples.daytrader.ejb3.DTStreamer3MDB,com.ibm.websphere.samples.daytrader.util.MDBStats,1.0,6.0,7.0
com.ibm.websphere.samples.daytrader.ejb3.DTStreamer3MDB,com.ibm.websphere.samples.daytrader.util.TimerStat,0.0,20.0,20.0
com.ibm.websphere.samples.daytrader.ejb3.DTStreamer3MDB,com.ibm.websphere.samples.daytrader.util.TradeConfig,0.0,4.0,4.0
com.ibm.websphere.samples.daytrader.ejb3.MarketSummarySingleton,com.ibm.websphere.samples.daytrader.beans.MarketSummaryDataBean,3.0,2.0,5.0
com.ibm.websphere.samples.daytrader.ejb3.MarketSummarySingleton,com.ibm.websphere.samples.daytrader.entities.QuoteDataBean,0.0,6.0,6.0
com.ibm.websphere.samples.daytrader.ejb3.MarketSummarySingleton,com.ibm.websphere.samples.daytrader.util.Log,0.0,10.0,10.0
com.ibm.websphere.samples.daytrader.ejb3.MarketSummarySingleton,com.ibm.websphere.samples.daytrader.util.TradeConfig,0.0,2.0,2.0
com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBBean,com.ibm.websphere.samples.daytrader.TradeAction,0.0,4.0,4.0
com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBBean,com.ibm.websphere.samples.daytrader.beans.MarketSummaryDataBean,1.0,0.0,1.0
com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBBean,com.ibm.websphere.samples.daytrader.beans.RunStatsDataBean,1.0,0.0,1.0
com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBBean,com.ibm.websphere.samples.daytrader.direct.TradeDirect,0.0,4.0,4.0
com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBBean,com.ibm.websphere.samples.daytrader.ejb3.MarketSummarySingleton,1.0,2.0,3.0
com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBBean,com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBLocal,1.0,2.0,3.0
com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBBean,com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBRemote,1.0,0.0,1.0
com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBBean,com.ibm.websphere.samples.daytrader.entities.AccountDataBean,5.0,24.0,29.0
com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBBean,com.ibm.websphere.samples.daytrader.entities.AccountProfileDataBean,3.0,42.0,45.0
com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBBean,com.ibm.websphere.samples.daytrader.entities.HoldingDataBean,3.0,8.0,11.0
com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBBean,com.ibm.websphere.samples.daytrader.entities.OrderDataBean,4.0,52.0,56.0
com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBBean,com.ibm.websphere.samples.daytrader.entities.QuoteDataBean,7.0,42.0,49.0
com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBBean,com.ibm.websphere.samples.daytrader.util.CompleteOrderThread,0.0,2.0,2.0
com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBBean,com.ibm.websphere.samples.daytrader.util.Log,0.0,142.0,142.0
com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBBean,com.ibm.websphere.samples.daytrader.util.TradeConfig,0.0,14.0,14.0
com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBBean$quotePriceComparator,com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBBean,2.0,0.0,2.0
com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBBean$quotePriceComparator,com.ibm.websphere.samples.daytrader.entities.QuoteDataBean,0.0,4.0,4.0
com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBLocal,com.ibm.websphere.samples.daytrader.TradeServices,1.0,0.0,1.0
com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBLocal,com.ibm.websphere.samples.daytrader.entities.QuoteDataBean,2.0,0.0,2.0
com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBRemote,com.ibm.websphere.samples.daytrader.TradeServices,1.0,0.0,1.0
com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBRemote,com.ibm.websphere.samples.daytrader.entities.QuoteDataBean,2.0,0.0,2.0
com.ibm.websphere.samples.daytrader.entities.AccountDataBean,com.ibm.websphere.samples.daytrader.entities.AccountProfileDataBean,3.0,6.0,9.0
com.ibm.websphere.samples.daytrader.entities.AccountDataBean,com.ibm.websphere.samples.daytrader.util.Log,0.0,2.0,2.0
com.ibm.websphere.samples.daytrader.entities.AccountDataBean,com.ibm.websphere.samples.daytrader.util.TradeConfig,0.0,14.0,14.0
com.ibm.websphere.samples.daytrader.entities.AccountProfileDataBean,com.ibm.websphere.samples.daytrader.entities.AccountDataBean,3.0,0.0,3.0
com.ibm.websphere.samples.daytrader.entities.AccountProfileDataBean,com.ibm.websphere.samples.daytrader.util.Log,0.0,2.0,2.0
com.ibm.websphere.samples.daytrader.entities.AccountProfileDataBean,com.ibm.websphere.samples.daytrader.util.TradeConfig,0.0,14.0,14.0
com.ibm.websphere.samples.daytrader.entities.HoldingDataBean,com.ibm.websphere.samples.daytrader.entities.AccountDataBean,4.0,0.0,4.0
com.ibm.websphere.samples.daytrader.entities.HoldingDataBean,com.ibm.websphere.samples.daytrader.entities.QuoteDataBean,4.0,2.0,6.0
com.ibm.websphere.samples.daytrader.entities.HoldingDataBean,com.ibm.websphere.samples.daytrader.util.Log,0.0,2.0,2.0
com.ibm.websphere.samples.daytrader.entities.HoldingDataBean,com.ibm.websphere.samples.daytrader.util.TradeConfig,0.0,10.0,10.0
com.ibm.websphere.samples.daytrader.entities.OrderDataBean,com.ibm.websphere.samples.daytrader.entities.AccountDataBean,4.0,0.0,4.0
com.ibm.websphere.samples.daytrader.entities.OrderDataBean,com.ibm.websphere.samples.daytrader.entities.HoldingDataBean,4.0,0.0,4.0
com.ibm.websphere.samples.daytrader.entities.OrderDataBean,com.ibm.websphere.samples.daytrader.entities.QuoteDataBean,4.0,2.0,6.0
com.ibm.websphere.samples.daytrader.entities.OrderDataBean,com.ibm.websphere.samples.daytrader.util.Log,0.0,2.0,2.0
com.ibm.websphere.samples.daytrader.entities.OrderDataBean,com.ibm.websphere.samples.daytrader.util.TradeConfig,0.0,16.0,16.0
com.ibm.websphere.samples.daytrader.entities.QuoteDataBean,com.ibm.websphere.samples.daytrader.util.Log,0.0,2.0,2.0
com.ibm.websphere.samples.daytrader.entities.QuoteDataBean,com.ibm.websphere.samples.daytrader.util.TradeConfig,0.0,16.0,16.0
com.ibm.websphere.samples.daytrader.util.CompleteOrderThread,com.ibm.websphere.samples.daytrader.TradeServices,0.0,2.0,2.0
com.ibm.websphere.samples.daytrader.util.CompleteOrderThread,com.ibm.websphere.samples.daytrader.direct.TradeDirect,0.0,2.0,2.0
com.ibm.websphere.samples.daytrader.util.CompleteOrderThread,com.ibm.websphere.samples.daytrader.util.TradeConfig,0.0,2.0,2.0
com.ibm.websphere.samples.daytrader.util.FinancialUtils,com.ibm.websphere.samples.daytrader.entities.HoldingDataBean,0.0,4.0,4.0
com.ibm.websphere.samples.daytrader.util.KeyBlock,com.ibm.websphere.samples.daytrader.util.KeyBlock$KeyBlockIterator,0.0,2.0,2.0
com.ibm.websphere.samples.daytrader.util.KeyBlock$KeyBlockIterator,com.ibm.websphere.samples.daytrader.util.KeyBlock,2.0,20.0,22.0
com.ibm.websphere.samples.daytrader.util.Log,com.ibm.websphere.samples.daytrader.util.TradeConfig,0.0,8.0,8.0
com.ibm.websphere.samples.daytrader.util.MDBStats,com.ibm.websphere.samples.daytrader.util.TimerStat,1.0,18.0,19.0
com.ibm.websphere.samples.daytrader.util.TradeConfig,com.ibm.websphere.samples.daytrader.util.Log,0.0,22.0,22.0
com.ibm.websphere.samples.daytrader.web.OrdersAlertFilter,com.ibm.websphere.samples.daytrader.TradeAction,0.0,2.0,2.0
com.ibm.websphere.samples.daytrader.web.OrdersAlertFilter,com.ibm.websphere.samples.daytrader.TradeServices,0.0,2.0,2.0
com.ibm.websphere.samples.daytrader.web.OrdersAlertFilter,com.ibm.websphere.samples.daytrader.util.Log,0.0,6.0,6.0
com.ibm.websphere.samples.daytrader.web.OrdersAlertFilter,com.ibm.websphere.samples.daytrader.util.TradeConfig,0.0,2.0,2.0
com.ibm.websphere.samples.daytrader.web.TestServlet,com.ibm.websphere.samples.daytrader.TradeAction,0.0,4.0,4.0
com.ibm.websphere.samples.daytrader.web.TestServlet,com.ibm.websphere.samples.daytrader.util.Log,0.0,4.0,4.0
com.ibm.websphere.samples.daytrader.web.TradeAppServlet,com.ibm.websphere.samples.daytrader.util.TradeConfig,0.0,2.0,2.0
com.ibm.websphere.samples.daytrader.web.TradeAppServlet,com.ibm.websphere.samples.daytrader.web.TradeServletAction,0.0,30.0,30.0
com.ibm.websphere.samples.daytrader.web.TradeBuildDB,com.ibm.websphere.samples.daytrader.direct.TradeDirect,0.0,12.0,12.0
com.ibm.websphere.samples.daytrader.web.TradeBuildDB,com.ibm.websphere.samples.daytrader.entities.AccountDataBean,0.0,2.0,2.0
com.ibm.websphere.samples.daytrader.web.TradeBuildDB,com.ibm.websphere.samples.daytrader.util.Log,0.0,20.0,20.0
com.ibm.websphere.samples.daytrader.web.TradeBuildDB,com.ibm.websphere.samples.daytrader.util.TradeConfig,0.0,28.0,28.0
com.ibm.websphere.samples.daytrader.web.TradeConfigServlet,com.ibm.websphere.samples.daytrader.TradeAction,0.0,4.0,4.0
com.ibm.websphere.samples.daytrader.web.TradeConfigServlet,com.ibm.websphere.samples.daytrader.beans.RunStatsDataBean,0.0,2.0,2.0
com.ibm.websphere.samples.daytrader.web.TradeConfigServlet,com.ibm.websphere.samples.daytrader.direct.TradeDirect,0.0,4.0,4.0
com.ibm.websphere.samples.daytrader.web.TradeConfigServlet,com.ibm.websphere.samples.daytrader.util.Log,0.0,32.0,32.0
com.ibm.websphere.samples.daytrader.web.TradeConfigServlet,com.ibm.websphere.samples.daytrader.util.TradeConfig,0.0,72.0,72.0
com.ibm.websphere.samples.daytrader.web.TradeConfigServlet,com.ibm.websphere.samples.daytrader.web.TradeBuildDB,0.0,4.0,4.0
com.ibm.websphere.samples.daytrader.web.TradeScenarioServlet,com.ibm.websphere.samples.daytrader.entities.HoldingDataBean,0.0,4.0,4.0
com.ibm.websphere.samples.daytrader.web.TradeScenarioServlet,com.ibm.websphere.samples.daytrader.util.Log,0.0,8.0,8.0
com.ibm.websphere.samples.daytrader.web.TradeScenarioServlet,com.ibm.websphere.samples.daytrader.util.TradeConfig,0.0,28.0,28.0
com.ibm.websphere.samples.daytrader.web.TradeServletAction,com.ibm.websphere.samples.daytrader.TradeAction,0.0,2.0,2.0
com.ibm.websphere.samples.daytrader.web.TradeServletAction,com.ibm.websphere.samples.daytrader.TradeServices,1.0,26.0,27.0
com.ibm.websphere.samples.daytrader.web.TradeServletAction,com.ibm.websphere.samples.daytrader.entities.AccountDataBean,0.0,2.0,2.0
com.ibm.websphere.samples.daytrader.web.TradeServletAction,com.ibm.websphere.samples.daytrader.entities.AccountProfileDataBean,0.0,2.0,2.0
com.ibm.websphere.samples.daytrader.web.TradeServletAction,com.ibm.websphere.samples.daytrader.entities.HoldingDataBean,0.0,2.0,2.0
com.ibm.websphere.samples.daytrader.web.TradeServletAction,com.ibm.websphere.samples.daytrader.util.Log,0.0,22.0,22.0
com.ibm.websphere.samples.daytrader.web.TradeServletAction,com.ibm.websphere.samples.daytrader.util.TradeConfig,0.0,34.0,34.0
com.ibm.websphere.samples.daytrader.web.TradeWebContextListener,com.ibm.websphere.samples.daytrader.direct.TradeDirect,0.0,2.0,2.0
com.ibm.websphere.samples.daytrader.web.TradeWebContextListener,com.ibm.websphere.samples.daytrader.util.Log,0.0,4.0,4.0
com.ibm.websphere.samples.daytrader.web.TradeWebContextListener,com.ibm.websphere.samples.daytrader.util.TradeConfig,0.0,28.0,28.0
com.ibm.websphere.samples.daytrader.web.jsf.AccountDataJSF,com.ibm.websphere.samples.daytrader.TradeAction,1.0,8.0,9.0
com.ibm.websphere.samples.daytrader.web.jsf.AccountDataJSF,com.ibm.websphere.samples.daytrader.entities.AccountDataBean,1.0,16.0,17.0
com.ibm.websphere.samples.daytrader.web.jsf.AccountDataJSF,com.ibm.websphere.samples.daytrader.entities.OrderDataBean,0.0,34.0,34.0
com.ibm.websphere.samples.daytrader.web.jsf.AccountDataJSF,com.ibm.websphere.samples.daytrader.util.FinancialUtils,0.0,10.0,10.0
com.ibm.websphere.samples.daytrader.web.jsf.AccountDataJSF,com.ibm.websphere.samples.daytrader.util.TradeConfig,0.0,4.0,4.0
com.ibm.websphere.samples.daytrader.web.jsf.AccountDataJSF,com.ibm.websphere.samples.daytrader.web.jsf.OrderData,6.0,4.0,10.0
com.ibm.websphere.samples.daytrader.web.jsf.HoldingData,com.ibm.websphere.samples.daytrader.util.FinancialUtils,0.0,2.0,2.0
com.ibm.websphere.samples.daytrader.web.jsf.LoginValidator,com.ibm.websphere.samples.daytrader.util.Log,0.0,4.0,4.0
com.ibm.websphere.samples.daytrader.web.jsf.MarketSummaryJSF,com.ibm.websphere.samples.daytrader.TradeAction,1.0,2.0,3.0
com.ibm.websphere.samples.daytrader.web.jsf.MarketSummaryJSF,com.ibm.websphere.samples.daytrader.beans.MarketSummaryDataBean,0.0,12.0,12.0
com.ibm.websphere.samples.daytrader.web.jsf.MarketSummaryJSF,com.ibm.websphere.samples.daytrader.entities.QuoteDataBean,0.0,12.0,12.0
com.ibm.websphere.samples.daytrader.web.jsf.MarketSummaryJSF,com.ibm.websphere.samples.daytrader.util.FinancialUtils,0.0,2.0,2.0
