seed,metric_left,metric_right,spearman_rho,n_solutions
0,weighted_modularity,coupling,-0.2785855300712026,100
0,weighted_modularity,imbalance,0.354465700183945,100
0,coupling,imbalance,-0.7277958799269333,100
0,weighted_modularity,cohesion,0.26996699669966995,100
0,coupling,cohesion,0.5985454458280327,100
0,imbalance,cohesion,-0.07067591570764849,100
1,weighted_modularity,coupling,-0.4461292897127407,100
1,weighted_modularity,imbalance,0.41854687728039414,100
1,coupling,imbalance,-0.821847978076208,100
1,weighted_modularity,cohesion,-0.057293729372937294,100
1,coupling,cohesion,0.6293707133069404,100
1,imbalance,cohesion,-0.21922255294171528,100
2,weighted_modularity,coupling,0.12840199582274553,100
2,weighted_modularity,imbalance,0.1810702798843856,100
2,coupling,imbalance,-0.8146885773215224,100
2,weighted_modularity,cohesion,0.5878427842784277,100
2,coupling,cohesion,0.670921130430392,100
2,imbalance,cohesion,-0.2272274494907052,100
3,weighted_modularity,coupling,-0.22719008215279804,100
3,weighted_modularity,imbalance,0.35076928618531095,100
3,coupling,imbalance,-0.8477530348733765,100
3,weighted_modularity,cohesion,0.3737413741374137,100
3,coupling,cohesion,0.49201615372115165,100
3,imbalance,cohesion,-0.08835989631474989,100
4,weighted_modularity,coupling,-0.24504491531765277,100
4,weighted_modularity,imbalance,0.04306108121068361,100
4,coupling,imbalance,-0.8072939482132675,100
4,weighted_modularity,cohesion,-0.10356497788765608,100
4,coupling,cohesion,0.8209148680135383,100
4,imbalance,cohesion,-0.41737925078164706,100
5,weighted_modularity,coupling,0.1555078834240904,100
5,weighted_modularity,imbalance,-0.1419218952624889,100
5,coupling,imbalance,-0.7481240117528596,100
5,weighted_modularity,cohesion,0.33610561056105603,100
5,coupling,cohesion,0.7250333789201513,100
5,imbalance,cohesion,-0.1622101675504461,100
6,weighted_modularity,coupling,0.15607748068064592,100
6,weighted_modularity,imbalance,-0.02245171666024201,100
6,coupling,imbalance,-0.790009331217064,100
6,weighted_modularity,cohesion,0.4328425827879751,100
6,coupling,cohesion,0.7084132170693543,100
6,imbalance,cohesion,-0.21542542023449066,100
7,weighted_modularity,coupling,-0.35521898153673287,100
7,weighted_modularity,imbalance,0.28377693168683094,100
7,coupling,imbalance,-0.7857584341024103,100
7,weighted_modularity,cohesion,0.13233163015850186,100
7,coupling,cohesion,0.6511728385004455,100
7,imbalance,cohesion,-0.19295045275146513,100
8,weighted_modularity,coupling,-0.4502410762955529,100
8,weighted_modularity,imbalance,0.5123493831678081,100
8,coupling,imbalance,-0.9191552177854887,100
8,weighted_modularity,cohesion,0.2614341434143414,100
8,coupling,cohesion,0.44891493174574326,100
8,imbalance,cohesion,-0.17012505401830044,100
9,weighted_modularity,coupling,-0.28056658176877697,100
9,weighted_modularity,imbalance,0.5490151368025036,100
9,coupling,imbalance,-0.7677411999226114,100
9,weighted_modularity,cohesion,0.06642084134695765,100
9,coupling,cohesion,0.7197206087211332,100
9,imbalance,cohesion,-0.22670675141299154,100
10,weighted_modularity,coupling,-0.4377550285947245,100
10,weighted_modularity,imbalance,0.31347322816782885,100
10,coupling,imbalance,-0.7625819846879213,100
10,weighted_modularity,cohesion,0.029421030366260127,100
10,coupling,cohesion,0.5110967761499591,100
10,imbalance,cohesion,0.058248349070310804,100
11,weighted_modularity,coupling,-0.08789758083987177,100
11,weighted_modularity,imbalance,0.1436256552022345,100
11,coupling,imbalance,-0.7816642363798927,100
11,weighted_modularity,cohesion,0.1956315631563156,100
11,coupling,cohesion,0.7405107156980051,100
11,imbalance,cohesion,-0.23856800392209052,100
12,weighted_modularity,coupling,0.14504398549597936,100
12,weighted_modularity,imbalance,-0.16894942920336736,100
12,coupling,imbalance,-0.7690849028326461,100
12,weighted_modularity,cohesion,0.2468166816681668,100
12,coupling,cohesion,0.8056178968512563,100
12,imbalance,cohesion,-0.36852638057523013,100
13,weighted_modularity,coupling,-0.29113973424282485,100
13,weighted_modularity,imbalance,0.25120013443314493,100
13,coupling,imbalance,-0.6856069584450574,100
13,weighted_modularity,cohesion,0.21746174617461744,100
13,coupling,cohesion,0.5234610572764455,100
13,imbalance,cohesion,0.08357135999833763,100
