seed,front_size,paired_leiden_imbalance,paired_leiden_modularity,paired_leiden_coupling,n_better_imbalance,n_better_imbalance_lower_modularity,n_better_imbalance_higher_coupling,median_modularity_delta_among_better_imbalance,median_coupling_delta_among_better_imbalance,improved_imbalance_generally_lower_modularity,improved_imbalance_generally_higher_coupling
0,100,0.8929931748074893,0.324596763898912,0.41789667896678967,76,76,61,-0.24650506018436572,0.16420664206642066,True,True
1,100,0.8929931748074893,0.324596763898912,0.41789667896678967,73,73,62,-0.2504076401465122,0.21356088560885605,True,True
2,100,0.8929931748074893,0.324596763898912,0.41789667896678967,75,74,56,-0.2281655087076701,0.15221402214022145,True,True
3,100,0.8929931748074893,0.324596763898912,0.41789667896678967,76,76,57,-0.2363725643714001,0.1208487084870849,True,True
4,100,0.8929931748074893,0.324596763898912,0.41789667896678967,67,67,58,-0.23105430719897613,0.21309963099630996,True,True
5,100,0.8929931748074893,0.324596763898912,0.41789667896678967,79,79,61,-0.2169455115330672,0.16974169741697415,True,True
6,100,0.8929931748074893,0.324596763898912,0.41789667896678967,77,77,60,-0.22615422158603493,0.15359778597785972,True,True
7,100,0.8929931748074893,0.324596763898912,0.41789667896678967,73,73,60,-0.24036971429446763,0.21079335793357928,True,True
8,100,0.8797391114622466,0.3222938949292629,0.4077490774907749,72,72,59,-0.24430340979493737,0.15452029520295207,True,True
9,100,0.8929931748074893,0.324596763898912,0.41789667896678967,64,64,47,-0.2512131336719271,0.14967712177121772,True,True
10,100,0.8929931748074893,0.324596763898912,0.41789667896678967,72,72,62,-0.24698939880312093,0.16282287822878228,True,True
11,100,0.8929931748074893,0.324596763898912,0.41789667896678967,60,60,51,-0.24498103707397775,0.2357011070110701,True,True
12,100,0.8752764909240153,0.3207882220081428,0.42297047970479706,72,72,60,-0.214070488980951,0.15844095940959407,True,True
13,100,0.8929931748074893,0.324596763898912,0.41789667896678967,73,73,58,-0.24567807832137373,0.15867158671586717,True,True
14,100,0.8929931748074893,0.324596763898912,0.41789667896678967,64,64,55,-0.23958932595552876,0.16420664206642066,True,True
15,100,0.8929931748074893,0.324596763898912,0.41789667896678967,74,74,58,-0.25766144336950747,0.18473247232472328,True,True
16,100,0.8929931748074893,0.324596763898912,0.41789667896678967,72,72,53,-0.232573277358696,0.13053505535055349,True,True
17,99,0.8929931748074893,0.324596763898912,0.41789667896678967,68,67,53,-0.24844347843847447,0.16190036900369004,True,True
18,100,0.8929931748074893,0.324596763898912,0.41789667896678967,76,76,57,-0.23980702834588305,0.13883763837638374,True,True
19,100,0.8929931748074893,0.324596763898912,0.41789667896678967,75,75,55,-0.2225706689723724,0.11485239852398527,True,True
20,96,0.8929931748074893,0.324596763898912,0.41789667896678967,75,75,58,-0.2494010923734698,0.14621771217712182,True,True
21,100,0.8929931748074893,0.324596763898912,0.41789667896678967,67,67,55,-0.23781696361705312,0.17158671586715862,True,True
22,100,0.8342524894126091,0.31537390558407413,0.41420664206642066,69,69,58,-0.21066006641385582,0.18311808118081185,True,True
23,100,0.8929931748074893,0.324596763898912,0.41789667896678967,79,78,67,-0.243999115786822,0.1752767527675277,True,True
24,100,0.8929931748074893,0.324596763898912,0.41789667896678967,68,68,52,-0.2496938443784806,0.1372232472324723,True,True
25,100,0.8929931748074893,0.324596763898912,0.41789667896678967,74,74,58,-0.2541743755191242,0.13952952029520294,True,True
26,100,0.8929931748074893,0.324596763898912,0.41789667896678967,76,76,57,-0.24304767177053677,0.10216789667896675,True,True
27,100,0.8929931748074893,0.324596763898912,0.41789667896678967,71,71,57,-0.2643899524788605,0.1914206642066421,True,True
28,99,0.8929931748074893,0.324596763898912,0.41789667896678967,71,71,51,-0.236875412746286,0.17758302583025826,True,True
29,100,0.8544899527716416,0.31250319133726384,0.4174354243542435,72,72,54,-0.22795488044825085,0.14575645756457567,True,True
