seed,leiden_resolution,coupling,cohesion,imbalance,weighted_modularity,cluster_count,singleton_count,singleton_ratio,max_cluster_size,max_cluster_ratio,stage2_feasible,partition_source
0,1.0,0.41789667896678967,6.5407774044137685,0.8929931748074893,0.324596763898912,11,4,0.07547169811320754,13,0.24528301886792453,True,stage1-baseline persisted per-seed raw Leiden
1,1.0,0.41789667896678967,6.5407774044137685,0.8929931748074893,0.324596763898912,11,4,0.07547169811320754,13,0.24528301886792453,True,stage1-baseline persisted per-seed raw Leiden
2,1.0,0.41789667896678967,6.5407774044137685,0.8929931748074893,0.324596763898912,11,4,0.07547169811320754,13,0.24528301886792453,True,stage1-baseline persisted per-seed raw Leiden
3,1.0,0.41789667896678967,6.5407774044137685,0.8929931748074893,0.324596763898912,11,4,0.07547169811320754,13,0.24528301886792453,True,stage1-baseline persisted per-seed raw Leiden
4,1.0,0.41789667896678967,6.5407774044137685,0.8929931748074893,0.324596763898912,11,4,0.07547169811320754,13,0.24528301886792453,True,stage1-baseline persisted per-seed raw Leiden
5,1.0,0.41789667896678967,6.5407774044137685,0.8929931748074893,0.324596763898912,11,4,0.07547169811320754,13,0.24528301886792453,True,stage1-baseline persisted per-seed raw Leiden
6,1.0,0.41789667896678967,6.5407774044137685,0.8929931748074893,0.324596763898912,11,4,0.07547169811320754,13,0.24528301886792453,True,stage1-baseline persisted per-seed raw Leiden
7,1.0,0.41789667896678967,6.5407774044137685,0.8929931748074893,0.324596763898912,11,4,0.07547169811320754,13,0.24528301886792453,True,stage1-baseline persisted per-seed raw Leiden
8,1.0,0.4077490774907749,6.322857950130677,0.8797391114622466,0.3222938949292629,11,4,0.07547169811320754,13,0.24528301886792453,True,stage1-baseline persisted per-seed raw Leiden
9,1.0,0.41789667896678967,6.5407774044137685,0.8929931748074893,0.324596763898912,11,4,0.07547169811320754,13,0.24528301886792453,True,stage1-baseline persisted per-seed raw Leiden
10,1.0,0.41789667896678967,6.5407774044137685,0.8929931748074893,0.324596763898912,11,4,0.07547169811320754,13,0.24528301886792453,True,stage1-baseline persisted per-seed raw Leiden
11,1.0,0.41789667896678967,6.5407774044137685,0.8929931748074893,0.324596763898912,11,4,0.07547169811320754,13,0.24528301886792453,True,stage1-baseline persisted per-seed raw Leiden
12,1.0,0.42297047970479706,6.32983682983683,0.8752764909240153,0.3207882220081428,11,4,0.07547169811320754,13,0.24528301886792453,True,stage1-baseline persisted per-seed raw Leiden
13,1.0,0.41789667896678967,6.5407774044137685,0.8929931748074893,0.324596763898912,11,4,0.07547169811320754,13,0.24528301886792453,True,stage1-baseline persisted per-seed raw Leiden
14,1.0,0.41789667896678967,6.5407774044137685,0.8929931748074893,0.324596763898912,11,4,0.07547169811320754,13,0.24528301886792453,True,stage1-baseline persisted per-seed raw Leiden
15,1.0,0.41789667896678967,6.5407774044137685,0.8929931748074893,0.324596763898912,11,4,0.07547169811320754,13,0.24528301886792453,True,stage1-baseline persisted per-seed raw Leiden
16,1.0,0.41789667896678967,6.5407774044137685,0.8929931748074893,0.324596763898912,11,4,0.07547169811320754,13,0.24528301886792453,True,stage1-baseline persisted per-seed raw Leiden
17,1.0,0.41789667896678967,6.5407774044137685,0.8929931748074893,0.324596763898912,11,4,0.07547169811320754,13,0.24528301886792453,True,stage1-baseline persisted per-seed raw Leiden
18,1.0,0.41789667896678967,6.5407774044137685,0.8929931748074893,0.324596763898912,11,4,0.07547169811320754,13,0.24528301886792453,True,stage1-baseline persisted per-seed raw Leiden
19,1.0,0.41789667896678967,6.5407774044137685,0.8929931748074893,0.324596763898912,11,4,0.07547169811320754,13,0.24528301886792453,True,stage1-baseline persisted per-seed raw Leiden
20,1.0,0.41789667896678967,6.5407774044137685,0.8929931748074893,0.324596763898912,11,4,0.07547169811320754,13,0.24528301886792453,True,stage1-baseline persisted per-seed raw Leiden
21,1.0,0.41789667896678967,6.5407774044137685,0.8929931748074893,0.324596763898912,11,4,0.07547169811320754,13,0.24528301886792453,True,stage1-baseline persisted per-seed raw Leiden
22,1.0,0.41420664206642066,7.082885632885632,0.8342524894126091,0.31537390558407413,12,4,0.07547169811320754,13,0.24528301886792453,True,stage1-baseline persisted per-seed raw Leiden
23,1.0,0.41789667896678967,6.5407774044137685,0.8929931748074893,0.324596763898912,11,4,0.07547169811320754,13,0.24528301886792453,True,stage1-baseline persisted per-seed raw Leiden
24,1.0,0.41789667896678967,6.5407774044137685,0.8929931748074893,0.324596763898912,11,4,0.07547169811320754,13,0.24528301886792453,True,stage1-baseline persisted per-seed raw Leiden
25,1.0,0.41789667896678967,6.5407774044137685,0.8929931748074893,0.324596763898912,11,4,0.07547169811320754,13,0.24528301886792453,True,stage1-baseline persisted per-seed raw Leiden
26,1.0,0.41789667896678967,6.5407774044137685,0.8929931748074893,0.324596763898912,11,4,0.07547169811320754,13,0.24528301886792453,True,stage1-baseline persisted per-seed raw Leiden
27,1.0,0.41789667896678967,6.5407774044137685,0.8929931748074893,0.324596763898912,11,4,0.07547169811320754,13,0.24528301886792453,True,stage1-baseline persisted per-seed raw Leiden
28,1.0,0.41789667896678967,6.5407774044137685,0.8929931748074893,0.324596763898912,11,4,0.07547169811320754,13,0.24528301886792453,True,stage1-baseline persisted per-seed raw Leiden
29,1.0,0.4174354243542435,8.53566341066341,0.8544899527716416,0.31250319133726384,12,4,0.07547169811320754,13,0.24528301886792453,True,stage1-baseline persisted per-seed raw Leiden
