row_index,class_id,class_name,input_hash
0,com.ibm.websphere.samples.daytrader.TradeAction,TradeAction,033fdf6c2fa49a51a305fe52789247c81b8e17bbf41f418a3ea98b0dfa191659
1,com.ibm.websphere.samples.daytrader.TradeServices,TradeServices,79faebc4f5a70102505410ea8714fc1c26baa036aa637175132dd4a55b1b8f40
2,com.ibm.websphere.samples.daytrader.beans.MarketSummaryDataBean,MarketSummaryDataBean,c0e0176c877f840828c4caa0ca1603ddb7225b66f53d5b840fb0c003f3294a71
3,com.ibm.websphere.samples.daytrader.beans.RunStatsDataBean,RunStatsDataBean,b6e55ef211e1bcc9532314cbe4d459af83d96d462127bc2abdd9ec76b8570a8d
4,com.ibm.websphere.samples.daytrader.direct.KeySequenceDirect,KeySequenceDirect,7b6aafd7330dd4b826621f1e857114857f540c5b2d7441420d524b5e9c4318c6
5,com.ibm.websphere.samples.daytrader.direct.TradeDirect,TradeDirect,13e953a2da53b4570061f31d0a9e42f4b1125bbc41935c9ed16dff71dfa99ef1
6,com.ibm.websphere.samples.daytrader.ejb3.DTBroker3MDB,DTBroker3MDB,4912385984127e955b6c0d849843e4f4f52283377581b1410b6de9a3bba22757
7,com.ibm.websphere.samples.daytrader.ejb3.DTStreamer3MDB,DTStreamer3MDB,2418cc2f34f28cce50e44343c2514a1659b9a3455a18ea6f45f4b3f3f217290f
8,com.ibm.websphere.samples.daytrader.ejb3.MarketSummarySingleton,MarketSummarySingleton,c89e34e1575247704b611fd1b4991a46cc4da1f138e95b64c3262e0008131459
9,com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBBean,TradeSLSBBean,afe397d01db1e331390f5a45f3c9ee5e0718f8e0c4786528e82a9a96a041ebbf
10,com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBBean$quotePriceComparator,TradeSLSBBean$quotePriceComparator,0f30e2856083ce7809ae33a44b890c6c8ea99f7964d06f567693cbe9834acc7d
11,com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBLocal,TradeSLSBLocal,ebb0a71ae821572211f9108ae470bb16755bf374a203a0cabed519823f207842
12,com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBRemote,TradeSLSBRemote,3f95dc954e38484462053beb3b05e249e536f1db830393b557d7ccb93dea5c3c
13,com.ibm.websphere.samples.daytrader.entities.AccountDataBean,AccountDataBean,fe52a5446d2684cc6bf34f902d2639c2b5cf29d2cf0d2697f2738fc0ee50e0c8
14,com.ibm.websphere.samples.daytrader.entities.AccountProfileDataBean,AccountProfileDataBean,26bf5ddd5afd93758bea2f0ec580c37da14b40090c1eb538ff4f5f803064b02c
15,com.ibm.websphere.samples.daytrader.entities.HoldingDataBean,HoldingDataBean,70d9a4e6f0264fe8807e68d1a19767fe1293b6160bd82ed88e8d97a461a283e7
16,com.ibm.websphere.samples.daytrader.entities.OrderDataBean,OrderDataBean,ae0f42373042008c9575a3bf38f5a99e0721d4ef93cf23666a5c7fec29de466c
17,com.ibm.websphere.samples.daytrader.entities.QuoteDataBean,QuoteDataBean,d97a597b2ca04fc97d5f53c0f0470038c74fad862840cc1e56aad74a5391db40
18,com.ibm.websphere.samples.daytrader.util.CompleteOrderThread,CompleteOrderThread,b427c2f5f157730fc86ef980d45f643a647c07f814fdab3314fcb1e42a37f531
19,com.ibm.websphere.samples.daytrader.util.FinancialUtils,FinancialUtils,2dad4285e08e95ea31d66fcdc09ed215a0fb63a657a79681e349b320c8281737
20,com.ibm.websphere.samples.daytrader.util.KeyBlock,KeyBlock,64a09d222de48169dff2cfb960584f599f85341ad2addcc5b0e197ea8f0a5c55
21,com.ibm.websphere.samples.daytrader.util.KeyBlock$KeyBlockIterator,KeyBlock$KeyBlockIterator,a5582bf8911a310d1794168c8370f56d7720253dacdcf48ac5bb01fef9160dbf
22,com.ibm.websphere.samples.daytrader.util.Log,Log,5c88d85e0f49968d803f52175b628c4d465c7d7348b050bedb8c66252dbf3aba
23,com.ibm.websphere.samples.daytrader.util.MDBStats,MDBStats,3cf888238d2f47f057ddc8a187c5a4e3a5b4d5615adb164ce99408b0a9f50ed5
24,com.ibm.websphere.samples.daytrader.util.TimerStat,TimerStat,69d7f98dab546a408a5670d85feec4ea45c3b2c941cd2e197665e4370bc7ab9f
25,com.ibm.websphere.samples.daytrader.util.TradeConfig,TradeConfig,e94f37be483cca3b9c8b0bc9d59407688f9d35c2f13aaaeb08c3245d8ba18b52
26,com.ibm.websphere.samples.daytrader.util.WebSocketJMSMessage,WebSocketJMSMessage,e95b8733d3181d904136f23d47d135939f19ba98573cc973c9f5610fef33a7da
27,com.ibm.websphere.samples.daytrader.web.OrdersAlertFilter,OrdersAlertFilter,92772fd1a525dacc0e70f4670f2949914b10b431daada536adc8c55779ef3351
28,com.ibm.websphere.samples.daytrader.web.TradeAppServlet,TradeAppServlet,3d2ab00130a8f8132f5a696c290b47eac5f6a24bcc94ba431756875254fb2dfc
29,com.ibm.websphere.samples.daytrader.web.TradeServletAction,TradeServletAction,bb55e7f4a209cc8d7ab39fdf0df63b8c7a2bd45561128be5de602098b6fe37e8
30,com.ibm.websphere.samples.daytrader.web.TradeWebContextListener,TradeWebContextListener,54c23417abe0ec6d2f80bccd8b6382753c53345c2fcad75ef19fd3535ff56790
31,com.ibm.websphere.samples.daytrader.web.jsf.AccountDataJSF,AccountDataJSF,cfff56b2a6a4d45897abb39d483bd8221647b52684a93e655e5c2ed620df3c66
32,com.ibm.websphere.samples.daytrader.web.jsf.ExternalContextProducer,ExternalContextProducer,cf767647279cb1e18a1974b7e25b0ef85cdbe8365b813a1d15750008a1d91a08
33,com.ibm.websphere.samples.daytrader.web.jsf.HoldingData,HoldingData,0466b8b5e7e9bbbaec557b72974530d8e3a29c86c3ec24b22f32d026cbd120d4
34,com.ibm.websphere.samples.daytrader.web.jsf.JSFLoginFilter,JSFLoginFilter,215ce11132c1dc52980218c193843844db4457e16138bb64e44a2650e009350b
35,com.ibm.websphere.samples.daytrader.web.jsf.LoginValidator,LoginValidator,c32c34c8b21acf508805d02f76b762068742452c7c38a20fcdfb1002531a68ca
36,com.ibm.websphere.samples.daytrader.web.jsf.MarketSummaryJSF,MarketSummaryJSF,b993776901ea25956839514f9bc4167f25110ae7ce97e482fed6583815adc7a9
37,com.ibm.websphere.samples.daytrader.web.jsf.OrderData,OrderData,f5d70a04f3e76bbc0a742b4be8eaffc786d4f03bb5cfc3bacc2ca4d129020d84
38,com.ibm.websphere.samples.daytrader.web.jsf.OrderDataJSF,OrderDataJSF,6f6185d3d371430468e930cbf320195ff438ce3f8c518b352be7e58534216c13
39,com.ibm.websphere.samples.daytrader.web.jsf.PortfolioJSF,PortfolioJSF,6d99cfe661cf7fb2d5f26e23b40798585d64319d63a530b9067da8b7ce6ea506
40,com.ibm.websphere.samples.daytrader.web.jsf.QuoteData,QuoteData,0f6f6049b9c714e355cf03efbec5f9e2883315049a6506c8fc8bc7ffc40be36d
41,com.ibm.websphere.samples.daytrader.web.jsf.QuoteJSF,QuoteJSF,b0c3916f092940e14d25e45ab633463056cf3477245e18d2784f37cfc38c145b
42,com.ibm.websphere.samples.daytrader.web.jsf.TradeActionProducer,TradeActionProducer,4277db18ed7ead0dbd11694747de529e6445a9913d4128db077bbcfc4995751a
43,com.ibm.websphere.samples.daytrader.web.jsf.TradeAppJSF,TradeAppJSF,2543e97405d6998464b4194d8e699a912bba4c764f3df5147a5d5682ada39c19
44,com.ibm.websphere.samples.daytrader.web.jsf.TradeConfigJSF,TradeConfigJSF,8ff43f56d896f403f186b666ae271e4414c1a4b52de2fb376f9ab5a24b364ad7
45,com.ibm.websphere.samples.daytrader.web.websocket.ActionDecoder,ActionDecoder,4f1ade6b8ee5d528e11a33caab76f938b8f815c0d6abae7de7fee37ec0251965
46,com.ibm.websphere.samples.daytrader.web.websocket.ActionMessage,ActionMessage,3948a340df804c01c2a4d36caa6994f81fbbb944ad6559b40402a81f8aed7b64
47,com.ibm.websphere.samples.daytrader.web.websocket.ActionMessage$1,ActionMessage$1,57d3596e7f4560971733d7ac639f5f8ee8492847b62455152d3430a62e2994f9
48,com.ibm.websphere.samples.daytrader.web.websocket.JsonDecoder,JsonDecoder,a14ca8dd66bf5ba6c61a10183b4bbe6b10c2380299efc4546a241e5b1b211835
49,com.ibm.websphere.samples.daytrader.web.websocket.JsonEncoder,JsonEncoder,8a52a7f6c1e9e8da7cae8cd162c74e475575194bbcf2ba88398274f666631d5b
50,com.ibm.websphere.samples.daytrader.web.websocket.JsonMessage,JsonMessage,f10472ed6aed19b4467a0a35a2aa3bdd56cd871b00c8e724bfce2026fc86d7a5
51,com.ibm.websphere.samples.daytrader.web.websocket.MarketSummaryWebSocket,MarketSummaryWebSocket,42fefb8b53ecc2359f5423ab59cffee8913b55d5b0d00df1c0ce653deb24cc18
52,com.ibm.websphere.samples.daytrader.web.websocket.RecentStockChangeList,RecentStockChangeList,a6d05df62b71da261fa4f3333e72b68393e336d74865b338eee45d0dfc077202
