source_class_id,rank,target_class_id,weight
com.ibm.websphere.samples.daytrader.TradeAction,1,com.ibm.websphere.samples.daytrader.TradeServices,0.88510737884310564
com.ibm.websphere.samples.daytrader.TradeAction,2,com.ibm.websphere.samples.daytrader.direct.TradeDirect,0.80676137116021041
com.ibm.websphere.samples.daytrader.TradeAction,3,com.ibm.websphere.samples.daytrader.web.TradeServletAction,0.66448321232190999
com.ibm.websphere.samples.daytrader.TradeServices,1,com.ibm.websphere.samples.daytrader.TradeAction,0.88510737884310564
com.ibm.websphere.samples.daytrader.TradeServices,2,com.ibm.websphere.samples.daytrader.direct.TradeDirect,0.80395515982694621
com.ibm.websphere.samples.daytrader.TradeServices,3,com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBBean,0.67609166166858881
com.ibm.websphere.samples.daytrader.beans.MarketSummaryDataBean,1,com.ibm.websphere.samples.daytrader.web.jsf.MarketSummaryJSF,0.69042525689638501
com.ibm.websphere.samples.daytrader.beans.MarketSummaryDataBean,2,com.ibm.websphere.samples.daytrader.ejb3.MarketSummarySingleton,0.67035207103601024
com.ibm.websphere.samples.daytrader.beans.MarketSummaryDataBean,3,com.ibm.websphere.samples.daytrader.beans.RunStatsDataBean,0.64222116093449089
com.ibm.websphere.samples.daytrader.beans.RunStatsDataBean,1,com.ibm.websphere.samples.daytrader.beans.MarketSummaryDataBean,0.64222116093449089
com.ibm.websphere.samples.daytrader.beans.RunStatsDataBean,2,com.ibm.websphere.samples.daytrader.entities.OrderDataBean,0.56177014425620853
com.ibm.websphere.samples.daytrader.beans.RunStatsDataBean,3,com.ibm.websphere.samples.daytrader.entities.AccountDataBean,0.53412369673451587
com.ibm.websphere.samples.daytrader.direct.KeySequenceDirect,1,com.ibm.websphere.samples.daytrader.util.KeyBlock,0.54327439508089359
com.ibm.websphere.samples.daytrader.direct.KeySequenceDirect,2,com.ibm.websphere.samples.daytrader.util.KeyBlock$KeyBlockIterator,0.43481718445747852
com.ibm.websphere.samples.daytrader.direct.KeySequenceDirect,3,com.ibm.websphere.samples.daytrader.direct.TradeDirect,0.33901968974280311
com.ibm.websphere.samples.daytrader.direct.TradeDirect,1,com.ibm.websphere.samples.daytrader.TradeAction,0.80676137116021041
com.ibm.websphere.samples.daytrader.direct.TradeDirect,2,com.ibm.websphere.samples.daytrader.TradeServices,0.80395515982694621
com.ibm.websphere.samples.daytrader.direct.TradeDirect,3,com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBBean,0.67738272477147576
com.ibm.websphere.samples.daytrader.ejb3.DTBroker3MDB,1,com.ibm.websphere.samples.daytrader.ejb3.DTStreamer3MDB,0.83183289783766978
com.ibm.websphere.samples.daytrader.ejb3.DTBroker3MDB,2,com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBBean,0.56783040476202973
com.ibm.websphere.samples.daytrader.ejb3.DTBroker3MDB,3,com.ibm.websphere.samples.daytrader.direct.TradeDirect,0.52532291849508062
com.ibm.websphere.samples.daytrader.ejb3.DTStreamer3MDB,1,com.ibm.websphere.samples.daytrader.ejb3.DTBroker3MDB,0.83183289783766978
com.ibm.websphere.samples.daytrader.ejb3.DTStreamer3MDB,2,com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBBean,0.4089870637693479
