source,target,type_weight,call_weight,raw_weight
org.easymock.Capture,org.easymock.CaptureType,5.0,0.0,5.0
org.easymock.Capture,org.easymock.EasyMock,12.0,8.0,20.0
org.easymock.Capture,org.easymock.internal.matchers.Captures,2.0,2.0,4.0
org.easymock.Capture$1,org.easymock.CaptureType,0.0,2.0,2.0
org.easymock.CaptureType,org.easymock.EasyMock,2.0,0.0,2.0
org.easymock.ConstructorArgs,org.easymock.IMocksControl,2.0,0.0,2.0
org.easymock.ConstructorArgs,org.easymock.internal.AndroidClassProxyFactory,1.0,4.0,5.0
org.easymock.ConstructorArgs,org.easymock.internal.ClassProxyFactory,2.0,4.0,6.0
org.easymock.ConstructorArgs,org.easymock.internal.IProxyFactory,1.0,0.0,1.0
org.easymock.ConstructorArgs,org.easymock.internal.JavaProxyFactory,1.0,0.0,1.0
org.easymock.ConstructorArgs,org.easymock.internal.MockBuilder,2.0,8.0,10.0
org.easymock.ConstructorArgs,org.easymock.internal.MocksControl,1.0,0.0,1.0
org.easymock.EasyMock,org.easymock.EasyMockSupport,0.0,6.0,6.0
org.easymock.EasyMock,org.easymock.IArgumentMatcher,1.0,0.0,1.0
org.easymock.EasyMock,org.easymock.IExpectationSetters,3.0,0.0,3.0
org.easymock.EasyMock,org.easymock.IMockBuilder,2.0,0.0,2.0
org.easymock.EasyMock,org.easymock.IMocksControl,4.0,16.0,20.0
org.easymock.EasyMock,org.easymock.LogicalOperator,1.0,0.0,1.0
org.easymock.EasyMock,org.easymock.MockType,5.0,0.0,5.0
org.easymock.EasyMock,org.easymock.internal.DefaultClassInstantiator,0.0,4.0,4.0
org.easymock.EasyMock,org.easymock.internal.EasyMockProperties,0.0,8.0,8.0
org.easymock.EasyMock,org.easymock.internal.Injector,0.0,2.0,2.0
org.easymock.EasyMock,org.easymock.internal.Invocation,0.0,2.0,2.0
org.easymock.EasyMock,org.easymock.internal.LastControl,0.0,62.0,62.0
org.easymock.EasyMock,org.easymock.internal.MockBuilder,0.0,12.0,12.0
org.easymock.EasyMock,org.easymock.internal.MocksControl,1.0,26.0,27.0
org.easymock.EasyMock,org.easymock.internal.matchers.ArrayEquals,0.0,18.0,18.0
org.easymock.EasyMock,org.easymock.internal.matchers.Captures,0.0,16.0,16.0
org.easymock.EasyMock,org.easymock.internal.matchers.Compare,0.0,2.0,2.0
org.easymock.EasyMock,org.easymock.internal.matchers.CompareEqual,0.0,2.0,2.0
org.easymock.EasyMock,org.easymock.internal.matchers.Contains,0.0,2.0,2.0
org.easymock.EasyMock,org.easymock.internal.matchers.EndsWith,0.0,2.0,2.0
org.easymock.EasyMock,org.easymock.internal.matchers.Equals,0.0,18.0,18.0
org.easymock.EasyMock,org.easymock.internal.matchers.EqualsWithDelta,0.0,4.0,4.0
org.easymock.EasyMock,org.easymock.internal.matchers.Find,0.0,2.0,2.0
org.easymock.EasyMock,org.easymock.internal.matchers.GreaterOrEqual,0.0,14.0,14.0
org.easymock.EasyMock,org.easymock.internal.matchers.GreaterThan,0.0,14.0,14.0
org.easymock.EasyMock,org.easymock.internal.matchers.InstanceOf,0.0,2.0,2.0
org.easymock.EasyMock,org.easymock.internal.matchers.LessOrEqual,0.0,14.0,14.0
org.easymock.EasyMock,org.easymock.internal.matchers.LessThan,0.0,14.0,14.0
org.easymock.EasyMock,org.easymock.internal.matchers.Matches,0.0,2.0,2.0
org.easymock.EasyMock,org.easymock.internal.matchers.Same,0.0,2.0,2.0
org.easymock.EasyMock,org.easymock.internal.matchers.StartsWith,0.0,2.0,2.0
org.easymock.EasyMockExtension,org.easymock.EasyMockSupport,0.0,2.0,2.0
org.easymock.EasyMockListener,org.easymock.EasyMockSupport,0.0,2.0,2.0
org.easymock.EasyMockRule,org.easymock.internal.EasyMockStatement,0.0,2.0,2.0
org.easymock.EasyMockRunner,org.easymock.EasyMockSupport,0.0,2.0,2.0
org.easymock.EasyMockSupport,org.easymock.EasyMockSupport$ObjectMockingHelper,0.0,2.0,2.0
org.easymock.EasyMockSupport,org.easymock.IMockBuilder,2.0,0.0,2.0
org.easymock.EasyMockSupport,org.easymock.IMocksControl,4.0,32.0,36.0
org.easymock.EasyMockSupport,org.easymock.MockType,5.0,0.0,5.0
org.easymock.EasyMockSupport,org.easymock.internal.EasyMockStatement,0.0,2.0,2.0
org.easymock.EasyMockSupport,org.easymock.internal.Injector,0.0,4.0,4.0
org.easymock.EasyMockSupport,org.easymock.internal.MockBuilder,2.0,12.0,14.0
org.easymock.EasyMockSupport,org.easymock.internal.MocksControl,0.0,4.0,4.0
org.easymock.EasyMockSupport,org.easymock.internal.ReflectionUtils,0.0,2.0,2.0
org.easymock.IAnswer,org.easymock.IExpectationSetters,2.0,0.0,2.0
org.easymock.IAnswer,org.easymock.internal.IMocksControlState,2.0,0.0,2.0
org.easymock.IAnswer,org.easymock.internal.MocksControl,2.0,0.0,2.0
org.easymock.IAnswer,org.easymock.internal.RecordState,3.0,0.0,3.0
